business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Pink Shadow Media & Entertainment Pvt. Ltd.,Media and Event,Video production service,"Video production service, Branding agency, Design agency, E-commerce service, Marketing agency, Marketing consultant, Software company, Video editing service, Internet marketing service, Website designer",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 93324 16765,http://www.pinkshadowmedia.com/,4.9,78.0,"18, Bahir Sarbamangala Para Rd, Punjabipara, East, Subhas Pally, Bardhaman, West Bengal 713103","Punjabipara, East, Subhas Pally",23.2517018,87.8630761,ChIJm1ggwphJ-DkR7ulUcggngVs,https://www.google.com/maps/place/?q=place_id:ChIJm1ggwphJ-DkR7ulUcggngVs,part_321,2026-09-20 20:17:36,4854
Sanskriti Lok Mancha,Media and Event,Movie theater,"Movie theater, Auditorium, Concert hall",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",N/A,N/A,4.3,1506.0,"near Court Compound, Badamtala, Kalibazar, Bardhaman, West Bengal 713103","Badamtala, Kalibazar",23.2403361,87.86886849999999,ChIJbzSLM8RJ-DkRoa9hPy9IuBA,https://www.google.com/maps/place/?q=place_id:ChIJbzSLM8RJ-DkRoa9hPy9IuBA,part_321,2026-09-20 20:17:36,4855
BigandHot (Advertising Agency for Outdoor),Media and Event,Advertising agency,Advertising agency,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 95633 28194,http://www.bigandhot.com/,4.5,50.0,"65 Chandmari, 2nd Bye Lane, Kochipukur north, Badamtala, Khaluibill Math, Bardhaman, West Bengal 713103",Ramkrishana Pally,23.24185,87.872648,ChIJB158I8dJ-DkRejOxiMRbOsQ,https://www.google.com/maps/place/?q=place_id:ChIJB158I8dJ-DkRejOxiMRbOsQ,part_321,2026-09-20 20:17:36,4856
FOCUS & CAPTURE,Media and Event,Marketing agency,Marketing agency,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 95935 66777,https://facebook.com/focusncapture/,5.0,76.0,"Parcus Rd., Khosbagan, Bardhaman, West Bengal 713103",Khosbagan,23.2455908,87.8663172,ChIJn5h-ed8l_yQRZpdh8NIvz48,https://www.google.com/maps/place/?q=place_id:ChIJn5h-ed8l_yQRZpdh8NIvz48,part_321,2026-09-20 20:17:36,4857
Natungram Wooden Doll Festival,Media and Event,Festival,Festival,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",N/A,N/A,4.5,24.0,"H6FM+2WV, Unnamed Road, Gazipur, Bahara, West Bengal 713512",713512,23.5726124,88.2348004,ChIJSfy7_RkJ-TkRL_SKBUscoAY,https://www.google.com/maps/place/?q=place_id:ChIJSfy7_RkJ-TkRL_SKBUscoAY,part_321,2026-09-20 20:17:36,4858
Rabindra Bhawan,Media and Event,Cultural center,"Cultural center, Community center",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",N/A,N/A,4.0,223.0,"6RVV+9RF, Raiganj, Bardhaman, West Bengal 713104",Raiganj,23.2434357,87.8445581,ChIJRyVcsDw2-DkRaf_vuDxAh4k,https://www.google.com/maps/place/?q=place_id:ChIJRyVcsDw2-DkRaf_vuDxAh4k,part_321,2026-09-20 20:17:36,4859
SHREE Event by Saikat,Media and Event,Event planner,Event planner,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",N/A,https://www.facebook.com/share/1EQLWtfLpA/,5.0,42.0,"Sree Event By Saikat, Berhampore to Jiagang Road, near 1km From Katra Masjid, Lalbagh, Jiaganj Azimganj, Ransagar, West Bengal 742149",Lalbagh,24.1996036,88.2830451,ChIJPxipcwDX-zkRF9S5ieF9-hM,https://www.google.com/maps/place/?q=place_id:ChIJPxipcwDX-zkRF9S5ieF9-hM,part_321,2026-09-20 20:17:36,4860
Broadcast Media And Entertainment - Advertising & Media Company in Kandivali West,Media and Event,Media company,"Media company, Advertising agency, Entertainment agency, Service establishment",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 98206 42966,http://broadcastmediaandentertainment.in/,5.0,41.0,"Broadcast Media And Entertainment - Advertising & Media Company in Kandivali West, 713512, India",713512,19.209656499999998,72.82898159999999,ChIJxSNopBHVL04R7vNRM2fgqtY,https://www.google.com/maps/place/?q=place_id:ChIJxSNopBHVL04R7vNRM2fgqtY,part_321,2026-09-20 20:17:45,4861
Events Media,Media and Event,Event management company,Event management company,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 80962 66389,N/A,4.9,8.0,"15-142/1, Flat No. 205, Sahithi nest apartment, Kodandaramnagar, P & T Colony, Dilsukhnagar, Hyderabad, Telangana 500060","VV Nagar, P & T Colony, Dilsukhnagar",17.3583323,78.5278925,ChIJ44fEaLaZyzsRGqzxxuSoiOs,https://www.google.com/maps/place/?q=place_id:ChIJ44fEaLaZyzsRGqzxxuSoiOs,part_321,2026-09-20 20:17:45,4862
Vision- Media and Entertainment,Media and Event,Event management company,"Event management company, Event planner, Wedding planner, Wedding venue",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 90285 90285,N/A,4.8,37.0,"332, 1, Sahakarnagar No - 2, Jyoti Society, Pune, Maharashtra 411009","Sahakarnagar No - 2, Sahakar Nagar, Jyoti Society, Parvati Paytha",18.4784297,73.8520832,ChIJIz1Y2KLBwjsRAQaNYv_cAkQ,https://www.google.com/maps/place/?q=place_id:ChIJIz1Y2KLBwjsRAQaNYv_cAkQ,part_321,2026-09-20 20:17:45,4863
