business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ankita Tea Stall,Cafe and Coffee Shop,Coffee shop,Coffee shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 77191 92936,N/A,4.3,,"QF8X+P63, Chandrakona-Garhbeta Rd, Nilganja, Sholagere, West Bengal 721201",721201,22.766757899999998,87.49811009999999,ChIJ2QcbMAD59zkREo6nE5jkIf4,https://www.google.com/maps/place/?q=place_id:ChIJ2QcbMAD59zkREo6nE5jkIf4,part_322,2026-09-20 20:17:19,899
Royal Cafe,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98000 97428,N/A,5.0,,"Royal Cafe, Gach Sitala, Chandrakona, West Bengal 721201",Gach Sitala,22.730423,87.512762,ChIJOW2gctX59zkRy4w_HDGnyZU,https://www.google.com/maps/place/?q=place_id:ChIJOW2gctX59zkRy4w_HDGnyZU,part_322,2026-09-20 20:17:19,900
Brew Heaven,Cafe and Coffee Shop,Coffee shop,Coffee shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,https://brewheaven3.wordpress.com/,5.0,,"Chandrakona Road, Methiadahar, West Bengal 721253",721201,22.7378298,87.3860193,ChIJVVnYJdr79zkRUBPGvhGO1Bo,https://www.google.com/maps/place/?q=place_id:ChIJVVnYJdr79zkRUBPGvhGO1Bo,part_322,2026-09-20 20:17:19,901
Maa Manosa Restaurant,Cafe and Coffee Shop,Coffee shop,Coffee shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89279 56212,N/A,,,"Gholsai Super Market, Gholsai, Chandrakona, Gholshahi, West Bengal 721201",Gholsai,22.6094972,87.6210753,ChIJW07Tf8AH-DkR9R_UcAeVTnk,https://www.google.com/maps/place/?q=place_id:ChIJW07Tf8AH-DkR9R_UcAeVTnk,part_322,2026-09-20 20:17:19,902
Ai cafe & Bistro,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe, Fast food restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 70011 37231,N/A,5.0,,"Khirpai, West Bengal 721232",721201,22.716824199999998,87.60789899999999,ChIJq9_Qq9oD-DkR5l7gG81e_fM,https://www.google.com/maps/place/?q=place_id:ChIJq9_Qq9oD-DkR5l7gG81e_fM,part_322,2026-09-20 20:17:19,903
লালুর চা দোকান,Cafe and Coffee Shop,Coffee shop,Coffee shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,,,"PGH5+R7Q, Gach Sitala, Chandrakona, West Bengal 721201",Gach Sitala,22.729582999999998,87.5082316,ChIJAdSrGwD59zkRHYXWGAMdPnM,https://www.google.com/maps/place/?q=place_id:ChIJAdSrGwD59zkRHYXWGAMdPnM,part_322,2026-09-20 20:17:19,904
কৃষ্ণেন্দু পান স্টল,Cafe and Coffee Shop,Coffee shop,Coffee shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,5.0,,"MCPW+JR, Khari Gerya, West Bengal 721260",721201,22.6865983,87.4471087,ChIJ5-jjoVn99zkRncY6i64iXCM,https://www.google.com/maps/place/?q=place_id:ChIJ5-jjoVn99zkRncY6i64iXCM,part_322,2026-09-20 20:17:19,905
PANJA COFFEE HOUSE,Cafe and Coffee Shop,Coffee shop,Coffee shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89727 69668,N/A,5.0,,"Bhagabantapur, West Bengal 721201",721201,22.8066462,87.5022525,ChIJ75P9Kbb39zkRD1bMhECxKDI,https://www.google.com/maps/place/?q=place_id:ChIJ75P9Kbb39zkRD1bMhECxKDI,part_322,2026-09-20 20:17:19,906
Famous Gupta Tea Center,Cafe and Coffee Shop,Coffee shop,Coffee shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.0,,"PHH5+9F2, Ghatal Rd, Jagannathpur, West Bengal 721201",721201,22.728360499999997,87.5587068,ChIJ3_cbVQAD-DkRz0rskHv0f5w,https://www.google.com/maps/place/?q=place_id:ChIJ3_cbVQAD-DkRz0rskHv0f5w,part_322,2026-09-20 20:17:19,907
Sohana Store,Cafe and Coffee Shop,Coffee shop,Coffee shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 6295 939 547,N/A,3.3,,"Metyadahar,Bhangi Para Guiadaha Rd, near Madina Jame Masjid, West Bengal 721201",721201,22.7191889,87.3838555,ChIJF2whiXn79zkR5pPc3YT7Fsk,https://www.google.com/maps/place/?q=place_id:ChIJF2whiXn79zkR5pPc3YT7Fsk,part_322,2026-09-20 20:17:19,908
