business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Maruti Suzuki True Value (Bhandari Automobiles, Gopsai, Chandrakona Town)",Car Showroom and Used Car Dealer,Car dealer,Car dealer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 74780 05720,http://www.truevalueofnearcentralbusstand.com/,4.3,33.0,"Ghatal Rd, Gach Sitala, Chandrakona, West Bengal 721201",Gach Sitala,22.7292508,87.50707369999999,ChIJ3aR9_Fj59zkRKQz46idpgC0,https://www.google.com/maps/place/?q=place_id:ChIJ3aR9_Fj59zkRKQz46idpgC0,part_322,2026-09-20 20:17:29,2667
"Spinny Car Hub | City Center 2 Mall, Kolkata",Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Audi dealer, BMW dealer, Car finance and loan company, Honda dealer, Hyundai dealer, Suzuki dealer, Toyota dealer",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 72772 77275,https://www.spinny.com/used-cars-in-kolkata/s/,4.8,2772.0,"SHOPPERS STOP, Shoppers stop building, 3rd floor Beside City Centre 2 Mall, Rajarhat, Major Arterial Road, North Extension, Action Area IID, Rajarhat, Kolkata, West Bengal 700161","North Extension, Action Area IID, Rajarhat",22.6221695,88.44923759999999,ChIJ599Pjn2f-DkRgEoiRWpM1mk,https://www.google.com/maps/place/?q=place_id:ChIJ599Pjn2f-DkRgEoiRWpM1mk,part_322,2026-09-20 20:17:29,2668
"Maruti Suzuki ARENA (Bhandari Automobiles, Midnapore, Sat Bankura)",Car Showroom and Used Car Dealer,Car dealer,"Car dealer, Electric motor vehicle dealer",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 80 3726 7111,http://www.arenaofsatbankura.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.4,209.0,"Hotel Chandra Prayag, near, Durlavganj, Sat Bankura, Chandrakona Road, West Bengal 721253",Durlavganj,22.727051,87.3385986,ChIJ5zVKsVnk9zkR21qaSus0kEs,https://www.google.com/maps/place/?q=place_id:ChIJ5zVKsVnk9zkR21qaSus0kEs,part_322,2026-09-20 20:17:29,2669
DIAMOND USED CAR SALES & PURCHASE,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 80165 74749,N/A,4.2,5.0,"Shiv Mandir Chwak, near Binpur, Binpur, Jhargram, West Bengal 721514",721201,22.584398699999998,86.9172255,ChIJNQreOvZ_HToRGD4roLucz2M,https://www.google.com/maps/place/?q=place_id:ChIJNQreOvZ_HToRGD4roLucz2M,part_322,2026-09-20 20:17:29,2670
Tata Motors Commercial Vehicle Dealer - Parraj Motors Pvt Ltd,Car Showroom and Used Car Dealer,Truck dealer,"Truck dealer, Truck parts supplier, Truck repair shop",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 74117 81374,https://commercial-vehicles.fleetverse.tatamotors.com/tata-motors-commercial-vehicle-dealer-parraj-motors-pvt-ltd-truck-dealers-ck-road-west-midnapore-189770/Home?utm_source=locator&utm_medium=googleplaces,5.0,1.0,"Near Nundy Petrol Pump, NH 60, Chandrakona Road, West Bengal 721253",Durlavganj,22.7299971,87.3299784,ChIJhcmAdIjl9zkRqqo7RWKdGhk,https://www.google.com/maps/place/?q=place_id:ChIJhcmAdIjl9zkRqqo7RWKdGhk,part_322,2026-09-20 20:17:29,2671
Used Car Dealers in Kolkata,Car Showroom and Used Car Dealer,Car dealer,Car dealer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 91632 25244,https://usedcardealersinkolkata.com/,5.0,18.0,"85, Park St, Esplanade, Mullick Bazar, Taltala, Kolkata, West Bengal 700016","Esplanade, Mullick Bazar, Taltala",22.550172999999997,88.3553428,ChIJrzJrbAB3AjoRLeuHTmqNZms,https://www.google.com/maps/place/?q=place_id:ChIJrzJrbAB3AjoRLeuHTmqNZms,part_322,2026-09-20 20:17:29,2672
CAR TOWN,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 97324 09870,N/A,4.1,18.0,"Dharma, Midnapore, Hosenabad, West Bengal 721101",Dharma,22.4166317,87.3401655,ChIJxZi8XnZbHToRUP5aFQQ7as0,https://www.google.com/maps/place/?q=place_id:ChIJxZi8XnZbHToRUP5aFQQ7as0,part_322,2026-09-20 20:17:29,2673
Finance Point,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99330 74452,N/A,4.8,294.0,"Kharagpur City Rd, opp. Exide Battery Show Room, Inda, Kharagpur, West Bengal 721305",Inda,22.3484956,87.334823,ChIJm4R6z_1EHToRXQOMh55IPoE,https://www.google.com/maps/place/?q=place_id:ChIJm4R6z_1EHToRXQOMh55IPoE,part_322,2026-09-20 20:17:29,2674
Car Galaxy,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99325 63691,https://www.facebook.com/cargalaxy.kolaghat,4.2,25.0,"Kola, Britannia Distributor Dey Enterprise, Kolaghat - Jashar Rd, Kolaghat, West Bengal 721134",721201,22.4482991,87.87082079999999,ChIJe-VO3miYAjoRjFE4z9x6m_k,https://www.google.com/maps/place/?q=place_id:ChIJe-VO3miYAjoRjFE4z9x6m_k,part_322,2026-09-20 20:17:29,2675
Chowringhee MOTOR,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 96470 00752,https://youtube.com/@Mechanicalbychoiceprovlogging,4.5,33.0,"NH6, Rupnarayanpur, Mabarak Chak, West Bengal 721305",721201,22.3712523,87.34555,ChIJ-Z1tlphFHToRqw4yy44SPqA,https://www.google.com/maps/place/?q=place_id:ChIJ-Z1tlphFHToRqw4yy44SPqA,part_322,2026-09-20 20:17:29,2676
SUMAN CARS - PRE-OWNED CAR DEALER IN NAIHATI,Car Showroom and Used Car Dealer,Car dealer,Car dealer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98362 34241,N/A,3.8,58.0,"70, Kailash Das Rd, near Gouripore, Chowmatha, Garifa, Naihati, West Bengal 743166","Chowmatha, Garifa, Naihati",22.8969198,88.4199988,ChIJZdN7VnaX-DkRMQ4Asm8BsLI,https://www.google.com/maps/place/?q=place_id:ChIJZdN7VnaX-DkRMQ4Asm8BsLI,part_322,2026-09-20 20:17:29,2677
ABR CAR CARE,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 74398 93788,N/A,4.7,27.0,"XC3F+2JP, Halisahar, Kanchrapara, West Bengal 743145",Halisahar,22.9529234,88.4240906,ChIJ7ycLy1KV-DkRGWZ-B1UAnxw,https://www.google.com/maps/place/?q=place_id:ChIJ7ycLy1KV-DkRGWZ-B1UAnxw,part_322,2026-09-20 20:17:29,2678
Car Dealcom Pvt Ltd (Used car dealer Kolkata),Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98318 95234,https://www.cardealcom.com/,4.5,271.0,"Gate No. 1, Salt Lake Stadium, opposite Bharat Petrol Pump, JB Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700098","JB Block, Sector 3, Bidhannagar",22.571431,88.4089989,ChIJhS45Kw91AjoRYjHmL5_HqEI,https://www.google.com/maps/place/?q=place_id:ChIJhS45Kw91AjoRYjHmL5_HqEI,part_322,2026-09-20 20:17:29,2679
Vaishno Motors,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto broker, Auto market, Car dealer, Car finance and loan company, Motor vehicle dealer, Second hand store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98311 56945,http://www.vaishnomotors.com/,4.4,794.0,"3/8, Rajkrishna Chatterjee Rd, near Dolna Day school, Bosepukur, Kasba, Kolkata, West Bengal 700042","Bosepukur, Kasba",22.5193287,88.3776592,ChIJuyPNf8t2AjoRhhS8_RG0r0A,https://www.google.com/maps/place/?q=place_id:ChIJuyPNf8t2AjoRhhS8_RG0r0A,part_322,2026-09-20 20:17:29,2680
