business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Gupta chat corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 70036 08784,N/A,4.8,,"Shyama Prasad Mukherjee Rd, Jatin Das Park, Patuapara, Bhowanipore, Kolkata, West Bengal 700026","Jatin Das Park, Patuapara, Bhowanipore",22.5245471,88.3463175,ChIJMW2CVqR3AjoRR8TtccglUz8,https://www.google.com/maps/place/?q=place_id:ChIJMW2CVqR3AjoRR8TtccglUz8,part_322,2026-09-20 20:17:18,635
The Chaat Centre,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89814 97069,N/A,4.6,,"G9P2+CWP, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.5360886,88.3523354,ChIJbze5QgB3AjoRmibnUZMhKKI,https://www.google.com/maps/place/?q=place_id:ChIJbze5QgB3AjoRmibnUZMhKKI,part_322,2026-09-20 20:17:18,636
CHAT HOUSE,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Event planner, Panipuri shop, Tea store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98360 00092,https://magicpin.in/Kolkata/Baguihati/Restaurant/Chat-House/store/38bbc2/?utm_source=gbp,4.2,,"VIP Rd, near big bazzar, Jyangra, Baguiati, Kolkata, West Bengal 700059","Jyangra, Baguiati",22.6162475,88.4317518,ChIJGZvaY3Sf-DkRfV3qS-UAUaw,https://www.google.com/maps/place/?q=place_id:ChIJGZvaY3Sf-DkRfV3qS-UAUaw,part_322,2026-09-20 20:17:18,637
CHAAT CORNER,Fast Food and Chaat Corner,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 62904 77109,N/A,5.0,11.0,"amontron more station road, Purbachal, Srijani Pally, Duttapukur, Nebadhai Duttapukur, West Bengal 743248","Purbachal, Srijani Pally, Duttapukur",22.766404599999998,88.5425309,ChIJuToA1_Oj-DkRn0VU4psZNa8,https://www.google.com/maps/place/?q=place_id:ChIJuToA1_Oj-DkRn0VU4psZNa8,part_322,2026-09-20 20:17:19,638
Chit Chaat Cafe - Best Street Food in Vadodara,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 94276 22240,N/A,5.0,36.0,"Chit Chaat Cafe, Makarpura Rd, opposite Spice Nation, nr. Bhavans School, Manjalpur, Vadodara, Gujarat 390010",Manjalpur,22.269820199999998,73.2033634,ChIJBfWuUOHFXzkRyF3t6nWc6xU,https://www.google.com/maps/place/?q=place_id:ChIJBfWuUOHFXzkRyF3t6nWc6xU,part_322,2026-09-20 20:17:19,639
Mama Chaat,Fast Food and Chaat Corner,Hawker stall,"Hawker stall, Restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 84205 57813,N/A,5.0,19.0,"16, Mayurbhanj Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023","Naptani Bagan, Mominpore",22.5301702,88.32417799999999,ChIJQ4OllM93AjoRutGt-k1mzYY,https://www.google.com/maps/place/?q=place_id:ChIJQ4OllM93AjoRutGt-k1mzYY,part_322,2026-09-20 20:17:19,640
New Fast Food Centre,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 81368 30277,N/A,4.1,,"C8C6+P9H, Midnapore Railway Station Rd, Midnapore, West Bengal 721101",721201,22.421821599999998,87.3109762,ChIJFwkiKFtbHToRGni0iDP6Kno,https://www.google.com/maps/place/?q=place_id:ChIJFwkiKFtbHToRGni0iDP6Kno,part_322,2026-09-20 20:17:20,641
Gupta Chat Corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89102 72297,N/A,4.5,,"22, Buroshibtalla Main Rd, Buroshibtalla, Behala, Kolkata, West Bengal 700038","Buroshibtalla, Behala",22.5018144,88.3309403,ChIJ5Q6gp6VwAjoRRQHqA0gnERg,https://www.google.com/maps/place/?q=place_id:ChIJ5Q6gp6VwAjoRRQHqA0gnERg,part_322,2026-09-20 20:17:20,642
New Gupta Chat Bhandar,Fast Food and Chaat Corner,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 62904 22974,N/A,4.0,,"11, opposite Salon, South Baksara, Shibpur, Howrah, West Bengal 711109","South Baksara, Shibpur",22.5655514,88.2861521,ChIJGWzHeQN5AjoRl1PbsZpeQQo,https://www.google.com/maps/place/?q=place_id:ChIJGWzHeQN5AjoRl1PbsZpeQQo,part_322,2026-09-20 20:17:20,643
"Daspur, West Bengal 721211",Fast Food and Chaat Corner,Postal code,Postal code,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",N/A,N/A,,,"Daspur, West Bengal",721211,22.5798959,87.7172616,ChIJC59pyd2nAjoRh5o3Prq1P7Y,https://www.google.com/maps/place/?q=place_id:ChIJC59pyd2nAjoRh5o3Prq1P7Y,part_322,2026-09-20 20:18:01,7022
ACP FOOD PLAZA,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Cafe, Food court",721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 76798 12928,N/A,4.6,,"Keranichoti, Midnapore, West Bengal 721102",Keranichoti,22.4612542,87.32459639999999,ChIJt-V8XABbHToRnOiRtrGx40s,https://www.google.com/maps/place/?q=place_id:ChIJt-V8XABbHToRnOiRtrGx40s,part_322,2026-09-20 20:18:02,7023
Bishnur Papdi Chaat,Fast Food and Chaat Corner,Food court,Food court,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",N/A,https://jsdl.in/RSL-RYX1771422270,5.0,,"New Land, Batanagar, Maheshtala, West Bengal 700140","New Land, Batanagar",22.5060348,88.22496319999999,ChIJ9d8wIQB9AjoRviRELLxXd4I,https://www.google.com/maps/place/?q=place_id:ChIJ9d8wIQB9AjoRviRELLxXd4I,part_322,2026-09-20 20:18:02,7024
Variety Momo,Fast Food and Chaat Corner,Restaurant,Restaurant,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 78274 23777,N/A,4.8,,"Mecheda Station Rd, Mecheda, West Bengal 721137",721211,22.4127422,87.8615763,ChIJrbMGSumXAjoRQuPvAqBRj6s,https://www.google.com/maps/place/?q=place_id:ChIJrbMGSumXAjoRQuPvAqBRj6s,part_322,2026-09-20 20:18:02,7025
