business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Muthoot Money Gold Loan,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Auto auction, Business development service, Car finance and loan company, Financial consultant, Financial institution",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 1800 120 2838,https://branches.muthootfinance.com/gold-loan-agency-in-gosai-bazar-chandrakona-11748483/home,4.9,95.0,"First Floor, No. 7, Ghatal Rd, near R.K. Honda, Gosai Bazar, Gopinathpur, Chandrakona, West Bengal 721201","Gosai Bazar, Gopinathpur",22.7302386,87.522167,ChIJlRpeRtD59zkRbQ7tI0aFBl4,https://www.google.com/maps/place/?q=place_id:ChIJlRpeRtD59zkRbQ7tI0aFBl4,part_322,2026-09-20 20:17:46,5509
Muthoot Finance Gold Loan,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Agricultural Loan Agency, Business development service, Car finance and loan company, Currency exchange service, Financial institution, Insurance agency, Insurance company, Money transfer service, Mortgage lender",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 1800 120 2838,https://branches.muthootfinance.com/gold-loan-agency-in-chandrakona-road-sarbera-11480008/home,5.0,916.0,"First Floor, National Highway, near Hotel Plaza, Dwari Geria, Chandrakona Road, West Bengal 721253",721201,22.737088099999998,87.33956049999999,ChIJE1VVVVHk9zkR9cqVIZ3M_Iw,https://www.google.com/maps/place/?q=place_id:ChIJE1VVVVHk9zkR9cqVIZ3M_Iw,part_322,2026-09-20 20:17:46,5510
F. Pukhraj Munot Pawn Brokers & Jewellers,Pawn Broker and Gold Loan,Pawn shop,Pawn shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 90091 75001,N/A,5.0,366.0,"7-2-831, Takara Basthi, Pot Market, Monda Market, Shivaji Nagar, Secunderabad, Telangana 500003","Takara Basthi, Pot Market, Monda Market, Shivaji Nagar",17.4346523,78.4952586,ChIJGdSjRbSbyzsR8L9uxLXnP3Q,https://www.google.com/maps/place/?q=place_id:ChIJGdSjRbSbyzsR8L9uxLXnP3Q,part_322,2026-09-20 20:17:46,5511
Manappuram Finance Limited - Gold Loan,Pawn Broker and Gold Loan,Financial institution,"Financial institution, Business development service, Car finance and loan company, Currency exchange service, Finance broker, Loan agency, Money transfer service, Mortgage broker, Pawn shop",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 80 4892 5711,https://branches.manappuram.com/gold-loan-in-naipukur-north-24-parganas-west-bengal,5.0,6.0,"Atmananda Bhawan, Rajarhat Naipukur Rd, Naipukur, Kolkata, West Bengal 700135",Naipukur,22.629648,88.4859444,ChIJ7UFwIfGh-DkRca6VAIEo6uo,https://www.google.com/maps/place/?q=place_id:ChIJ7UFwIfGh-DkRca6VAIEo6uo,part_322,2026-09-20 20:17:46,5512
Manappuram Finance Limited – Gold Loan,Pawn Broker and Gold Loan,Financial institution,"Financial institution, Business development service, Car finance and loan company, Currency exchange service, Finance broker, Loan agency, Money transfer service, Mortgage broker, Pawn shop",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 80 4492 7011,https://branches.manappuram.com/gold-loan-in-katwa-road-kalna-bardhaman-west-bengal,5.0,296.0,"T, 1st Floor, No. 564/6, Kalna - Katwa Rd, above ICICI BANK ATM, Rameswarpur P, Kalna, West Bengal 713409",721201,23.218003,88.3519433,ChIJl1wXA6zl-DkRKepPYJtkBQY,https://www.google.com/maps/place/?q=place_id:ChIJl1wXA6zl-DkRKepPYJtkBQY,part_322,2026-09-20 20:17:46,5513
Diamond Bankers Money Lenders & Pawn Brokers,Pawn Broker and Gold Loan,Jewelry store,Jewelry store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,5.0,,"42/C, Mothi Nagar, Vengal Rao Nagar, Madhura Nagar, Hyderabad, Telangana 500038","Mothi Nagar, Vengal Rao Nagar, Madhura Nagar",17.4412479,78.4389765,ChIJZ5VpC9uQyzsR0wkLd2yhk4o,https://www.google.com/maps/place/?q=place_id:ChIJZ5VpC9uQyzsR0wkLd2yhk4o,part_322,2026-09-20 20:17:47,5514
G.Dilipkumar Pawn Broker,Pawn Broker and Gold Loan,Pawn shop,Pawn shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,5.0,,"Amudham Colony, T. Nagar, Chennai, Tamil Nadu 600017","Amudham Colony, T. Nagar",13.033133699999999,80.24065089999999,ChIJY1D_Aq1nUjoRUnUoLcFT4vU,https://www.google.com/maps/place/?q=place_id:ChIJY1D_Aq1nUjoRUnUoLcFT4vU,part_322,2026-09-20 20:17:47,5515
Aadrika Gold Point - Madhyamgram,Pawn Broker and Gold Loan,Gold dealer,"Gold dealer, Goldsmith, Jeweler, Jewelry buyer",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98754 27776,http://aadrikagold.com/,5.0,,"chow matha, Karuna Bhaban, Rani Park 2nd Lane, Madhyamgram, Ward Number 5, Kolkata, West Bengal 700129","Vivekananda Nagar, Ward Number 5",22.692675899999998,88.4656871,ChIJSS3mmxif-DkRzO5QTilFviU,https://www.google.com/maps/place/?q=place_id:ChIJSS3mmxif-DkRzO5QTilFviU,part_322,2026-09-20 20:17:47,5516
Manappuram Finance Limited – Gold Loan,Pawn Broker and Gold Loan,Financial institution,"Financial institution, Business development service, Car finance and loan company, Currency exchange service, Finance broker, Loan agency, Money transfer service, Mortgage broker, Pawn shop",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 80 4492 7167,https://branches.manappuram.com/gold-loan-in-rabindra-nagar-east-midnapore-west-bengal,4.9,,"Ground Flr, No. 298/30, East Ave, near Dewaj Habib Hair And Beauty Dist, Rabindra Nagar East, Midnapore, West Bengal 721101",Rabindra Nagar East,22.4214593,87.3125142,ChIJ9WBwhNJbHToR2nrkR3xRZNc,https://www.google.com/maps/place/?q=place_id:ChIJ9WBwhNJbHToR2nrkR3xRZNc,part_322,2026-09-20 20:17:48,5517
IIFL Gold Loan,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Financial institution",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 22 7107 2289,https://locate-us.iifl.com/apply-for-gold-loan/iifl-gold-loan-paschim-medinipur-debra-nh-6-gl-loan-agency-debra-west-midnapore-289727/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"1st Floor, Beside Maa Gouri Misthana Bhandar, Debra, West Bengal 721126",721201,22.394041899999998,87.5600655,ChIJV2ivCDNTHToReffkZDfw1K8,https://www.google.com/maps/place/?q=place_id:ChIJV2ivCDNTHToReffkZDfw1K8,part_322,2026-09-20 20:17:48,5518
