business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
M.R. Dealer retion shop,Shops,Supplier,Supplier,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.3,3.0,"Lachhipur Bypass Rd, Lachhipur, West Bengal 721232",721201,22.6361393,87.640231,ChIJzx27uhcH-DkRHF5aBMS6Tb4,https://www.google.com/maps/place/?q=place_id:ChIJzx27uhcH-DkRHF5aBMS6Tb4,part_322,2026-09-20 20:17:57,6643
Laxmi Bishnu Traders,Shops,Hardware store,Hardware store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 70632 48161,N/A,4.8,8.0,"Durlovganj, Khandi Band, Chandrakona Road, West Bengal 721253",Durlovganj,22.734015,87.33694,ChIJOUQVsFbk9zkRjTwOv9qMYk4,https://www.google.com/maps/place/?q=place_id:ChIJOUQVsFbk9zkRjTwOv9qMYk4,part_322,2026-09-20 20:17:57,6644
RASASINDHU ENTERPRISE,Shops,Dairy store,Dairy store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 94344 08419,N/A,5.0,1.0,"Ghosh Bhawan, Ghatal - Panskura Rd, Daspur, Baikunthapur, West Bengal 721211",721211,22.5835358,87.7166972,ChIJNSY2qlCnAjoR8RiSm0Zn71U,https://www.google.com/maps/place/?q=place_id:ChIJNSY2qlCnAjoR8RiSm0Zn71U,part_322,2026-09-20 20:18:38,9992
Sau Bhusimal Bhandar,Shops,Indian grocery store,Indian grocery store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 91535 46731,N/A,3.7,3.0,"Beltala, Daspur, Kalmijor, West Bengal 721211",Beltala,22.5692092,87.7237722,ChIJA6MQADynAjoRujY28P88OrM,https://www.google.com/maps/place/?q=place_id:ChIJA6MQADynAjoRujY28P88OrM,part_322,2026-09-20 20:18:38,9993
বাবাই মুরগি দোকান,Shops,Chicken & Mutton Shop,Chicken & Mutton Shop,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 76792 81085,N/A,5.0,2.0,"Simultala, Daspur, West Bengal 721211",721211,22.571226799999998,87.7227365,ChIJAfmXaY6nAjoRQNTyBsCr8cQ,https://www.google.com/maps/place/?q=place_id:ChIJAfmXaY6nAjoRQNTyBsCr8cQ,part_322,2026-09-20 20:18:38,9994
KhanTea Store,Shops,Tea store,Tea store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 97335 37619,N/A,5.0,1.0,"122, Ghatal Panskura, West Bengal 721211",721211,22.5875672,87.71741399999999,ChIJ56yHi76nAjoRN0up-oIR9Ak,https://www.google.com/maps/place/?q=place_id:ChIJ56yHi76nAjoRN0up-oIR9Ak,part_322,2026-09-20 20:18:38,9995
ASIK ENTERPRISE,Shops,Pharmacy,Pharmacy,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 93325 68199,N/A,5.0,1.0,"Ghatal - Panskura Rd, Mamudpur, Baikunthapur, West Bengal 721211",721211,22.587104099999998,87.7166774,ChIJ_bGb3vWnAjoRLV1LUC26BeY,https://www.google.com/maps/place/?q=place_id:ChIJ_bGb3vWnAjoRLV1LUC26BeY,part_322,2026-09-20 20:18:38,9996
Matri sankho bhandar,Shops,Bangle Shop,"Bangle Shop, Market",721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 99325 41571,N/A,4.4,,"Beltola chak Krishna bati, Ghatal, West Bengal 721146",721211,22.5667202,87.7163381,ChIJM8JiIpynAjoR_ecGNlO-YHM,https://www.google.com/maps/place/?q=place_id:ChIJM8JiIpynAjoR_ecGNlO-YHM,part_322,2026-09-20 20:18:39,9997
Ac fridge Rrpairing shop,Shops,Electronics store,Electronics store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 81166 56564,N/A,5.0,1.0,"JP4C+MH8, Ghatal - Panskura Rd, Daspur, West Bengal 721211",721211,22.606659,87.7214624,ChIJf1zcMwAJ-DkR6Jbqh_Y_RIY,https://www.google.com/maps/place/?q=place_id:ChIJf1zcMwAJ-DkR6Jbqh_Y_RIY,part_322,2026-09-20 20:18:40,9998
Basu variety shop,Shops,Variety store,Variety store,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",+91 90641 84373,N/A,4.0,4.0,"Post office Chawk, Konnagar, Paresh Nagar, Ghatal, West Bengal 721212","Konnagar, Paresh Nagar",22.6659746,87.7362651,ChIJi61v-cMJ-DkRgg_PCpE0f4Q,https://www.google.com/maps/place/?q=place_id:ChIJi61v-cMJ-DkRgg_PCpE0f4Q,part_322,2026-09-20 20:19:20,11592
