business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Turf Edge - Multi Sports Arena & Training Academy,Sports Academy and Turf Ground,Sports complex,Sports complex,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 81003 98476,https://www.instagram.com/turfedge.kolkata?igsh=MjJ4MmE1MmUyMmFl,4.6,268.0,"1, Old Court House Corner, Tobacco House 6th Floor Rooftop, Radha Bazar, Barabazar, Lal Bazar, Central, B.B.D. Bagh, Dalhousie, Kolkata, West Bengal 700001","Central, B.B.D. Bagh",22.5728601,88.3513804,ChIJBdaYDaB3AjoRVWjuuWJ-OOA,https://www.google.com/maps/place/?q=place_id:ChIJBdaYDaB3AjoRVWjuuWJ-OOA,part_322,2026-09-20 20:17:42,4726
MAGURA FOOTBALL GROUND,Sports Academy and Turf Ground,Playground,Playground,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,3.9,136.0,"XFF3+CG4, Bakadaha - Baital - Jayrambati Rd, Adhakata, Makarandapur, West Bengal 722138",721201,22.9735194,87.453834,ChIJfT2UbFHz9zkR5FPe-Qg2_R8,https://www.google.com/maps/place/?q=place_id:ChIJfT2UbFHz9zkR5FPe-Qg2_R8,part_322,2026-09-20 20:17:42,4727
singrapur high school's play ground,Sports Academy and Turf Ground,Playground,Playground,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.4,18.0,"VM33+PPJ, Sinrapur, West Bengal 712614",721201,22.854340399999998,87.6542753,ChIJcZZ0FbIb-DkR0FBU5PeRZ7g,https://www.google.com/maps/place/?q=place_id:ChIJcZZ0FbIb-DkR0FBU5PeRZ7g,part_322,2026-09-20 20:17:42,4728
Tata Sports Complex,Sports Academy and Turf Ground,Stadium,Stadium,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.5,684.0,"IIT Kharapur, IIT Kharagpur, Kharagpur, West Bengal 721302",IIT Kharagpur,22.3156559,87.3087577,ChIJYZB5oQNEHToRAYE1YAKSGK8,https://www.google.com/maps/place/?q=place_id:ChIJYZB5oQNEHToRAYE1YAKSGK8,part_322,2026-09-20 20:17:42,4729
Krishnapur Football Ground,Sports Academy and Turf Ground,Soccer field,Soccer field,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.0,46.0,"RGG4+2F8, Aastha nagar, Krishnapur, West Bengal 721242",Aastha nagar,22.8257773,87.5309308,ChIJn0W8Str39zkRk30fDDf7dr4,https://www.google.com/maps/place/?q=place_id:ChIJn0W8Str39zkRk30fDDf7dr4,part_322,2026-09-20 20:17:42,4730
Malda Turf cricket and football,Sports Academy and Turf Ground,Playground,Playground,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89186 95356,http://www.maldaturf.in/,4.9,,"Turf 01 Noonbahi, Malda, Uttar Ramchandrapur, West Bengal 732103",721201,24.999086199999997,88.1090169,ChIJ0QuD9rP9-jkReHEuU4m0ZcE,https://www.google.com/maps/place/?q=place_id:ChIJ0QuD9rP9-jkReHEuU4m0ZcE,part_322,2026-09-20 20:17:43,4731
Sportsfield Turf Academy,Sports Academy and Turf Ground,Cricket ground,"Cricket ground, Sports school",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99200 86045,https://hudle.in/venues/the-sportsfield-turf-academy-bandra-west/458578,4.7,,"Bmc ground, Chand Terraces, St Andrews Rd, behind Chand Terraces, bldng, Bandra West, Mumbai, Maharashtra 400050","bldng, Bandra West",19.0560916,72.82640119999999,ChIJYbtEI9nJ5zsRduKp6h9DC7g,https://www.google.com/maps/place/?q=place_id:ChIJYbtEI9nJ5zsRduKp6h9DC7g,part_322,2026-09-20 20:17:43,4732
MIDNAPUR SPORTS ACADEMY,Sports Academy and Turf Ground,Sports school,Sports school,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 3222 273 571,N/A,4.5,14.0,"Subhasnagar, Midnapur Sports Complex, Midnapore, West Bengal 721101",721201,22.427877199999998,87.3219343,ChIJ9eiFeD9bHToRdDonYkbPtp0,https://www.google.com/maps/place/?q=place_id:ChIJ9eiFeD9bHToRdDonYkbPtp0,part_322,2026-09-20 20:17:43,4733
Gobindanagar FOOTBALL GROUND,Sports Academy and Turf Ground,Playground,Playground,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.1,43.0,"FM2M+27W, Gobinda Nagar, West Bengal 721139",721201,22.4501162,87.6832151,ChIJEUihI5qvAjoR5aC_qFtieWc,https://www.google.com/maps/place/?q=place_id:ChIJEUihI5qvAjoR5aC_qFtieWc,part_322,2026-09-20 20:17:43,4734
Athletes Arena Turf & Sports Academy,Sports Academy and Turf Ground,Sports complex,Sports complex,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 93710 03838,N/A,4.6,121.0,"CVRM+F6V, Yewalewadi, Tilekar Nagar, Kondhwa Budruk, Pune, Maharashtra 411048","Yewalewadi, Tilekar Nagar, Kondhwa Budruk",18.439514,73.8895462,ChIJyU_4HADrwjsRbKe8yi0fKTY,https://www.google.com/maps/place/?q=place_id:ChIJyU_4HADrwjsRbKe8yi0fKTY,part_322,2026-09-20 20:17:43,4735
