business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dhadika Sabji Bazaar,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,3.7,35.0,"V9X6+8PG, Dhadika, West Bengal 721127",721201,22.8983031,87.3618164,ChIJcV7kL-jt9zkR3SO-wUI9hWY,https://www.google.com/maps/place/?q=place_id:ChIJcV7kL-jt9zkR3SO-wUI9hWY,part_322,2026-09-20 20:17:54,6565
Gazi Sabji Bhandar,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,,,"X84C+QRV, Piardoba Railway Station Rd, Peardoba, Mandi, Baramara, West Bengal 722149",Peardoba,22.956980299999998,87.3220582,ChIJKdc-PQDt9zkRZUxwMx5RuoA,https://www.google.com/maps/place/?q=place_id:ChIJKdc-PQDt9zkRZUxwMx5RuoA,part_322,2026-09-20 20:17:54,6566
Mugbasan Bazar,Wholesale Market / Mandi,Market,Market,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.1,138.0,"HFVH+QXC, Mugbosan, West Bengal 721150",721201,22.5944281,87.4799007,ChIJoc1EVvNVHToRnZ6WWp450oM,https://www.google.com/maps/place/?q=place_id:ChIJoc1EVvNVHToRnZ6WWp450oM,part_322,2026-09-20 20:17:55,6567
School Bazar Daily Market,Wholesale Market / Mandi,Market,Market,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.0,,"C86G+QF7, School Bazar, Midnapore, West Bengal 721101",School Bazar,22.411918399999998,87.32616949999999,ChIJ1UnxCzRbHToRCIPkBccr8G4,https://www.google.com/maps/place/?q=place_id:ChIJ1UnxCzRbHToRCIPkBccr8G4,part_322,2026-09-20 20:17:56,6568
Kotwali Bazar,Wholesale Market / Mandi,Market,Market,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.0,,"C88G+PR3, Choto Bazar Main Rd, Midnapore, West Bengal 721101",721201,22.4167639,87.32704609999999,ChIJTV112jBbHToRU0g4dkef7S8,https://www.google.com/maps/place/?q=place_id:ChIJTV112jBbHToRU0g4dkef7S8,part_322,2026-09-20 20:17:56,6569
Kuikota Market,Wholesale Market / Mandi,Market,Market,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",N/A,N/A,4.0,692.0,"Uttara Rd, Midnapore, West Bengal 721101",721211,22.4392283,87.3232208,ChIJR86LGRNbHToRJgKbTDwn5es,https://www.google.com/maps/place/?q=place_id:ChIJR86LGRNbHToRJgKbTDwn5es,part_322,2026-09-20 20:18:38,9963
Gate Bazar,Wholesale Market / Mandi,Market,Market,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",N/A,N/A,4.1,1736.0,"C895+G56, Daak Bunglow Rd, Bidhan Nagar East, Bidhannagar, Midnapore, West Bengal 721101","Bidhan Nagar East, Bidhannagar",22.4208553,87.3072875,ChIJlXMOMFpbHToRLky_W3hfn04,https://www.google.com/maps/place/?q=place_id:ChIJlXMOMFpbHToRLky_W3hfn04,part_322,2026-09-20 20:18:38,9964
Siddha Market,Wholesale Market / Mandi,Market,"Market, Bazar",721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",N/A,N/A,4.1,868.0,"GJ SH 6, Siddha, West Bengal 721151",721211,22.4226922,87.79035329999999,ChIJR7eH2U6jAjoRjzoKErs-6zY,https://www.google.com/maps/place/?q=place_id:ChIJR7eH2U6jAjoRjzoKErs-6zY,part_322,2026-09-20 20:18:38,9965
Kamardanga Market,Wholesale Market / Mandi,Market,Market,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",N/A,N/A,4.1,82.0,"PPJQ+947, Dhasachandpur, West Bengal 721212",721211,22.730904,87.7378004,ChIJuaSgbuIO-DkRzcxmzF99R8Y,https://www.google.com/maps/place/?q=place_id:ChIJuaSgbuIO-DkRzcxmzF99R8Y,part_322,2026-09-20 20:18:38,9966
Mansuka market,Wholesale Market / Mandi,Market,Market,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",N/A,N/A,3.7,72.0,"PP7M+JQQ, Dirghagram, West Bengal 721212",721211,22.7140821,87.734482,ChIJAytMVSYP-DkRr86tz2aY3ko,https://www.google.com/maps/place/?q=place_id:ChIJAytMVSYP-DkRr86tz2aY3ko,part_322,2026-09-20 20:18:38,9967
Gopiganj Marketplace,Wholesale Market / Mandi,Market,Market,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",N/A,N/A,3.9,184.0,"HR5R+GM5, Ferry Rasta, Uttarbarh, West Bengal 721148",721211,22.558752899999998,87.8417324,ChIJJ7DKMDOgAjoRY82eKUOJCUI,https://www.google.com/maps/place/?q=place_id:ChIJJ7DKMDOgAjoRY82eKUOJCUI,part_322,2026-09-20 20:18:38,9968
