business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
CMC ENTERPRISE,FMCG Distributor,FMCG Goods Wholesaler,"FMCG Goods Wholesaler, Beverage Store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 96093 80041,N/A,5.0,13.0,"NH 14, Garhbeta, Lapuria, West Bengal 721127",721201,22.8441233,87.3534478,ChIJT_KQUFjv9zkR3L2myN_N6LE,https://www.google.com/maps/place/?q=place_id:ChIJT_KQUFjv9zkR3L2myN_N6LE,part_322,2026-09-20 20:17:15,1
B AND R ENTERPRISES ( FMCG distributor),FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98040 28320,N/A,4.5,2.0,"Unnamed Road, Kolkata, Dogachhia, West Bengal 743165",721201,22.8823555,88.43616639999999,ChIJ1Sq_qB-X-DkRfkE1KQbpgUU,https://www.google.com/maps/place/?q=place_id:ChIJ1Sq_qB-X-DkRfkE1KQbpgUU,part_322,2026-09-20 20:17:15,2
P.C ENTERPRISE FMCG Distributor,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.9,12.0,"Goaltore - Hoomgarh Rd, Jharboni Road, Garhbeta, Ganakbandi, West Bengal 721121",Jharboni Road,22.849409599999998,87.310923,ChIJ9fKJyJbv9zkRK2pakkNT888,https://www.google.com/maps/place/?q=place_id:ChIJ9fKJyJbv9zkRK2pakkNT888,part_322,2026-09-20 20:17:15,3
Sami Agro Food Products Pvt Ltd,FMCG Distributor,FMCG Manufacturer,FMCG Manufacturer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 78725 93535,https://www.samiji.in/,4.9,,"35, Ganesh Chandra Ave, Chandni Chawk, Bowbazar, Kolkata, West Bengal 700012","Chandni Chawk, Bowbazar",22.567588399999998,88.35685869999999,ChIJ23rqkG13AjoRoZlA4owkQI0,https://www.google.com/maps/place/?q=place_id:ChIJ23rqkG13AjoRoZlA4owkQI0,part_322,2026-09-20 20:17:16,4
Munna gheewala,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,5.0,,"154, Utkalmoni Gopabandhu Sarani, Raja Katra, Bara Bazar, Jorasanko, Kolkata, West Bengal 700007","Raja Katra, Bara Bazar, Jorasanko",22.5820862,88.3530115,ChIJ66aoFax3AjoRhc5n4CLYsiI,https://www.google.com/maps/place/?q=place_id:ChIJ66aoFax3AjoRhc5n4CLYsiI,part_322,2026-09-20 20:17:16,5
Mohanta Distributors & Services,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,5.0,,"31 Ramkrishna Road Dum Dum cantonment, Rabindra Nagar, Balaka Natun Bazar, Subhash Nagar, North Dumdum, South Dumdum, West Bengal 700065","Rabindra Nagar, Balaka Natun Bazar, Subhash Nagar, North Dumdum",22.6388797,88.4068862,ChIJkUk2UgCf-DkRgXl32CGEiw4,https://www.google.com/maps/place/?q=place_id:ChIJkUk2UgCf-DkRgXl32CGEiw4,part_322,2026-09-20 20:17:16,6
Laxmi Narayan Telghani Mill,Flour Mill,Flour mill,Flour mill,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 62949 72310,N/A,,,"NH 116B, Khirpai, West Bengal 721232",721201,22.7128651,87.6120072,ChIJo_8LNwAD-DkR5RQy1WRBQhc,https://www.google.com/maps/place/?q=place_id:ChIJo_8LNwAD-DkR5RQy1WRBQhc,part_322,2026-09-20 20:17:15,7
Mostofa flour mill,Flour Mill,Flour mill,Flour mill,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,,,"VG4J+Q3X, Raykhan Indrajitpur, West Bengal 712122",721201,22.8569791,87.530239,ChIJZVzmggH39zkR6g1OWmDqqd0,https://www.google.com/maps/place/?q=place_id:ChIJZVzmggH39zkR6g1OWmDqqd0,part_322,2026-09-20 20:17:15,8
Chandrakona Rice Mill,Flour Mill,Rice mill,Rice mill,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 80932 13581,N/A,4.4,,"CK Road, Sat Bankura, West Bengal 721253",721201,22.717058899999998,87.3378092,ChIJoQVhIF7k9zkR-0Sx9GM2ncI,https://www.google.com/maps/place/?q=place_id:ChIJoQVhIF7k9zkR-0Sx9GM2ncI,part_322,2026-09-20 20:17:15,9
Excellence India Rice Mill Pvt Ltd,Flour Mill,Wholesaler,Wholesaler,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,http://excellencegrains.com/,,,"P8MR+JJ4, Dabcha, Chandrakona Road, Dwari Geria, West Bengal 721253",Dabcha,22.7340955,87.3418023,ChIJkTHvKADl9zkRznGm4jRNTPo,https://www.google.com/maps/place/?q=place_id:ChIJkTHvKADl9zkRznGm4jRNTPo,part_322,2026-09-20 20:17:15,10
