business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vista-R,Architects,Architecture firm,Architecture firm,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 94349 91206,https://vista-r.com/,5.0,,"opp. Road of Annapurna Hotel, beside NH60, Dharma, Midnapore, West Bengal 721101",Dharma,22.4243116,87.3378482,ChIJJSkdkstbHToRBVwhcdAoU-w,https://www.google.com/maps/place/?q=place_id:ChIJJSkdkstbHToRBVwhcdAoU-w,part_323,2026-09-20 20:17:31,2965
Maity & Architects,Architects,Architectural designer,"Architectural designer, Interior architect office",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 89721 77491,N/A,5.0,,"vill-masagram,post-duria, p.s, sabang, Dasagram, West Bengal 721467",p.s,22.090204,87.5034756,ChIJx1QeNvgzHToRUsqH9y1td8M,https://www.google.com/maps/place/?q=place_id:ChIJx1QeNvgzHToRUsqH9y1td8M,part_323,2026-09-20 20:17:31,2966
Macon India,Architects,Architecture firm,Architecture firm,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,N/A,,,"Macon Residency, R.B, Rishi Bankim Sarani, Manoharchak, Jagannathpur, Contai, West Bengal 721401","Manoharchak, Jagannathpur",21.772884899999998,87.75519349999999,ChIJF2EnT-8nAzoRyQVhqzJwtQI,https://www.google.com/maps/place/?q=place_id:ChIJF2EnT-8nAzoRyQVhqzJwtQI,part_323,2026-09-20 20:17:31,2967
Pegasus Design Solutions,Architects,Architect,"Architect, Architectural designer, Architectural and engineering model maker, Architecture firm, Building designer, Interior architect office, Interior construction contractor, Interior Decorator, Interior designer, Landscape designer",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 94038 91410,https://pegasusorg.com/,4.9,,"62 D.D.PARK, MENTORDESK ACADEMY, Kolkata, West Bengal 700055",Dum Dum Park,22.6104299,88.416915,ChIJSyaC7Sx1AjoRBRoe7677OX0,https://www.google.com/maps/place/?q=place_id:ChIJSyaC7Sx1AjoRBRoe7677OX0,part_323,2026-09-20 20:17:31,2968
Buildco construction & architecture,Architects,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 81012 21448,N/A,5.0,,"Srirupa Rd, Damodar Pur, Kanthi, Contai, West Bengal 721401","Damodar Pur, Kanthi",21.778141299999998,87.7438888,ChIJh63gKPcnAzoRAnKpu2mHtO4,https://www.google.com/maps/place/?q=place_id:ChIJh63gKPcnAzoRAnKpu2mHtO4,part_323,2026-09-20 20:17:31,2969
Agarwal And Agarwal Architect's Office,Architects,Architectural designer,Architectural designer,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 98303 76375,http://www.agrawalarchitects.in/,4.5,,"2/5, Sebak Badiya St, near Panditya Road Extension, Dover Terrace, Ballygunge, Kolkata, West Bengal 700029","Dover Terrace, Ballygunge",22.524207,88.3564586,ChIJx-Jv7y53AjoRLpyysEry5_A,https://www.google.com/maps/place/?q=place_id:ChIJx-Jv7y53AjoRLpyysEry5_A,part_323,2026-09-20 20:17:31,2970
ARCWELL ARCHITECTURE,Architects,Architecture firm,Architecture firm,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 88025 44022,https://arcwell.in/,5.0,,"1st Floor, Renu Bhaban, Gopalpur I, Bablatala, Newtown, Kolkata, West Bengal 700136","Gopalpur I, Bablatala, Newtown",22.6373593,88.46519529999999,ChIJ1diNVPmf-DkR9ZRwmAoapp4,https://www.google.com/maps/place/?q=place_id:ChIJ1diNVPmf-DkR9ZRwmAoapp4,part_323,2026-09-20 20:17:31,2971
Sukanya & Associates,Architects,Architect,Architect,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 84203 56008,http://sukanya-associates.com/,4.5,,"DP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091","DP Block, Sector V, Bidhannagar",22.5744141,88.43536019999999,ChIJbUGkU-Z1AjoRX2ICpukSKVc,https://www.google.com/maps/place/?q=place_id:ChIJbUGkU-Z1AjoRX2ICpukSKVc,part_323,2026-09-20 20:17:31,2972
PRAKALPA PLANNING SOLUTIONS PVT LTD,Architects,Architecture firm,"Architecture firm, Interior architect office",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 33 2227 5933,https://prakalpaarchitects.com/,4.4,,"P31, Nani Gopal Roy Chowdhury Ave, Entally, Kolkata, West Bengal 700014",Entally,22.5583363,88.3728253,ChIJsfJ2Aep3AjoRRPvIod7F5RA,https://www.google.com/maps/place/?q=place_id:ChIJsfJ2Aep3AjoRRPvIod7F5RA,part_323,2026-09-20 20:17:31,2973
HouseDesigns99,Architects,Interior designer,Interior designer,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 91470 02832,https://www.housedesigns99.com/,5.0,,"3rd Floor, Pinnacle View, 3D, Noapara, Newtown, Kolkata, West Bengal 700157","Noapara, Newtown",22.6225006,88.44690299999999,ChIJEWo_hgKf-DkRRXnkmoQ37LI,https://www.google.com/maps/place/?q=place_id:ChIJEWo_hgKf-DkRRXnkmoQ37LI,part_323,2026-09-20 20:17:31,2974
