business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dr. Somesh Mishra,Doctors,Housing society,Housing society,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 96357 81010,N/A,5.0,1.0,"VQ44+FR5, Marishda Bahiri Rd, Marishda, West Bengal 721444",721449,21.8561439,87.7571097,ChIJAY50VafZAjoRSyexGynYpHc,https://www.google.com/maps/place/?q=place_id:ChIJAY50VafZAjoRSyexGynYpHc,part_323,2026-09-20 20:17:21,1613
DR.KABIRAJ BALAI MANNA CHEMBUR,Doctors,Doctor,Doctor,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,N/A,5.0,1.0,"RMHQ+FW2, Mashagan, West Bengal 721449",721449,21.8287105,87.68984569999999,ChIJxX9_TAApAzoRxe-BDG9nnCc,https://www.google.com/maps/place/?q=place_id:ChIJxX9_TAApAzoRxe-BDG9nnCc,part_323,2026-09-20 20:17:21,1614
Dr Rakesh Mondal,Doctors,Doctor,Doctor,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 81167 25695,N/A,5.0,1.0,"QPPX+7H3, NH 116B, Kanthi, Contai, West Bengal 721401",Kanthi,21.785647299999997,87.74891339999999,ChIJ0S9_GQAnAzoRm5CU6KPtZOQ,https://www.google.com/maps/place/?q=place_id:ChIJ0S9_GQAnAzoRm5CU6KPtZOQ,part_323,2026-09-20 20:17:21,1615
Dr Suvajit Maity,Doctors,Doctor,Doctor,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 97494 00024,N/A,,,"VP4X+95R, Marishda, West Bengal 721444",721449,21.8559779,87.7478842,ChIJE19fNpDYAjoR7gNkJzf7Qtw,https://www.google.com/maps/place/?q=place_id:ChIJE19fNpDYAjoR7gNkJzf7Qtw,part_323,2026-09-20 20:17:21,1616
Dr. Debabrata Das,Doctors,Apartment building,Apartment building,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,N/A,5.0,1.0,"RPC2+MRW, Rani Chak, Kanrgan, West Bengal 721449",721449,21.8217397,87.70208679999999,ChIJn2FX3YInAzoRywAmOuw-_7M,https://www.google.com/maps/place/?q=place_id:ChIJn2FX3YInAzoRywAmOuw-_7M,part_323,2026-09-20 20:17:21,1617
Dr Aravinda Nayak Chamber,Doctors,Doctor,Doctor,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 90515 35492,N/A,3.8,17.0,"QPHW+VXM, Thana Pukur Par, Contai, West Bengal 721401","Damodar Pur, Kanthi",21.779715,87.7474328,ChIJrZd00O8mAzoR_b5eY3P-ZJU,https://www.google.com/maps/place/?q=place_id:ChIJrZd00O8mAzoR_b5eY3P-ZJU,part_323,2026-09-20 20:17:21,1618
Dr Kousik Mondal,Doctors,Pediatrician,Pediatrician,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,http://drkousikmondal.com/,4.1,62.0,"QPMX+CRP, Kanthi, Contai, West Bengal 721401",Kanthi,21.783611,87.7495271,ChIJPdxafQAnAzoRytEguVeaviA,https://www.google.com/maps/place/?q=place_id:ChIJPdxafQAnAzoRytEguVeaviA,part_323,2026-09-20 20:17:21,1619
Doctor House,Doctors,Doctor,Doctor,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,N/A,5.0,1.0,"QQR3+CP, Contai, West Bengal 721401",721449,21.7910883,87.7544439,ChIJjbmEIAAnAzoR2tpxMEcODkg,https://www.google.com/maps/place/?q=place_id:ChIJjbmEIAAnAzoR2tpxMEcODkg,part_323,2026-09-20 20:17:21,1620
Dr Sudip Karan,Doctors,Doctor,Doctor,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,N/A,,,"VPC3+W27, Tatka Bar, West Bengal 721444",721449,21.8722942,87.7025438,ChIJpSfccADZAjoRVE0wkQZ43kU,https://www.google.com/maps/place/?q=place_id:ChIJpSfccADZAjoRVE0wkQZ43kU,part_323,2026-09-20 20:17:21,1621
JANAKALYAN SEBA SADAN,Doctors,Doctor,Doctor,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 97345 04912,N/A,5.0,1.0,"Kanthi, Serpur, Contai, West Bengal 721401",Kanthi,21.7867325,87.7470089,ChIJyRa03sInAzoR2TyUr6puGRU,https://www.google.com/maps/place/?q=place_id:ChIJyRa03sInAzoR2TyUr6puGRU,part_323,2026-09-20 20:17:21,1622
