business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Career Guideline,Educational Consultant,Educational consultant,Educational consultant,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 98831 66070,N/A,4.9,76.0,"kgp bypass, near Buy-Ola showroom, Kanthi, Contai, West Bengal 721401",Kanthi,21.781339499999998,87.7353996,ChIJCx_ewzgnAzoRaKEpSPdpOTE,https://www.google.com/maps/place/?q=place_id:ChIJCx_ewzgnAzoRaKEpSPdpOTE,part_323,2026-09-20 20:17:40,3951
Education Guider,Educational Consultant,Educational consultant,Educational consultant,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 93824 00959,http://www.educationguider.in/,5.0,60.0,"PK College Rd, Dhandighi, Contai, Banamali Pur, West Bengal 721404",Dhandighi,21.7758671,87.7355266,ChIJhQxCmpgnAzoRPXOuYa5T0mE,https://www.google.com/maps/place/?q=place_id:ChIJhQxCmpgnAzoRPXOuYa5T0mE,part_323,2026-09-20 20:17:40,3952
Admission Guider Consultancy Services,Educational Consultant,Educational consultant,"Educational consultant, Student career counseling office",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 89277 97513,N/A,4.8,49.0,"4th Floor, ICICI Bank Building, Digha Bypass, Dhandighi, Contai, West Bengal 721402",Dhandighi,21.7710035,87.7402169,ChIJjab0SjInAzoRbtZLPZBqT80,https://www.google.com/maps/place/?q=place_id:ChIJjab0SjInAzoRbtZLPZBqT80,part_323,2026-09-20 20:17:40,3953
LEARNING GLOW,Educational Consultant,Educational consultant,Educational consultant,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,N/A,,,"QPJQ+JF3, SH 5, Padmapukuria, Contai, West Bengal 721401",Padmapukuria,21.7815196,87.73867609999999,ChIJvTZK70cnAzoR9e_GPBd3ZwM,https://www.google.com/maps/place/?q=place_id:ChIJvTZK70cnAzoR9e_GPBd3ZwM,part_323,2026-09-20 20:17:40,3954
Assigna Solution,Educational Consultant,Educational consultant,Educational consultant,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 62940 24438,https://assignasolution.com/,5.0,2.0,"Majna Rd, Jalkhabar, Contai, Banamali Pur, West Bengal 721401",Jalkhabar,21.7749426,87.7327827,ChIJT8SmBWInAzoRFg66ACHBMNs,https://www.google.com/maps/place/?q=place_id:ChIJT8SmBWInAzoRFg66ACHBMNs,part_323,2026-09-20 20:17:40,3955
Dr. Baneswar Das' House,Educational Consultant,Educational consultant,Educational consultant,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,N/A,5.0,11.0,"Monoharchak, Contai, Dakshin Darua, West Bengal 721406",Monoharchak,21.7781749,87.75959809999999,ChIJGwgGusMmAzoRuO8K5heLxfg,https://www.google.com/maps/place/?q=place_id:ChIJGwgGusMmAzoRuO8K5heLxfg,part_323,2026-09-20 20:17:40,3956
Prochesta Educational & Infotech Service,Educational Consultant,Training center,"Training center, Accounting school, Coaching Center, Computer consultant, Computer support and services, Electronics Engineer",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 98740 26393,N/A,4.9,35.0,"524/520, 1st Floor, Hatabari, 11 No. Ward, Contai, West Bengal 721401",Puratan Bari,21.7794947,87.75001209999999,ChIJYUsqM-kmAzoRXOlBnkNfWLk,https://www.google.com/maps/place/?q=place_id:ChIJYUsqM-kmAzoRXOlBnkNfWLk,part_323,2026-09-20 20:17:40,3957
English Teacher Ranjit Sir,Educational Consultant,Educational consultant,Educational consultant,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 82504 52006,N/A,,,"Canel Parh, Kanthi, Contai, West Bengal 721401","Canel Parh, Kanthi",21.7791018,87.7417303,ChIJj8StGAUnAzoR0ADl8apLtEI,https://www.google.com/maps/place/?q=place_id:ChIJj8StGAUnAzoR0ADl8apLtEI,part_323,2026-09-20 20:17:40,3958
Goura Swarnabhoomi Educational Welfare Society,Educational Consultant,Educational consultant,Educational consultant,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 3225 279 831,https://gsews.in/,5.0,14.0,"1st Floor, of Shree Hari Building, Bus Stand, Sonamui, Ghatal, West Bengal 721146",721449,22.5129025,87.748605,ChIJ4QVUjYSnAjoR_fdOYMYsrtw,https://www.google.com/maps/place/?q=place_id:ChIJ4QVUjYSnAjoR_fdOYMYsrtw,part_323,2026-09-20 20:17:40,3959
Eduvedic Education,Educational Consultant,Educational consultant,Educational consultant,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 95317 40900,https://www.eduvedic.com/,5.0,75.0,"Railway Crossing, near Tantigeria, behind Mallick Pustak Bipani, Ashok Nagar, Midnapore, West Bengal 721101",Ashok Nagar,22.4300377,87.3094608,ChIJ3ZALpa5bHToR2ejiTdjsW2Y,https://www.google.com/maps/place/?q=place_id:ChIJ3ZALpa5bHToR2ejiTdjsW2Y,part_323,2026-09-20 20:17:40,3960
SMCS EDUCATION,Educational Consultant,Education center,Education center,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 92390 00171,N/A,,,"721448Egra, Kanthi, Egra, Contai, West Bengal 721401","721448Egra, Kanthi",21.7764812,87.7424419,ChIJH7hToR0nAzoR-yDZZ-1J6fo,https://www.google.com/maps/place/?q=place_id:ChIJH7hToR0nAzoR-yDZZ-1J6fo,part_323,2026-09-20 20:17:40,3961
Nios Mp & Hs admission centre,Educational Consultant,Educational consultant,Educational consultant,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,https://nios.ac.in/,4.7,12.0,"church road, Shekhpura, Midnapore, West Bengal 721101",Shekhpura,22.4236577,87.3118636,ChIJ08AQpwJbHToRCHnPE6U_8es,https://www.google.com/maps/place/?q=place_id:ChIJ08AQpwJbHToRCHnPE6U_8es,part_323,2026-09-20 20:17:40,3962
The Finding Future,Educational Consultant,Educational consultant,"Educational consultant, Student career counseling office",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 92420 52041,http://thefindingfuture.com/,4.6,30.0,"Bajkul, East Midnapore, West Bengal, 721655, NH 116B, Bajkul, West Bengal 721655",721449,22.026095599999998,87.82297299999999,ChIJvUOJL1LdAjoRRxdTz7xxoro,https://www.google.com/maps/place/?q=place_id:ChIJvUOJL1LdAjoRRxdTz7xxoro,part_323,2026-09-20 20:17:40,3963
National Academy of Information Technology,Educational Consultant,Cafe,"Cafe, Computer consultant, Computer store, Engineer, Training center, University",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 89272 31209,N/A,4.3,17.0,"Kanya Bidya Mandir, Contai - Nandakumar Rd, opposite Marishda, Marishda, West Bengal 721444",721449,21.856585799999998,87.75519609999999,ChIJF1pfLZjYAjoRe-KohL0ASTY,https://www.google.com/maps/place/?q=place_id:ChIJF1pfLZjYAjoRe-KohL0ASTY,part_323,2026-09-20 20:17:40,3964
"Ujjwal Kumar Adak (Shastri) - ISO Certified, Astrologer, Healer & Vastu Consultant in Contai",Educational Consultant,Astrologer,"Astrologer, Alternative medicine practitioner, Holistic medicine practitioner, Hypnotherapy service, Meditation Class, Numerologist, Reiki therapist, Vastu consultant",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 92396 26185,https://ujjwaladak.flexifunnels.com/kvjjh4uj,4.9,104.0,"Contai - Basantia - Benichak - Rasulpur Rd, Uttar Darua Darua, Contai, West Bengal 721401",Uttar Darua Darua,21.7896107,87.7594165,ChIJE3T4PtknAzoRd_8FF1sBXVU,https://www.google.com/maps/place/?q=place_id:ChIJE3T4PtknAzoRd_8FF1sBXVU,part_323,2026-09-20 20:17:40,3965
HELP ON ADMISSION,Educational Consultant,Educational consultant,"Educational consultant, Service establishment",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 97750 22017,https://www.helponadmission.com/,,,"HELP ON ADMISSION, 721449, India",721449,21.0680074,82.7525294,ChIJ0c5Nmwy9oqYRRI2xc5FF5vI,https://www.google.com/maps/place/?q=place_id:ChIJ0c5Nmwy9oqYRRI2xc5FF5vI,part_323,2026-09-20 20:17:40,3966
Nigam Siksha Parishad,Educational Consultant,Educational consultant,Educational consultant,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,N/A,,,"BL Memorial, Jalalkhanbar, Contai, West Bengal 721401",Dhandighi,21.7757003,87.73561409999999,ChIJ4TpHXN4nAzoRBe1NkjfMbTg,https://www.google.com/maps/place/?q=place_id:ChIJ4TpHXN4nAzoRBe1NkjfMbTg,part_323,2026-09-20 20:17:40,3967
EduAsk Educational Consultant Pvt. Ltd.,Educational Consultant,Educational consultant,Educational consultant,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 97349 88200,N/A,5.0,1.0,"2nd Floor, Apollo Diagnostics Building, near Spandan Hospital, Rabindra Nagar, Midnapore, West Bengal 721101",Rabindra Nagar,22.4242748,87.3200981,ChIJhxlkXk5bHToRtlUkeTMv3pk,https://www.google.com/maps/place/?q=place_id:ChIJhxlkXk5bHToRtlUkeTMv3pk,part_323,2026-09-20 20:17:40,3968
CollegeLink,Educational Consultant,Educational consultant,"Educational consultant, Consultant, Education center, Educational institution",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 86370 83424,http://www.collegelink.co.in/,4.6,66.0,"15/1, Rabindra Nagar, Midnapore, West Bengal 721101",Rabindra Nagar,22.4239051,87.318679,ChIJ9z2hMglbHToRCvDilJODsEw,https://www.google.com/maps/place/?q=place_id:ChIJ9z2hMglbHToRCvDilJODsEw,part_323,2026-09-20 20:17:41,3969
EduMentor Counselling Group,Educational Consultant,Student career counseling office,Student career counseling office,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 91237 66879,N/A,5.0,10.0,"Samsung CE Service Centre, Digha Bypass, Vinayak Colony, Contai, Janubasan, West Bengal 721404",Vinayak Colony,21.7691831,87.73791949999999,ChIJeQ1y08onAzoR60Mwfa7-7Jo,https://www.google.com/maps/place/?q=place_id:ChIJeQ1y08onAzoR60Mwfa7-7Jo,part_323,2026-09-20 20:17:41,3970
Learn Rabbit,Educational Consultant,Student career counseling office,"Student career counseling office, Career guidance service",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,https://www.instagram.com/learnrabbit_official?igsh=Yjk2eTBrcTAxcDVj&utm_source=qr,5.0,1.0,"Damodar Pur, Kanthi, Contai, West Bengal 721401","Damodar Pur, Kanthi",21.7790309,87.7473165,ChIJNYYcewAnAzoROT55vXAMwpw,https://www.google.com/maps/place/?q=place_id:ChIJNYYcewAnAzoROT55vXAMwpw,part_323,2026-09-20 20:17:41,3971
Sikhha(Education & Career consultancy),Educational Consultant,Educational consultant,Educational consultant,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,,,"central bus stand, Jagannathpur, Contai, West Bengal 721401",Jagannathpur,21.7780755,87.7518204,ChIJ4VXn0wQnAzoR4rKAEuhSltM,https://www.google.com/maps/place/?q=place_id:ChIJ4VXn0wQnAzoR4rKAEuhSltM,part_323,2026-09-20 20:18:25,7850
Mayukh Bhattacharjee,Educational Consultant,Educational consultant,Educational consultant,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,,,"QQH4+9FG, Monoharchak, Puratan Bari, Contai, West Bengal 721401","Monoharchak, Puratan Bari",21.7784642,87.75628859999999,ChIJ-7WzEwAnAzoR3JSt3b6MnK8,https://www.google.com/maps/place/?q=place_id:ChIJ-7WzEwAnAzoR3JSt3b6MnK8,part_323,2026-09-20 20:18:25,7851
Brigh Hope,Educational Consultant,Educational consultant,Educational consultant,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 97333 45248,N/A,,,"opposite of Manasamandir, Dighapul, Contai, West Bengal 721401",Dighapul,21.778075599999998,87.7518206,ChIJYUsqM-kmAzoRyRAO-MYLs-8,https://www.google.com/maps/place/?q=place_id:ChIJYUsqM-kmAzoRyRAO-MYLs-8,part_323,2026-09-20 20:18:25,7852
Admission Guide For Higher Education - Contai,Educational Consultant,Educational consultant,Educational consultant,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,https://admissionguide.co/,,,"EduMentor Counselling Group, Samsung CE Service Centre, Digha Rd, Dhandighi, Contai, Janubasan, West Bengal 721404",Dhandighi,21.769185999999998,87.73791949999999,ChIJn3fKBsQnAzoRg7FQybCktDk,https://www.google.com/maps/place/?q=place_id:ChIJn3fKBsQnAzoRg7FQybCktDk,part_323,2026-09-20 20:18:25,7853
