business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
জন্টাই মান্না পাড়া,Real Estate Agents,Real estate agency,Real estate agency,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,N/A,,,"Marishda, Haibatpur, West Bengal 721449",721449,21.829364599999998,87.7271123,ChIJyx80ZQDZAjoR48ntGb3t8a0,https://www.google.com/maps/place/?q=place_id:ChIJyx80ZQDZAjoR48ntGb3t8a0,part_323,2026-09-20 20:17:46,4907
Pmp Property,Real Estate Agents,Real estate agency,Real estate agency,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,N/A,,,"Sticker Hous, 116b Marishda, NH116B, Digha Rd, Jagudas Bar, West Bengal 721444",721449,21.859588799999997,87.7551386,ChIJAcFmVLDZAjoREH_lK9zaklk,https://www.google.com/maps/place/?q=place_id:ChIJAcFmVLDZAjoREH_lK9zaklk,part_323,2026-09-20 20:17:46,4908
TDR Property Group,Real Estate Agents,Real estate agent,Real estate agent,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 93300 68967,https://tdrproperty.com/,5.0,,"helipad main gate, New Digha, Digha, West Bengal 721428",New Digha,21.620488899999998,87.4974967,ChIJwxuvWtTNHDoRWNhZ8-CNd4E,https://www.google.com/maps/place/?q=place_id:ChIJwxuvWtTNHDoRWNhZ8-CNd4E,part_323,2026-09-20 20:17:47,4909
Pioneer Property Management Limited.,Real Estate Agents,Real estate consultant,"Real estate consultant, Commercial real estate agency, Industrial real estate agency, Property management company",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 33 4002 4002,https://www.pioneerproperty.in/,4.7,3920.0,"First Floor, 10A, Rawdon St, opposite State Election Commission, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017","Mullick Bazar, Park Street area",22.5451864,88.3581912,ChIJqUI50h53AjoREd331o1zk3I,https://www.google.com/maps/place/?q=place_id:ChIJqUI50h53AjoREd331o1zk3I,part_323,2026-09-20 20:17:48,4910
Pahari Residence,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,5.0,1.0,"QQP3+2F8, Puratan Bari, Contai, West Bengal 721401",Puratan Bari,21.7850804,87.75370339999999,ChIJg7oFRAAnAzoR1KrWzhM6BBY,https://www.google.com/maps/place/?q=place_id:ChIJg7oFRAAnAzoR1KrWzhM6BBY,part_323,2026-09-20 20:18:30,8313
MAHAMAYA ENTERPRISE,Real Estate Agents,Home builder,Home builder,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 83709 74041,N/A,4.1,7.0,"Contai - Basantia - Benichak - Rasulpur Rd, Purba Mukundapur, West Bengal 721442",721450,21.8009523,87.7965797,ChIJFVhJXQchAzoRi-346ymrMQw,https://www.google.com/maps/place/?q=place_id:ChIJFVhJXQchAzoRi-346ymrMQw,part_323,2026-09-20 20:18:30,8314
Subha Homes,Real Estate Agents,Housing complex,Housing complex,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,,,"QPRX+FQC, Kanthi, Contai, West Bengal 721401",Kanthi,21.7911911,87.7493898,ChIJtczyXgAnAzoRwfn3Bo6Lagc,https://www.google.com/maps/place/?q=place_id:ChIJtczyXgAnAzoRwfn3Bo6Lagc,part_323,2026-09-20 20:18:30,8315
Debasish homes,Real Estate Agents,Housing complex,Housing complex,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,,,"QRHM+FJ9, Gopalchak, West Bengal 721442",721450,21.7786552,87.8340995,ChIJmcyvewAhAzoRTytZR19H_g8,https://www.google.com/maps/place/?q=place_id:ChIJmcyvewAhAzoRTytZR19H_g8,part_323,2026-09-20 20:18:30,8316
krishnakali Nibhas,Real Estate Agents,Home builder,Home builder,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 96418 91901,N/A,3.9,11.0,"QQC2+99G, Contai Municipality Rd, Jagannathpur, Dakshin Rampur, West Bengal 721402",Jagannathpur,21.7709297,87.7509449,ChIJxd5guuwmAzoRupGz0-otcKE,https://www.google.com/maps/place/?q=place_id:ChIJxd5guuwmAzoRupGz0-otcKE,part_323,2026-09-20 20:18:30,8317
NEYAMAT MANJIL,Real Estate Agents,Home builder,Home builder,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,5.0,3.0,"RR55+6W, Mahammadpur, Chak Gobindaberia, West Bengal 721442",721450,21.8081046,87.8099147,ChIJc50bIzAhAzoRXMQAfQdbeMs,https://www.google.com/maps/place/?q=place_id:ChIJc50bIzAhAzoRXMQAfQdbeMs,part_323,2026-09-20 20:18:30,8318
