business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dream Gift Centre,Gifting,Gift shop,Gift shop,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 94764 99963,N/A,4.9,,"Gobindanagar Central Bus Stand Rd, Bankura, Ailakundi P, West Bengal 722102",722183,23.2407194,87.0346921,ChIJj1I2532v9zkRJMJxqqqCtLE,https://www.google.com/maps/place/?q=place_id:ChIJj1I2532v9zkRJMJxqqqCtLE,part_325,2026-09-20 20:17:39,3459
Gift Corner,Gifting,Gift shop,"Gift shop, Pen store, Sunglasses store, Watch store",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 82405 30628,N/A,4.8,,"Subhas Rd, Bara Bazar, Bankura, West Bengal 722101",Bara Bazar,23.2342184,87.0697584,ChIJR58uCFml9zkRc5d3tvH_R_8,https://www.google.com/maps/place/?q=place_id:ChIJR58uCFml9zkRc5d3tvH_R_8,part_325,2026-09-20 20:17:39,3460
Archies Gift Store,Gifting,Gift shop,Gift shop,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,N/A,4.2,,"62WR+G66, Katjuridanga, Bankura, West Bengal 722102",Katjuridanga,23.246286299999998,87.04052709999999,ChIJR0pHNziv9zkRFz6URiqyZ_c,https://www.google.com/maps/place/?q=place_id:ChIJR0pHNziv9zkRFz6URiqyZ_c,part_325,2026-09-20 20:17:39,3461
S.N.GIFT POINT,Gifting,Gift shop,Gift shop,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 95473 06205,http://sngiftpoint.co.in/,5.0,,"College Rd, Barjora, West Bengal 722202",722183,23.4286058,87.27924139999999,ChIJ0xaeTwZ19zkR26mjcc2oMrI,https://www.google.com/maps/place/?q=place_id:ChIJ0xaeTwZ19zkR26mjcc2oMrI,part_325,2026-09-20 20:17:39,3462
NEW Saranjam,Gifting,Gift shop,Gift shop,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 94345 25021,N/A,4.5,,"Shibtala road,, Barjora, West Bengal 722202",722183,23.426097499999997,87.2834809,ChIJE2Y5Fz909zkRqLLJ6BtRi2c,https://www.google.com/maps/place/?q=place_id:ChIJE2Y5Fz909zkRqLLJ6BtRi2c,part_325,2026-09-20 20:17:39,3463
GARAI GIFT AND VARIETY STORE,Gifting,Gift basket store,Gift basket store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 90024 78142,N/A,5.0,,"new sabji market, Simlapal, West Bengal 722151",722183,22.9166642,87.0703958,ChIJcbcxjKHH9zkRC7VOBBGSV_A,https://www.google.com/maps/place/?q=place_id:ChIJcbcxjKHH9zkRC7VOBBGSV_A,part_325,2026-09-20 20:17:39,3464
Writer,Gifting,Gift shop,Gift shop,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 98513 66998,N/A,4.3,,"63P8+7XX, GP Singha Rd, Rathtola, Bankura, West Bengal 722101",Rathtola,23.235745299999998,87.06747849999999,ChIJuwZhNQCl9zkRv_fTY-IMNAs,https://www.google.com/maps/place/?q=place_id:ChIJuwZhNQCl9zkRv_fTY-IMNAs,part_325,2026-09-20 20:17:39,3465
Saifuddin fancy,Gifting,Gift shop,Gift shop,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,N/A,4.0,,"XCF3+6HC, Bishnupur, Chak Uparsol, West Bengal 722164",722183,22.9730529,87.4038886,ChIJQSZGewDz9zkR6km_iXvB9UY,https://www.google.com/maps/place/?q=place_id:ChIJQSZGewDz9zkR6km_iXvB9UY,part_325,2026-09-20 20:17:39,3466
Sinu Imitation And Gift house,Gifting,Gift shop,Gift shop,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 77976 12328,N/A,5.0,,"Madhabganj Road, Lego, 38G7 66P, Patrapara, Krishna Ganj, Bishnupur, West Bengal 722122",Krishna Ganj,23.0764462,87.3146967,ChIJu1Lfk4SR9zkRjPAy-Cck_OY,https://www.google.com/maps/place/?q=place_id:ChIJu1Lfk4SR9zkRjPAy-Cck_OY,part_325,2026-09-20 20:17:39,3467
"Dharmaraj Emetation ,Gift And Veriety Store",Gifting,Gift shop,Gift shop,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 97349 86207,N/A,4.5,,"Maitha Club Road, Maitha, West Bengal 722144",722183,23.1963922,87.2091028,ChIJ50AEQCej9zkRRKhnEVO-P9w,https://www.google.com/maps/place/?q=place_id:ChIJ50AEQCej9zkRRKhnEVO-P9w,part_325,2026-09-20 20:17:39,3468
