business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
TRENDS,Kids Wear Store,Children's clothing store,"Children's clothing store, Baby clothing store, Clothing store, Clothing Accessories Store, Formal Clothing Store, Western apparel store, Youth clothing store",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 93300 27184,https://trends.shop/page/trends-natun-chatti-mahalla-bankura,4.0,664.0,"Ward No. 21, Natun Chatti Mahalla Circle No. 8, Bankura, West Bengal 722101",Paddapukur Palli,23.2412332,87.0519302,ChIJb6lQJJ-v9zkRIO7Snt4Lv5M,https://www.google.com/maps/place/?q=place_id:ChIJb6lQJJ-v9zkRIO7Snt4Lv5M,part_325,2026-09-20 20:17:18,973
MAD KIDS ZONE,Kids Wear Store,Men's clothing store,Men's clothing store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 75850 32292,N/A,,,"13, Bankra, Durlavpur, West Bengal 722133",Bankra,23.4739801,87.1276371,ChIJMUcCv84P9zkR8l2VbfWlIDE,https://www.google.com/maps/place/?q=place_id:ChIJMUcCv84P9zkR8l2VbfWlIDE,part_325,2026-09-20 20:17:18,974
Hashtag Fashion,Kids Wear Store,Clothing store,Clothing store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 91260 62881,N/A,4.9,,"T P Market, Bastin Bazar, opp. Rex Tailor, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.6866026,86.970446,ChIJS6bXrXMf9zkRRFQOI4eEpE8,https://www.google.com/maps/place/?q=place_id:ChIJS6bXrXMf9zkRRFQOI4eEpE8,part_325,2026-09-20 20:17:19,975
Loli Poli Dresses (P) Ltd.,Kids Wear Store,Children's clothing store,Children's clothing store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 98314 70890,https://loli-poli-dresses.ueniweb.com/,4.2,,"T-173 by 4, Mitha Talab Lane, Barabagan Lane, Metiabruz, Kolkata, West Bengal 700044","Barabagan Lane, Metiabruz",22.548478499999998,88.2709873,ChIJM2FZsDt5AjoRF3tMM3xMgwQ,https://www.google.com/maps/place/?q=place_id:ChIJM2FZsDt5AjoRF3tMM3xMgwQ,part_325,2026-09-20 20:17:19,976
KOLKATA KIDS,Kids Wear Store,Children's clothing store,Children's clothing store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 90881 98888,https://www.facebook.com/Kolkatakidz?mibextid=ZbWKwL,4.9,,"Shop no. 563, Top Floor, Shreeram Arcade, 15A, Jawaharlal Nehru Rd, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700013","New Market Area, Dharmatala, Taltala",22.560740499999998,88.35171679999999,ChIJk4zBYAh3AjoRcrYxnLgTp-k,https://www.google.com/maps/place/?q=place_id:ChIJk4zBYAh3AjoRcrYxnLgTp-k,part_325,2026-09-20 20:17:19,977
M.R Fancy Kids Wear,Kids Wear Store,Children's clothing store,Children's clothing store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,N/A,4.0,,"X73, 18, Khaldhari Rd, Mullick Para, Metiabruz, Kolkata, West Bengal 700018","Mullick Para, Metiabruz",22.5412736,88.2611465,ChIJpzgoUDd5AjoRSEoVcBh-ao8,https://www.google.com/maps/place/?q=place_id:ChIJpzgoUDd5AjoRSEoVcBh-ao8,part_325,2026-09-20 20:17:19,978
Mobile House,Kids Wear Store,Store,Store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,N/A,4.1,,"F4CJ+88P, Saltora- Kustholia- Deuli- Mejia Rd, West Bengal 722133",722183,23.4708498,87.1308427,ChIJw7X86rwO9zkRU89heaJiR0Q,https://www.google.com/maps/place/?q=place_id:ChIJw7X86rwO9zkRU89heaJiR0Q,part_325,2026-09-20 20:17:19,979
Vineet Shopping City,Kids Wear Store,Clothing store,"Clothing store, Belt shop, Lingerie store, Men's clothing store, Shopping mall, Women's clothing store",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 94334 12146,N/A,4.0,,"AKHAN BAZAR, Prasad Das Sen Road, Chinsurah R S, Chinsurah, West Bengal 712101",Chinsurah R S,22.890588299999997,88.3999937,ChIJQfl1E1OR-DkRczyEg0MMogw,https://www.google.com/maps/place/?q=place_id:ChIJQfl1E1OR-DkRczyEg0MMogw,part_325,2026-09-20 20:17:19,980
Rakshit Textile,Kids Wear Store,Clothing store,Clothing store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,N/A,3.2,,"62WR+G4M, Katjuridanga, Bankura, West Bengal 722102",Katjuridanga,23.2463306,87.0403084,ChIJNxJMMTiv9zkRqavGQ3xfNms,https://www.google.com/maps/place/?q=place_id:ChIJNxJMMTiv9zkRqavGQ3xfNms,part_325,2026-09-20 20:17:19,981
CITI STYLE,Kids Wear Store,Clothing store,Clothing store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 81002 48721,N/A,4.8,,"V9QX+56M Rupali Arcade, Netaji Subhash Chandra Rd, near RUPALI CINEMA HALL, Chinsurah R S, Chinsurah, West Bengal 712101",Chinsurah R S,22.8878575,88.3979554,ChIJF5s2bAqR-DkR3kt450m1quU,https://www.google.com/maps/place/?q=place_id:ChIJF5s2bAqR-DkR3kt450m1quU,part_325,2026-09-20 20:17:19,982
Mother & Child,Kids Wear Store,Clothing store,Clothing store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,N/A,5.0,,"Unit 2, Rail Pukur Rd, Shastri Bagan, Desh Bandhu Nagar, Baguiati, Kolkata, West Bengal 700059","Shastri Bagan, Desh Bandhu Nagar, Baguiati",22.612970699999998,88.4275873,ChIJr1uLbyee-DkRoyr5w5FO1rs,https://www.google.com/maps/place/?q=place_id:ChIJr1uLbyee-DkRoyr5w5FO1rs,part_325,2026-09-20 20:17:20,983
Jaiswal & Sons,Kids Wear Store,Clothing store,Clothing store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 93304 61592,N/A,3.9,,"Chinsurah R S, Chinsurah, West Bengal 712101",Chinsurah R S,22.8890048,88.3975835,ChIJZwJRjpOT-DkRnmOIXz92r98,https://www.google.com/maps/place/?q=place_id:ChIJZwJRjpOT-DkRnmOIXz92r98,part_325,2026-09-20 20:17:20,984
Jockey Exclusive Store,Kids Wear Store,Children's clothing store,"Children's clothing store, Baby clothing store, Clothing store, Lingerie store, Men's clothing store, Sportswear store, Underwear store, Women's clothing store",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 93390 04342,https://stores.jockey.in/jockey-exclusive-store-mission-more-asansol-5999/home,4.8,,"Shop 9 & 10, Parabari Shopping Arcadia, Grand Trunk Rd, Railway Officers Colony, Mission More, Munshi Bazar, Asansol, West Bengal 713303","Railway Officers Colony, Mission More, Munshi Bazar",23.68273,86.98445,ChIJ9WPFQ-sZ9zkRePeSaUmh6wg,https://www.google.com/maps/place/?q=place_id:ChIJ9WPFQ-sZ9zkRePeSaUmh6wg,part_325,2026-09-20 20:17:20,985
Puspo Store,Kids Wear Store,Childrens Store,Childrens Store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 83480 33225,N/A,,,"Lalbazar, Bankura, West Bengal 722101",Lalbazar,23.229571699999997,87.07978229999999,ChIJNwSwjW-l9zkRuWEJIEXokNs,https://www.google.com/maps/place/?q=place_id:ChIJNwSwjW-l9zkRuWEJIEXokNs,part_325,2026-09-20 20:17:20,986
Chandan Shop,Kids Wear Store,Baby store,Baby store,722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",N/A,N/A,,,"Chandan Shop Kushmuri Rode, West Bengal 722205",722201,23.095622499999998,87.6411071,ChIJv2ypAxcl-DkRiYC-j7rC8sc,https://www.google.com/maps/place/?q=place_id:ChIJv2ypAxcl-DkRiYC-j7rC8sc,part_325,2026-09-20 20:18:02,5689
Nandi Chicken Center,Kids Wear Store,Baby store,Baby store,722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",+91 75018 76469,N/A,4.6,8.0,"Indas - Akui Rd, Akui, West Bengal 722201",722201,23.1094465,87.7284962,ChIJjUsHDVg7-DkRravViA-BHzg,https://www.google.com/maps/place/?q=place_id:ChIJjUsHDVg7-DkRravViA-BHzg,part_325,2026-09-20 20:18:02,5690
Bishnu Store,Kids Wear Store,Baby store,Baby store,722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",+91 73649 27098,N/A,,,"Mandra, West Bengal 722201",722201,23.1144586,87.7131053,ChIJsaCzExo7-DkRdSByr3nTId4,https://www.google.com/maps/place/?q=place_id:ChIJsaCzExo7-DkRdSByr3nTId4,part_325,2026-09-20 20:18:02,5691
Surjo Narayan Sankho Vandar,Kids Wear Store,Baby store,Baby store,722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",+91 89187 14305,N/A,,,"4PPJ+48V, Bowaichandi, West Bengal 713423",722201,23.1353565,87.73080569999999,ChIJq6qq6vs6-DkRerPndYr1Mss,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6vs6-DkRerPndYr1Mss,part_325,2026-09-20 20:18:02,5692
