business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"""নাগ মুদীখানা"" ""NAG GROCERIES """,Kirana Store,Indian grocery store,Indian grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 83460 40492,N/A,5.0,,"6H92+R5V, Kanta Ban, Po:Hat, Krishna Nagar, West Bengal 722206",722206,23.219727799999998,87.5506996,ChIJYzD_SQAp-DkRCKFssp12uZ8,https://www.google.com/maps/place/?q=place_id:ChIJYzD_SQAp-DkRCKFssp12uZ8,part_325,2026-09-20 20:21:30,16619
Ashoke's grocery,Kirana Store,Indian grocery store,Indian grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",N/A,N/A,3.0,,"Chakkabir, West Bengal 722206",722206,23.1184244,87.5325297,ChIJlZPrc9-J9zkRpteq9D7uyWw,https://www.google.com/maps/place/?q=place_id:ChIJlZPrc9-J9zkRpteq9D7uyWw,part_325,2026-09-20 20:21:30,16620
Dharmaraj Veritas Store,Kirana Store,Grocery store,"Grocery store, FMCG Goods Wholesaler",722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 76997 21634,N/A,5.0,,"Dharmaraj Veritas Store, Balsi Dakshin Para, West Bengal 722206",722206,23.1458636,87.530019,ChIJBSQu846J9zkR-VrrNGv8hNs,https://www.google.com/maps/place/?q=place_id:ChIJBSQu846J9zkR-VrrNGv8hNs,part_325,2026-09-20 20:21:30,16621
Purnima Varieties Store,Kirana Store,Grocery store,Grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 74309 45841,N/A,,,"Hat, Krishna Nagar, West Bengal 722206",722206,23.217986,87.54689119999999,ChIJpdp25fcp-DkRxs4WjIakJ5c,https://www.google.com/maps/place/?q=place_id:ChIJpdp25fcp-DkRxs4WjIakJ5c,part_325,2026-09-20 20:21:30,16622
Pradip Shop,Kirana Store,Grocery store,"Grocery store, Indian grocery store",722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",N/A,N/A,3.0,,"SH8, Fokirdanga, Patrasayer, West Bengal 722206",Fokirdanga,23.209404499999998,87.5589799,ChIJBRx8mj0p-DkRTJHPg7l994Q,https://www.google.com/maps/place/?q=place_id:ChIJBRx8mj0p-DkRTJHPg7l994Q,part_325,2026-09-20 20:21:30,16623
Amrit Enterprises,Kirana Store,Grocery store,Grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 98002 41258,N/A,5.0,,"Station, Bardhaman - Bankura Rd, Dhagaria, Bankura, West Bengal 722206",722206,23.243999799999997,87.50463889999999,ChIJ6Qeivm2H9zkRzjE_JvtD2UA,https://www.google.com/maps/place/?q=place_id:ChIJ6Qeivm2H9zkRzjE_JvtD2UA,part_325,2026-09-20 20:21:30,16624
GANDHESWARI GROCERY & STATIONARY,Kirana Store,Grocery store,Grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 62975 40355,N/A,,,"427, Santasram to Parasia Ghat Rd, Paschim Srirampur, West Bengal 722206",722206,23.0946894,87.54524029999999,ChIJRZEeS64n-DkRUx9GLwzv8Is,https://www.google.com/maps/place/?q=place_id:ChIJRZEeS64n-DkRUx9GLwzv8Is,part_325,2026-09-20 20:21:30,16625
অভয়া ভাণ্ডার,Kirana Store,Store,"Store, General store",722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 97347 67124,N/A,5.0,,"Balleswartala, Balsi Purbapara, Nabakishor, West Bengal 722206",Balleswartala,23.1523504,87.5312033,ChIJb-_GuPGJ9zkR-1KM5bL6oJY,https://www.google.com/maps/place/?q=place_id:ChIJb-_GuPGJ9zkR-1KM5bL6oJY,part_325,2026-09-20 20:21:30,16626
MA KALI VARIETE STORY,Kirana Store,Grocery store,Grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 90643 56063,N/A,5.0,,"Kabirchak, Chakkabir, West Bengal 722206",722206,23.1195493,87.52985749999999,ChIJi8owEPSJ9zkRo-E-n48iP78,https://www.google.com/maps/place/?q=place_id:ChIJi8owEPSJ9zkRo-E-n48iP78,part_325,2026-09-20 20:21:30,16627
Shilpa Store,Kirana Store,Grocery store,"Grocery store, Grocery delivery service",722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",N/A,N/A,,,"Balsi Hattala, Balsi Dakshin Para, Paschim Para, West Bengal 722206",722206,23.150112099999998,87.52670719999999,ChIJB-7ufjyJ9zkRX_RFn2FoNG4,https://www.google.com/maps/place/?q=place_id:ChIJB-7ufjyJ9zkRX_RFn2FoNG4,part_325,2026-09-20 20:21:30,16628
Bairagi Grocery Shop,Kirana Store,Indian grocery store,Indian grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",N/A,N/A,4.0,,"5G2H+548, Balsi Dakshin Para, West Bengal 722206",722206,23.1504084,87.52782599999999,ChIJ87reuReI9zkR0ClMCffsQCQ,https://www.google.com/maps/place/?q=place_id:ChIJ87reuReI9zkR0ClMCffsQCQ,part_325,2026-09-20 20:21:30,16629
Amitava Pan Grocery store,Kirana Store,Indian grocery store,Indian grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",N/A,N/A,5.0,,"4FFG+32C, Akhra Shal, West Bengal 722206",722206,23.122595699999998,87.47507039999999,ChIJ8zU_1cWJ9zkR2-4iASS6jTM,https://www.google.com/maps/place/?q=place_id:ChIJ8zU_1cWJ9zkR2-4iASS6jTM,part_325,2026-09-20 20:21:30,16630
Annapurna Bhandar,Kirana Store,Indian grocery store,Indian grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",N/A,N/A,4.5,,"6H8P+9R3, Belut, West Bengal 722206",722206,23.215888399999997,87.5870413,ChIJcSkcqHkp-DkRhTJEObt8vlM,https://www.google.com/maps/place/?q=place_id:ChIJcSkcqHkp-DkRhTJEObt8vlM,part_325,2026-09-20 20:21:30,16631
Best Verities Stores,Kirana Store,Indian grocery store,Indian grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",N/A,N/A,4.2,,"8FQ2+G83, Uttar Dariapur, Mahanpur, West Bengal 722207",722206,23.3183693,87.4608866,ChIJ6yL1tTiB9zkRZnQqyZi29mI,https://www.google.com/maps/place/?q=place_id:ChIJ6yL1tTiB9zkRZnQqyZi29mI,part_325,2026-09-20 20:21:31,16632
Jeet Grocery Store,Kirana Store,Indian grocery store,Indian grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 90025 11275,https://www.facebook.com/SkZaheerHossain?mibextid=ZbWKwL,4.9,,"Serorai, West Bengal 713428",722206,23.3129834,87.61612459999999,ChIJgVBZic0r-DkRqNXsE66OnY0,https://www.google.com/maps/place/?q=place_id:ChIJgVBZic0r-DkRqNXsE66OnY0,part_325,2026-09-20 20:21:31,16633
Shyamsundar Variety Store,Kirana Store,Indian grocery store,Indian grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 94344 39477,N/A,4.8,,"8C38+CWM, Sonamukhi, West Bengal 722207",722206,23.3035919,87.4173106,ChIJm6hES1-D9zkRzqvuH3PyTq8,https://www.google.com/maps/place/?q=place_id:ChIJm6hES1-D9zkRzqvuH3PyTq8,part_325,2026-09-20 20:21:31,16634
Shit Variety Store,Departmental Store,Grocery store,Grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 70291 22388,N/A,4.7,,"Naricha, West Bengal 722206",722206,23.1273706,87.4258562,ChIJgQP33yWP9zkRFik3IRMUm90,https://www.google.com/maps/place/?q=place_id:ChIJgQP33yWP9zkRFik3IRMUm90,part_325,2026-09-20 20:21:30,16635
Saddam Dharimpur General store 🏪,Departmental Store,Indian grocery store,Indian grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 62964 65391,N/A,2.7,,"West Bengal Dharimpur, Hadal Narayanpur, Sonamukhi, West Bengal 722207",722206,23.286498599999998,87.5383621,ChIJo1I4BqyB9zkR2BSgOwOgnog,https://www.google.com/maps/place/?q=place_id:ChIJo1I4BqyB9zkR2BSgOwOgnog,part_325,2026-09-20 20:21:30,16636
Grocerry,Departmental Store,Grocery store,Grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 76793 07033,N/A,,,"Mukundapur Pandua Bankura Patrasayer Bishnupur, Pandua, West Bengal 722206",722206,23.1237051,87.4307153,ChIJM8KM63OP9zkRYJ1XIfU_QGs,https://www.google.com/maps/place/?q=place_id:ChIJM8KM63OP9zkRYJ1XIfU_QGs,part_325,2026-09-20 20:21:30,16637
Das Variety Stores,Departmental Store,Grocery store,Grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 98754 98991,N/A,5.0,,"Das Variety Stores Beside Routkhanda Gram Panchayat, West Bengal 722138",722206,23.0768737,87.4679598,ChIJd5nSSQCJ9zkRr629v6Ui4GI,https://www.google.com/maps/place/?q=place_id:ChIJd5nSSQCJ9zkRr629v6Ui4GI,part_325,2026-09-20 20:21:31,16638
CHANDRACHUR BHANDAR,Departmental Store,Indian grocery store,Indian grocery store,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 97323 03093,N/A,5.0,,"3FH8+2MX, Rautkhanda, West Bengal 722138",722206,23.0776306,87.4667113,ChIJPVFbQwCJ9zkRXPRLngUQjKI,https://www.google.com/maps/place/?q=place_id:ChIJPVFbQwCJ9zkRXPRLngUQjKI,part_325,2026-09-20 20:21:31,16639
