business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Asha auto care (car repair service),Automotive Service Chains,Auto repair shop,Auto repair shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 93391 50373,https://ashaautocare.com/,4.9,77.0,"DJ Block(Newtown), Action Area I, Newtown, Kolkata, Koch Pukur, West Bengal 700107","DJ Block(Newtown), Action Area I, Newtown",22.568342299999998,88.46841169999999,ChIJdwFHaAB1AjoRpIAVSgX6Ztw,https://www.google.com/maps/place/?q=place_id:ChIJdwFHaAB1AjoRpIAVSgX6Ztw,part_326,2026-09-20 20:17:23,2714
11 MOTORS | Luxury Car Repair & Service,Automotive Service Chains,Auto repair shop,"Auto repair shop, Auto air conditioning service, Auto body shop, Auto electrical service, Auto painting, Auto spring shop, Brake shop, Diesel engine repair service, Oil change service, Transmission shop",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 93391 10111,https://www.11motors.com/,4.7,179.0,"Gate No. 1 & 2, Between Stadium, Salt Lake Stadium Rd, JC Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106","JC Block, Sector 3, Bidhannagar",22.5713641,88.4095658,ChIJx63llj51AjoRH_fI-vuCK7o,https://www.google.com/maps/place/?q=place_id:ChIJx63llj51AjoRH_fI-vuCK7o,part_326,2026-09-20 20:17:23,2715
Automotive Supply Agency,Automotive Service Chains,Auto parts store,"Auto parts store, Appliance parts supplier, Industrial Spares & Products Wholesaler, Truck parts supplier",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 33 2236 0055,N/A,5.0,2.0,"7, Ground, Ananda Bazar Patrika, Office, Prafulla Sarkar St, Esplanade, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700001","Esplanade, Chowringhee North, Bow Barracks",22.567474,88.3535524,ChIJD2FfvKh3AjoRuihYCEuefxY,https://www.google.com/maps/place/?q=place_id:ChIJD2FfvKh3AjoRuihYCEuefxY,part_326,2026-09-20 20:17:23,2716
Rahul amin,Automotive Service Chains,Auto repair shop,Auto repair shop,731129,West bengal circle,Kolkata Region,Birbhum Division,"Damdama BO, Dholtikuri BO, Gadadharpur BO",N/A,N/A,5.0,1.0,"PG3W+V2X, Galtia, West Bengal 731214",731129,23.704738199999998,87.5450925,ChIJZRX-zoHf-TkRqkMQCmBjzGg,https://www.google.com/maps/place/?q=place_id:ChIJZRX-zoHf-TkRqkMQCmBjzGg,part_326,2026-09-20 20:18:40,9981
Longlife Automotives,Automotive Service Chains,Auto repair shop,Auto repair shop,731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO",+91 97348 98584,http://longlifeautomotives.in/,4.8,,"Kolatala More, opposite of senco gold, Amta, Guzarpur, West Bengal 711401",731130,22.570565199999997,88.014701,ChIJxd-V4ZODAjoRfMTI85pnQyQ,https://www.google.com/maps/place/?q=place_id:ChIJxd-V4ZODAjoRfMTI85pnQyQ,part_326,2026-09-20 20:19:17,12489
Bosch Car Service - Bobby Automobiles,Automotive Service Chains,Auto repair shop,Auto repair shop,731132,West bengal circle,Kolkata Region,Birbhum Division,"Deucha BO, Harinsingha BO, Kabilpur BO",+91 98302 29999,https://bobbyautomobiles.com/,4.2,91.0,"13/2, Mahendra Roy Ln, Seal Lane, Tangra, Kolkata, West Bengal 700046","Seal Lane, Tangra",22.5431183,88.3839161,ChIJS6RUYux2AjoRvy5FH5YJw-w,https://www.google.com/maps/place/?q=place_id:ChIJS6RUYux2AjoRvy5FH5YJw-w,part_326,2026-09-20 20:19:55,14667
Khurshid Auto works,Automotive Service Chains,Car repair and maintenance service,Car repair and maintenance service,731132,West bengal circle,Kolkata Region,Birbhum Division,"Deucha BO, Harinsingha BO, Kabilpur BO",+91 98318 35377,http://www.khurshidaw.weebly.com/,3.9,,"Nayapatti Foot Bridge, AN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700102","AN Block, Sector V, Bidhannagar",22.5834534,88.43393689999999,ChIJ3XfRk6N1AjoRUGTSm1N3hnQ,https://www.google.com/maps/place/?q=place_id:ChIJ3XfRk6N1AjoRUGTSm1N3hnQ,part_326,2026-09-20 20:19:56,14668
Mondal's Udyog (Best Car workshop),Automotive Service Chains,Auto repair shop,"Auto repair shop, Chauffeur service",731133,West bengal circle,Kolkata Region,Birbhum Division,"Churar BO, Paigora BO, Ranipathar BO",+91 90382 12261,https://mondaludyog.in/,4.5,1053.0,"210n, Raja Rammohan Roy Rd, Sarada Pally, Kolkata, West Bengal 700008",Sarada Pally,22.4884248,88.3279955,ChIJfUMcKARxAjoRVrwUPKRj1so,https://www.google.com/maps/place/?q=place_id:ChIJfUMcKARxAjoRVrwUPKRj1so,part_326,2026-09-20 20:20:34,16289
ALFA FORD,Automotive Service Chains,Auto repair shop,"Auto repair shop, Car repair and maintenance service",731133,West bengal circle,Kolkata Region,Birbhum Division,"Churar BO, Paigora BO, Ranipathar BO",+91 77973 99930,https://www.india.ford.com/locate-dealer/,4.7,,"VTR HOUSE, NH 60, Kharagpur City Rd, Kharagpur, West Bengal 721305",731133,22.3714667,87.33978499999999,ChIJHzVPz3EjHToR5oAbalh-b4E,https://www.google.com/maps/place/?q=place_id:ChIJHzVPz3EjHToR5oAbalh-b4E,part_326,2026-09-20 20:20:34,16290
MAMTA SERVICING CENTRE,Automotive Service Chains,Car wash,Car wash,731133,West bengal circle,Kolkata Region,Birbhum Division,"Churar BO, Paigora BO, Ranipathar BO",+91 73649 92662,N/A,4.7,,"87VG+FR3, Malancha, Kharagpur, West Bengal 721304",Malancha,22.3436453,87.2770536,ChIJ1bB5frxDHToRK5U_VCEEOjo,https://www.google.com/maps/place/?q=place_id:ChIJ1bB5frxDHToRK5U_VCEEOjo,part_326,2026-09-20 20:20:34,16291
Mousam Auto,Automotive Service Chains,Auto repair shop,Auto repair shop,731202,West bengal circle,Kolkata Region,Birbhum Division,"Barakartickchungri BO, Dakhalbati BO, Joykrishnapur BO",N/A,N/A,,,"to, Panagarh - Morgram State Hwy., NH14, Rampurhat, Chamtibagan, West Bengal 731220",NH14,24.272731099999998,87.83751509999999,ChIJA1i3X_oZ-jkRVcG2qoFlv2Y,https://www.google.com/maps/place/?q=place_id:ChIJA1i3X_oZ-jkRVcG2qoFlv2Y,part_326,2026-09-20 20:21:51,19963
Mamon and Mampi,Automotive Service Chains,Auto repair shop,Auto repair shop,731204,West Bengal Circle,Kolkata Region,Birbhum Division,"Bolpur SO, Adityapur BO, Albandha BO",N/A,N/A,,,"MPG8+X89, Khosh Kadambapur, West Bengal 731204",731204,23.6771226,87.7158886,ChIJK4_-Wi7D-TkRKt10azMJE7I,https://www.google.com/maps/place/?q=place_id:ChIJK4_-Wi7D-TkRKt10azMJE7I,part_326,2026-09-20 20:22:25,21331
Automotives India,Automotive Service Chains,Mechanical engineer,Mechanical engineer,731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 33 2475 0711,http://automotivesindia.co.in/,4.5,6.0,"2/1, Ballygunge, Dover Terrace, Ballygunge, Kolkata, West Bengal 700029","Dover Terrace, Ballygunge",22.523621,88.358222,ChIJAwMBSil3AjoR8mLKwfbeheA,https://www.google.com/maps/place/?q=place_id:ChIJAwMBSil3AjoR8mLKwfbeheA,part_326,2026-09-20 20:23:00,22943
Biswas service centre,Automotive Service Chains,Motor scooter repair shop,"Motor scooter repair shop, Chauffeur service",731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 98367 60979,N/A,5.0,45.0,"Ghosh Para Rd, bengal enamel, Palta, Barrackpore, West Bengal 743122","bengal enamel, Palta",22.7793746,88.36835699999999,ChIJuWelOpab-DkRAdsa9kUcIXw,https://www.google.com/maps/place/?q=place_id:ChIJuWelOpab-DkRAdsa9kUcIXw,part_326,2026-09-20 20:23:01,22944
United Sales Agency,Automotive Service Chains,Wholesaler,Wholesaler,731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 94340 47901,N/A,5.0,2.0,"Nanak Complex, Sevoke Rd, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.7178535,88.4244016,ChIJG9c9yRRB5DkRouk9NH53wmk,https://www.google.com/maps/place/?q=place_id:ChIJG9c9yRRB5DkRouk9NH53wmk,part_326,2026-09-20 20:23:02,22945
Mukherjee Udyog,Automotive Service Chains,Auto repair shop,Auto repair shop,731216,West bengal circle,Kolkata Region,Birbhum Division,"Bharkata BO, Dabuk BO, Damra BO",+91 98315 21866,http://mukherjeeudyog.in/,3.6,226.0,"113, Chetla Rd, New Alipore, Kolkata, West Bengal 700027",New Alipore,22.509577,88.33977,ChIJHYW_mLZwAjoRA4QdLXfZ5Jk,https://www.google.com/maps/place/?q=place_id:ChIJHYW_mLZwAjoRA4QdLXfZ5Jk,part_326,2026-09-20 20:24:50,28380
Ashique Automobiles TVS - Haripur Podhra,Automotive Service Chains,Two Wheeler Dealer,"Two Wheeler Dealer, Electric motor vehicle dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",731220,West bengal circle,Kolkata Region,Birbhum Division,"Barla BO, Debagram BO, Diha BO",+91 80 6290 6935,https://showroom.tvsmotor.com/locator/nalhati/Chamtibagan/ashique-automobiles-tvs-in-Chamtibagan-nalhati--1KJg8W/home,3.7,,"Tezhati Po Ps:, Chamtibagan, Nalhati, West Bengal 731220",Chamtibagan,24.2893609,87.8418208,ChIJHTkXIw95AjoRYsnlRTjbiaM,https://www.google.com/maps/place/?q=place_id:ChIJHTkXIw95AjoRYsnlRTjbiaM,part_326,2026-09-20 20:26:35,31624
R N S AUTOMOBILE,Automotive Service Chains,Auto parts store,Auto parts store,731220,West bengal circle,Kolkata Region,Birbhum Division,"Barla BO, Debagram BO, Diha BO",+91 73650 90593,https://rnsautomobile.com/,5.0,1.0,"NH34, Raninagar, Chuapur, Berhampore, West Bengal 742102","Raninagar, Chuapur",24.0943753,88.2694594,ChIJtX9Bd7p9-TkRuhvOLKxlUdk,https://www.google.com/maps/place/?q=place_id:ChIJtX9Bd7p9-TkRuhvOLKxlUdk,part_326,2026-09-20 20:26:35,31625
