business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kabiguru Decorators & Caterers,Caterer and Event Planner,Caterer,Caterer,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 91534 84148,N/A,4.8,94.0,"Makrampur (North), Infront of ST Teresa's School, Bolpur, West Bengal 731235",731126,23.6840369,87.6960288,ChIJ4XcXHM3c-TkRGOVzfmorYt4,https://www.google.com/maps/place/?q=place_id:ChIJ4XcXHM3c-TkRGOVzfmorYt4,part_326,2026-09-20 20:17:29,4008
M.s catering Service,Caterer and Event Planner,Event management company,Event management company,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 98360 51996,N/A,4.9,57.0,"Bara shree ram pur, TCI Rd, Kankinara, Jagatdal, Kolkata, Bhatpara, West Bengal 743126","Kankinara, Jagatdal",22.8526414,88.4113709,ChIJ4yM4cjCX-DkR4g_21t87guw,https://www.google.com/maps/place/?q=place_id:ChIJ4yM4cjCX-DkR4g_21t87guw,part_326,2026-09-20 20:17:29,4009
Sai Caterers and Events,Caterer and Event Planner,Caterer,Caterer,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 62904 49966,https://www.saicaterer.in/,4.7,260.0,"24, Monohar Pukur 2nd Ln, near Deshapriya Park East, Dover Terrace, Ballygunge, Kolkata, West Bengal 700029","Dover Terrace, Ballygunge",22.520146999999998,88.35484489999999,ChIJ98Y9D853AjoRGuHRpLV2CJI,https://www.google.com/maps/place/?q=place_id:ChIJ98Y9D853AjoRGuHRpLV2CJI,part_326,2026-09-20 20:17:29,4010
Polo's Kitchen,Caterer and Event Planner,Caterer,"Caterer, Mobile caterer, Restaurant supply store",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 62904 45265,N/A,5.0,44.0,"7, B N N B Sarani, Kotrung, Uttarpara, West Bengal 712258","B N N B Sarani, Kotrung",22.662942599999997,88.3458706,ChIJazM4fvKd-DkRPm5DqAk7M6Y,https://www.google.com/maps/place/?q=place_id:ChIJazM4fvKd-DkRPm5DqAk7M6Y,part_326,2026-09-20 20:17:29,4011
Sen Caterer,Caterer and Event Planner,Caterer,Caterer,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 90387 13180,https://jsdl.in/DT-37WCD5BG9QO,5.0,28.0,"20/15 Woozir Choudhury Road, Ultadanga Main Rd, near Ultadanga Station, Kolkata, West Bengal 700067","Daspara, Ultadanga",22.598348299999998,88.3807118,ChIJNVDKU2N3AjoRTQc_5hD2Zp4,https://www.google.com/maps/place/?q=place_id:ChIJNVDKU2N3AjoRTQc_5hD2Zp4,part_326,2026-09-20 20:17:29,4012
RTC Event Management,Caterer and Event Planner,Wedding planner,"Wedding planner, Catering food and drink supplier, Entertainment agency, Party planner, Event management company",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 70036 50972,https://rtc-event-management.grexa.site/,5.0,6.0,"Jangra 4, near, bhai bhai sangha club, Hatiara Rd, Hela Battala, Jyangra, Baguiati, Kolkata, West Bengal 700059","Hela Battala, Jyangra, Baguiati",22.612677299999998,88.4392965,ChIJDQdh96af-DkRVLNe2RiuvOc,https://www.google.com/maps/place/?q=place_id:ChIJDQdh96af-DkRVLNe2RiuvOc,part_326,2026-09-20 20:17:29,4013
Happy Mahuraat Catering,Caterer and Event Planner,Caterer,Caterer,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,,,"10, Umakanta sen lane, Golpark, Dum Dum, Kolkata, West Bengal 700030","Golpark, Dum Dum",22.630115999999997,88.414597,ChIJb_rZ2BOe-DkRHgM0fjqHovA,https://www.google.com/maps/place/?q=place_id:ChIJb_rZ2BOe-DkRHgM0fjqHovA,part_326,2026-09-20 20:17:29,4014
Creative Corner Event Management,Caterer and Event Planner,Wedding planner,"Wedding planner, Caterer, Event management company, Event planner, Party planner, Restaurant supply store, Tour operator, Wedding photographer, Wedding service, Wedding venue",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 90387 93008,http://www.ccem.in/,4.9,809.0,"Bhanumita apartment, Sumangalapuri, Barrackpore, Kolkata, West Bengal 700123","Sumangalapuri, Anandapuri",22.755438299999998,88.37663979999999,ChIJaUrUJEua-DkRB7sxOqsrTzQ,https://www.google.com/maps/place/?q=place_id:ChIJaUrUJEua-DkRB7sxOqsrTzQ,part_326,2026-09-20 20:17:29,4015
DS Caterers & Event Management,Caterer and Event Planner,Caterer,Caterer,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 87775 79675,http://www.dsevent.in/,5.0,66.0,"Post Office, 11/2, PHKB Sarani, Bhadrakali, Konnagar, Uttarpara, Debaipukur, West Bengal 712232","Bhadrakali, Konnagar",22.6890362,88.34339279999999,ChIJtQEJf7Od-DkR6ZJtTfqlUoE,https://www.google.com/maps/place/?q=place_id:ChIJtQEJf7Od-DkR6ZJtTfqlUoE,part_326,2026-09-20 20:17:29,4016
Sundaram Caterer,Caterer and Event Planner,Caterer,Caterer,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,5.0,1.0,"Durga Mandap, Narayanpur, Roypara, P.O:- Narayanpur, Bhatpara (M), North 24 Parganas,ph,:, Kankinara, Balishkhana, West Bengal 743126","Kankinara, Balishkhana",22.859583399999998,88.429143,ChIJa-oYwlGX-DkRa0Eni_jgPbM,https://www.google.com/maps/place/?q=place_id:ChIJa-oYwlGX-DkRa0Eni_jgPbM,part_326,2026-09-20 20:17:30,4017
Chakraborty Caterer and Event Management,Caterer and Event Planner,Caterer,Caterer,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 98306 16584,https://www.facebook.com/profile.php?id=100064488592568&mibextid=LQQJ4d,4.8,117.0,"26no railgate, Banarjee Para, Shyamnagar, Kolkata, Bhatpara, West Bengal 743127","Banarjee Para, Shyamnagar",22.8383509,88.3888209,ChIJJUBSl06X-DkR4aPRTctoLF4,https://www.google.com/maps/place/?q=place_id:ChIJJUBSl06X-DkR4aPRTctoLF4,part_326,2026-09-20 20:17:30,4018
Sarkar Decorator & Caterer,Caterer and Event Planner,Event management company,"Event management company, Caterer, Tent House Supplier, Wedding buffet, Wedding planner, Wedding service",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 87770 29952,https://sites.google.com/view/sarkardecoratorandcaterer,5.0,17.0,"H.NO 20/1,BL.NO 19C, Gupter bagan , Bhatpara (M, Bhatpara, West Bengal 743125",Jagatdal,22.857146,88.3865405,ChIJ31YcVkiR-DkR839bFSZ_J3k,https://www.google.com/maps/place/?q=place_id:ChIJ31YcVkiR-DkR839bFSZ_J3k,part_326,2026-09-20 20:17:30,4019
Black Diamond Caterer,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Children's party buffet, Sweets and dessert buffet, Event management company, Event planner, Food manufacturer, Food products supplier, Wedding buffet, Wedding planner",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 98742 71325,https://www.blackdiamondcaterer.com/,4.7,674.0,"91C, SRCM Rd, Kalipark, Bablatala, Newtown, Rajarhat, Kolkata, West Bengal 700136","Gopalpur I, Kalipark, Newtown, Rajarhat",22.636927,88.4522839,ChIJi4KzsSmf-DkRWcW5skAKN2s,https://www.google.com/maps/place/?q=place_id:ChIJi4KzsSmf-DkRWcW5skAKN2s,part_326,2026-09-20 20:17:30,4020
Sweet-N-Sour Catering Services,Caterer and Event Planner,Caterer,"Caterer, Event planner",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 98744 51346,https://sweet-n-sour.in/,4.8,643.0,"Shop No, JJ-7, H.A-7, Baguihati Main Rd, Ashwini Nagar, Rajarhat, Kolkata, West Bengal 700159","Ashwini Nagar, Rajarhat",22.609473299999998,88.43258639999999,ChIJVdwusod1AjoRNTiR5CFWJ6E,https://www.google.com/maps/place/?q=place_id:ChIJVdwusod1AjoRNTiR5CFWJ6E,part_326,2026-09-20 20:17:30,4021
PARSHA CATERER,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Children's party buffet, Event planner, Food & Beverage Exporter, Food bank, Mobile caterer, Party planner, Restaurant supply store, Wedding buffet",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 98367 34441,http://www.parsha.in/,4.9,548.0,"28 NO, D.P nagar, SHAKTIPALLY, Deshpriya Nagar, Belghoria, Kolkata, West Bengal 700056","D.P nagar, SHAKTIPALLY, Deshpriya Nagar, Belghoria",22.6761578,88.3840073,ChIJga5Twzic-DkRM4gx2HgFa4o,https://www.google.com/maps/place/?q=place_id:ChIJga5Twzic-DkRM4gx2HgFa4o,part_326,2026-09-20 20:17:30,4022
DS Caterers & Event Management,Caterer and Event Planner,Caterer,"Caterer, Restaurant supply store, Wedding buffet, Wedding planner, Wedding service",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 87775 79675,http://www.dsevent.in/,4.9,143.0,"Kamdhenu Building, 75C, Park St, Park Street area, Kolkata, West Bengal 700016",Park Street area,22.5509305,88.3545547,ChIJKYWble93AjoR1yPc3n9emeE,https://www.google.com/maps/place/?q=place_id:ChIJKYWble93AjoR1yPc3n9emeE,part_326,2026-09-20 20:17:30,4023
Weddingbell Caterer,Caterer and Event Planner,Caterer,Caterer,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 62911 97350,https://www.weddingbellcaterer.com/,4.8,467.0,"18/2/50k Uday Sankar Sarani B/8/10 Golf Green , Urban Complex, phase - 1, Kolkata, West Bengal 700032","phase - 1, Golf Green",22.489698,88.36188,ChIJ_xL1M-BwAjoREUfStz-GD2I,https://www.google.com/maps/place/?q=place_id:ChIJ_xL1M-BwAjoREUfStz-GD2I,part_326,2026-09-20 20:17:30,4024
Maa Sandhya Caterers,Caterer and Event Planner,Caterer,Caterer,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 84201 56529,https://www.facebook.com/profile.php?id=100085262252064,4.7,64.0,"76,Gorkhara, A, Badamtala, Sarat Sarani Main Rd, West Bengal 700150",Ghasiara,22.4482499,88.43885209999999,ChIJqwXrR4h9rAARXY8iz1RG61g,https://www.google.com/maps/place/?q=place_id:ChIJqwXrR4h9rAARXY8iz1RG61g,part_326,2026-09-20 20:17:30,4025
Pal Caterer & Event Planner,Caterer and Event Planner,Caterer,"Caterer, Wedding planner",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 70014 79091,https://gamma.app/docs/Make-Your-Events-Unforgettable-with-Pal-Caterer-and-Event-Planner-a5mtpfbonklu7jk,4.9,80.0,"Anurag Tower, Saptarshi Park Rd, Shankarpur West, Durgapur, West Bengal 713206",Shankarpur West,23.534997,87.35327149999999,ChIJEUpFf71x9zkRh77dIDBvgRs,https://www.google.com/maps/place/?q=place_id:ChIJEUpFf71x9zkRh77dIDBvgRs,part_326,2026-09-20 20:17:31,4026
A&M CREATIONS CATERER & DECOR,Caterer and Event Planner,Event planner,"Event planner, Catering food and drink supplier, Event management company",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 62909 78427,http://amcreations.co.in/,4.9,26.0,"Parbangla, Budge Budge, Maheshtala, Kolkata, West Bengal 700137","Parbangla, Budge Budge",22.495189,88.2106881,ChIJ1YhsOB59AjoRh8_6sxmJ0IU,https://www.google.com/maps/place/?q=place_id:ChIJ1YhsOB59AjoRh8_6sxmJ0IU,part_326,2026-09-20 20:17:31,4027
Rajbhoj Caterers,Caterer and Event Planner,Caterer,"Caterer, Event planner, Food and beverage consultant, Food products supplier, Marriage celebrant, Party planner, Wedding buffet, Wedding planner, Wedding service, Wedding venue",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 98303 05773,https://www.rajbhojcaterers.in/,4.7,290.0,"117 Hem Chandra Mukherjee Road, 3rd Flr, Kumor Para,Kolkata Barisha East, Sakher Bazar, Behala, Kolkata, West Bengal 700008","Sakher Bazar, Behala",22.4814076,88.3201742,ChIJVxiWbnd6AjoR3jYsCgaPESA,https://www.google.com/maps/place/?q=place_id:ChIJVxiWbnd6AjoR3jYsCgaPESA,part_326,2026-09-20 20:17:31,4028
