business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Golden Footwear,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 81167 78136,N/A,4.8,,"22, Suri, West Bengal 731101",731126,23.9022935,87.5289805,ChIJMbaxYN5Z9zkRw2xNTGYrdbg,https://www.google.com/maps/place/?q=place_id:ChIJMbaxYN5Z9zkRw2xNTGYrdbg,part_326,2026-09-20 20:17:14,1392
Abhishek Shoe House,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,5.0,,"new bustand, Tantipara, Gohalia, West Bengal 731104",731126,23.898682299999997,87.3761809,ChIJOT07MotF9zkR-eGJ4R2teL0,https://www.google.com/maps/place/?q=place_id:ChIJOT07MotF9zkR-eGJ4R2teL0,part_326,2026-09-20 20:17:14,1393
New Golden Shoe,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 98518 77570,N/A,4.6,,"Sainthia- Suri Rd, Suri, West Bengal 731101",731126,23.910450599999997,87.529596,ChIJwVkiqhJY9zkRYhlfZMVERtg,https://www.google.com/maps/place/?q=place_id:ChIJwVkiqhJY9zkRYhlfZMVERtg,part_326,2026-09-20 20:17:14,1394
SR Footwear,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,5.0,,"Churi Para, near Robin Sangha Club, Suri, West Bengal 731101",731126,23.906651999999998,87.52959,ChIJORFoMKJZ9zkRWDSgE0iYJeA,https://www.google.com/maps/place/?q=place_id:ChIJORFoMKJZ9zkRWDSgE0iYJeA,part_326,2026-09-20 20:17:14,1395
Khadim - Suri,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 90024 77787,http://www.khadims.com/,3.9,,"Vidyasagar College Road, Rabindranath Tagore Rd, near Supermarket, Suri, West Bengal 731101",731126,23.9023425,87.5289821,ChIJM7f1Nm5Y9zkR48LAuJ-xY8s,https://www.google.com/maps/place/?q=place_id:ChIJM7f1Nm5Y9zkR48LAuJ-xY8s,part_326,2026-09-20 20:17:14,1396
Captain Footwear,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,,,"WG6G+VPR, Sri Bhumi Pally, Suri, West Bengal 731101",Sri Bhumi Pally,23.9122272,87.5267585,ChIJ614JewBZ9zkRM6h-fP9hZKQ,https://www.google.com/maps/place/?q=place_id:ChIJ614JewBZ9zkRM6h-fP9hZKQ,part_326,2026-09-20 20:17:14,1397
Bata Shoes,Footwear and Shoe Store,Store,Store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 1800 419 2282,http://www.bata.in/,3.7,,"Barui Para and Tin Bazar Rd, Suri, West Bengal 731101",731126,23.909986399999998,87.5314923,ChIJ_z_zSw1Y9zkRLwEL5_g7KGc,https://www.google.com/maps/place/?q=place_id:ChIJ_z_zSw1Y9zkRLwEL5_g7KGc,part_326,2026-09-20 20:17:15,1398
New Krishna Shoe House,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 95635 08686,N/A,4.1,,"WG6J+299, Bazar Para, Sri Bhumi Pally, Suri, West Bengal 731101",Sri Bhumi Pally,23.910034,87.53097269999999,ChIJo0Dq1QxY9zkRkri9x39g6f8,https://www.google.com/maps/place/?q=place_id:ChIJo0Dq1QxY9zkRkri9x39g6f8,part_326,2026-09-20 20:17:15,1399
"Bata Shoe Store - Baguiati, Kolkata",Footwear and Shoe Store,Shoe store,"Shoe store, Bag shop, Belt shop, Boot store, Clothing store",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 80133 80676,https://stores.bata.com/bata-shoes-sandals-store-in-baguiati-kolkata,4.6,,"Surya Kiran Apartments, Narayantala W Ln, near Sunshine Bird World, Baguiati, Kolkata, West Bengal 700059",Baguiati,22.6091968,88.4271299,ChIJVVX-n4l1AjoRuz1bHE_uQ0Y,https://www.google.com/maps/place/?q=place_id:ChIJVVX-n4l1AjoRuz1bHE_uQ0Y,part_326,2026-09-20 20:17:15,1400
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 88110 93571,https://stores.trends-footwear.com/trends-footwear-rrl-tf-star-mall-madhyamgram-shoe-shop-madhyamgram-madhyamgram-477490/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"Shop No 1S1 to 1S3, 1st Floor, STAR MALL, 74 Mall 1, Jessore Rd, Sisir Kunja, Madhyamgram, West Bengal 700129","Sisir Kunja, Madhyamgram",22.7035247,88.47190189999999,ChIJheTLtcKf-DkRcGcAVsCzZw0,https://www.google.com/maps/place/?q=place_id:ChIJheTLtcKf-DkRcGcAVsCzZw0,part_326,2026-09-20 20:17:15,1401
Shoe plaza,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 82405 81624,N/A,5.0,,"Jagatpur main road Oposit matrivaben Po-gouranganagar pH -8240581624, Kolkata, West Bengal 700162","Adarshapally, Hatiara, Rajarhat",22.6033822,88.43724309999999,ChIJ95CSahp1AjoR6gZ4TGg_8Rs,https://www.google.com/maps/place/?q=place_id:ChIJ95CSahp1AjoR6gZ4TGg_8Rs,part_326,2026-09-20 20:17:15,1402
Maa shoes house,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 91531 21107,N/A,5.0,,"Md bazar, Rampur, Chak Baharakuri, West Bengal 731127",731126,24.005052,87.5198011,ChIJKxr2zuVX9zkRDOxPttY2e98,https://www.google.com/maps/place/?q=place_id:ChIJKxr2zuVX9zkRDOxPttY2e98,part_326,2026-09-20 20:17:15,1403
Raja Shoe Stores,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,5.0,,"near Barabazar Durga Mondir, Rajnagar, West Bengal 731130",731126,23.9485302,87.3148868,ChIJKYFezs1P9zkR-cZIiT83jXs,https://www.google.com/maps/place/?q=place_id:ChIJKYFezs1P9zkR-cZIiT83jXs,part_326,2026-09-20 20:17:15,1404
Shoe Corner,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 70444 62457,https://www.shoecorner.in/,4.7,,"Shop no.2, 407, GT Rd, Bally, Howrah, West Bengal 711201",Bally,22.6500591,88.35070569999999,ChIJPwzLUeed-DkR8OvLT3E1XbA,https://www.google.com/maps/place/?q=place_id:ChIJPwzLUeed-DkR8OvLT3E1XbA,part_326,2026-09-20 20:17:15,1405
Fashion World Shoes,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 82500 41703,http://fwshoes.in/,4.6,,"Dey Market, Station Rd E, near Fitness Gym, Media Satinsen Nagar, Gobardanga, West Bengal 743273",Media Satinsen Nagar,22.8782912,88.7619812,ChIJ78hocgCz-DkRZNSNHMCM4Eg,https://www.google.com/maps/place/?q=place_id:ChIJ78hocgCz-DkRZNSNHMCM4Eg,part_326,2026-09-20 20:17:15,1406
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 70440 72937,https://stores.trends-footwear.com/trends-footwear-rrl-footprint-banerjee-ghat-road-shoe-shop-shibpur-howrah-477485/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"Shop No 15, 1st Floor, Avani Riverside 32, Jagat Banerjee Ghat Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711102","Choura Bustee, Shibpur",22.5639137,88.3238049,ChIJ4btE3rt5AjoRtpblmj1NOGw,https://www.google.com/maps/place/?q=place_id:ChIJ4btE3rt5AjoRtpblmj1NOGw,part_326,2026-09-20 20:17:15,1407
Alfi Shoe,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,4.2,,"WG3H+PQV, Suri, West Bengal 731101",731126,23.9043612,87.5294253,ChIJvYaI_m1Y9zkRolni42C_Qwk,https://www.google.com/maps/place/?q=place_id:ChIJvYaI_m1Y9zkRolni42C_Qwk,part_326,2026-09-20 20:17:15,1408
Atiya shoe and varites,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 78726 30229,N/A,,,"Sahapur hattala bbirbhum 731104 Sri, West Bengal 731104",731126,23.793912,87.4952831,ChIJnRowrzRd9zkRt5ZWUaGyynQ,https://www.google.com/maps/place/?q=place_id:ChIJnRowrzRd9zkRt5ZWUaGyynQ,part_326,2026-09-20 20:17:15,1409
Shilpi Shoe,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 98322 72510,N/A,4.2,,"WG4J+84F, JL Banerjee Rd(, Madrasa Rd, Suri, West Bengal 731101",731126,23.9058046,87.5302857,ChIJb6rDcnJY9zkRWDtDUhaE5bU,https://www.google.com/maps/place/?q=place_id:ChIJb6rDcnJY9zkRWDtDUhaE5bU,part_326,2026-09-20 20:17:15,1410
Malik's,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,5.0,,"Rabindra pally front of Rabindra Sadan, VGXG+GHX, Suri, West Bengal 731101",731126,23.8987654,87.52645199999999,ChIJQfTguddZ9zkR9tKO2OEF0rA,https://www.google.com/maps/place/?q=place_id:ChIJQfTguddZ9zkR9tKO2OEF0rA,part_326,2026-09-20 20:17:15,1411
New Dsheen Shoes,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 79801 55455,N/A,4.8,,"36A, Bentinck St, Mission Row Extension, Esplanade, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700069","Mission Row Extension, Esplanade, Chowringhee North, Bow Barracks",22.567123,88.35195809999999,ChIJC8i2y3F3AjoRrmQPOIASnsk,https://www.google.com/maps/place/?q=place_id:ChIJC8i2y3F3AjoRrmQPOIASnsk,part_326,2026-09-20 20:17:15,1412
Ground Grippers,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 62892 51704,N/A,4.8,,"15/5, Banamali Ghosal Ln, opposite Max Fashion, 18 Bigha, Muradpur, Sarada Pally, Kolkata, West Bengal 700034","18 Bigha, Muradpur, Sarada Pally",22.490453799999997,88.3176131,ChIJTYAEY-R7AjoRteOABJEyaqA,https://www.google.com/maps/place/?q=place_id:ChIJTYAEY-R7AjoRteOABJEyaqA,part_326,2026-09-20 20:17:15,1413
Asian Shoes Exclusive Showroom Kanchrapara,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 90914 31343,https://asianfootwears.com/,4.9,,"Gandhi More, 43, KGR Path, Kanchrapara Loco, Kanchrapara, West Bengal 743145",Kanchrapara Loco,22.946896499999998,88.4483518,ChIJnRB4_x2V-DkRwh-9zXRHV-w,https://www.google.com/maps/place/?q=place_id:ChIJnRB4_x2V-DkRwh-9zXRHV-w,part_326,2026-09-20 20:17:16,1414
Rider shoe point,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 98320 36055,http://rahulpaul.zupain.com/,4.3,,"sukantopolli club, Gobindapur, Santipur, West Bengal 741404",731126,23.283104599999998,88.43564459999999,ChIJa6c0XCrh-DkReO8np6YjZ8s,https://www.google.com/maps/place/?q=place_id:ChIJa6c0XCrh-DkReO8np6YjZ8s,part_326,2026-09-20 20:17:16,1415
Ajanta Footcare,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,http://www.ajantashoes.com/,4.8,,"Debighar Colony, Birpara Tea Garden, West Bengal 735204",Debighar Colony,26.7103537,89.1391876,ChIJjTt8a4C_4zkRFOHAF750GRU,https://www.google.com/maps/place/?q=place_id:ChIJjTt8a4C_4zkRFOHAF750GRU,part_326,2026-09-20 20:17:16,1416
"Bata Shoe Store - Ratepara, Bangaon",Footwear and Shoe Store,Shoe store,"Shoe store, Bag shop, Belt shop, Boot store, Clothing store",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 74791 27260,https://stores.bata.com/bata-shoes-sandals-store-in-ratepara-north-24-parganas,4.7,,"Ground & 1st Flr, Chakdaha - Bongaon Rd, near Royalista Cafe, Ratepara, Bangaon, West Bengal 743235",Ratepara,23.0427957,88.8307949,ChIJkzTJ4ejB-DkR70BxSF-0ppo,https://www.google.com/maps/place/?q=place_id:ChIJkzTJ4ejB-DkR70BxSF-0ppo,part_326,2026-09-20 20:17:16,1417
SHOES VILLA,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 70031 62473,N/A,4.3,,"36/D, Kankinara, Jagatdal, Bhatpara, Kolkata, West Bengal 743123","Kankinara, Jagatdal",22.867489499999998,88.4051626,ChIJ3YvSPYCX-DkRReDOgDbwYww,https://www.google.com/maps/place/?q=place_id:ChIJ3YvSPYCX-DkRReDOgDbwYww,part_326,2026-09-20 20:17:16,1418
HAPPY HEELZ,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,5.0,,"Lenin Sarani, Kanchrapara Loco, Kanchrapara, West Bengal 743145",Kanchrapara Loco,22.945618099999997,88.44824589999999,ChIJ71O4wFuV-DkRU_5bfOXYqmA,https://www.google.com/maps/place/?q=place_id:ChIJ71O4wFuV-DkRU_5bfOXYqmA,part_326,2026-09-20 20:17:16,1419
Asian Sales,Footwear and Shoe Store,Footwear wholesaler,Footwear wholesaler,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 98315 67602,N/A,4.9,,"28, Rabindra Sarani, Tiretti, Kolkata, West Bengal 700073",Tiretti,22.5751541,88.35412459999999,ChIJh935sst3AjoRXU1kGv2YuYI,https://www.google.com/maps/place/?q=place_id:ChIJh935sst3AjoRXU1kGv2YuYI,part_326,2026-09-20 20:17:16,1420
Shaby Footwear,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 80132 46300,http://shabyfootwear.in/,3.7,,"130, 56, Bangur Ave, Bangur, Block A, Lake Town, Kolkata, West Bengal 700055","Bangur, Block A, Lake Town",22.609996199999998,88.40950529999999,ChIJ9zcPwfl1AjoR35_wTzV6MWU,https://www.google.com/maps/place/?q=place_id:ChIJ9zcPwfl1AjoR35_wTzV6MWU,part_326,2026-09-20 20:17:16,1421
Khadim's - Barasat,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 98301 42714,http://www.khadims.com/,3.7,,"floor, 125, 1, Jessore Rd, near Champadali, Champadali, Ramgarh, Banamalipur, Kolkata, West Bengal 700124","Champadali, Ramgarh, Banamalipur",22.7191568,88.4856882,ChIJOedieAWi-DkRdFzhqoiMlgE,https://www.google.com/maps/place/?q=place_id:ChIJOedieAWi-DkRdFzhqoiMlgE,part_326,2026-09-20 20:17:16,1422
House of SL,Footwear and Shoe Store,Shoe store,"Shoe store, Leather goods store, Luggage store",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 33 4604 8856,http://www.houseofsl.com/,4.4,,"178, Rash Behari Ave, Triangular Park, lake Terrace, Ballygunge, Kolkata, West Bengal 700029","Triangular Park, lake Terrace, Ballygunge",22.5182824,88.35907379999999,ChIJFWui0Uh3AjoRHnUoAYjzAYQ,https://www.google.com/maps/place/?q=place_id:ChIJFWui0Uh3AjoRHnUoAYjzAYQ,part_326,2026-09-20 20:17:16,1423
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 99038 47630,https://stores.trends-footwear.com/trends-footwear-rrl-footprint-lake-mall-kolkata-shoe-shop-lake-market-kolkata-477487/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"3rd Floor, Lake Mall, Unit No 104, Rash Behari Ave, Lake Market, Kalighat, Kolkata, West Bengal 700029","Lake Market, Kalighat",22.5164048,88.34883839999999,ChIJR3jSKOthAjoRd5vZO2SImfE,https://www.google.com/maps/place/?q=place_id:ChIJR3jSKOthAjoRd5vZO2SImfE,part_326,2026-09-20 20:17:16,1424
