business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Paramount's cake shop,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 96098 07000,N/A,4.7,45.0,"WG6H+9C8, Sri Bhumi Pally, Suri, West Bengal 731101",Sri Bhumi Pally,23.910939799999998,87.5285972,ChIJv3ueGABZ9zkRDfSzcDWH8Tg,https://www.google.com/maps/place/?q=place_id:ChIJv3ueGABZ9zkRDfSzcDWH8Tg,part_326,2026-09-20 20:17:10,438
Baker {আমি},Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,5.0,10.0,"Subhas Pally mor, near Shivshakti gym, Suri, West Bengal 731101",731126,23.895003799999998,87.52595319999999,ChIJachKIgBZ9zkRzydfZwRO27Q,https://www.google.com/maps/place/?q=place_id:ChIJachKIgBZ9zkRzydfZwRO27Q,part_326,2026-09-20 20:17:10,439
Sreebhumi Bakes,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 70015 32190,N/A,4.7,68.0,"sp more, Suri Main Rd, Sri Bhumi Pally, Suri, West Bengal 731101",Sri Bhumi Pally,23.918848399999998,87.5214759,ChIJQ_TTpkVZ9zkRqKa9b2ToSEw,https://www.google.com/maps/place/?q=place_id:ChIJQ_TTpkVZ9zkRqKa9b2ToSEw,part_326,2026-09-20 20:17:10,440
Chandrimas Cake Hub,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,4.8,14.0,"near chamelia residency, Sajano pally, Suri, Abdarpur P, West Bengal 731101",Sajano pally,23.8963553,87.522598,ChIJp4qMYg1Z9zkRjoalTht-v2g,https://www.google.com/maps/place/?q=place_id:ChIJp4qMYg1Z9zkRjoalTht-v2g,part_326,2026-09-20 20:17:10,441
CHAND BAKERY,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 90020 10831,http://www.chandbakers.com/,4.8,44.0,"Khodaibag, Rajnagar, Dakbanglo, West Bengal 731130",Khodaibag,23.9449786,87.3261917,ChIJG2E40mhP9zkRtXIkkmLs_Tc,https://www.google.com/maps/place/?q=place_id:ChIJG2E40mhP9zkRtXIkkmLs_Tc,part_326,2026-09-20 20:17:10,442
Biswadali Cake Corner,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 75015 20190,https://www.facebook.com/profile.php?id=100066625596633&mibextid=ZbWKwL,4.9,55.0,"Suri, West Bengal 731101",731126,23.9078075,87.53926729999999,ChIJsfqT6QRZ9zkRDQLqBoXlZ4M,https://www.google.com/maps/place/?q=place_id:ChIJsfqT6QRZ9zkRDQLqBoXlZ4M,part_326,2026-09-20 20:17:10,443
Munni Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,4.3,62.0,"WG4J+WFG, Madrasa Rd, Suri, West Bengal 731101",731126,23.907311099999998,87.5311892,ChIJrRrP9XJY9zkRb4vXL4nNBOM,https://www.google.com/maps/place/?q=place_id:ChIJrRrP9XJY9zkRb4vXL4nNBOM,part_326,2026-09-20 20:17:10,444
Heavenly Bite,Patisserie,Cake shop,Cake shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 62904 78492,https://www.facebook.com/share/1Hc1TgSC3o/,4.9,48.0,"TN Mukherjee Rd, Makaltala, Makhla, Uttarpara, West Bengal 712245","Makaltala, Makhla",22.670800699999997,88.3326091,ChIJQ1Gw-sGD-DkRMN1xaeB5gkc,https://www.google.com/maps/place/?q=place_id:ChIJQ1Gw-sGD-DkRMN1xaeB5gkc,part_326,2026-09-20 20:17:10,445
Madhumita's Cake & Confectionery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,5.0,2.0,"WG2F+PF6, New Dangal Para, Suri, West Bengal 731101",New Dangal Para,23.9017776,87.5236271,ChIJG8QmMABZ9zkR7Ldi4eYr6o8,https://www.google.com/maps/place/?q=place_id:ChIJG8QmMABZ9zkR7Ldi4eYr6o8,part_326,2026-09-20 20:17:10,446
The SAMM's Cake and Pizza,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,https://www.facebook.com/profile.php?id=100069925874207,4.8,11.0,"WG2J+9C, Rabindranath Tagore Rd, near Sukla Bhavan, beside Homeopathy clinic, Suri, West Bengal 731101",731126,23.900937499999998,87.53106249999999,ChIJSauEyCxZ9zkRUfno89Zww1Q,https://www.google.com/maps/place/?q=place_id:ChIJSauEyCxZ9zkRUfno89Zww1Q,part_326,2026-09-20 20:17:10,447
Radharani Store,Patisserie,Wholesale bakery,Wholesale bakery,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,4.4,15.0,"Sainthia- Suri Rd, Suri, West Bengal 731101",731126,23.9101404,87.5303922,ChIJMzJbTQ1Y9zkRHc750qkHdws,https://www.google.com/maps/place/?q=place_id:ChIJMzJbTQ1Y9zkRHc750qkHdws,part_326,2026-09-20 20:17:10,448
LITE BITE,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Breakfast restaurant, Fast food restaurant",731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 73849 06662,N/A,4.1,229.0,"Sri Bhumi Pally, Suri, West Bengal 731101",Sri Bhumi Pally,23.9118462,87.5272936,ChIJO_aX4RJY9zkR-mlNkDERJCY,https://www.google.com/maps/place/?q=place_id:ChIJO_aX4RJY9zkR-mlNkDERJCY,part_326,2026-09-20 20:17:10,449
Bake My Dream,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 79089 53387,N/A,4.1,12.0,"VGWG+R3F, Suri, West Bengal 731101",731126,23.8970678,87.52518309999999,ChIJA-KOQChZ9zkRB8ETVC0p54M,https://www.google.com/maps/place/?q=place_id:ChIJA-KOQChZ9zkRB8ETVC0p54M,part_326,2026-09-20 20:17:10,450
"Mio Amore - The Cake Shop , Suri",Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 99339 61735,https://mioamoreshop.com/,4.2,104.0,"SH6, New Dangal Para, Suri, West Bengal 731101",New Dangal Para,23.903360199999998,87.52783749999999,ChIJWcuvFQBZ9zkRUj-OQHBi9z8,https://www.google.com/maps/place/?q=place_id:ChIJWcuvFQBZ9zkRUj-OQHBi9z8,part_326,2026-09-20 20:17:10,451
Shanti Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,4.3,39.0,"New line, Sarada Pally, Birpara, Birpara Tea Garden, West Bengal 735204",Sarada Pally,26.7180422,89.140812,ChIJWQrN4I2-4zkRwA5piZ0j3q8,https://www.google.com/maps/place/?q=place_id:ChIJWQrN4I2-4zkRwA5piZ0j3q8,part_326,2026-09-20 20:17:10,452
Break fast,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,5.0,1.0,"WG6H+5JR, Sainthia- Suri Rd, Suri, West Bengal 731101",731126,23.9104924,87.5290223,ChIJz24rCwBZ9zkRRUfhIjnZm_c,https://www.google.com/maps/place/?q=place_id:ChIJz24rCwBZ9zkRRUfhIjnZm_c,part_326,2026-09-20 20:17:10,453
"Paupika Cakes & Bakes, Suri",Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,https://www.cakesbakes.in/,5.0,1.0,"Rabindra Pally, Suri - Dubrajpur Rd, Post, Suri, West Bengal 731101",Post,23.897173199999997,87.5258886,ChIJnWTXwl9Z9zkRb8y5fgnIShQ,https://www.google.com/maps/place/?q=place_id:ChIJnWTXwl9Z9zkRb8y5fgnIShQ,part_326,2026-09-20 20:17:10,454
Bhabani Enterprise,Patisserie,Cake shop,Cake shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 86970 54412,N/A,5.0,1.0,"Masjid More, Sainthia- Suri Rd, Sri Bhumi Pally, Suri, West Bengal 731101",Sri Bhumi Pally,23.918789099999998,87.5227594,ChIJaaBS5yFZ9zkR0FebxuwA6Hs,https://www.google.com/maps/place/?q=place_id:ChIJaaBS5yFZ9zkR0FebxuwA6Hs,part_326,2026-09-20 20:17:10,455
