business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Malda dream House,Commercial Real Estate Brokerages,Industrial real estate agency,"Industrial real estate agency, Real Estate Builders & Construction Company",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 90468 98052,N/A,4.9,,"vill-krishnapolly,bapuchu,Eenglishbazar,malda,732124, Malda, West Bengal 732103",Gour,24.886683599999998,88.13401909999999,ChIJnWiuZ8pV-jkRwiDzahr-6gk,https://www.google.com/maps/place/?q=place_id:ChIJnWiuZ8pV-jkRwiDzahr-6gk,part_327,2026-09-20 20:17:42,5121
Commercial Space for Rent,Commercial Real Estate Brokerages,Office space rental agency,Office space rental agency,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 98366 24236,N/A,4.0,,"139/129/206(A, Manaskamana Pally Ln, Gayesh Pur, Malda, West Bengal 732102",Gayesh Pur,25.011211499999998,88.1391072,ChIJ23jcfwD9-jkRkqwZ6z22yvo,https://www.google.com/maps/place/?q=place_id:ChIJ23jcfwD9-jkRkqwZ6z22yvo,part_327,2026-09-20 20:17:42,5122
Property Dealer & Real estate Agent in Malda,Commercial Real Estate Brokerages,Industrial real estate agency,Industrial real estate agency,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 76995 54286,N/A,,,"Vill-Nowdabazar, P.O-Kajigram, Chandipur Rd, P.S, Malda, Chandipur, West Bengal 732103",P.S,24.9895493,88.0842693,ChIJQbFgh2v7-jkRcIhPWiuEox4,https://www.google.com/maps/place/?q=place_id:ChIJQbFgh2v7-jkRcIhPWiuEox4,part_327,2026-09-20 20:17:42,5123
JP BHOOMI,Commercial Real Estate Brokerages,Real estate consultant,"Real estate consultant, Commercial real estate agency, Real Estate Builders & Construction Company, Industrial real estate agency, Real estate rental agency",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 99339 44894,https://jpbhoomi.com/,5.0,,"Pandua, West Bengal 712149",732139,23.0691244,88.270468,ChIJaVbrbJu0c4MRigJNQVo1r4A,https://www.google.com/maps/place/?q=place_id:ChIJaVbrbJu0c4MRigJNQVo1r4A,part_327,2026-09-20 20:17:42,5124
Cholamandalam Investment and Finance Company Limited,Commercial Real Estate Brokerages,Loan agency,"Loan agency, Car finance and loan company, Finance broker, Financial institution, Mortgage lender",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 80 4446 5073,https://www.cholamandalam.com/branch/samsi,5.0,,"Upper Ground Floor, M Hoque building NH 31, near Jay Guru Cinema Hall, Samsi, West Bengal 732139",732139,25.287042099999997,88.0108796,ChIJQYLVIsTD-jkRG3qH87dyJ9A,https://www.google.com/maps/place/?q=place_id:ChIJQYLVIsTD-jkRG3qH87dyJ9A,part_327,2026-09-20 20:17:42,5125
Asansol Properties,Commercial Real Estate Brokerages,Real estate consultant,"Real estate consultant, Service establishment",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,https://asansolproperties.blogspot.com/2020/10/welcome.html,4.2,,"Asansol Properties, 732139, India",732139,23.651800599999998,86.9728954,ChIJRzHdj30f9zkR4PlTgqui7Go,https://www.google.com/maps/place/?q=place_id:ChIJRzHdj30f9zkR4PlTgqui7Go,part_327,2026-09-20 20:17:42,5126
Kutchina Office,Commercial Real Estate Brokerages,Home builder,Home builder,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,,,"92Q6+XWH, Chanchal, West Bengal 732123",732139,25.3899257,88.01234649999999,ChIJI3fdREDb-jkR1RhhKB_tS0M,https://www.google.com/maps/place/?q=place_id:ChIJI3fdREDb-jkR1RhhKB_tS0M,part_327,2026-09-20 20:17:42,5127
Sabir BBC Property Relator Malda,Commercial Real Estate Brokerages,Commercial real estate agency,Commercial real estate agency,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 86173 13140,https://sabiralibbcpropertyrealtor.netlify.app/,,,"Do, Binoy Sarkar Rd, near Akromoni School, Malda, West Bengal 732101",732139,25.0045918,88.145442,ChIJizZWRIz9-jkRZ4llAQHxnlE,https://www.google.com/maps/place/?q=place_id:ChIJizZWRIz9-jkRZ4llAQHxnlE,part_327,2026-09-20 20:17:42,5128
MALDA REAL ESTATE,Commercial Real Estate Brokerages,Consultant,Consultant,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,,,"6/6, Rina Mandal Rd, North Baluchar, Malda, West Bengal 732101",North Baluchar,25.0016841,88.1488937,ChIJ9wJiSJn9-jkRYkDge6Ymrbo,https://www.google.com/maps/place/?q=place_id:ChIJ9wJiSJn9-jkRYkDge6Ymrbo,part_327,2026-09-20 20:17:43,5129
KLC Commercial Estates | Commercial & Industrial Real Estate Consultant,Commercial Real Estate Brokerages,Commercial real estate agency,"Commercial real estate agency, Commercial agent, Industrial real estate agency, Property investment company, Real estate consultant",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,https://klccommercial.in/,5.0,,"ANO 505, North Tower, Astra Towers, AA II, Newtown, Kolkata, West Bengal 700164","AA II, Newtown",22.619548299999998,88.46555239999999,ChIJ5xaZJ1tP26gROoOkCpHtFIw,https://www.google.com/maps/place/?q=place_id:ChIJ5xaZJ1tP26gROoOkCpHtFIw,part_327,2026-09-20 20:17:44,5130
