business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mahabir Fruit Agency,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.7,3.0,"Regulated Market, Malda, West Bengal 732103",732139,24.9790748,88.13700779999999,ChIJZduEu4X_-jkR1A_O3VJe4ro,https://www.google.com/maps/place/?q=place_id:ChIJZduEu4X_-jkR1A_O3VJe4ro,part_327,2026-09-20 20:17:13,153
KUNDU AND SONS IMPEX,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.0,4.0,"Room no - J8,Malda Zilla regulated market, Malda, West Bengal 732103",732139,24.979269,88.1365695,ChIJs1-Q4fv_-jkR_dka_60l3x8,https://www.google.com/maps/place/?q=place_id:ChIJs1-Q4fv_-jkR_dka_60l3x8,part_327,2026-09-20 20:17:13,154
Baba Shyam Dry Fruits,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Chocolate shop",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 98008 08020,N/A,4.0,5.0,"SP Road, Malda, West Bengal 732101",732139,25.00031,88.14820089999999,ChIJk0HZ3uL9-jkRmVaQaJAxpy8,https://www.google.com/maps/place/?q=place_id:ChIJk0HZ3uL9-jkRmVaQaJAxpy8,part_327,2026-09-20 20:17:13,155
WhiteCrop AgroFarm Pvt. Ltd.,Dry Fruits and Spices Wholesaler,Food manufacturing supply,Food manufacturing supply,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 88856 11805,https://whitecrops.com/,4.9,31.0,"Sonapur, Bhaluka Road, Station, Kariali, West Bengal 732125",Station,25.317984499999998,87.9239549,ChIJP-Ubw6zB-jkR3pV67mz_hqQ,https://www.google.com/maps/place/?q=place_id:ChIJP-Ubw6zB-jkR3pV67mz_hqQ,part_327,2026-09-20 20:17:13,156
Arrays amayra (Cosmetics Dry fruits & Spices),Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 95259 15338,N/A,5.0,,"Anand Chikitsalaya road, Patal Babu Rd, near reliance trend, Sujaganj, Bhagalpur, Bihar 812001",Sujaganj,25.2443088,86.97826309999999,ChIJM8LwD11L8DkRN-C1GsdxPxE,https://www.google.com/maps/place/?q=place_id:ChIJM8LwD11L8DkRN-C1GsdxPxE,part_327,2026-09-20 20:17:14,157
Mahesh Mewawala,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Spice store",732140,West Bengal Circle,North Bengal Region,Malda Division,"Tulsihatta SO, Bangrua BO, Bhatolchandipur BO",+91 76022 56914,https://www.maheshmewawala.co.in/,4.8,,"Abdul latif lane, NS Rd, Naiki hatia, Asansol, West Bengal 713301","Naiki hatia, Pathak Bari",23.6833144,86.9740691,ChIJ-aYv3ccf9zkRJfpmC8PN3fo,https://www.google.com/maps/place/?q=place_id:ChIJ-aYv3ccf9zkRJfpmC8PN3fo,part_327,2026-09-20 20:17:50,6127
Al Madina Dryfruits and Spices,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Spice store",732140,West Bengal Circle,North Bengal Region,Malda Division,"Tulsihatta SO, Bangrua BO, Bhatolchandipur BO",+91 74284 45679,N/A,4.8,,"opposite of Durga mandir, Khagragorh, Saraitikar, Bardhaman, West Bengal 713104",Khagragorh,23.260392,87.8475991,ChIJ64Y4oEw3-DkRsr3swb2wXio,https://www.google.com/maps/place/?q=place_id:ChIJ64Y4oEw3-DkRsr3swb2wXio,part_327,2026-09-20 20:17:50,6128
D ORGANO,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,732140,West Bengal Circle,North Bengal Region,Malda Division,"Tulsihatta SO, Bangrua BO, Bhatolchandipur BO",+91 86176 45386,https://www.dorgano.in/,5.0,,"214, BC Rd, opposite Satya Pharmacy, BARABAZAR, Pairakhana, Bardhaman, West Bengal 713104","BARABAZAR, Pairakhana",23.2403494,87.8539814,ChIJ-bvAdHtJ-DkRvyavTcflt4A,https://www.google.com/maps/place/?q=place_id:ChIJ-bvAdHtJ-DkRvyavTcflt4A,part_327,2026-09-20 20:17:50,6129
GURU KRIPA DRY FRUITS AND SPICES,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,732140,West Bengal Circle,North Bengal Region,Malda Division,"Tulsihatta SO, Bangrua BO, Bhatolchandipur BO",+91 79800 56057,http://www.gkkajuwala.com/,4.4,,"67/40 strand road, cross, road 11, Kolkata, West Bengal 700006",Jorabagan,22.589181099999998,88.3518593,ChIJg9iVR693AjoRtNTNzieAIQ4,https://www.google.com/maps/place/?q=place_id:ChIJg9iVR693AjoRtNTNzieAIQ4,part_327,2026-09-20 20:17:50,6130
Nirvik Traders wholesaler of Spices and Dry fruits.,Dry Fruits and Spices Wholesaler,Wholesale grocer,Wholesale grocer,732140,West Bengal Circle,North Bengal Region,Malda Division,"Tulsihatta SO, Bangrua BO, Bhatolchandipur BO",+91 85848 75519,N/A,4.6,,"167, Netaji Subhas Rd. Rajakatra building gate number 2 from front (facing howrah bridge)And gate 9 from, behind Entrance Rd, Kolkata, West Bengal 700007","Raja Katra, Jorasanko",22.5832007,88.3503728,ChIJd7I3Pq53AjoR6J6kAP6RPcA,https://www.google.com/maps/place/?q=place_id:ChIJd7I3Pq53AjoR6J6kAP6RPcA,part_327,2026-09-20 20:17:50,6131
Dry Fruit Wala,Dry Fruits and Spices Wholesaler,Store,Store,732140,West Bengal Circle,North Bengal Region,Malda Division,"Tulsihatta SO, Bangrua BO, Bhatolchandipur BO",+91 89062 55001,N/A,4.8,,"Raniganj Bazar, Khosbagan, Bardhaman, West Bengal 713101",Khosbagan,23.241128999999997,87.8658432,ChIJTRr6zoZJ-DkRAj024P3kXo4,https://www.google.com/maps/place/?q=place_id:ChIJTRr6zoZJ-DkRAj024P3kXo4,part_327,2026-09-20 20:17:50,6132
Siraj Cashew Trading,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,732140,West Bengal Circle,North Bengal Region,Malda Division,"Tulsihatta SO, Bangrua BO, Bhatolchandipur BO",+91 97399 39157,N/A,5.0,,"Sitalpur, Contai, West Bengal 721433",732140,21.7643222,87.6667779,ChIJeXAYqf4pAzoRsIND4P66e5Q,https://www.google.com/maps/place/?q=place_id:ChIJeXAYqf4pAzoRsIND4P66e5Q,part_327,2026-09-20 20:17:50,6133
Joy Maa Shakambari Stores,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Indian grocery store",732140,West Bengal Circle,North Bengal Region,Malda Division,"Tulsihatta SO, Bangrua BO, Bhatolchandipur BO",+91 98516 88418,N/A,4.4,,"Miya Bazar Rd, Midnapore, West Bengal 721101",732140,22.4154961,87.3230143,ChIJGeAuSTZbHToRQ7RTTWHHNq4,https://www.google.com/maps/place/?q=place_id:ChIJGeAuSTZbHToRQ7RTTWHHNq4,part_327,2026-09-20 20:17:50,6134
