business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ranumor,Organic Food Store,Organic food store,Organic food store,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,3.3,,"5XCH+W4M, Purba Radhanagar, West Bengal 732204",732139,25.1727816,87.97671749999999,ChIJkUhMXRTv-jkRrzfYCGx4AqI,https://www.google.com/maps/place/?q=place_id:ChIJkUhMXRTv-jkRrzfYCGx4AqI,part_327,2026-09-20 20:17:13,46
Kajol Food Store,Organic Food Store,Dry Fruit Store,Dry Fruit Store,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,3.5,,"72G6+P68, Railway station Road, Andhirampara Ratua, Samsi, West Bengal 732139",732139,25.276787799999997,88.01056729999999,ChIJFxR4oqzC-jkRrauDKUN4XVI,https://www.google.com/maps/place/?q=place_id:ChIJFxR4oqzC-jkRrauDKUN4XVI,part_327,2026-09-20 20:17:13,47
Suti Daily Market,Organic Food Store,Farmers' market,Farmers' market,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,3.7,,"9X84+XFG, Suti, Maslandapur, West Bengal 732123",732139,25.3674389,87.9562067,ChIJ6WZteXbE-jkRfKXYnhAqv0Q,https://www.google.com/maps/place/?q=place_id:ChIJ6WZteXbE-jkRfKXYnhAqv0Q,part_327,2026-09-20 20:17:13,48
Bengol Testy,Organic Food Store,Spices Wholesaler,"Spices Wholesaler, Spice store",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 88267 87018,https://bengoltesty.in/,4.9,,"adarsha polly, Chanchal, West Bengal 732123",732139,25.3914764,88.0094539,ChIJJzfwn9DF-jkROajFkg6S9-I,https://www.google.com/maps/place/?q=place_id:ChIJJzfwn9DF-jkROajFkg6S9-I,part_327,2026-09-20 20:17:13,49
Sarda oil mill,Organic Food Store,Spice store,"Spice store, Oil refinery",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.5,,"sukanto mor, Chanchal, West Bengal 732123",sukanto mor,25.392515099999997,88.0057629,ChIJQTCnrBHF-jkROCkgiRpA3wo,https://www.google.com/maps/place/?q=place_id:ChIJQTCnrBHF-jkROCkgiRpA3wo,part_327,2026-09-20 20:17:13,50
RASHED SAR BHANDAR,Organic Food Store,Fertilizer Store,Fertilizer Store,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 79088 33881,N/A,4.6,,"Rajeshwar More, Kariali, West Bengal 732125",732139,25.3318218,87.9166212,ChIJdXzPT2zB-jkRJkur4TBmLZU,https://www.google.com/maps/place/?q=place_id:ChIJdXzPT2zB-jkRJkur4TBmLZU,part_327,2026-09-20 20:17:13,51
Paranpur Naya Bazaar,Organic Food Store,Market,Market,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 97754 71575,http://www.facebook.com/paranpur,3.9,,"Unnamed Road, Uttar Pranpur, West Bengal 732139",732139,25.2970372,87.9320008,ChIJz11-FYrB-jkRBBogr8NR-hY,https://www.google.com/maps/place/?q=place_id:ChIJz11-FYrB-jkRBBogr8NR-hY,part_327,2026-09-20 20:17:13,52
Sariful Mart,Organic Food Store,Indian grocery store,Indian grocery store,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 85139 87250,N/A,3.4,,"Battala, Bhado, West Bengal 732139",Battala,25.230348799999998,87.956706,ChIJGx5obtvp-jkRoojsLr7IMWA,https://www.google.com/maps/place/?q=place_id:ChIJGx5obtvp-jkRoojsLr7IMWA,part_327,2026-09-20 20:17:13,53
"The family hub,feel like family",Organic Food Store,Family restaurant,Family restaurant,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 70479 60318,https://thefamilyhub.shopto.store/,4.4,,"Maharajnagar haripur pukhuria, Malda, West Bengal 732102",Maharajnagar(Kalumore),25.1804228,88.0294021,ChIJ_3K0Tt3n-jkROWdO5ahuxFw,https://www.google.com/maps/place/?q=place_id:ChIJ_3K0Tt3n-jkROWdO5ahuxFw,part_327,2026-09-20 20:17:13,54
Reliance Smart Point,Organic Food Store,Grocery store,Grocery store,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,https://relianceretail.com/,4.2,,"Chanchal, opp to Chancal 1 No Block office, West Bengal 732123",732139,25.3921803,88.0100701,ChIJbYlfSkrF-jkR8qvZ1DkQcAQ,https://www.google.com/maps/place/?q=place_id:ChIJbYlfSkrF-jkR8qvZ1DkQcAQ,part_327,2026-09-20 20:17:13,55
