business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
WB Golam Samsi Bismillah house Kandaran,Property Developers,Housing society,Housing society,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,5.0,,"7XPP+27G, Kandaran, West Bengal 732139",732139,25.2850738,87.9856894,ChIJKYFQSQDD-jkR0YaTp2Uu3BI,https://www.google.com/maps/place/?q=place_id:ChIJKYFQSQDD-jkR0YaTp2Uu3BI,part_327,2026-09-20 20:17:43,5140
Bijan Munda Bari 🏠🏠,Property Developers,Housing development,Housing development,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.0,,"7XPW+HM, Kandaran, West Bengal 732139",732139,25.286359599999997,87.9967107,ChIJ1Tr7MwDD-jkR6orFFiA3oMg,https://www.google.com/maps/place/?q=place_id:ChIJ1Tr7MwDD-jkR6orFFiA3oMg,part_327,2026-09-20 20:17:43,5141
Mohadipur,Property Developers,Housing development,Housing development,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.0,,"72F3+9GQ, Samsi, West Bengal 732139",732139,25.2734663,88.0038707,ChIJiRB8yGDD-jkRqmlr4qQTaVw,https://www.google.com/maps/place/?q=place_id:ChIJiRB8yGDD-jkRqmlr4qQTaVw,part_327,2026-09-20 20:17:43,5142
SHANAI'S HOME,Property Developers,Housing society,Housing society,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,5.0,,"72J6+6HF, Baidyanathpur, Samsi, West Bengal 732139",Baidyanathpur,25.2805577,88.0114179,ChIJ7ypLZQDD-jkR1OTV8rXshzk,https://www.google.com/maps/place/?q=place_id:ChIJ7ypLZQDD-jkR1OTV8rXshzk,part_327,2026-09-20 20:17:43,5143
UPM,Property Developers,Housing society,Housing society,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.6,,"7292+MP5, Samsi, West Bengal 732139",732139,25.2694063,88.0019652,ChIJcfwFboLp-jkRSjxxv5Y0f_8,https://www.google.com/maps/place/?q=place_id:ChIJcfwFboLp-jkRSjxxv5Y0f_8,part_327,2026-09-20 20:17:43,5144
Mohesh Pur,Property Developers,Housing society,Housing society,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,5.0,,"72FJ+P9, Gangadebi, West Bengal 732139",732139,25.2743438,88.031025,ChIJo7Br9c3d-jkRq-taSdYxfVs,https://www.google.com/maps/place/?q=place_id:ChIJo7Br9c3d-jkRq-taSdYxfVs,part_327,2026-09-20 20:17:43,5145
Mustak Kaliganj,Property Developers,Housing society,Housing society,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,5.0,,"Bus Stand, Samsi Rd, Kaliganj, Gobinda Para, West Bengal 732139",732139,25.3116305,88.01736869999999,ChIJxfN7KwDd-jkRU8QEg5h51c4,https://www.google.com/maps/place/?q=place_id:ChIJxfN7KwDd-jkRU8QEg5h51c4,part_327,2026-09-20 20:17:43,5146
Gangarampara গঙ্গারাম পাড়া,Property Developers,Housing development,Housing development,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.8,,"72H9+23P, Gangarampara, Samsi, West Bengal 732139",732139,25.2775875,88.01770309999999,ChIJfwWsYwDd-jkRTu_HED4PncE,https://www.google.com/maps/place/?q=place_id:ChIJfwWsYwDd-jkRTu_HED4PncE,part_327,2026-09-20 20:17:43,5147
Madhubana Village,Property Developers,Housing society,Housing society,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.0,,"8233+37C, Madhubana, PO, PS, Chanchal-II, Kandaran, West Bengal 732139",Chanchal-II,25.3026949,88.00315239999999,ChIJK5YATADD-jkRujMPr_TDxis,https://www.google.com/maps/place/?q=place_id:ChIJK5YATADD-jkRujMPr_TDxis,part_327,2026-09-20 20:17:43,5148
Dinesh Ghosh Home,Property Developers,Housing development,Housing development,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,5.0,,"8X5R+85W, Meghdumra, West Bengal 732139",732139,25.3083581,87.9904589,ChIJqQcpBwvD-jkRPcUzk5J8PRE,https://www.google.com/maps/place/?q=place_id:ChIJqQcpBwvD-jkRPcUzk5J8PRE,part_327,2026-09-20 20:17:43,5149
