business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
B D Tyer Chanchal,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 75010 21020,N/A,5.0,4.0,"92W4+FRC, Khelanpur, Chanchal, West Bengal 732123",732139,25.396619299999998,88.0008403,ChIJWSaFDADF-jkRgf_ghLU0PNU,https://www.google.com/maps/place/?q=place_id:ChIJWSaFDADF-jkRgf_ghLU0PNU,part_327,2026-09-20 20:17:25,2269
MRF Tyres T&S - S G Tyre,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 97341 74431,https://dealers.mrftyres.com/mrf-tyres-t-s-s-g-tyre-tyre-shop-gayesh-pur-malda-430642/Home,4.3,35.0,"Kani More, M K ROAD, Bidhan Pally.Jhaljhalia, Malda, West Bengal 732101",732139,25.0111352,88.1358284,ChIJHdFu2sn9-jkRxWH63NoucV4,https://www.google.com/maps/place/?q=place_id:ChIJHdFu2sn9-jkRxWH63NoucV4,part_327,2026-09-20 20:17:25,2270
"Matri Traders Tyres, Malda",Tyre Showroom and Puncture Shop,Tire shop,Tire shop,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 85368 33069,N/A,4.6,20.0,"15/11, NH12, near Food Corporation Of India Godown, Mangalbari, West Bengal 732142",732139,25.0198398,88.1510564,ChIJLX-PJ5f9-jkRhwmGfUTlY0g,https://www.google.com/maps/place/?q=place_id:ChIJLX-PJ5f9-jkRhwmGfUTlY0g,part_327,2026-09-20 20:17:25,2271
Ahmed Auto Traders,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 91621 18016,N/A,5.0,14.0,"Chanchal Nayatola, Panchayat, beside Bhakri, Chanchal, West Bengal 732123",732139,25.388433199999998,88.0047932,ChIJmTgiOdvF-jkRVDRBPv3OGuY,https://www.google.com/maps/place/?q=place_id:ChIJmTgiOdvF-jkRVDRBPv3OGuY,part_327,2026-09-20 20:17:25,2272
Apollo Tyres - Jain Tyres And Automobiles Pvt Ltd,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Wheel alignment service, Wheel store",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 96194 39698,https://store.apollotyres.com/apollo-tyres-jain-tyres-and-automobiles-pvt-ltd-tyre-shop-jadupur-malda-131428/Home?utm_source=locator&utm_medium=googleplaces,4.4,8.0,"Ground Floor, Gabgachi, Jadupur, Malda, West Bengal 732101",Gabgachi,25.0017841,88.1383092,ChIJ_X9egj_9-jkRX0aOA4gW8aU,https://www.google.com/maps/place/?q=place_id:ChIJ_X9egj_9-jkRX0aOA4gW8aU,part_327,2026-09-20 20:17:25,2273
MANDAL TYRE REPAIR CENTER,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,5.0,2.0,"NH 12, Bade Mayna, Mayna, West Bengal 732124",732139,25.287676899999997,88.1625976,ChIJZ2B51rPf-jkRV78JS1_YM7w,https://www.google.com/maps/place/?q=place_id:ChIJZ2B51rPf-jkRV78JS1_YM7w,part_327,2026-09-20 20:17:25,2274
Chanchal Tyre house,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.2,6.0,"92W2+GW7 SUNNY PARK, NH81, Chanchal, Khelanpur, West Bengal 732123",732139,25.396361,88.00229279999999,ChIJJ88vzxrF-jkRjAOHCI0kWYU,https://www.google.com/maps/place/?q=place_id:ChIJJ88vzxrF-jkRjAOHCI0kWYU,part_327,2026-09-20 20:17:25,2275
Ratua baikunthapur samsi Road.,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,,,"6W3J+88R, Ratua Swami Vivekananda School Rd, Baikunthapur, Ratua, West Bengal 732205",732139,25.2027242,87.93018289999999,ChIJGzNyMwDr-jkRF5nAC14CtFA,https://www.google.com/maps/place/?q=place_id:ChIJGzNyMwDr-jkRF5nAC14CtFA,part_327,2026-09-20 20:17:25,2276
MRF Tyres Exclusive - B K Tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 94341 54416,https://dealers.mrftyres.com/mrf-tyres-exclusive-b-k-tyres-tyre-shop-gazole-malda-431414/Home,4.8,4.0,"Rangabhita, Gazole, West Bengal 732124",732139,25.214062499999997,88.18493749999999,ChIJYS9ftwYf-zkRv8-FksGhZa0,https://www.google.com/maps/place/?q=place_id:ChIJYS9ftwYf-zkRv8-FksGhZa0,part_327,2026-09-20 20:17:25,2277
BIRLA/CEAT TYRE SHOP,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.0,9.0,"242R+F2G, Rabindra Ave, Malda, West Bengal 732101",732139,25.001185099999997,88.14008079999999,ChIJr1g3a8X9-jkRrZ87OPFvTpI,https://www.google.com/maps/place/?q=place_id:ChIJr1g3a8X9-jkRrZ87OPFvTpI,part_327,2026-09-20 20:17:25,2278
