business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Pampearl Pharmacy – 24/7 Chemist & Medical Store in Siliguri,24 Hour Pharmacy,Pharmacy,"Pharmacy, Children's hospital, Drug store, Health and beauty shop, Health consultant, Medical supply store, Vitamin & supplements store, Wellness center",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 96356 94545,https://pampearlhospitals.com/?utm_source=google-map-website&utm_medium=map&utm_campaign=gmb&utm_content=pampearl-pharmacy,4.5,52.0,"Pampearl Hospital, Burdwan Rd, opposite Goriyo Math, near Jalpai More, Ward 31, Saktigarh, Siliguri, West Bengal 734005","Ward 31, Saktigarh",26.6963406,88.4111803,ChIJoZNg319B5DkR2ywt1wbSv2w,https://www.google.com/maps/place/?q=place_id:ChIJoZNg319B5DkR2ywt1wbSv2w,part_328,2026-09-20 20:17:20,1575
Apollo Pharmacy Siliguri Pradhan Nagar,24 Hour Pharmacy,Pharmacy,"Pharmacy, Baby store, Drug store, Health and beauty shop, Herbal medicine store, Medical equipment supplier",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 79 4281 2934,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,4.1,39.0,"Ground Flr, Meghnad Saha Sarani, nr. Green Park Aprt, Ward 2, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 2, Pradhan Nagar",26.7294508,88.4149941,ChIJfRE0P7dB5DkRcbaEiHgVHEI,https://www.google.com/maps/place/?q=place_id:ChIJfRE0P7dB5DkRcbaEiHgVHEI,part_328,2026-09-20 20:17:20,1576
Rishta Medical,24 Hour Pharmacy,Pharmacy,Pharmacy,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 93326 60903,N/A,4.9,46.0,"Ground Floor, Shree Krishna Vandan, Zilla Parishad Rd, Jyoti Nagar, Ward -41, Siliguri, West Bengal 734001","Jyoti Nagar, Ward -41",26.743447,88.44558579999999,ChIJh8FnkOJB5DkRkBXbPfPZ_Oc,https://www.google.com/maps/place/?q=place_id:ChIJh8FnkOJB5DkRkBXbPfPZ_Oc,part_328,2026-09-20 20:17:20,1577
MITRA PHARMACY,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98323 27051,N/A,4.0,1.0,"Balaka road,balaka more,sukantapally,ward no-32, Siliguri, West Bengal 734005","Ward 32, Tinbatti More",26.690723,88.41767899999999,ChIJ9SemoOFD5DkR5uYUmGCdjk0,https://www.google.com/maps/place/?q=place_id:ChIJ9SemoOFD5DkR5uYUmGCdjk0,part_328,2026-09-20 20:17:20,1578
Apollo Pharmacy Netaji More,24 Hour Pharmacy,Pharmacy,"Pharmacy, Baby store, Drug store, Health and beauty shop, Herbal medicine store, Medical equipment supplier",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 79 4284 5685,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,4.0,66.0,"Ground Floor, 1/1/1/A, Main Road, Ashrampara, Subhas Pally, Siliguri, West Bengal 734001","Ashrampara, Subhas Pally",26.708199,88.4345105,ChIJyQCXwnBB5DkRaLeef2evf2E,https://www.google.com/maps/place/?q=place_id:ChIJyQCXwnBB5DkRaLeef2evf2E,part_328,2026-09-20 20:17:20,1579
Aall Is Well Pharmacy,24 Hour Pharmacy,Pharmacy,"Pharmacy, Doctor, Drug store, Medical Center",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 97333 44453,http://aalliswellpharmacy.in/,4.1,102.0,"PBR Towers, Sevoke Rd, Ward 42, Don Bosco Colony, Siliguri, West Bengal 734001","Ward 42, Don Bosco Colony",26.746946899999998,88.4380183,ChIJa8oyItdB5DkR3sH8tx2WPuk,https://www.google.com/maps/place/?q=place_id:ChIJa8oyItdB5DkR3sH8tx2WPuk,part_328,2026-09-20 20:17:20,1580
Apollo Pharmacy Haiderpara,24 Hour Pharmacy,Pharmacy,"Pharmacy, Baby store, Drug store, Health and beauty shop, Herbal medicine store, Medical equipment supplier",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 79 4281 2946,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,4.2,44.0,"Grpund Floor, Haiderpara Main Rd, Ward 39, Haidar Para, Siliguri, West Bengal 734006","Ward 39, Haidar Para",26.7209103,88.4366888,ChIJpxmXvg5B5DkRLIla3oEHVGI,https://www.google.com/maps/place/?q=place_id:ChIJpxmXvg5B5DkRLIla3oEHVGI,part_328,2026-09-20 20:17:20,1581
Guru Nanak Medical,24 Hour Pharmacy,Pharmacy,"Pharmacy, Pharmaceutical Products Wholesaler, Surgical supply store",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98320 17083,N/A,4.6,19.0,"Sevoke Rd, opposite Gurudwara, Ward 11, Near Pani Tanki More (Clock Tower), Siliguri, West Bengal 734001","Ward 11, Near Pani Tanki More (Clock Tower)",26.718947999999997,88.42586349999999,ChIJuaa0nxRB5DkRKp12tojcJkA,https://www.google.com/maps/place/?q=place_id:ChIJuaa0nxRB5DkRKp12tojcJkA,part_328,2026-09-20 20:17:20,1582
Bhagat Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90643 39097,N/A,5.0,29.0,"Purba Sepai Para, South Colony, Bhalobasa More, Nayapara, Siliguri, West Bengal 735135","South Colony, Bhalobasa More, Nayapara",26.668369199999997,88.4423417,ChIJLy34aQBD5DkR_LQQPedqfH4,https://www.google.com/maps/place/?q=place_id:ChIJLy34aQBD5DkR_LQQPedqfH4,part_328,2026-09-20 20:17:20,1583
Sumit Medico,24 Hour Pharmacy,Pharmacy,Pharmacy,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 78658 65457,N/A,4.6,31.0,"18, Hill Cart Rd, Ward 6, Janta Nagar, Siliguri, West Bengal 734001","Ward 6, Janta Nagar",26.7171573,88.4214272,ChIJN269rGpB5DkR4P7j8h6QMFk,https://www.google.com/maps/place/?q=place_id:ChIJN269rGpB5DkR4P7j8h6QMFk,part_328,2026-09-20 20:17:20,1584
