business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
NB CONSTRUCTIONS AND BUILDERS,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 97334 50209,N/A,4.8,6.0,"Ward 46, Champasari, Siliguri, West Bengal 734003","Ward 46, Champasari",26.7486316,88.4164625,ChIJ-_82viZB5DkRO4xYW4aAeO0,https://www.google.com/maps/place/?q=place_id:ChIJ-_82viZB5DkRO4xYW4aAeO0,part_328,2026-09-20 20:17:31,3348
Singhainfra & co.,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 96358 68211,https://singhainfra.in/,5.0,54.0,"Asian Highway 02, Kamrangaguri, Siliguri, Fulbari, West Bengal 734015",Kamrangaguri,26.6625162,88.4181717,ChIJcc75yBBD5DkRTDe5MtnXDv0,https://www.google.com/maps/place/?q=place_id:ChIJcc75yBBD5DkRTDe5MtnXDv0,part_328,2026-09-20 20:17:31,3349
Akansha Construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,http://akanshaconstruction.in/,4.5,4.0,"Karki Niwas, Lane No. 4, Agam Singh Giri Nagar, opposite to Delhi Public School, Dagapur, Siliguri, West Bengal 734003","Kabi Agam Singh Nagar, Dagapur",26.7421561,88.3970808,ChIJMzX8ishH5DkRQj6dUI2PtvE,https://www.google.com/maps/place/?q=place_id:ChIJMzX8ishH5DkRQj6dUI2PtvE,part_328,2026-09-20 20:17:31,3350
SNS Constructions Office,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Store",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 89186 88721,N/A,4.8,6.0,"Gulma Station Rd, Mohorgon Tea Garden, West Bengal 734003",734003,26.7862911,88.41542179999999,ChIJCarXP8VB5DkRg141D2YPj-Q,https://www.google.com/maps/place/?q=place_id:ChIJCarXP8VB5DkRg141D2YPj-Q,part_328,2026-09-20 20:17:31,3351
Pave Infrastructure Pvt. Ltd.,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 353 259 0328,https://www.paveinfrastructure.com/,4.2,51.0,"JEEVANDEEP BUILDING, Ward 42, Salugara, Siliguri, West Bengal 734008","Ward 42, Salugara",26.7649731,88.4452431,ChIJlQDNVGdA5DkRaNBh4OFd_Ss,https://www.google.com/maps/place/?q=place_id:ChIJlQDNVGdA5DkRaNBh4OFd_Ss,part_328,2026-09-20 20:17:31,3352
QUANTUMIZE INFRASTRUCTURE,Civil Contractor and Builder,Steel construction company,Steel construction company,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 92391 75421,N/A,5.0,10.0,"Champasari, Siliguri, West BengalQCP8+J6, Siliguri, West Bengal 734003","Ward 46, Champasari",26.7520426,88.4161874,ChIJK1ZCOLxB5DkRYbWI9dP75ds,https://www.google.com/maps/place/?q=place_id:ChIJK1ZCOLxB5DkRYbWI9dP75ds,part_328,2026-09-20 20:17:31,3353
Aarpee Infraprojects Pvt Limited,Civil Contractor and Builder,Contractor,Contractor,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 353 254 8549,N/A,4.1,26.0,"Room No 201 , 2nd Floor, Infinity Square, Sevoke Rd, Ward 43, Siliguri, West Bengal 734001",Ward 43,26.741193,88.43504999999999,ChIJuZFC__1A5DkR0KUCtS_fg7Q,https://www.google.com/maps/place/?q=place_id:ChIJuZFC__1A5DkR0KUCtS_fg7Q,part_328,2026-09-20 20:17:31,3354
PD Designs | Interior Design & Building Construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, General contractor, Home builder, Interior construction contractor, Interior designer",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 70297 95883,https://sites.google.com/view/pddesigns/home,5.0,2.0,"Meghnad Saha Sarani by-lane, Nivedita Rd, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 2, Pradhan Nagar",26.7319376,88.4164606,ChIJD3c_HQBB5DkRNKd4n5qyNb4,https://www.google.com/maps/place/?q=place_id:ChIJD3c_HQBB5DkRNKd4n5qyNb4,part_328,2026-09-20 20:17:31,3355
Kamac,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 353 264 1153,http://kamac.in/,4.3,21.0,"Ramkrishna Samity Building, Panitanki More, 40/107, Sevoke Rd, Ward 11, Near Pani Tanki More (Clock Tower), Siliguri, West Bengal 734001","Ward 11, Near Pani Tanki More (Clock Tower)",26.7201047,88.4266131,ChIJ71xYdhNB5DkRD43q9PLrM-U,https://www.google.com/maps/place/?q=place_id:ChIJ71xYdhNB5DkRD43q9PLrM-U,part_328,2026-09-20 20:17:31,3356
Kanan Associate,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,4.1,14.0,"T/289, T/359 Bidhan Road, Bidhan Market Rd, opp. Hotel Raj Biraj, Ward 12, Hakim Para, Siliguri, West Bengal 734001","Ward 12, Hakim Para",26.7172467,88.4266652,ChIJU6PvdwBB5DkR3uZTPLxnGWs,https://www.google.com/maps/place/?q=place_id:ChIJU6PvdwBB5DkR3uZTPLxnGWs,part_328,2026-09-20 20:17:31,3357
Optimal Dealers & Designers,Civil Contractor and Builder,Manufacturer,"Manufacturer, Ceiling supplier, Double glazing installer, Interior construction contractor, Interior designer, Modular home builder, PVC windows supplier, Railing contractor, Window installation service, Window supplier",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 99989 15049,N/A,4.9,28.0,"Sisabari, Kolabari, Milanmore, Champasari road, near Silver Dale, Siliguri, West Bengal 734003",734003,26.7785565,88.4216823,ChIJuQG3trxA5DkRhyHk-BtoPL0,https://www.google.com/maps/place/?q=place_id:ChIJuQG3trxA5DkRhyHk-BtoPL0,part_328,2026-09-20 20:17:31,3358
Maa shanti enterprise,Civil Contractor and Builder,Home builder,Home builder,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,1.0,"Devidanga, Siliguri, Kalabari, West Bengal 734003",Devidanga,26.7665585,88.4198718,ChIJNQ5EOABB5DkRhn9M3GG6r8I,https://www.google.com/maps/place/?q=place_id:ChIJNQ5EOABB5DkRhn9M3GG6r8I,part_328,2026-09-20 20:17:31,3359
LAND SURVEYOR AND BUILDING CONSTRUCTION BOOTH,Civil Contractor and Builder,Civil engineering company,Civil engineering company,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,,,"SARKAR ROAD, Samar Nagar, BATTALA, Champasari, Siliguri, West Bengal 734003","Samar Nagar, BATTALA, Champasari",26.7499681,88.4223566,ChIJIUQNG_tB5DkRLgsGCKIeqYY,https://www.google.com/maps/place/?q=place_id:ChIJIUQNG_tB5DkRLgsGCKIeqYY,part_328,2026-09-20 20:17:31,3360
AROHI SON'S CIVIL CONTRACTORS AND INTERIORS,Civil Contractor and Builder,Interior construction contractor,Interior construction contractor,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 70014 46153,https://www.instagram.com/arohisonsinterior?igsh=ZnN3d2VnMXk5aWk5,,,"BANDRIJOT, Dagapur, Siliguri, Bara Gharia, West Bengal 734003","BANDRIJOT, Dagapur",26.7425198,88.40077889999999,ChIJLZRuda5H5DkR-q_8zZpyTjs,https://www.google.com/maps/place/?q=place_id:ChIJLZRuda5H5DkR-q_8zZpyTjs,part_328,2026-09-20 20:17:31,3361
Urbancraft Construction- Design & Developers,Civil Contractor and Builder,Interior construction contractor,Interior construction contractor,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 70019 61075,N/A,5.0,3.0,"46, Champasari Rd, Indrapally, Champasari, Siliguri, West Bengal 734003","Indrapally, Champasari",26.7396697,88.4158944,ChIJt8nNOQBB5DkRQEtyLONrr3g,https://www.google.com/maps/place/?q=place_id:ChIJt8nNOQBB5DkRQEtyLONrr3g,part_328,2026-09-20 20:17:31,3362
Nirod construction Worker (-),Civil Contractor and Builder,Interior construction contractor,Interior construction contractor,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,,,"QC27+255, Ward 46, Champasari, Siliguri, West Bengal 734003","Ward 46, Champasari",26.750007,88.4129974,ChIJt7q5GgBB5DkRz_z4C4dZb3A,https://www.google.com/maps/place/?q=place_id:ChIJt7q5GgBB5DkRz_z4C4dZb3A,part_328,2026-09-20 20:17:31,3363
Earth houses,Civil Contractor and Builder,Civil engineer,"Civil engineer, Real Estate Builders & Construction Company",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 84158 96996,https://www.youtube.com/@314piyush,,,"Dr, Arun Chandra colony, Siliguri, Mahishmari, West Bengal 734003",734003,26.7831469,88.4081161,ChIJ-dzUrKRB5DkR29G0aQlhpXY,https://www.google.com/maps/place/?q=place_id:ChIJ-dzUrKRB5DkR29G0aQlhpXY,part_328,2026-09-20 20:17:31,3364
Pristine 60,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,,,"Pristine 60, Devidanga, Siliguri, Mahishmari, West Bengal 734003",Devidanga,26.7724273,88.4158108,ChIJGw5z7FtB5DkRUrCNn7k4g7M,https://www.google.com/maps/place/?q=place_id:ChIJGw5z7FtB5DkRUrCNn7k4g7M,part_328,2026-09-20 20:17:31,3365
BuildTech Consultancy,Civil Contractor and Builder,Civil engineering company,"Civil engineering company, Building consultant, Real Estate Builders & Construction Company, Soil testing service, Structural engineer",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 81280 11524,http://www.buildtech.co.in/,4.9,126.0,"4th Floor, Dwarika Park Royale, Station Feeder Rd, behind Reliance Digital Showroom, Ward 26, Siliguri, West Bengal 734005",Ward 26,26.703557399999998,88.42363329999999,ChIJ61LPJRpB5DkRdp13nHztQEU,https://www.google.com/maps/place/?q=place_id:ChIJ61LPJRpB5DkRdp13nHztQEU,part_328,2026-09-20 20:17:31,3366
