business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Modern Enterprise,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Glass block supplier, Glass cutting service, Glass etching service, Glass industry, Glass manufacturer, Glass shop, Mirror shop, Plastic Wholesaler",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 97330 41645,https://modernenterpriseslg.com/,4.7,,"38, Bidhan Rd, opp. Hotel Dolly Inn, Ward 11, Near Pani Tanki More (Clock Tower), Siliguri, West Bengal 734001","Ward 11, Near Pani Tanki More (Clock Tower)",26.7187345,88.4263847,ChIJwfSpQxNB5DkRI55vAkAfNFg,https://www.google.com/maps/place/?q=place_id:ChIJwfSpQxNB5DkRI55vAkAfNFg,part_328,2026-09-20 20:17:28,2897
Glass Decor (Toughend Glass & UPVC windows in Siliguri),Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Aluminum window, Glass manufacturer, Glass cutting service, Glass etching service, Glass industry, Glass shop, Window installation service, Window supplier",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 96415 44402,https://www.glassdecorindia.com/,4.9,,"Ward 42, Salugara, Siliguri, West Bengal 734008","Ward 42, Salugara",26.764024499999998,88.4407899,ChIJJa9E07pB5DkRCG_zVYV-lb8,https://www.google.com/maps/place/?q=place_id:ChIJJa9E07pB5DkRCG_zVYV-lb8,part_328,2026-09-20 20:17:28,2898
Bhagwati Glass Centre,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98324 00006,N/A,4.9,,"Sevoke Rd, near Panitanki More, Ward 14, Near Pani Tanki More (Clock Tower), Siliguri, West Bengal 734001","Ward 14, Near Pani Tanki More (Clock Tower)",26.7209084,88.42737609999999,ChIJbSEJoxNB5DkRNXFhLhWfeRo,https://www.google.com/maps/place/?q=place_id:ChIJbSEJoxNB5DkRNXFhLhWfeRo,part_328,2026-09-20 20:17:28,2899
New Glass & Glass,Glass and Mirror Merchant,Glass shop,Glass shop,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98323 00977,http://newglassandglass.com/,4.3,,"42, Bidhan Rd, near Panitanki More, Ward 11, Near Pani Tanki More (Clock Tower), Siliguri, West Bengal 734001","Ward 11, Near Pani Tanki More (Clock Tower)",26.7192053,88.4263952,ChIJAxoMZhNB5DkRI4o7zEvvdCg,https://www.google.com/maps/place/?q=place_id:ChIJAxoMZhNB5DkRI4o7zEvvdCg,part_328,2026-09-20 20:17:28,2900
Kanch Ghar,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 99338 10008,N/A,3.6,,"PC8G+JJV, Bidhan Rd, Ward 12, Hakim Para, Siliguri, West Bengal 734001","Ward 12, Hakim Para",26.716720799999997,88.4265613,ChIJxfz0sGxB5DkRlQRDMMpjymY,https://www.google.com/maps/place/?q=place_id:ChIJxfz0sGxB5DkRlQRDMMpjymY,part_328,2026-09-20 20:17:28,2901
Royal Glass House,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Construction Material Wholesaler, Door supplier, Plywood supplier, Hardware store",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 97339 47000,https://royalglasshouse.co.in/,4.6,,"Bidhan Market Rd, near Hotel Dolly Inn, Ward 12, Hakim Para, Siliguri, West Bengal 734001","Ward 12, Hakim Para",26.718325999999998,88.42669959999999,ChIJiRT_RRNB5DkRa2diXVhFqXQ,https://www.google.com/maps/place/?q=place_id:ChIJiRT_RRNB5DkRa2diXVhFqXQ,part_328,2026-09-20 20:17:28,2902
S N GLASS HOUSE,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98325 41519,N/A,4.5,,"Ward 1, Patiram Jote, Siliguri, West Bengal 734003","Ward 1, Patiram Jote",26.7268974,88.41416919999999,ChIJPz8XGztB5DkR_iVsCqtloC8,https://www.google.com/maps/place/?q=place_id:ChIJPz8XGztB5DkR_iVsCqtloC8,part_328,2026-09-20 20:17:28,2903
Glassery®,Glass and Mirror Merchant,Window supplier,"Window supplier, Aluminum window, Glass & mirror shop, Glass merchant, Glass shop, PVC windows supplier, Window installation service",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 87870 82810,N/A,5.0,,"Shop No-7, Goyal Plaza, Sevoke Rd, opp. Sachitra Hotel, Ward 43, Dasrath Pally, Bhanu Nagar, Siliguri, West Bengal 734001","Ward 43, Dasrath Pally, Bhanu Nagar",26.7358957,88.4323185,ChIJIR3myi1B5DkRiixZwOe-1EM,https://www.google.com/maps/place/?q=place_id:ChIJIR3myi1B5DkRiixZwOe-1EM,part_328,2026-09-20 20:17:28,2904
Building Solutions,Glass and Mirror Merchant,Glass shop,"Glass shop, Aluminium Supplier, Glass manufacturer, Glassware store, Hardware store, Railing contractor, Wholesaler",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 79867 24721,http://www.buildingsolutionsslg.com/,5.0,,"Raja Ram Mohan Rai Road East Vivekanand Pally Rabindra Sarani, Hakim Para, Siliguri, West Bengal 734006","Ward 38, East Vivekananda Pally, Hakim Para",26.717039999999997,88.4373196,ChIJO0MsnvhB5DkRlxTu3eS9tzA,https://www.google.com/maps/place/?q=place_id:ChIJO0MsnvhB5DkRlxTu3eS9tzA,part_328,2026-09-20 20:17:28,2905
Kalkaji glasses pvt LTD,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,4.1,,"PFF8+JJF, Telipara, Siliguri, Dabgram, West Bengal 734001",Telipara,26.7241532,88.46659,ChIJxRnmfwBB5DkRM9qCMaG16ws,https://www.google.com/maps/place/?q=place_id:ChIJxRnmfwBB5DkRM9qCMaG16ws,part_328,2026-09-20 20:17:28,2906
