business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Your Nest PG,PG,Student housing center,Student housing center,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,,"Pipeline Rd, near Salugara High school, Salugara, Siliguri, West Bengal 734008",Salugara,26.765186,88.4510509,ChIJkUzeQABB5DkRaBdUQPhl1To,https://www.google.com/maps/place/?q=place_id:ChIJkUzeQABB5DkRaBdUQPhl1To,part_328,2026-09-20 20:17:36,4208
Lama’s Pg,PG,Student dormitory,Student dormitory,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 97493 60683,N/A,4.8,,"no 1, Utpal nagar road, Ward 46, anchal, Champasari, Siliguri, Daknikata P, West Bengal 734003","Ward 46, anchal, Champasari",26.7525247,88.41713539999999,ChIJg8Bo5RpB5DkRsRtb6Gn3JnQ,https://www.google.com/maps/place/?q=place_id:ChIJg8Bo5RpB5DkRsRtb6Gn3JnQ,part_328,2026-09-20 20:17:36,4209
LAMA PG Siliguri (boys pg),PG,Student dormitory,Student dormitory,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98003 28436,https://www.facebook.com/profile.php?id=100095300934802&mibextid=ZbWKwL,4.8,,"Iti polytechnic road, ITI Rd, near Nivedita Institute Of Nursing, opposite iti girls hostel, Ward 41, Bankim Nagar, Siliguri, West Bengal 734003","Ward 41, Bankim Nagar",26.734658399999997,88.44089389999999,ChIJkaxFQKRB5DkR5NPDBRHzBJc,https://www.google.com/maps/place/?q=place_id:ChIJkaxFQKRB5DkR5NPDBRHzBJc,part_328,2026-09-20 20:17:36,4210
Emilie Paying Guest - PG for Girls,PG,Home Stay,"Home Stay, Girls' hostel, Pilgrim hostel",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 86175 17616,http://www.emiliepayingguest.com/,4.5,,"47/6, Patel Road, Ward 3, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 3, Pradhan Nagar",26.7277752,88.4176378,ChIJ__uYKxtB5DkR0HlIQNBQphk,https://www.google.com/maps/place/?q=place_id:ChIJ__uYKxtB5DkR0HlIQNBQphk,part_328,2026-09-20 20:17:36,4211
Champasari Girl's PG,PG,Backpacker Hostel,Backpacker Hostel,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 89272 76216,N/A,5.0,,"Daknikata, near Prdhan nagar P.O, anchal, Champasari, Siliguri, West Bengal 734003","Ward 46, anchal, Champasari",26.753694,88.41309,ChIJN4EhfeJB5DkRE5G4I9H92fI,https://www.google.com/maps/place/?q=place_id:ChIJN4EhfeJB5DkRE5G4I9H92fI,part_328,2026-09-20 20:17:36,4212
Annapurna Pg Accommodation,PG,Student dormitory,"Student dormitory, Boys' hostel",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,3.9,,"Nazrul Sarani, Ward 14, East Vivekananda Pally, Rabindra Sarani, Siliguri, West Bengal 734006","Ward 14, East Vivekananda Pally, Rabindra Sarani",26.7183079,88.4375294,ChIJVVSYJxxB5DkRgAWrjgk0vlk,https://www.google.com/maps/place/?q=place_id:ChIJVVSYJxxB5DkRgAWrjgk0vlk,part_328,2026-09-20 20:17:36,4213
GIRIDHARI PAYING GUEST,PG,Boys' hostel,Boys' hostel,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 95474 38178,https://eprofile.brands.live/giridharipayingguest,5.0,,"play ground, Bandrijote, near Dagapur, Siliguri, West Bengal 734003",Dagapur,26.741257599999997,88.4026202,ChIJwfCRKS1B5DkR8vgr_PNKYwU,https://www.google.com/maps/place/?q=place_id:ChIJwfCRKS1B5DkR8vgr_PNKYwU,part_328,2026-09-20 20:17:36,4214
SHRESTHA PG,PG,Housing society,Housing society,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,,"Lane No.-2, Kabi Agam Singh Nagar, Dagapur, Siliguri, Bara Gharia, West Bengal 734003","Kabi Agam Singh Nagar, Dagapur",26.7441747,88.3976861,ChIJB-IgpyBH5DkRHy5Owk0HKlk,https://www.google.com/maps/place/?q=place_id:ChIJB-IgpyBH5DkRHy5Owk0HKlk,part_328,2026-09-20 20:17:36,4215
Tannu's Girls PG,PG,Girls' hostel,Girls' hostel,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98320 75421,N/A,4.8,,"NIMBU BUSTY, CHECKPOST, near ALLEN INSTITUTE, VEGA CIRCLE, opposite RANGEET MOTORS, Ward 42, Siliguri, West Bengal 734008",Ward 42,26.7499258,88.43536189999999,ChIJ79Zte0NB5DkRcLYKLEt4dWY,https://www.google.com/maps/place/?q=place_id:ChIJ79Zte0NB5DkRcLYKLEt4dWY,part_328,2026-09-20 20:17:36,4216
Chhetri Luxury PG,PG,Home Stay,Home Stay,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,,"Kolabari Rd, champasari, Siliguri, Kalabari, West Bengal 734003",champasari,26.7744146,88.4211098,ChIJP0gOccNB5DkRzSdmx1z5-vM,https://www.google.com/maps/place/?q=place_id:ChIJP0gOccNB5DkRzSdmx1z5-vM,part_328,2026-09-20 20:17:36,4217
