business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
F A Tattoo Studio Siliguri,Tattoo and Nail Art Studio,Nail salon,"Nail salon, Art school, Art studio, Body piercing shop, Custom t-shirt store, Ear piercing service, Tattoo and piercing shop, Tattoo removal service, Tattoo shop",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 81700 69536,https://www.instagram.com/fineart_tattoo_studio_siliguri?utm_source=qr,5.0,261.0,"club asrampara, Panitanki More near amtala club Panitanki more, clock tower more, near Amtala Road, near amtala club, Siliguri, West Bengal 734001","Sushrata Nagar, Hakim Para",26.7196228,88.4312595,ChIJE4YHumhB5DkRGgzafGUlYJ8,https://www.google.com/maps/place/?q=place_id:ChIJE4YHumhB5DkRGgzafGUlYJ8,part_328,2026-09-20 20:17:32,3694
RONNY'Z TATTOO WORLD,Tattoo and Nail Art Studio,Nail salon,"Nail salon, Tattoo and piercing shop",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,13.0,"Eris building, Nivedita Rd, opposite disha medical hall, Ward 2, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 2, Pradhan Nagar",26.7315373,88.4179303,ChIJQTczi8RB5DkRCa_Lofb6L7c,https://www.google.com/maps/place/?q=place_id:ChIJQTczi8RB5DkRCa_Lofb6L7c,part_328,2026-09-20 20:17:32,3695
JUST INK ABOUT IT TATTOO STUDIO,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90467 39848,http://www.facebook.com/profile.php?id=100090629316646,5.0,21.0,"1n, Nivedita Rd, Ward 2, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 2, Pradhan Nagar",26.7278164,88.41732069999999,ChIJYVWTYY1B5DkRDCuiWYBv5Hw,https://www.google.com/maps/place/?q=place_id:ChIJYVWTYY1B5DkRDCuiWYBv5Hw,part_328,2026-09-20 20:17:32,3696
Wild Ink Tattoo Studio & Academy,Tattoo and Nail Art Studio,Tattoo and piercing shop,"Tattoo and piercing shop, Training center",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98512 75222,http://www.wildink.in/,5.0,185.0,"2nd Floor, Sevoke Rd, opposite of Gurudwara, near Panitanki More, Ward 11, Near Pani Tanki More (Clock Tower), Siliguri, West Bengal 734001","Ward 11, Near Pani Tanki More (Clock Tower)",26.7191123,88.4258742,ChIJzwynv2pB5DkRe1o8pDplZHQ,https://www.google.com/maps/place/?q=place_id:ChIJzwynv2pB5DkRe1o8pDplZHQ,part_328,2026-09-20 20:17:32,3697
ALX Tattoo Studio | Tattoo Studio Siliguri,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 96471 49559,https://www.alxtattoostudio.com/,4.9,84.0,"Shree Bhawan, Market complex, Sevoke more, Hill Cart Rd, near Aappearance saloon, Ward 6, Siliguri, West Bengal 734001",Ward 6,26.714789399999997,88.4231779,ChIJBy2XA79B5DkRgVU9ZRJO048,https://www.google.com/maps/place/?q=place_id:ChIJBy2XA79B5DkRgVU9ZRJO048,part_328,2026-09-20 20:17:32,3698
CK Tattoo Studio - Planet Mall,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98320 10299,N/A,4.6,55.0,"Planet Mall, Sevoke Rd, opp. Cosmos Mall, Siliguri, West Bengal 734001","Ward 41, Don Bosco Colony",26.7394394,88.43555909999999,ChIJYdkapNJB5DkRweYKxOfGM_I,https://www.google.com/maps/place/?q=place_id:ChIJYdkapNJB5DkRweYKxOfGM_I,part_328,2026-09-20 20:17:32,3699
Engrave Tattoo,Tattoo and Nail Art Studio,Tattoo shop,"Tattoo shop, Charter school, Tattoo and piercing shop",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 78640 09773,https://www.engravetattoos.com/,4.9,405.0,"Amtala Rd, opp. Bombay Cutting Chai, Ashram Para, Hakim Para, Siliguri, West Bengal 734001","Ashram Para, Hakim Para",26.720256799999998,88.4313375,ChIJjzb-allB5DkRNMsIV1BdmMs,https://www.google.com/maps/place/?q=place_id:ChIJjzb-allB5DkRNMsIV1BdmMs,part_328,2026-09-20 20:17:32,3700
CK Tattoo Studio,Tattoo and Nail Art Studio,Tattoo artist,"Tattoo artist, Tattoo and piercing shop, Tattoo removal service, Tattoo shop",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98320 10299,http://www.cktattoostudioandtraningacdemy.com/,4.7,579.0,"1st floor, Sevoke Rd, Ward 13, m bazaar, Punjabi Para, Siliguri, West Bengal 734001","Ward 13, m bazaar, Punjabi Para",26.7249162,88.42950119999999,ChIJIdAUvhFB5DkRcssymyYXR6w,https://www.google.com/maps/place/?q=place_id:ChIJIdAUvhFB5DkRcssymyYXR6w,part_328,2026-09-20 20:17:32,3701
Arcane Art,Tattoo and Nail Art Studio,Nail salon,"Nail salon, Tattoo and piercing shop",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 79084 37388,N/A,5.0,28.0,"Near, SIT College. methibari, behind hill view gas station, Panchanai, West Bengal 734002",734003,26.7699768,88.3789697,ChIJS8MUfABH5DkR6QZQ86WtjlM,https://www.google.com/maps/place/?q=place_id:ChIJS8MUfABH5DkR6QZQ86WtjlM,part_328,2026-09-20 20:17:32,3702
Anarchy Tattoo Studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 84471 50998,N/A,4.8,58.0,"Basement Basement floor, City Center, near Raj Music and Himal tree Korean Bakery, Ujanu P, Siliguri, West Bengal 734010",Ujanu P,26.7246512,88.3942297,ChIJnxO2oThH5DkRdfl2LeyfpPA,https://www.google.com/maps/place/?q=place_id:ChIJnxO2oThH5DkRdfl2LeyfpPA,part_328,2026-09-20 20:17:32,3703
