business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
AINU Hospitals Kidney Dialysis Center - Siliguri,Dialysis Center,Dialysis center,"Dialysis center, Hospital, Nephrologist, Urologist, Urology clinic",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 353 350 1000,https://ainuindia.org/siliguri/,4.2,15.0,"Shiv Mandir, opposite SBI (NBU Campus, Siliguri, Bairatisal, West Bengal 734011",734434,26.7076764,88.360283,ChIJTbktJbdH5DkRIxDjCkPCHf4,https://www.google.com/maps/place/?q=place_id:ChIJTbktJbdH5DkRIxDjCkPCHf4,part_329,2026-09-20 20:17:20,2305
Metro Lions Dialysis Centre,Dialysis Center,Dialysis center,Dialysis center,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 98838 93317,N/A,4.0,4.0,"Ward No. 41, Ulka Club Maidan, Lions Metro Sewa Trust, Besides, Sevoke Rd, Jyoti Nagar, Siliguri, West Bengal 734001","Jyoti Nagar, Bankim Nagar",26.739488599999998,88.44249649999999,ChIJxRJfIUdB5DkRYcx2MsokAGA,https://www.google.com/maps/place/?q=place_id:ChIJxRJfIUdB5DkRYcx2MsokAGA,part_329,2026-09-20 20:17:20,2306
Shabitri Dialysis Unit,Dialysis Center,Dialysis center,Dialysis center,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 98304 91070,https://jsdl.in/RSL-GKY1760430229,5.0,9.0,"Parijat Sevalaya, Frazer Ave, Subhas Pally, Bardhaman, West Bengal 713101",Subhas Pally,23.2461746,87.85824459999999,ChIJX-uRzzVJ-DkRNZcegAi_cOA,https://www.google.com/maps/place/?q=place_id:ChIJX-uRzzVJ-DkRNZcegAi_cOA,part_329,2026-09-20 20:17:20,2307
Nefron - Kidney Care || Dialysis Centre || Best Kidney Care || Dialysis Care Bagdogra || Nephrologist Care Bagdogra,Dialysis Center,Dialysis center,Dialysis center,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 90020 32757,http://nefronkidneycare.com/,,,"c/o Galaxy Hospital, AH2, near Hebron English School Upper Bagdogra, Bagdogra, Siliguri, West Bengal 734014",Uttar Bagdogra,26.698918,88.30859219999999,ChIJyaH3CP9J5DkR2P5SwXF7wyc,https://www.google.com/maps/place/?q=place_id:ChIJyaH3CP9J5DkR2P5SwXF7wyc,part_329,2026-09-20 20:17:20,2308
Eskag Sanjeevani Dialysis Center Malbazar,Dialysis Center,Dialysis center,Dialysis center,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 1800 102 2294,https://eskagsanjeevanidialysis.com/,5.0,164.0,"SUPER SPECIALTY HOSPITAL, Mal Bazar, West Bengal 735221",734434,26.868424299999997,88.7410092,ChIJZ52F2GQL5DkR-bhsijzz-bM,https://www.google.com/maps/place/?q=place_id:ChIJZ52F2GQL5DkR-bhsijzz-bM,part_329,2026-09-20 20:17:20,2309
Dr Sutanay Bhattacharyya - Nephrologist in Siliguri | Kidney Doctor in Siliguri,Dialysis Center,Dialysis center,"Dialysis center, Nephrologist",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 86174 26538,http://www.drsutanaynephro.com/,4.8,,"Neotia Getwell, Multispeciality hospital, Mediplus, Ujanu P, Neotia, Siliguri, West Bengal 734010","Mediplus, Ujanu P",26.7256981,88.3936232,ChIJOSh-vWlH5DkRkvJ2sICO_Q8,https://www.google.com/maps/place/?q=place_id:ChIJOSh-vWlH5DkRkvJ2sICO_Q8,part_329,2026-09-20 20:17:20,2310
Tridhara Dialysis Centre,Dialysis Center,Dialysis center,Dialysis center,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,5.0,2.0,"5/1C, Manoharpukur, Kalighat, Kolkata, West Bengal 700029","Manoharpukur, Kalighat",22.5189338,88.354924,ChIJqX72HwB3AjoR4h-sxlamrc4,https://www.google.com/maps/place/?q=place_id:ChIJqX72HwB3AjoR4h-sxlamrc4,part_329,2026-09-20 20:17:20,2311
Eskag Sanjeevani Dialysis Center Katwa,Dialysis Center,Dialysis center,Dialysis center,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 1800 102 2294,https://www.eskagsanjeevanidialysis.com/,4.9,150.0,"Katwa Sub Divisional Hospital, Kachari Road, Ho, Katwa, West Bengal 713130",Ho,23.646103,88.1263996,ChIJLeHe3iqn-TkRzTZqJ040mg0,https://www.google.com/maps/place/?q=place_id:ChIJLeHe3iqn-TkRzTZqJ040mg0,part_329,2026-09-20 20:17:20,2312
Eskag Sanjeevani Dialysis Center CLW,Dialysis Center,Dialysis center,Dialysis center,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 1800 102 2294,https://www.eskagsanjeevanidialysis.com/,4.9,117.0,"KASTURBA GANDHI HOSPITAL, LOCOMOTIVE WORKS, Chittaranjan, West Bengal 713331",734434,23.8492455,86.9019814,ChIJY5G6iCnZ9jkRHrlkzeanClE,https://www.google.com/maps/place/?q=place_id:ChIJY5G6iCnZ9jkRHrlkzeanClE,part_329,2026-09-20 20:17:20,2313
Shankarnath Dialysis Center and Nursing Home,Dialysis Center,Dialysis center,"Dialysis center, Medical Center, Nursing home",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,http://shankarnathcares.com/,4.2,109.0,"48/41 A, Swiss Park, Tollygunge, Kolkata, West Bengal 700033","Swiss Park, Tollygunge",22.505666299999998,88.3486934,ChIJxwVUFMZwAjoR5M4V4BnBv6U,https://www.google.com/maps/place/?q=place_id:ChIJxwVUFMZwAjoR5M4V4BnBv6U,part_329,2026-09-20 20:17:20,2314
Eskag Sanjeevani Dialysis Centre Birati,Dialysis Center,Dialysis center,Dialysis center,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 1800 102 2294,https://www.eskagsanjeevanidialysis.com/,4.9,122.0,"HOSPITAL, Shibachal, Birati, North Dumdum, West Bengal 700051","Shibachal, Birati",22.6636043,88.42377019999999,ChIJZ2CWh6uf-DkRZiwjpl0kyH4,https://www.google.com/maps/place/?q=place_id:ChIJZ2CWh6uf-DkRZiwjpl0kyH4,part_329,2026-09-20 20:17:20,2315
TOLLY LIONS DIALYSIS CENTRE,Dialysis Center,Dialysis center,"Dialysis center, Hospital",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 33 4006 1821,N/A,4.9,707.0,"635, Kalikapur Main Rd, Sukhpally, Haltu, Kolkata, West Bengal 700107","Sukhpally, Haltu",22.5017954,88.4011459,ChIJ1arz4MhzAjoRWNr738CDx3c,https://www.google.com/maps/place/?q=place_id:ChIJ1arz4MhzAjoRWNr738CDx3c,part_329,2026-09-20 20:17:20,2316
Eskag Sanjeevani Dialysis Center Bolpur,Dialysis Center,Dialysis center,Dialysis center,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 1800 102 2294,N/A,5.0,18.0,"Sian, at Bolpur Subdivisional Hospital Nanoor Chandidas Rd Khosh Kadambapur, Bolpur, West Bengal 731204",734434,23.6761496,87.7230843,ChIJZfgmiPjD-TkRKNiNxrrZoMU,https://www.google.com/maps/place/?q=place_id:ChIJZfgmiPjD-TkRKNiNxrrZoMU,part_329,2026-09-20 20:17:20,2317
Nephro Care,Dialysis Center,Diagnostic center,"Diagnostic center, Dialysis center, Nephrologist",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 86971 26819,https://www.nephrocareindia.com/,4.8,,"HC96+FM, JC 18, JC Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106","JC Block, Sector 3, Bidhannagar",22.5688589,88.41172949999999,ChIJxUt4MsR1AjoRMrFuabFTedY,https://www.google.com/maps/place/?q=place_id:ChIJxUt4MsR1AjoRMrFuabFTedY,part_329,2026-09-20 20:17:20,2318
Burdwan Medical College Hospital Ppp Dialysis Unit,Dialysis Center,Dialysis center,Dialysis center,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,4.1,55.0,"6VV4+CR3, Khosbagan, Bardhaman, West Bengal 713103",Khosbagan,23.243515199999997,87.8570374,ChIJF-cT6FlJ-DkRsPnCdvDUXIg,https://www.google.com/maps/place/?q=place_id:ChIJF-cT6FlJ-DkRsPnCdvDUXIg,part_329,2026-09-20 20:17:20,2319
NephroPlus Dialysis & Kidney Care Centre,Dialysis Center,Hospital,Hospital,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 91000 65751,https://www.nephroplus.com/,5.0,,"More Fish Market, Mega City Nursing Home ( P) Ltd, 12, Jessore Rd, Champadali, Barasat, Kolkata, West Bengal 700124","Champadali, Barasat",22.720295,88.48862299999999,ChIJm1j8z4Wj-DkR66dlkem44lo,https://www.google.com/maps/place/?q=place_id:ChIJm1j8z4Wj-DkR66dlkem44lo,part_329,2026-09-20 20:17:20,2320
SPARSH NURSING HOME,Dialysis Center,Dialysis center,"Dialysis center, Medical Center",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 62899 59429,https://www.facebook.com/profile.php?id=100093214944262&mibextid=ZbWKwL,4.7,54.0,"Old launch ghat, near EMLC(Arup Bose eye Hospital, BARABAZAR, Chinsurah R S, Chinsurah, West Bengal 712101","BARABAZAR, Chinsurah R S",22.8916471,88.4041668,ChIJf0ZxWyuX-DkR7fIH6oVwOL8,https://www.google.com/maps/place/?q=place_id:ChIJf0ZxWyuX-DkR7fIH6oVwOL8,part_329,2026-09-20 20:17:20,2321
R. K. NEPHROCARE PLUS DIALYSIS CENTRE,Dialysis Center,Dialysis center,Dialysis center,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,4.0,4.0,"A-9/17(S Jaymala Carnival Hospital, Kalyani, West Bengal 741235","A 9, A1, Block A1, Block A",22.9688746,88.46529249999999,ChIJH3iyPQeV-DkRCGizXNO6-Gs,https://www.google.com/maps/place/?q=place_id:ChIJH3iyPQeV-DkRCGizXNO6-Gs,part_329,2026-09-20 20:17:20,2322
NephroPlus Dialysis & Kidney Care Centre,Dialysis Center,Hospital,Hospital,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 89109 94869,https://www.nephroplus.com/,5.0,,"S.E. Nursing Home Benepukur Road, Ward Number 14, Arambag, West Bengal 712601",Ward Number 14,22.8854772,87.7862863,ChIJH_3d7QwT-DkRZJ6lpL1NWhc,https://www.google.com/maps/place/?q=place_id:ChIJH_3d7QwT-DkRZJ6lpL1NWhc,part_329,2026-09-20 20:17:20,2323
