business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ashagram,Hostels,Youth Hostel,Youth Hostel,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,,,"M9GG+68M, Bara Pathuram, West Bengal 734012",734434,26.675950699999998,88.3758063,ChIJT7QROgBF5DkR-R1wspoEzPU,https://www.google.com/maps/place/?q=place_id:ChIJT7QROgBF5DkR-R1wspoEzPU,part_329,2026-09-20 20:17:32,5015
"New PGT Boys’ Hostel, NBMC",Hostels,Boys' hostel,Boys' hostel,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,,,"M9VJ+4J2, Thiknikata, West Bengal 734012",734434,26.692890799999997,88.3816003,ChIJbVklJABF5DkRC6f4XBS7BZU,https://www.google.com/maps/place/?q=place_id:ChIJbVklJABF5DkRC6f4XBS7BZU,part_329,2026-09-20 20:17:32,5016
Thikana by Mulaqat,Hostels,Backpacker Hostel,Backpacker Hostel,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 90642 08991,https://www.instagram.com/thikanabymulaqat?igsh=dXF3bmpnaGJhampy,4.8,122.0,"Ward No 45, Merry Rd, near Noble Academy School, Ward 45, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 45, Pradhan Nagar",26.7367118,88.4177359,ChIJpZvd5ApB5DkRK3sLpu2qHhk,https://www.google.com/maps/place/?q=place_id:ChIJpZvd5ApB5DkRK3sLpu2qHhk,part_329,2026-09-20 20:17:32,5017
Milangarh Boys Hostel মিলনগড় হোস্টেল,Hostels,Boys' hostel,Boys' hostel,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,5.0,1.0,"G827+GR4, Banshgaon, West Bengal 734434",734434,26.501254199999998,88.3145716,ChIJtWg1SfRX5DkRp1x10UBf-es,https://www.google.com/maps/place/?q=place_id:ChIJtWg1SfRX5DkRp1x10UBf-es,part_329,2026-09-20 20:17:32,5018
Backpackers Bunkhouse Siliguri,Hostels,Backpacker Hostel,"Backpacker Hostel, Bed & breakfast, Guest house, Home Stay",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 98323 10956,https://www.booking.com/hotel/in/backpackers-bunkhouse-siliguri.en-gb.html?label=gen173nr-10CAsobEIeYmFja3BhY2tlcnMtYnVua2hvdXNlLXNpbGlndXJpSDNYBGhsiAEDmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALHo_zFBsACAdICJDZmMTgxZGVlLWQxZDQtNDUyZC05MzQyLTRjNDRmMWQ1ZGJmZNgCAeACAQ&sid=0be747908d0beddfa052ea1fb20f2fc8&dist=0&keep_landing=1&sb_price_type=total&type=total&,4.9,,"Green Park, Shastri Nagar, Zila Parishad Road, Sevoke Rd, P.O, Siliguri, West Bengal 734001","Ward 41, P.O, Bankim Nagar",26.7322585,88.44510969999999,ChIJ9S0c3flB5DkRBiAXvnr8kjQ,https://www.google.com/maps/place/?q=place_id:ChIJ9S0c3flB5DkRBiAXvnr8kjQ,part_329,2026-09-20 20:17:34,5019
Hills Tale,Hostels,Backpacker Hostel,Backpacker Hostel,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 79081 33895,https://hillstale.com/,5.0,,"Rinkingpong Road, near The Forest Museum, Kalimpong Khasmahal, Kalimpong, West Bengal 734301",Kalimpong Khasmahal,27.0625994,88.469555,ChIJc1kwA4sj5DkRwQKuAFPpnes,https://www.google.com/maps/place/?q=place_id:ChIJc1kwA4sj5DkRwQKuAFPpnes,part_329,2026-09-20 20:17:34,5020
Bubble Beds Darjeeling,Hostels,Backpacker Hostel,"Backpacker Hostel, Bed & breakfast, Cafe, Guest house, Hotel, Lodge, Home Stay, Student dormitory",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 81000 94453,http://www.bubblebeds.in/,4.7,,"32, Lebong Cart Rd, North Point, Darjeeling, Sikkim 734101",North Point,27.055479199999997,88.2562303,ChIJa_aag5Mv5DkRG7nidQRU91Y,https://www.google.com/maps/place/?q=place_id:ChIJa_aag5Mv5DkRG7nidQRU91Y,part_329,2026-09-20 20:17:34,5021
Trippers CastleWoods,Hostels,Backpacker Hostel,Backpacker Hostel,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 90645 38653,https://trippershostel.net/,4.8,,"school road, Upper Batasia, West Point, Darjeeling, West Bengal 734102","Upper Batasia, West Point",27.017440999999998,88.2535904,ChIJHzcwrUkv5DkRm01W8hhpMas,https://www.google.com/maps/place/?q=place_id:ChIJHzcwrUkv5DkRm01W8hhpMas,part_329,2026-09-20 20:17:34,5022
Mulaqat Homestay,Hostels,Home Stay,Home Stay,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 97342 28682,https://linktr.ee/Mulaqat_BnB,4.9,,"St. Joseph's School Road, 273, Amarpally, Jitu, West Bengal 734013",734434,26.7139237,88.3659845,ChIJCwDGMh9H5DkREGBPZQt4Z6c,https://www.google.com/maps/place/?q=place_id:ChIJCwDGMh9H5DkREGBPZQt4Z6c,part_329,2026-09-20 20:17:34,5023
Madhushree Hostel,Hostels,Student dormitory,Student dormitory,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,3.4,14.0,"P966+MW8, Bairatisal, West Bengal 734011",734434,26.711661,88.36232299999999,ChIJGfAC5WFG5DkR_HSYfVb34zI,https://www.google.com/maps/place/?q=place_id:ChIJGfAC5WFG5DkR_HSYfVb34zI,part_329,2026-09-20 20:17:34,5024
Sk sahil,Hostels,Backpacker Hostel,Backpacker Hostel,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,5.0,1.0,"M8R5+F59, Harising Chhat, West Bengal 734014",734434,26.691151299999998,88.3079935,ChIJ7eRTVgBP5DkRdZKkA8u71V0,https://www.google.com/maps/place/?q=place_id:ChIJ7eRTVgBP5DkRdZKkA8u71V0,part_329,2026-09-20 20:17:34,5025
City Central Hostel,Hostels,Backpacker Hostel,"Backpacker Hostel, Home Stay, Student dormitory",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 74391 13855,https://citycentral.co/,4.4,454.0,"4TH FLOOR, 57, Mahatma Gandhi Rd, near Chittaranjan College, College Row, College Street, Kolkata, West Bengal 700009","College Row, College Street",22.574866999999998,88.3665087,ChIJ08l79DV3AjoRN6UczXbT_vU,https://www.google.com/maps/place/?q=place_id:ChIJ08l79DV3AjoRN6UczXbT_vU,part_329,2026-09-20 20:17:34,5026
"Kalyan Ashram, Kharibari",Hostels,Student dormitory,Student dormitory,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,4.2,39.0,"H58J+8W4, Dhupibhita, West Bengal 734427",734434,26.565758,88.18231399999999,ChIJWZpDDcRS5DkRDsJxm3Y5I9M,https://www.google.com/maps/place/?q=place_id:ChIJWZpDDcRS5DkRDsJxm3Y5I9M,part_329,2026-09-20 20:17:34,5027
Alaka Mess - The Students Heaven,Hostels,Student housing center,"Student housing center, Backpacker Hostel",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 72789 92517,http://thestudentsheaven.wordpress.com/,4.8,104.0,"9, Nilgunj Rd, Adarsha Pally, Belghoria, Kolkata, West Bengal 700056","Adarsha Pally, Belghoria",22.665074,88.37934159999999,ChIJj8NnZvmd-DkRI9VsGe8DPa4,https://www.google.com/maps/place/?q=place_id:ChIJj8NnZvmd-DkRI9VsGe8DPa4,part_329,2026-09-20 20:17:34,5028
Calcutta Backpackers,Hostels,Backpacker Hostel,"Backpacker Hostel, Bed & breakfast, Guest house, Home Stay",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 98754 32441,https://www.calcuttabackpackers.com/,4.7,86.0,"6/27A Pashupati Bhattacharya road, 2nd Ln, Kumar Garden, Kolkata, West Bengal 700053","Kumar Garden, Behala",22.496077399999997,88.327207,ChIJE13P4RNxAjoR4P6ljfFmad0,https://www.google.com/maps/place/?q=place_id:ChIJE13P4RNxAjoR4P6ljfFmad0,part_329,2026-09-20 20:17:34,5029
