business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Technogleam AI Driven Digital Marketing, Website Design Company in Siliguri",PPC Advertising Agencies,Internet marketing service,"Internet marketing service, Branding agency, Business development service, Graphic designer, Marketing agency, Marketing consultant, Web hosting company, Website designer",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 95930 87777,http://www.technogleam.com/,4.7,,"Suktara, Sukumar Roy Rd, Ward 19, Subhas Pally, Siliguri, West Bengal 734001","Ward 19, Subhas Pally",26.708166,88.4362158,ChIJZ65YL3dB5DkRnzenpbgWDaE,https://www.google.com/maps/place/?q=place_id:ChIJZ65YL3dB5DkRnzenpbgWDaE,part_329,2026-09-20 20:17:45,7364
Advertaa - Best Digital Marketing Agency in Siliguri,PPC Advertising Agencies,Advertising agency,"Advertising agency, Internet marketing service, Branding agency, Design agency, Service establishment, Marketing agency",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 79089 72231,https://advertaadigital.in/,,,"Advertaa - Best Digital Marketing Agency in Siliguri, 734434, India",734434,27.308963199999997,88.46659559999999,ChIJvaLPjpx-Ni4RoKyR4LII1qo,https://www.google.com/maps/place/?q=place_id:ChIJvaLPjpx-Ni4RoKyR4LII1qo,part_329,2026-09-20 20:17:45,7365
Tawhid IT,PPC Advertising Agencies,Marketing agency,"Marketing agency, Service establishment",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",01773-477101,N/A,,,"Tawhid IT, 734434, India",734434,26.3308638,88.55632779999999,ChIJf5oLAisT-IoRO-0sCH5n680,https://www.google.com/maps/place/?q=place_id:ChIJf5oLAisT-IoRO-0sCH5n680,part_329,2026-09-20 20:17:45,7366
Web Trend Digital Marketing,PPC Advertising Agencies,Marketing agency,"Marketing agency, Internet marketing service, Market researcher, Website designer, Marketing consultant, Web hosting company",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,5.0,,"Noukaghat Rd, near Kinderland School, Township, Kawakhari, Siliguri, West Bengal 734012",Township,26.6880246,88.3982992,ChIJ-ycqYHtD5DkRM0l4nHYRQWc,https://www.google.com/maps/place/?q=place_id:ChIJ-ycqYHtD5DkRM0l4nHYRQWc,part_329,2026-09-20 20:17:45,7367
Web Trend Digital Marketing | Best Web Design and Digital Marketing Company | SILIGURI,PPC Advertising Agencies,Advertising agency,"Advertising agency, Website designer, Internet marketing service, Market researcher, Marketing consultant, Web hosting company",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,5.0,,"Kawakhali Township, Siliguri, Shaibhita, West Bengal 734014",Kawakhali Township,26.663470399999998,88.3482188,ChIJGSL4OHdF5DkR46Jo7NSIXjM,https://www.google.com/maps/place/?q=place_id:ChIJGSL4OHdF5DkR46Jo7NSIXjM,part_329,2026-09-20 20:17:45,7368
Digital Blue Train,PPC Advertising Agencies,Website designer,"Website designer, Internet marketing service, Web hosting company",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,5.0,,"DS COLONY, Bhanumati Rd, Bhaktinagar, Siliguri, West Bengal 734007","Bhaktinagar, Babupara",26.683087099999998,88.42896189999999,ChIJA-syI-xD5DkRNmnAANpM8zc,https://www.google.com/maps/place/?q=place_id:ChIJA-syI-xD5DkRNmnAANpM8zc,part_329,2026-09-20 20:17:45,7369
Cyber Media Group,PPC Advertising Agencies,Software company,Software company,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,https://www.cybermediagroup.in/,5.0,,"BB Rd, Siliguri, Gaurcharan, West Bengal 734010",734434,26.7245524,88.38286819999999,ChIJF3JOGE0vmwsRZvNSKNzuWsw,https://www.google.com/maps/place/?q=place_id:ChIJF3JOGE0vmwsRZvNSKNzuWsw,part_329,2026-09-20 20:17:45,7370
360 Analytika - Website Design and Digital Marketing Company in Siliguri,PPC Advertising Agencies,Website designer,"Website designer, Research and product development",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 76793 15837,https://360analytika.com/,5.0,,"near State Bank of India, Sukantapally, Ward 33, Siliguri, West Bengal 734007","Sukantapally, Ward 33",26.6887252,88.42277469999999,ChIJacM1C_5D5DkRwxtt5528n_0,https://www.google.com/maps/place/?q=place_id:ChIJacM1C_5D5DkRwxtt5528n_0,part_329,2026-09-20 20:17:45,7371
Blueantz Advertising,PPC Advertising Agencies,Advertising agency,"Advertising agency, Branding agency, Design agency, E-commerce service, Graphic designer, Internet marketing service, Marketing agency, Video production service, Website designer",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 83350 67075,https://www.blueantz.in/,4.0,,"Ground Floor and 2nd Floor, Trinayani Plaza, 36A, 1, Purbachal Kalitala Rd, Kolkata, West Bengal 700078","Purbachal Kalitala, Kalikapur, Haltu",22.5037242,88.399372,ChIJQUX8MlhxAjoRdTbHiTFI94g,https://www.google.com/maps/place/?q=place_id:ChIJQUX8MlhxAjoRdTbHiTFI94g,part_329,2026-09-20 20:17:46,7372
"P3 Advertising - Best Advertising Agency In Kolkata, Poster, Dangler, Leaflets, Auto hood, Pole branding",PPC Advertising Agencies,Advertising agency,"Advertising agency, Digital printing service, Marketing agency, Offset Printer, 3D printing service",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 94321 20341,https://www.p3advertising.in/,4.9,,"91/9, Bose Pukur Rd, Purba Para, Bosepukur, Kasba, Kolkata, West Bengal 700042","Purba Para, Bosepukur, Kasba",22.5150737,88.3848869,ChIJB6jWnNXHraYRMMa-uUeZl3Q,https://www.google.com/maps/place/?q=place_id:ChIJB6jWnNXHraYRMMa-uUeZl3Q,part_329,2026-09-20 20:17:46,7373
