business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Momo point,Restaurant Chains,Fast food restaurant,Fast food restaurant,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 99333 33252,N/A,4.4,,"M9RJ+R4R, Thiknikata, West Bengal 734012",734434,26.692358799999997,88.378575,ChIJGcUrFbdF5DkRmoT-bZASgCs,https://www.google.com/maps/place/?q=place_id:ChIJGcUrFbdF5DkRmoT-bZASgCs,part_329,2026-09-20 20:17:14,1177
Smoky N Spicy,Restaurant Chains,Family restaurant,Family restaurant,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 98320 96376,N/A,4.4,,"Seth Srilal Market, opp. Silver Queen, Ward 11, Ward: 11, Siliguri, West Bengal 734001","Ward 11, Ward: 11",26.715900599999998,88.4240061,ChIJaXAsrfVB5DkRI4OFUb5-PUM,https://www.google.com/maps/place/?q=place_id:ChIJaXAsrfVB5DkRI4OFUb5-PUM,part_329,2026-09-20 20:17:14,1178
The Gourmet Central Family Restaurant & Bar,Restaurant Chains,Family restaurant,"Family restaurant, Bar, Chinese restaurant, Continental restaurant, European restaurant, Fast food restaurant, Fine dining restaurant, Indian restaurant",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 97330 91000,N/A,4.4,,"3rd Floor, City Center Mall, E-0301, Uttorayon Twp, Matigara, Siliguri, West Bengal 734010",Uttorayon Township,26.724780499999998,88.3946215,ChIJv6OM5M5G5DkRPVNju0dWIJY,https://www.google.com/maps/place/?q=place_id:ChIJv6OM5M5G5DkRPVNju0dWIJY,part_329,2026-09-20 20:17:14,1179
Pather Sathi,Restaurant Chains,Restaurant,"Restaurant, Hotel",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,3.6,,"MC58+299, Fulbari, Binnaguri, West Bengal 734015",734434,26.6575432,88.41597519999999,ChIJ03RsAppD5DkRICvwg5iyTpk,https://www.google.com/maps/place/?q=place_id:ChIJ03RsAppD5DkRICvwg5iyTpk,part_329,2026-09-20 20:17:14,1180
"Mio Amore, Medical",Restaurant Chains,Fast food restaurant,Fast food restaurant,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 98320 32551,N/A,4.0,,"Thiknikata, West Bengal 734012",734434,26.6918094,88.3798484,ChIJV2TaXyBE5DkR1IY9C_8_IW4,https://www.google.com/maps/place/?q=place_id:ChIJV2TaXyBE5DkR1IY9C_8_IW4,part_329,2026-09-20 20:17:14,1181
Rang De Basanti Dhaba- EM Bypass,Restaurant Chains,Restaurant,"Restaurant, North Indian restaurant",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 70592 35555,https://www.zingrestaurants.com/,4.8,,"Ground & 1st Floor, VIP Bazar, Metro Station, 250, Eastern Metropolitan Bypass, Netaji Nagar, VIP Nagar, Kolkata, West Bengal 700100","Netaji Nagar, VIP Nagar",22.5241409,88.39707899999999,ChIJ6bGeHsJ3AjoR6ltaGDhSSnw,https://www.google.com/maps/place/?q=place_id:ChIJ6bGeHsJ3AjoR6ltaGDhSSnw,part_329,2026-09-20 20:17:14,1182
DHRUBA FAST FOOD,Restaurant Chains,Fast food restaurant,Fast food restaurant,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,4.0,,"BHALLUKGARA. KHORIBARI, Siliguri, West Bengal 734427",734434,26.5498086,88.1685696,ChIJz_VXnH1T5DkR9gNhzf1qRf0,https://www.google.com/maps/place/?q=place_id:ChIJz_VXnH1T5DkR9gNhzf1qRf0,part_329,2026-09-20 20:17:14,1183
Epare Bangla,Restaurant Chains,Bengali restaurant,Bengali restaurant,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 98834 99792,N/A,4.1,,"Hotel Central Plaza Complex, Hill Cart Rd, Ward 45, Pradhan Nagar, Mallaguri, Siliguri, West Bengal 734003","Ward 45, Pradhan Nagar",26.732164899999997,88.4110165,ChIJzxahKxZB5DkR7QDMEyOfvvo,https://www.google.com/maps/place/?q=place_id:ChIJzxahKxZB5DkR7QDMEyOfvvo,part_329,2026-09-20 20:17:14,1184
The Yellow Chilli Restaurant,Restaurant Chains,North Indian restaurant,"North Indian restaurant, Bar, Family restaurant, Indian restaurant, Modern Indian restaurant, Restaurant",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 83482 58093,N/A,4.2,,"The Planet Building, 3rd, Sevoke Rd, near Cosmos Mall, Ward 41, Don Bosco Colony, Siliguri, West Bengal 734001","Ward 41, Don Bosco Colony",26.7393622,88.43521129999999,ChIJJ_jQIwJB5DkR_oT9l8aZRUs,https://www.google.com/maps/place/?q=place_id:ChIJJ_jQIwJB5DkR_oT9l8aZRUs,part_329,2026-09-20 20:17:14,1185
Adi Kalpana Pice Hotel,Restaurant Chains,Bengali restaurant,"Bengali restaurant, Hotel, Lodge",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 76868 52189,N/A,4.1,,"George Mahbert Rd, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Ward 11, Hakim Para",26.717146,88.424613,ChIJMTv9IG9B5DkRJvBHslSoOlM,https://www.google.com/maps/place/?q=place_id:ChIJMTv9IG9B5DkRJvBHslSoOlM,part_329,2026-09-20 20:17:14,1186
