business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
HI-TECH Car Auto electrical & A.c Works,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 90758 65218,N/A,4.9,24.0,"HI-TECH Car Auto Electric & A.c works, behind Empire hotel, near papaya nursary, Bajrang Nagar, Satpur Colony, Nashik, Maharashtra 422007","Bajrang Nagar, Satpur Colony",19.9829437,73.7248223,ChIJ7ybAoYHt3TsRphDbMLS111s,https://www.google.com/maps/place/?q=place_id:ChIJ7ybAoYHt3TsRphDbMLS111s,part_330,2026-09-20 20:17:26,1797
Ahmad Auto Electrician And Car Ac,Auto Electrician and AC Repair,Auto parts store,Auto parts store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",0304 2478539,N/A,4.9,102.0,"M2V7+2PM Irfan Plaza, F-10 Markaz F 10/4 F-10, Islamabad, 44000, Pakistan",F-10 Markaz F 10/4 F-10,33.692585,73.0142935,ChIJu2zuAUa_3zgRaxNJhDzEOak,https://www.google.com/maps/place/?q=place_id:ChIJu2zuAUa_3zgRaxNJhDzEOak,part_330,2026-09-20 20:17:26,1798
Sai Maruthi Car Ac and Electrical works,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 99864 55065,N/A,4.7,50.0,"31, Puttenahalli Rd, Jarganahalli, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078","Jarganahalli, JP Nagar Phase 6, J. P. Nagar",12.8983075,77.58252089999999,ChIJh3PTjLQVrjsRkahJps8flkc,https://www.google.com/maps/place/?q=place_id:ChIJh3PTjLQVrjsRkahJps8flkc,part_330,2026-09-20 20:17:26,1799
Electrician Sanjit,Auto Electrician and AC Repair,Electrician,Electrician,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 83888 46763,N/A,5.0,31.0,"Deshbandhu Para, Silpasamiti Para, Jalpaiguri, West Bengal 735101","Deshbandhu Para, Silpasamiti Para",26.5311353,88.71167229999999,ChIJj2UNzxd55DkRqAIg_8h2VEo,https://www.google.com/maps/place/?q=place_id:ChIJj2UNzxd55DkRqAIg_8h2VEo,part_330,2026-09-20 20:17:26,1800
Malik Auto Car AC Centre & Auto Electrician Battery Service,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",0300 7612770,N/A,5.0,2.0,"Block Z Madina Town, Faisalabad, Pakistan",Block Z Madina Town,31.421987599999998,73.11831769999999,ChIJC0idaWloIjkRQVTeD2jz7JU,https://www.google.com/maps/place/?q=place_id:ChIJC0idaWloIjkRQVTeD2jz7JU,part_330,2026-09-20 20:17:26,1801
A-One Auto Airconditioning & Car Repair,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 93715 68655,N/A,4.0,25.0,"Palika Bazar, 10 Pune Road, Singada Talaw, opp. Hira-Moti, Ganjmal, Nashik, Maharashtra 422001","Shingada Talav, Ganjmal",19.9936899,73.7869264,ChIJyxB6RwTr3TsRnyy3WWoww2Q,https://www.google.com/maps/place/?q=place_id:ChIJyxB6RwTr3TsRnyy3WWoww2Q,part_330,2026-09-20 20:17:26,1802
A F AUTO ELECTRICAL AND AC WORKS,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Auto air conditioning service",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98864 95347,N/A,4.5,81.0,"Hosur Rd, Aishwarya Crystal Layout, Singasandra, Bengaluru, Karnataka 560114","Aishwarya Crystal Layout, Singasandra",12.8762628,77.6475755,ChIJT3sZGwgVrjsRJpLs50J_lV0,https://www.google.com/maps/place/?q=place_id:ChIJT3sZGwgVrjsRJpLs50J_lV0,part_330,2026-09-20 20:17:26,1803
Rupon Automobiles - Bosch Car Service,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98001 52752,https://ap.boschcarservice.com/in/en/book-a-car-service#/booking/classic/landing?customerId=76143418,4.1,99.0,"Amtala Rd, Chayan Para, Bazar, Siliguri, West Bengal 734008","Chayan Para, Bazar",26.754570899999997,88.442994,ChIJddj1MlhA5DkRA23fYgcXJPw,https://www.google.com/maps/place/?q=place_id:ChIJddj1MlhA5DkRA23fYgcXJPw,part_330,2026-09-20 20:17:26,1804
JAFAR AUTO ELECTRICIAN,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 92263 12791,N/A,4.8,13.0,"Ghoti, Dahalewadi, Maharashtra 422402",Ghoti,19.7278999,73.6320437,ChIJ2bqavyWF3TsRCmyyhNdij7c,https://www.google.com/maps/place/?q=place_id:ChIJ2bqavyWF3TsRCmyyhNdij7c,part_330,2026-09-20 20:17:26,1805
Deepak Auto Electrical & Ac Repairing,Auto Electrician and AC Repair,Air conditioning repair service,Air conditioning repair service,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 99504 51755,N/A,4.8,55.0,"Jai Narayan Vyas Colony, Bikaner, Bikaner City, Rajasthan 334003",Jai Narayan Vyas Colony,28.017337599999998,73.35248419999999,ChIJ13lCWbDdPzkRBAm63R42uh4,https://www.google.com/maps/place/?q=place_id:ChIJ13lCWbDdPzkRBAm63R42uh4,part_330,2026-09-20 20:17:26,1806
Manoj electronics,Auto Electrician and AC Repair,Electronics store,Electronics store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 81160 05555,N/A,4.5,84.0,"Belacoba, West Bengal 735133",735305,26.5916237,88.5888761,ChIJHekM7oRl5DkR8JeGUQzIexc,https://www.google.com/maps/place/?q=place_id:ChIJHekM7oRl5DkR8JeGUQzIexc,part_330,2026-09-20 20:17:26,1807
S.M.N. Air Condition & Auto Electrical Works,Auto Electrician and AC Repair,Air conditioning repair service,"Air conditioning repair service, Auto electrical service",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98453 72825,N/A,4.2,43.0,"#36 9th c main, 100 ft ring road, btm 1st stage opp to indian oli petrol buunk, Bengaluru, Karnataka 560029","KEB Colony, 1st Stage, BTM 1st Stage",12.9168459,77.60578869999999,ChIJX9tzJwIVrjsRewKBTuKRoPk,https://www.google.com/maps/place/?q=place_id:ChIJX9tzJwIVrjsRewKBTuKRoPk,part_330,2026-09-20 20:17:26,1808
AR Smart Care Refrigeration,Auto Electrician and AC Repair,Air conditioning repair service,"Air conditioning repair service, Refrigerator repair service, Microwave oven repair service, Washer & dryer repair service",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98360 22881,N/A,4.8,129.0,"19/D Chatra Kumar Para lane Serampore, Sheoraphuli, West Bengal 712204",Sheoraphuli,22.7690836,88.3308045,ChIJI4UUOgyb-DkRlwus1vjHxAY,https://www.google.com/maps/place/?q=place_id:ChIJI4UUOgyb-DkRlwus1vjHxAY,part_330,2026-09-20 20:17:26,1809
Kashif Car AC & Auto Electrician,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",0334 6575021,N/A,4.2,11.0,"21 I & T Centre, Street No. 28, G-7/1 G 7/1 G-7, Islamabad, 44000, Pakistan",G-7/1 G 7/1 G-7,33.698785,73.0705004,ChIJd3abE-y_3zgRSPAiBz8xcy8,https://www.google.com/maps/place/?q=place_id:ChIJd3abE-y_3zgRSPAiBz8xcy8,part_330,2026-09-20 20:17:26,1810
The General Auto Electric & Mechanical,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98929 80658,N/A,5.0,68.0,"ANNEX-3, Ness Baug, Kennedy Bridge, opp. tutorial high school, Nana chowk, Shapur Baug, Grant Road, Mumbai, Maharashtra 400007","Nana chowk, Shapur Baug, Grant Road",18.9605517,72.8140456,ChIJUfoFT1nP5zsR3y1gfvXr_6k,https://www.google.com/maps/place/?q=place_id:ChIJUfoFT1nP5zsR3y1gfvXr_6k,part_330,2026-09-20 20:17:26,1811
Mazumdar Refrigeration,Auto Electrician and AC Repair,Electronics repair shop,"Electronics repair shop, Repair service",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 89275 74556,N/A,5.0,4.0,"4 No, Mazumdar Refrigeration, Tilak Rd, Ward 12, Hakim Para, Siliguri, West Bengal 734001","Ward 12, Hakim Para",26.7143595,88.4274373,ChIJOfNuV2xB5DkRteygIE3TEzE,https://www.google.com/maps/place/?q=place_id:ChIJOfNuV2xB5DkRteygIE3TEzE,part_330,2026-09-20 20:17:26,1812
SK Auto Electrical Works,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 77985 63071,N/A,4.9,86.0,"near Gultakdi, Ambedkar Nagar, Market Yard, Gultekadi, Pune, Maharashtra 411037","Ambedkar Nagar, Market Yard, Gultekadi",18.484243,73.86697079999999,ChIJuXMI_hHrwjsRYq6ej1unZzw,https://www.google.com/maps/place/?q=place_id:ChIJuXMI_hHrwjsRYq6ej1unZzw,part_330,2026-09-20 20:17:26,1813
Power Auto Cooling & Auto Electrical Works,Auto Electrician and AC Repair,Auto repair shop,"Auto repair shop, Auto electrical service, Repairs",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98224 97667,N/A,4.5,6.0,"XQFH+C48, Pethe Nagar Rd, near Kaka Ka Dhaba, Kale Mala, Kamod Nagar, Indira Nagar, Nashik, Maharashtra 422009","Kale Mala, Kamod Nagar, Indira Nagar",19.973529,73.7778359,ChIJU1HFLzzr3TsR8iDBQRCA1Lk,https://www.google.com/maps/place/?q=place_id:ChIJU1HFLzzr3TsR8iDBQRCA1Lk,part_330,2026-09-20 20:17:26,1814
"A.K. Electricals Sales, Services & Repairing",Auto Electrician and AC Repair,Electrical repair shop,Electrical repair shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 91391 26739,N/A,4.7,39.0,"Maandevi Mandir Chowk, Thakar Nagar Rd, Gaon, Maan, Man, Maharashtra 411057","Gaon, Maan",18.5754904,73.7092689,ChIJjeEBH2u7wjsRiS5sIj5Zbk4,https://www.google.com/maps/place/?q=place_id:ChIJjeEBH2u7wjsRiS5sIj5Zbk4,part_330,2026-09-20 20:17:26,1815
SHAHID AUTO ELECTRICIAN & CAR AC,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Auto air conditioning service, Auto machine shop",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",0342 5593050,N/A,4.9,,"Street 24, G-8/4 G 8/4 G-8, Islamabad, 44090, Pakistan",G-8/4 G 8/4 G-8,33.6918796,73.0569213,ChIJFcoGxBa_3zgRrSAi3toladk,https://www.google.com/maps/place/?q=place_id:ChIJFcoGxBa_3zgRrSAi3toladk,part_330,2026-09-20 20:17:27,1816
Aadarsh car A/C & electrical works,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 88614 18333,N/A,4.3,,"1/2, near ganesh temple, Nrupathunga Nagar, Kothnoor Dinne, 8th Phase, J. P. Nagar, Bengaluru, Karnataka 560062","Nrupathunga Nagar, Kothnoor Dinne, 8th Phase, J. P. Nagar",12.878387499999999,77.58409979999999,ChIJGZ6qY0oVrjsRj7JCWZPvRUY,https://www.google.com/maps/place/?q=place_id:ChIJGZ6qY0oVrjsRj7JCWZPvRUY,part_330,2026-09-20 20:17:27,1817
Advances auto electric and electronics works,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Electronics Engineer",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 87419 73777,N/A,5.0,,"Manwakheda, Eklingpura, Rajasthan 313003",Manwakheda,24.557037299999998,73.73668529999999,ChIJGdZor43vZzkRe129IBZTsQk,https://www.google.com/maps/place/?q=place_id:ChIJGdZor43vZzkRe129IBZTsQk,part_330,2026-09-20 20:17:27,1818
Aziz Auto electrician & Car AC service,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",0300 0193215,N/A,5.0,,"Depalpur road, opposite UBL Bank, Okara, 56300, Pakistan",735305,30.805272499999997,73.4608822,ChIJdxU0YK-nIjkRgXu6flHJpis,https://www.google.com/maps/place/?q=place_id:ChIJdxU0YK-nIjkRgXu6flHJpis,part_330,2026-09-20 20:17:27,1819
