business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Manik Bike Repair Shop,Bicycle Shop and Repair,Wholesaler,Wholesaler,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 76028 93067,http://bengalykabita.blogspot.com/,5.0,2.0,"CVH5+9MV, Baikur Gour Gram, Helapakhri, West Bengal 735301",735305,26.428496199999998,88.8591737,ChIJse3rxfCB4zkRcgOXvdSMGR0,https://www.google.com/maps/place/?q=place_id:ChIJse3rxfCB4zkRcgOXvdSMGR0,part_330,2026-09-20 20:17:26,1862
Indramohan bicycle repairing Store,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,,,"GP6J+MJH, Police Line Rd, Jalpaiguri, West Bengal 735101",735305,26.511695999999997,88.7315991,ChIJH39GeAB55DkRClyzqtdTjTw,https://www.google.com/maps/place/?q=place_id:ChIJH39GeAB55DkRClyzqtdTjTw,part_330,2026-09-20 20:17:26,1863
Jalpai Motor & Cycle Co,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 83489 87322,https://www.facebook.com/Jalpai-Motor-Cycle-Com-2131759060175465/,4.1,18.0,"Dinbazar Rd, Jalpaiguri, West Bengal 735101",735305,26.5281862,88.72395089999999,ChIJ9-35Qbh55DkRjSy68LTcN7c,https://www.google.com/maps/place/?q=place_id:ChIJ9-35Qbh55DkRjSy68LTcN7c,part_330,2026-09-20 20:17:26,1864
Raju Cycle and Gas Repairing Store,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,4.0,1.0,"GP58+3QR, Pandapara Rd, Park Moe, Kalibari, Jalpaiguri, West Bengal 735132","Park Moe, Kalibari",26.5080156,88.7164483,ChIJgTfVXAB_5DkRYXB-7qV4-zw,https://www.google.com/maps/place/?q=place_id:ChIJgTfVXAB_5DkRYXB-7qV4-zw,part_330,2026-09-20 20:17:26,1865
Subir Bike Service And Repairing Center,Bicycle Shop and Repair,Motorcycle shop,"Motorcycle shop, Two Wheeler Repair Shop",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98327 46617,N/A,4.8,6.0,"Subir Bike Sarvice and Repairing Center, Maynaguri, Uttar Madhabdanga, West Bengal 735224",735305,26.546072199999998,88.82710349999999,ChIJwxTaD8CH4zkRcqt3kvFd8OI,https://www.google.com/maps/place/?q=place_id:ChIJwxTaD8CH4zkRcqt3kvFd8OI,part_330,2026-09-20 20:17:26,1866
P.C. SHARMA&SONS,Bicycle Shop and Repair,Bicycle wholesaler,Bicycle wholesaler,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,3.7,70.0,"GPHF+879, Dinbazar Rd, Jalpaiguri, West Bengal 735101",735305,26.5282914,88.7232264,ChIJlQuiq0N55DkRDEEI4cRl0tQ,https://www.google.com/maps/place/?q=place_id:ChIJlQuiq0N55DkRDEEI4cRl0tQ,part_330,2026-09-20 20:17:26,1867
D.C.M bicycle shop,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 76019 24314,N/A,5.0,3.0,"Near, Old zarda bridge, puratan bazar, Maynaguri, West Bengal 735224",puratan bazar,26.5652685,88.82532119999999,ChIJ4bXyPPuH4zkREwvxauIaxxc,https://www.google.com/maps/place/?q=place_id:ChIJ4bXyPPuH4zkREwvxauIaxxc,part_330,2026-09-20 20:17:26,1868
Saha Cycle Store,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle wholesaler, Electric bicycle store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 82502 11387,https://www.facebook.com/SahaCyclesStore?mibextid=ZbWKwL,5.0,12.0,"Supermarket, Puraton Bazar, Maynaguri, West Bengal 735224",Puraton Bazar,26.5646326,88.8229037,ChIJ5Uw7pJ2H4zkRXUryRlSvfZA,https://www.google.com/maps/place/?q=place_id:ChIJ5Uw7pJ2H4zkRXUryRlSvfZA,part_330,2026-09-20 20:17:26,1869
Cycle Repair Shop,Bicycle Shop and Repair,Motorcycle shop,Motorcycle shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98006 19310,N/A,,,"Jhajhangi Bridge, Maynaguri, Chura Bhandar, West Bengal 735224",735305,26.561287699999998,88.8924928,ChIJlyiBsAWF4zkRcA5NfPfdT7g,https://www.google.com/maps/place/?q=place_id:ChIJlyiBsAWF4zkRcA5NfPfdT7g,part_330,2026-09-20 20:17:26,1870
basak cycle store,Bicycle Shop and Repair,Auto repair shop,Auto repair shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 99336 30225,N/A,1.0,1.0,"denguajhar, Jalpaiguri, West Bengal 735101",denguajhar,26.5212689,88.71625619999999,ChIJ1-cHcB955DkRUhbesZPlrDg,https://www.google.com/maps/place/?q=place_id:ChIJ1-cHcB955DkRUhbesZPlrDg,part_330,2026-09-20 20:17:26,1871
Ashok Cycle Stores,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop, Tire shop",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 94346 07135,N/A,4.8,,"SH 12, Bagdogra - Panighata Main Rd, Uttar Bagdogra, Bagdogra, West Bengal 734014",Uttar Bagdogra,26.6999861,88.31084129999999,ChIJjzWaFLFI5DkRTTfY5NH77Ms,https://www.google.com/maps/place/?q=place_id:ChIJjzWaFLFI5DkRTTfY5NH77Ms,part_330,2026-09-20 20:17:27,1872
Kalimata Cycle Stores,Bicycle Shop and Repair,Bicycle wholesaler,"Bicycle wholesaler, Bicycle Shop",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 90646 22720,N/A,4.4,,"Nh 31, Jalpaigiri Road, near of Sbi Bank, Purba Daukimari, Dhupguri, West Bengal 735210",Purba Daukimari,26.5821321,89.0051441,ChIJH25B3RCa4zkRgGpl0kymnMw,https://www.google.com/maps/place/?q=place_id:ChIJH25B3RCa4zkRgGpl0kymnMw,part_330,2026-09-20 20:17:27,1873
ANIK CYCLE STORE,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 82505 63636,N/A,5.0,,"JH3Q+PC7, Belakoba Rd, Belacoba, Guzrimari, West Bengal 735133",735305,26.604289599999998,88.5885533,ChIJ4x5yTXxv5DkR08G5tRSexgc,https://www.google.com/maps/place/?q=place_id:ChIJ4x5yTXxv5DkR08G5tRSexgc,part_330,2026-09-20 20:17:27,1874
Freewheels Cycles,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle club, Bicycle rental service, Bicycle repair shop, Bicycle wholesaler, BMX club, Sports Accessories Wholesaler, Toy store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 74780 93333,N/A,4.8,,"Sevoke Rd, Ward 41, Siliguri, West Bengal 734001",Ward 41,26.7415134,88.4358776,ChIJv_nlplpB5DkRnCE8EhfZNaM,https://www.google.com/maps/place/?q=place_id:ChIJv_nlplpB5DkRnCE8EhfZNaM,part_330,2026-09-20 20:17:27,1875
Alok Bike Service Point,Bicycle Shop and Repair,Motorcycle shop,Motorcycle shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 95479 87916,N/A,5.0,,"07 Club, More, Dhupguri, Kathapara, West Bengal 735210",735305,26.579889599999998,89.05557739999999,ChIJNWPXKmyZ4zkRJYggtz1QpNY,https://www.google.com/maps/place/?q=place_id:ChIJNWPXKmyZ4zkRJYggtz1QpNY,part_330,2026-09-20 20:17:27,1876
