business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
पंजाबी ढाबा 🫕,Dhaba and Highway Restaurant,Punjabi restaurant,"Punjabi restaurant, Dhaba",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 97323 00259,N/A,4.8,565.0,"NH 27, opp. Petrol Pump, Fatapukur, Kismat Sukani, West Bengal 735134",735305,26.570384299999997,88.5341211,ChIJOcZFxUNm5DkRQm2295Tk0fs,https://www.google.com/maps/place/?q=place_id:ChIJOcZFxUNm5DkRQm2295Tk0fs,part_330,2026-09-20 20:17:13,545
Highway Dhaba And Restaurant,Dhaba and Highway Restaurant,Restaurant,Restaurant,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 94280 01241,N/A,4.5,63.0,"VHCQ+8JH, Bagrakot Tea Garden, Bagrakote, West Bengal 734501",735305,26.870813499999997,88.5890938,ChIJqTuSSsAT5DkRHfh8zqgTfm8,https://www.google.com/maps/place/?q=place_id:ChIJqTuSSsAT5DkRHfh8zqgTfm8,part_330,2026-09-20 20:17:13,546
Jhajhangi Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,4.0,510.0,"HV7J+3P9, Jhajangi, Chura Bhandar, West Bengal 735224",735305,26.5626608,88.881875,ChIJu1UUh8mF4zkRQ6iZntduOq0,https://www.google.com/maps/place/?q=place_id:ChIJu1UUh8mF4zkRQ6iZntduOq0,part_330,2026-09-20 20:17:13,547
Khanda Punjabi Dhaba,Dhaba and Highway Restaurant,Restaurant,Restaurant,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 70018 02237,N/A,4.3,51.0,"NH12, Balai Gachh, West Bengal 735135",735305,26.5829807,88.512526,ChIJyVeksEVn5DkRS86tcAI351Q,https://www.google.com/maps/place/?q=place_id:ChIJyVeksEVn5DkRS86tcAI351Q,part_330,2026-09-20 20:17:13,548
New Highway Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,3.6,74.0,"HGQ3+XM5, Balai Gachh, West Bengal 735135",735305,26.589885499999998,88.50424,ChIJ_eD6adtn5DkR5nPadkzgjqY,https://www.google.com/maps/place/?q=place_id:ChIJ_eD6adtn5DkR5nPadkzgjqY,part_330,2026-09-20 20:17:13,549
ELEPHANTA DHABA & HOMESTAY,Dhaba and Highway Restaurant,Home Stay,"Home Stay, Dhaba, Food court",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 82500 58148,https://elephanta-dhaba-homestay.grexa.site/,4.6,31.0,"Bichabhanga, Lataguri, Nimna Tandu Forest, West Bengal 735219",Bichabhanga,26.7253714,88.7752457,ChIJdZh2UwB15DkRBHuhK_rLZag,https://www.google.com/maps/place/?q=place_id:ChIJdZh2UwB15DkRBHuhK_rLZag,part_330,2026-09-20 20:17:13,550
YDD Yaara Daa Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 81014 09289,N/A,4.5,63.0,"Bharat Petroleum, Om kranti service station, Kranti, West Bengal 735218",735305,26.713577599999997,88.715019,ChIJaVDhIGl15DkRs3t3yD9V2Gs,https://www.google.com/maps/place/?q=place_id:ChIJaVDhIGl15DkRs3t3yD9V2Gs,part_330,2026-09-20 20:17:13,551
Sainik Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 85368 26933,N/A,3.8,639.0,"National Highway 31D, Bhemtia, Dhupguri, West Bengal 735210",735305,26.579068,88.9901225,ChIJsWQPxEKa4zkRsoLmducO4lA,https://www.google.com/maps/place/?q=place_id:ChIJsWQPxEKa4zkRsoLmducO4lA,part_330,2026-09-20 20:17:13,552
Bicky Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 96410 47623,N/A,4.1,484.0,"Road, Tesimala, West Bengal 735221",735305,26.8344824,88.74328849999999,ChIJf5Oz6QYL5DkR9LZ1_TQQg5E,https://www.google.com/maps/place/?q=place_id:ChIJf5Oz6QYL5DkR9LZ1_TQQg5E,part_330,2026-09-20 20:17:13,553
Gudla da dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 86176 41780,N/A,4.2,19.0,"GJRF+JXP, SH12A, Bahadur, West Bengal 735133",735305,26.5415928,88.6249505,ChIJd9GwmQ1l5DkRHXBciJwVmsc,https://www.google.com/maps/place/?q=place_id:ChIJd9GwmQ1l5DkRHXBciJwVmsc,part_330,2026-09-20 20:17:13,554
Annapurna Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,3.9,517.0,"JF5M+854, NH 27, Ambari Falakata, West Bengal 735135",735305,26.6082526,88.4829634,ChIJH9-TlwNo5DkRWNkv1J2x1TM,https://www.google.com/maps/place/?q=place_id:ChIJH9-TlwNo5DkRWNkv1J2x1TM,part_330,2026-09-20 20:17:13,555
Kalyan Dhaba,Dhaba and Highway Restaurant,Restaurant,Restaurant,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98320 09385,N/A,4.0,92.0,"HH75+HQ, Sukani, West Bengal 735133",735305,26.563982799999998,88.5593772,ChIJgRgWS31l5DkRTWKqvFaa5qU,https://www.google.com/maps/place/?q=place_id:ChIJgRgWS31l5DkRTWKqvFaa5qU,part_330,2026-09-20 20:17:13,556
Nimti Dhaba,Dhaba and Highway Restaurant,Dhaba,"Dhaba, Bengali restaurant, Breakfast restaurant",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 97333 28098,N/A,3.9,2283.0,"JC2R+C7R, NH 317, Nimti Domohani, West Bengal 735214",735305,26.6011056,89.4406276,ChIJpXDdpX5S4jkRXj-OX_Jfd5o,https://www.google.com/maps/place/?q=place_id:ChIJpXDdpX5S4jkRXj-OX_Jfd5o,part_330,2026-09-20 20:17:13,557
