business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Trinath Hardware store,Hardware Store,Hardware store,"Hardware store, Auto painting, Paint store, Pump supplier, Toiletries Store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 74784 81919,N/A,4.9,,"Station Rd, Nutan Para, Jalpaiguri, West Bengal 735101",Nutan Para,26.5201481,88.7258689,ChIJAZkkA0Z55DkRL_r3GG1u4Co,https://www.google.com/maps/place/?q=place_id:ChIJAZkkA0Z55DkRL_r3GG1u4Co,part_330,2026-09-20 20:17:29,2076
Chanda Hardware - Jaguar Authorised Dealer,Hardware Store,Hardware store,"Hardware store, Home goods store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 70019 43417,N/A,4.3,,"Loknath Complex, Babupara Rd, Nutan Para, Jalpaiguri, West Bengal 735101",Nutan Para,26.523218999999997,88.72635819999999,ChIJ0wzXYUZ55DkRQHIxmFr0Ics,https://www.google.com/maps/place/?q=place_id:ChIJ0wzXYUZ55DkRQHIxmFr0Ics,part_330,2026-09-20 20:17:29,2077
SHYAAM LAAL HARDWARE- Authorised Asian Paints Dealer,Hardware Store,Hardware store,"Hardware store, Paint store, Pipes Wholesaler",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98320 40406,N/A,5.0,,"Merchant Rd, Jalpaiguri, West Bengal 735101",735305,26.527323,88.7243663,ChIJqxTnwUN55DkRqRAkneUDW-g,https://www.google.com/maps/place/?q=place_id:ChIJqxTnwUN55DkRqRAkneUDW-g,part_330,2026-09-20 20:17:29,2078
MALLICK ENTERPRISE,Hardware Store,Hardware store,"Hardware store, Home goods store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 89274 71138,http://www.bumba.com/,4.0,,"Mandalghat Rd, Jalpaiguri, Araji Garalbari, West Bengal 735132",735305,26.438556799999997,88.7516953,ChIJOyx-d7V_5DkR3FETjNi23Rg,https://www.google.com/maps/place/?q=place_id:ChIJOyx-d7V_5DkR3FETjNi23Rg,part_330,2026-09-20 20:17:29,2079
Hardware stores,Hardware Store,Hardware store,Hardware store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 90834 32349,N/A,5.0,,"9QJR+5MR, Haldibari, West Bengal 735122",735305,26.3804992,88.7916485,ChIJdaFNWQB_4zkRkok32ObWNBs,https://www.google.com/maps/place/?q=place_id:ChIJdaFNWQB_4zkRkok32ObWNBs,part_330,2026-09-20 20:17:29,2080
K.M Das & Co,Hardware Store,Hardware store,Hardware store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 62963 25868,N/A,5.0,,"GPFG+W4C New Kamalalaya, Nutan Para, Jalpaiguri, West Bengal 735101",Nutan Para,26.5246025,88.7253501,ChIJ_QjwVAB55DkRbQf8k4jaV-k,https://www.google.com/maps/place/?q=place_id:ChIJ_QjwVAB55DkRbQf8k4jaV-k,part_330,2026-09-20 20:17:29,2081
Knauf Authorised Dealer - Kasturi Allumunium,Hardware Store,Hardware store,Hardware store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 80 6291 4975,https://knauf.com/en-IN,5.0,,"Kasturi Bhavan Samajpara, nearby Student Health Home, Jalpaiguri, West Bengal 735101",735305,26.5269251,88.7266721,ChIJkSPCkYh55DkRPJau9BTeXcw,https://www.google.com/maps/place/?q=place_id:ChIJkSPCkYh55DkRPJau9BTeXcw,part_330,2026-09-20 20:17:29,2082
Soniya ectronics and hardware,Hardware Store,Hardware store,Hardware store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,5.0,,"Helapakri bazar Helapakri, West Bengal 735301",735305,26.427384999999997,88.8605863,ChIJA8vnGlqB4zkRRWkTbRCsh60,https://www.google.com/maps/place/?q=place_id:ChIJA8vnGlqB4zkRRWkTbRCsh60,part_330,2026-09-20 20:17:29,2083
New Narayan Hardware,Hardware Store,Hardware store,Hardware store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 96140 73530,N/A,5.0,,"Shop Number 1, DBC Rd, Nutan Para, Jalpaiguri, West Bengal 735101",Nutan Para,26.5246332,88.7237284,ChIJ2QfGfoB55DkRutoQ3SIyTO8,https://www.google.com/maps/place/?q=place_id:ChIJ2QfGfoB55DkRutoQ3SIyTO8,part_330,2026-09-20 20:17:29,2084
Gopal Hardware Stores,Hardware Store,Hardware store,Hardware store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 96416 44465,N/A,4.1,,"Maynaguri Road, Puraton Bazar, Jalpaiguri, Maynaguri, West Bengal 735224",Puraton Bazar,26.5650138,88.8235326,ChIJvT-39aGH4zkR6WUIDuhRG24,https://www.google.com/maps/place/?q=place_id:ChIJvT-39aGH4zkR6WUIDuhRG24,part_330,2026-09-20 20:17:29,2085
Bhowmick Hardware,Hardware Store,Building materials store,Building materials store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98320 42678,N/A,4.3,,"W Congress Para Rd, Surf More, Jalpaiguri, West Bengal 735101",Surf More,26.517958099999998,88.7147564,ChIJm69CPFd55DkRCAztn_sllkw,https://www.google.com/maps/place/?q=place_id:ChIJm69CPFd55DkRCAztn_sllkw,part_330,2026-09-20 20:17:29,2086
"BISWAKARMA BHANDAR - DUPLICATE COMPUTERIZED KEY MAKER,PADLOCK’S,TOOL’S",Hardware Store,Hardware store,"Hardware store, Key duplication service, Lock Store, Locksmith, Machine shop, Tools Wholesaler",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 70015 29220,N/A,4.6,,"Thana Rd, near Central bank, Jalpaiguri, West Bengal 735101",735305,26.5257893,88.725464,ChIJ2bFCjUZ55DkRngjceqKdRkM,https://www.google.com/maps/place/?q=place_id:ChIJ2bFCjUZ55DkRngjceqKdRkM,part_330,2026-09-20 20:17:29,2087
SWASTIK HARDWARE,Hardware Store,Hardware store,Hardware store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,,,"FVF4+W2Q, Bhote Patty, West Bengal 735305",735305,26.4748323,88.85510579999999,ChIJe58fKQCB4zkRJGAA5Z8mEf0,https://www.google.com/maps/place/?q=place_id:ChIJe58fKQCB4zkRJGAA5Z8mEf0,part_330,2026-09-20 20:17:29,2088
Sarawagi & Co.,Hardware Store,Hardware store,Hardware store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 89188 36838,N/A,3.0,,"Merchant Road, Dinbazar Rd, Jalpaiguri, West Bengal 735101",735305,26.527266599999997,88.7241389,ChIJQWP_m0x55DkRch1bEPbG48w,https://www.google.com/maps/place/?q=place_id:ChIJQWP_m0x55DkRch1bEPbG48w,part_330,2026-09-20 20:17:29,2089
