business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mona Chikan Shop,Kirana Store,Grocery store,Grocery store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 79082 63831,N/A,5.0,2.0,"Jalpaiguri Gairkata, Machiyabiz, West Bengal 735101",735305,26.522926,88.7312652,ChIJo1icTnx55DkRBx4T-SvG9pw,https://www.google.com/maps/place/?q=place_id:ChIJo1icTnx55DkRBx4T-SvG9pw,part_330,2026-09-20 20:17:10,70
Rocky Grocery Store,Kirana Store,Store,Store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 83919 91048,N/A,,,"Chandiyar More, Mandalghat, West Bengal 735132",735305,26.465246099999998,88.7441936,ChIJWwrSBgB_5DkRosLTzmHRqgY,https://www.google.com/maps/place/?q=place_id:ChIJWwrSBgB_5DkRosLTzmHRqgY,part_330,2026-09-20 20:17:10,71
MAJUMDAR STORE,Kirana Store,Indian grocery store,Indian grocery store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,5.0,2.0,"HELAPAKRI, West Bengal 735305",735305,26.4254581,88.854818,ChIJR2gfui6B4zkRuJ5tNSAq2Fg,https://www.google.com/maps/place/?q=place_id:ChIJR2gfui6B4zkRuJ5tNSAq2Fg,part_330,2026-09-20 20:17:10,72
Dev's Varieties,Kirana Store,Indian grocery store,Indian grocery store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,4.0,2.0,"FVG3+C4W, Bhote Patty, West Bengal 735305",735305,26.4761098,88.8528295,ChIJlQ36MwCB4zkRe7o_SryBCM4,https://www.google.com/maps/place/?q=place_id:ChIJlQ36MwCB4zkRe7o_SryBCM4,part_330,2026-09-20 20:17:10,73
Rama Store,Kirana Store,General store,General store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 81161 44999,N/A,4.7,104.0,"Chamurchi More.Banarhat. Jalpaiguri Karbala road.Chamurchi More.Banarhat, Jalpaiguri, West Bengal 735202",735305,26.7945186,89.0306426,ChIJ4ZgSqtrr4zkRLJY33DnufAw,https://www.google.com/maps/place/?q=place_id:ChIJ4ZgSqtrr4zkRLJY33DnufAw,part_330,2026-09-20 20:17:10,74
Jagath Sarkar store,Kirana Store,Indian grocery store,Indian grocery store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,5.0,2.0,"GP4J+FP3, Jalpaiguri, West Bengal 735132",735305,26.505915299999998,88.7316625,ChIJd3xcB4R_5DkRbpW2Ul2P2lE,https://www.google.com/maps/place/?q=place_id:ChIJd3xcB4R_5DkRbpW2Ul2P2lE,part_330,2026-09-20 20:17:10,75
Nitya Sundar Stores,Kirana Store,Grocery store,Grocery store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 86178 84484,N/A,4.4,19.0,"Samajpara Samaj Para, Jalpaiguri, West Bengal 735101",735305,26.5266546,88.726181,ChIJm5EvnFR55DkRvOxwPrMuqng,https://www.google.com/maps/place/?q=place_id:ChIJm5EvnFR55DkRvOxwPrMuqng,part_330,2026-09-20 20:17:10,76
Arambagh's Foodmart (Kadamtala),Kirana Store,Convenience store,Convenience store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98741 97979,https://www.arambaghfoodmart.com/,4.9,12.0,"GPF9+JHQ, DBC Rd, Jalpaiguri, West Bengal 735101",735305,26.524068099999997,88.7189744,ChIJ5cW6RXJ55DkR9fXS0jcTrsQ,https://www.google.com/maps/place/?q=place_id:ChIJ5cW6RXJ55DkR9fXS0jcTrsQ,part_330,2026-09-20 20:17:10,77
Tapan Roy Grocery,Kirana Store,Indian grocery store,Indian grocery store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,4.5,19.0,"Unnamed Road, Maynaguri, West Bengal 735224",735305,26.5625176,88.81432869999999,ChIJ9VzObJWH4zkRElx8Rb7MSB0,https://www.google.com/maps/place/?q=place_id:ChIJ9VzObJWH4zkRElx8Rb7MSB0,part_330,2026-09-20 20:17:10,78
Mandal Store,Kirana Store,General store,"General store, Grocery store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 62977 81282,N/A,4.2,10.0,"Road, Dwarikamari, West Bengal 735224",735305,26.586889799999998,88.8642481,ChIJbTmVD8ev4zkRn1FfX83xMm4,https://www.google.com/maps/place/?q=place_id:ChIJbTmVD8ev4zkRn1FfX83xMm4,part_330,2026-09-20 20:17:10,79
SARKAR GROCERY STORE,Kirana Store,Indian grocery store,"Indian grocery store, Grocery store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,https://sarkar-grocery-store.grexa.site/,5.0,10.0,"VILL-154, PS- MAKLIGANJ, PO, Nagar Changrabandha, Changrabandha, West Bengal 735301",PO,26.4244485,88.9177867,ChIJfQI8RTOD4zkR62r9VOjc6u4,https://www.google.com/maps/place/?q=place_id:ChIJfQI8RTOD4zkR62r9VOjc6u4,part_330,2026-09-20 20:17:10,80
SHANKAR MINJ Grocery Shop,Kirana Store,Grocery store,Grocery store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 82504 51225,N/A,3.7,3.0,"TE division Line, Banarhat Tea Garden, West Bengal 735203",735305,26.7836358,89.0306761,ChIJUdIHrL6V4zkR6MTsPoKmEK0,https://www.google.com/maps/place/?q=place_id:ChIJUdIHrL6V4zkR6MTsPoKmEK0,part_330,2026-09-20 20:17:10,81
Sen Grocery Shop,Kirana Store,Indian grocery store,Indian grocery store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,5.0,2.0,"PWD Rd, Saptibari, West Bengal 735224",735305,26.5091461,88.9219438,ChIJPx_BegCD4zkR6GX0DNKXwNQ,https://www.google.com/maps/place/?q=place_id:ChIJPx_BegCD4zkR6GX0DNKXwNQ,part_330,2026-09-20 20:17:10,82
Maa Monosa Grocery & Ice Cream Store,Kirana Store,Grocery store,Grocery store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 76791 37378,N/A,5.0,1.0,"Anandanaga, Maynaguri, West Bengal 735224",Anandanaga,26.570703599999998,88.8242597,ChIJq7DTfw6H4zkRvpcrB2UKKqM,https://www.google.com/maps/place/?q=place_id:ChIJq7DTfw6H4zkRvpcrB2UKKqM,part_330,2026-09-20 20:17:10,83
D B chowdhury,Kirana Store,Plywood supplier,Plywood supplier,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 87594 69061,https://dbchowdhury.store/,4.8,6.0,"Vivekananda Para Rd, Silpasamiti Para, Jalpaiguri, West Bengal 735101",Silpasamiti Para,26.530687,88.7134379,ChIJVRGEpsV55DkR7au4rXLVt9E,https://www.google.com/maps/place/?q=place_id:ChIJVRGEpsV55DkR7au4rXLVt9E,part_330,2026-09-20 20:17:12,84
