business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
T.D & Sons,Silk Saree Wholesaler,Saree Shop,"Saree Shop, T-shirt store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 94340 13104,N/A,4.4,32.0,"Dinbazar Rd, Jalpaiguri, West Bengal 735101",735305,26.5277753,88.7233028,ChIJ__JoU-p55DkRXrMv5r7grAw,https://www.google.com/maps/place/?q=place_id:ChIJ__JoU-p55DkRXrMv5r7grAw,part_330,2026-09-20 20:17:15,811
Tant Saree Wholesale - Santipur( Swapan Kumar Kar ),Silk Saree Wholesaler,Wholesaler,Wholesaler,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 94345 05477,https://vastrmitr.in/,4.5,16.0,"Ghoralia, Santipur, West Bengal 741404",735305,23.234329799999998,88.4622382,ChIJXYsyCvjn-DkRsFz4ebOGNzg,https://www.google.com/maps/place/?q=place_id:ChIJXYsyCvjn-DkRsFz4ebOGNzg,part_330,2026-09-20 20:17:15,812
National Textile,Silk Saree Wholesaler,Saree Shop,Saree Shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 99338 35934,N/A,4.2,33.0,"Dinbazar Rd, Jalpaiguri, West Bengal 735101",735305,26.5293779,88.7236053,ChIJI_JQUUJ55DkRQei8_V-Gj2Y,https://www.google.com/maps/place/?q=place_id:ChIJI_JQUUJ55DkRQei8_V-Gj2Y,part_330,2026-09-20 20:17:15,813
Tirupati Trading Company,Silk Saree Wholesaler,Clothing wholesaler,"Clothing wholesaler, Boutique, Clothes market, Clothing manufacturer, Clothing store, Clothing supplier, Clothing wholesale market place, Online Share Trading Center, Textile Exporter",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 97350 81000,http://www.siliguriwholesale.com/,4.8,820.0,"Sarkar Mansion, Hill Cart Rd, Ward 6, Siliguri, West Bengal 734001",Ward 6,26.7138819,88.4238438,ChIJUdifrWtB5DkRpLXSrmIZ-OA,https://www.google.com/maps/place/?q=place_id:ChIJUdifrWtB5DkRpLXSrmIZ-OA,part_330,2026-09-20 20:17:15,814
SB handloom saree manufacturer and wholesaler,Silk Saree Wholesaler,Designer Clothing Store,"Designer Clothing Store, Clothing wholesaler, Manufacturer, Saree Shop, Women's clothing store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 86378 57814,https://www.facebook.com/share/1EBkj2Xhxf/,4.4,52.0,"Ramnath Tarkaratna Rd, Santipur, West Bengal 741404",735305,23.2578897,88.4384376,ChIJA6kZyIHn-DkR5JkPwLjbCkE,https://www.google.com/maps/place/?q=place_id:ChIJA6kZyIHn-DkR5JkPwLjbCkE,part_330,2026-09-20 20:17:15,815
New Sanchita Bastralaya,Silk Saree Wholesaler,Clothing store,"Clothing store, Clothes market, Clothing supplier, Clothing wholesaler, Clothing Accessories Store, Saree Shop, Traditional Kostume store, Women's clothing store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98320 92240,N/A,4.4,119.0,"Hill Cart Rd, opp. United Bank, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Ward 11, Hakim Para",26.714947,88.42345619999999,ChIJdZN8AmtB5DkRPjAvtT5Cnsc,https://www.google.com/maps/place/?q=place_id:ChIJdZN8AmtB5DkRPjAvtT5Cnsc,part_330,2026-09-20 20:17:15,816
Desh Bidesh Bengal Saree,Silk Saree Wholesaler,Clothing store,"Clothing store, Clothing manufacturer, Clothing supplier, Clothing wholesaler, Garment Exporter",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 70011 92874,https://deshbideshbengalsaree.com/,4.7,13.0,"Shyamlal Para, Lalbaghan, Kalna, West Bengal 713409",735305,23.217597599999998,88.3633243,ChIJFxSk-mDl-DkRib0nPQcMrnI,https://www.google.com/maps/place/?q=place_id:ChIJFxSk-mDl-DkRib0nPQcMrnI,part_330,2026-09-20 20:17:15,817
Shree Hanuman Textile,Silk Saree Wholesaler,Clothing wholesaler,Clothing wholesaler,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 96798 52530,N/A,4.9,13.0,"Dinbazar Rd, Jalpaiguri, West Bengal 735101",735305,26.529106799999997,88.72172259999999,ChIJ1d6-xct55DkR_0zHxpSraG4,https://www.google.com/maps/place/?q=place_id:ChIJ1d6-xct55DkR_0zHxpSraG4,part_330,2026-09-20 20:17:15,818
Banglarsare Handloom Udyog- Online Saree Boutique | Ladies Kurtis | Handicraft Items,Silk Saree Wholesaler,Saree Shop,"Saree Shop, Clothing store, Clothing supplier, Clothing wholesaler",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98309 60361,https://banglarsare.com/,4.1,44.0,"1st Floor, Shivalay Apartment, 843, Jawpur Rd, Panchanantala, Kolkata, West Bengal 700074","Panchanantala, Jawpur, Dum Dum",22.615793699999998,88.4038257,ChIJa9eV-v2d-DkREs9p6dM5vWM,https://www.google.com/maps/place/?q=place_id:ChIJa9eV-v2d-DkREs9p6dM5vWM,part_330,2026-09-20 20:17:15,819
"Mrignayani M.P.Govt. Emporium Handloom Saree Retailers, Kolkata",Silk Saree Wholesaler,Clothing store,"Clothing store, Boutique, Clothing wholesaler, Designer Clothing Store, Handicraft, Jewelry store, Saree Shop, Women's clothing store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 85830 29680,https://www.mrignayanikolkata.com/,4.4,365.0,"Dakshinapan Complex, 2, Gariahat Rd S, Dhakuria, Jodhpur Park, Kolkata, West Bengal 700068","Dhakuria, Jodhpur Park",22.5089927,88.3668028,ChIJI7LQbylxAjoRxvXuaqQ7yYM,https://www.google.com/maps/place/?q=place_id:ChIJI7LQbylxAjoRxvXuaqQ7yYM,part_330,2026-09-20 20:17:15,820
