business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Gita Enterprise | Tata Tiscon TMT Dealer,TMT Steel and Iron Wholesaler,Iron & Steel Store,Iron & Steel Store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 94340 04844,https://aashiyana.tatasteel.com/,4.5,,"Ward Number 15, W Congress Para Rd, Jalpaiguri, West Bengal 735101",735305,26.518654599999998,88.7181525,ChIJo26p1kl55DkR1G4TFdmq4Wo,https://www.google.com/maps/place/?q=place_id:ChIJo26p1kl55DkR1G4TFdmq4Wo,part_330,2026-09-20 20:17:30,2238
Shree Ji Steel Corporation,TMT Steel and Iron Wholesaler,Steel distributor,"Steel distributor, Building materials supplier, Construction Material Wholesaler, Iron & Steel Store, Iron works",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 70444 59444,https://shreejisteelcorp.com/,4.7,,"7th Floor, 18/1, Maharshi Debendra Rd, Raja Katra, Loha Patti, Bara Bazar, Jorasanko, Kolkata, West Bengal 700007","Raja Katra, Loha Patti, Bara Bazar, Jorasanko",22.5840796,88.3522334,ChIJY_AHzLl3AjoRCMXQaghe81w,https://www.google.com/maps/place/?q=place_id:ChIJY_AHzLl3AjoRCMXQaghe81w,part_330,2026-09-20 20:17:30,2239
Durga Iron Stores,TMT Steel and Iron Wholesaler,Steel distributor,Steel distributor,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 353 243 2544,N/A,4.0,,"198, Opposite: Hotel Gateway, 134, Sevoke Rd, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.717356499999998,88.4240468,ChIJyTiA1RNB5DkRPe2UI1C44_w,https://www.google.com/maps/place/?q=place_id:ChIJyTiA1RNB5DkRPe2UI1C44_w,part_330,2026-09-20 20:17:30,2240
RADHA KRISHNA ENTERPRISE,TMT Steel and Iron Wholesaler,Iron & Steel Store,Iron & Steel Store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,5.0,,"WORD NO 20, BOSE PARA, Jalpaiguri, West Bengal 735102",BOSE PARA,26.5263703,88.70721789999999,ChIJGTj6lYF75DkRg77nc8tfC10,https://www.google.com/maps/place/?q=place_id:ChIJGTj6lYF75DkRg77nc8tfC10,part_330,2026-09-20 20:17:30,2241
SUPERIOR STEEL TRADING COMPANY,TMT Steel and Iron Wholesaler,Steel distributor,"Steel distributor, Construction Material Wholesaler, Service establishment, Iron & Steel Store, Steel construction company",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 96675 06599,http://superiorsteeltradingcompany.com/,5.0,1.0,"SUPERIOR STEEL TRADING COMPANY, 735305, India",735305,21.0680074,82.7525294,ChIJ-fcPERT7DDkRF4w-2fuwL7E,https://www.google.com/maps/place/?q=place_id:ChIJ-fcPERT7DDkRF4w-2fuwL7E,part_330,2026-09-20 20:17:31,2242
Rishab Enterprise (home office),TMT Steel and Iron Wholesaler,Iron & Steel Store,Iron & Steel Store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 91269 36384,N/A,4.0,13.0,"GPJ5+C9M, Arabinda Nagar Rd, Deshbandhu Para, Jalpaiguri, West Bengal 735101",Deshbandhu Para,26.5310888,88.7084276,ChIJEZtrh-B75DkR-ule5J2fJGc,https://www.google.com/maps/place/?q=place_id:ChIJEZtrh-B75DkR-ule5J2fJGc,part_330,2026-09-20 20:17:31,2243
DURGAPUR STEEL & METAL UDYOG,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Steel construction company, Steel distributor",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 96472 53536,https://www.dsmudyog.com/,4.8,39.0,"2nd Floor, SHUHATTA MAAL, Bus Stand, 2/22, City Center, Durgapur, West Bengal 713216",City Center,23.537103899999998,87.29436679999999,ChIJJzpE6CBl9zkRZlpygLCLPQk,https://www.google.com/maps/place/?q=place_id:ChIJJzpE6CBl9zkRZlpygLCLPQk,part_330,2026-09-20 20:17:31,2244
RDTMT STEELS INDIA PVT LTD - CORPORATE OFFICE,TMT Steel and Iron Wholesaler,Steel industry,"Steel industry, Supplier, Manufacturer, Metal supplier",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 63649 63636,https://www.rdtmt.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,4.5,39.0,"M.B WEIGHBRIDGE, 54/A, Taluk, opposite Arvind Goodwill garments, Bommasandra Industrial Area, Anekal, Bengaluru, Karnataka 560099",Bommasandra Industrial Area,12.8160838,77.6861734,ChIJRUWybdltrjsRB0z0yuDQPFQ,https://www.google.com/maps/place/?q=place_id:ChIJRUWybdltrjsRB0z0yuDQPFQ,part_330,2026-09-20 20:17:31,2245
SRMB Srijan Private Limited,TMT Steel and Iron Wholesaler,Manufacturer,"Manufacturer, Bar, Steel industry",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 343 255 9205,http://www.srmbsteel.com/,4.2,195.0,"P.S.Cokeoven, Sagarbhanga, Durgapur, West Bengal 713211",Sagarbhanga,23.490210599999997,87.33386879999999,ChIJOyRdzBpx9zkRFBhfiQp2xeg,https://www.google.com/maps/place/?q=place_id:ChIJOyRdzBpx9zkRFBhfiQp2xeg,part_330,2026-09-20 20:17:31,2246
Durgapur Steel Udyog,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Civil engineering company, Steel construction company, Steel distributor, Steel fabricator",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 96415 43297,https://www.indiamart.com/durgapursteeludyog/,4.7,136.0,"A-2/6, masjid road, near Transformer, Naim Nagar, Benachity, Durgapur, West Bengal 713203","Naim Nagar, Benachity",23.5549412,87.2656275,ChIJcSauSL1t9zkR4LzW3vcXPlE,https://www.google.com/maps/place/?q=place_id:ChIJcSauSL1t9zkR4LzW3vcXPlE,part_330,2026-09-20 20:17:31,2247
