business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
U Clean CoochBehar,Housekeeping Services,Laundry service,Laundry service,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,https://www.uclean.in/,3.3,,"Ward 7, Rajmata Rd, Cooch Behar, West Bengal 736101",736101,26.330426799999998,89.4443572,ChIJ_WSr-57_4jkRkSN4vkhCn_A,https://www.google.com/maps/place/?q=place_id:ChIJ_WSr-57_4jkRkSN4vkhCn_A,part_330,2026-09-20 20:18:32
Dey Home Care Coochbehar ( Aya Nursing Center,Housekeeping Services,Home help service agency,"Home help service agency, Child health care center, Patients support association",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 70012 66102,https://forms.gle/FuYGnDTwnPU8TVrJA,4.9,,"Ashram Rd, New Town, Cooch Behar, West Bengal 736101",New Town,26.307201,89.44860039999999,ChIJtcP2lk794jkRoYnOAm_dHIs,https://www.google.com/maps/place/?q=place_id:ChIJtcP2lk794jkRoYnOAm_dHIs,part_330,2026-09-20 20:18:32
Laxmi Housekeeping Cleaning Service,Housekeeping Services,House cleaning service,House cleaning service,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,,,"East, Khagrabari, Cooch Behar, West Bengal 736101","East, Khagrabari",26.3413619,89.4579856,ChIJAX8n_y7_4jkREfA-aFWycPQ,https://www.google.com/maps/place/?q=place_id:ChIJAX8n_y7_4jkREfA-aFWycPQ,part_330,2026-09-20 20:18:32
Prime Ghar,Housekeeping Services,Home help service agency,Home help service agency,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,https://www.primeghar.com/,5.0,,"opposite of priyanka apartment, Morapora, Cooch Behar, West Bengal 736101",Morapora,26.3135282,89.4502906,ChIJb3W7ebtwmY8RXdmjTYsKW7k,https://www.google.com/maps/place/?q=place_id:ChIJb3W7ebtwmY8RXdmjTYsKW7k,part_330,2026-09-20 20:18:32
Coochbehar Laundry,Housekeeping Services,Laundry,Laundry,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 87599 15462,N/A,3.4,,"Rup Narayan Rd, Cooch Behar, West Bengal 736101",736101,26.324203699999998,89.4454768,ChIJTdBNOf394jkRrToVb81iMPs,https://www.google.com/maps/place/?q=place_id:ChIJTdBNOf394jkRrToVb81iMPs,part_330,2026-09-20 20:18:32
Urban Professional,Housekeeping Services,House cleaning service,House cleaning service,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 82987 43657,http://www.urbanprofessional.in/,5.0,,"Purbasha Apartment, Ward 18, Subhas Pally, Siliguri, West Bengal 734001","Ward 18, Subhas Pally",26.705312799999998,88.4351107,ChIJhZA2ABBB5DkRz12mWFqkd30,https://www.google.com/maps/place/?q=place_id:ChIJhZA2ABBB5DkRz12mWFqkd30,part_330,2026-09-20 20:18:32
Tumbledry Dry Clean & Laundry Service,Housekeeping Services,Dry cleaner,"Dry cleaner, Carpet cleaning service, Laundry, Laundry service, Shoe repair shop",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 76772 50250,https://tumbledry.in/,4.5,,"Ward No: 11, New Kadamtala, Nara Narayan Rd, opposite India Overseas Bank, Mukuldanga, Cooch Behar, West Bengal 736101",Mukuldanga,26.3151677,89.45096679999999,ChIJ_1m--Af94jkR2vvvn5Z4ixk,https://www.google.com/maps/place/?q=place_id:ChIJ_1m--Af94jkR2vvvn5Z4ixk,part_330,2026-09-20 20:18:33
MA PEST CONTROL LLP,Housekeeping Services,Pest control service,Pest control service,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 91474 12203,https://www.mapestcontrolllp.com/,5.0,,"Hazra Para, Choupathi, Cooch Behar, West Bengal 736101","Hazra Para, Choupathi",26.314687199999998,89.44516759999999,ChIJ5z6t1_ivTU8Re55kOpARCkI,https://www.google.com/maps/place/?q=place_id:ChIJ5z6t1_ivTU8Re55kOpARCkI,part_330,2026-09-20 20:18:33
The Whiteman- Laundry & Dry cleaning,Housekeeping Services,Laundry service,Laundry service,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,2.8,,"8CHV+PPF, Raj Rajendra Narayan Rd, Cooch Behar, West Bengal 736101",736101,26.3293131,89.4442851,ChIJK3pfgNT_4jkRfqdgIIthA8I,https://www.google.com/maps/place/?q=place_id:ChIJK3pfgNT_4jkRfqdgIIthA8I,part_330,2026-09-20 20:18:33
Urban home service,Housekeeping Services,House cleaning service,"House cleaning service, Carpet cleaning service, Chimney services, Cleaning Services, Dry cleaner, Pest control service, Sofa store, Tile cleaning service, Upholstery cleaning service, Water Tank Cleaners",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 96209 45107,https://urbanhomeservice.co.in/,4.9,,"Satyam Apartment, Silchar College road sreema lane satyam apartment College road, sreema lane, Silchar, Assam 788001",Ambicapatty,24.819779999999998,92.7913299,ChIJR6pwCxaAI6cRgDdjOccmrZw,https://www.google.com/maps/place/?q=place_id:ChIJR6pwCxaAI6cRgDdjOccmrZw,part_330,2026-09-20 20:18:33
