business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Dr. Arindam Butt - Pediatrician (Child Specialist) | Dr Butt’s Clinic in Cooch Behar, West Bengal",Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Child health care center, Medical clinic, Neonatal physician, Pediatric clinic",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 94340 37982,https://drbuttsclinic.com/,4.8,,"NIRAMOY, Jitendra Narayan Rd, Cooch Behar, West Bengal 736101",736101,26.3199208,89.44392769999999,ChIJh4rA9fj94jkRg5SOoP3zh_A,https://www.google.com/maps/place/?q=place_id:ChIJh4rA9fj94jkRg5SOoP3zh_A,part_330,2026-09-20 20:18:08
Dr.Debashree roy (Child Clinic)Child specialist,Pediatrician and Child Clinic,Pediatric clinic,Pediatric clinic,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,5.0,,"8C8P+RX2, Hitendra Narayan Rd, Patakura, Cooch Behar, West Bengal 736101",Patakura,26.317023499999998,89.4373823,ChIJPVXfcQD94jkRCg_dlCdlCWU,https://www.google.com/maps/place/?q=place_id:ChIJPVXfcQD94jkRCg_dlCdlCWU,part_330,2026-09-20 20:18:08
Dr. Ashis Saha | Pediatric & Neonatal Surgeon,Pediatrician and Child Clinic,Pediatric surgeon,Pediatric surgeon,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 82403 38571,N/A,4.6,,"Bairagi Dighi By lane, Subhash Pally, Cooch Behar, West Bengal 736101",Subhash Pally,26.3298006,89.45058019999999,ChIJncFMquj_4jkRtw4GcnqpTGI,https://www.google.com/maps/place/?q=place_id:ChIJncFMquj_4jkRtw4GcnqpTGI,part_330,2026-09-20 20:18:08
Dr. JINIA SAHA (ROYCHOWDHURY) M. D.,Pediatrician and Child Clinic,Pediatrician,Pediatrician,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,,,"8FG3+CM3, Cooch Behar, West Bengal 736101",736101,26.325954499999998,89.4542184,ChIJY-89WwD_4jkRc-ZHOsfajd0,https://www.google.com/maps/place/?q=place_id:ChIJY-89WwD_4jkRc-ZHOsfajd0,part_330,2026-09-20 20:18:08
Dr. Mahua Roy | Paediatric Cardiologist | NH,Pediatrician and Child Clinic,Pediatric cardiologist,"Pediatric cardiologist, Cardiologist, Cardiovascular and thoracic surgeon, Doctor, Health consultant, Medical clinic, Surgeon, Vascular surgeon",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 80 6215 4844,https://www.narayanahealth.org/?utm_source=GooglePlaces&utm_medium=GBP,,,"Dr.P.K.Saha Nursing Home, Bairagi Dighi Bylane, Cooch Behar, West Bengal 736101",736101,26.319072,89.443806,ChIJJbDQI9P94jkRCMd6Q5UJPwM,https://www.google.com/maps/place/?q=place_id:ChIJJbDQI9P94jkRCMd6Q5UJPwM,part_330,2026-09-20 20:18:08
Mom's Belief Athena Child Development Centre,Pediatrician and Child Clinic,Child health care center,"Child health care center, Occupational therapist, Physiotherapist, Special education school, Speech & Hearing Specialist, Wellness center",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 80768 77038,https://momsbelief.com/,4.7,,"1st Floor, Dipnarayan Bayamagar, Raj Rajendra Narayan Rd, Bye Lane, Cooch Behar, West Bengal 736101",Bye Lane,26.3235581,89.44326319999999,ChIJNciHp5P94jkRoqCDidYKjgw,https://www.google.com/maps/place/?q=place_id:ChIJNciHp5P94jkRoqCDidYKjgw,part_330,2026-09-20 20:18:08
Bengal Allergy and Asthma Centre,Pediatrician and Child Clinic,Allergist,"Allergist, Pediatric clinic",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 97325 37091,https://www.bengalallergyandasthmacentre.com/,4.9,117.0,"Abokash, Gol Bagan, H.N. Road, Cooch Behar, West Bengal 736101",736101,26.3185359,89.4403674,ChIJRycmliz84jkRB7PwdAKj_qA,https://www.google.com/maps/place/?q=place_id:ChIJRycmliz84jkRB7PwdAKj_qA,part_330,2026-09-20 20:18:09
REHEAR Speech & Hearing Clinic,Pediatrician and Child Clinic,Speech & Hearing Specialist,"Speech & Hearing Specialist, Audiologist, Hearing aid repair service, Hearing aid store, Occupational therapist, Psychologist, Special educator",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 70084 39922,N/A,4.9,51.0,"House No-12, 8CCV+FJ7, Sunity Rd, Doctors, Cooch Behar, West Bengal 736101",736101,26.3220872,89.4442322,ChIJQZwekoj94jkRy_y8pRb4guE,https://www.google.com/maps/place/?q=place_id:ChIJQZwekoj94jkRy_y8pRb4guE,part_330,2026-09-20 20:18:09
Dr. Joyanta Ghosh | Interventional Cardiologist | NH,Pediatrician and Child Clinic,Cardiologist,"Cardiologist, Cardiovascular and thoracic surgeon, Doctor, Health consultant, Medical clinic, Pediatric cardiologist, Surgeon, Vascular surgeon",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 80 6215 4893,https://www.narayanahealth.org/kolkata/cardiology-adult/dr-joyanta-ghosh?utm_source=Googlemaps&utm_medium=GMB,5.0,11.0,"A.P.Medical Store, near Taltala, Khagrabari, Cooch Behar, West Bengal 736101",Khagrabari,26.337985999999997,89.446676,ChIJwREq6yn_4jkRl8I1N5leVuU,https://www.google.com/maps/place/?q=place_id:ChIJwREq6yn_4jkRl8I1N5leVuU,part_330,2026-09-20 20:18:09
Dr. Krishnendu Sarkar Clinic,Pediatrician and Child Clinic,Local medical services,Local medical services,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 77977 25165,N/A,3.8,9.0,"Magazine Rd Ext, New Town, Cooch Behar, West Bengal 736101",New Town,26.3124644,89.4491085,ChIJSeJUyST84jkRMOM8Y9jgw90,https://www.google.com/maps/place/?q=place_id:ChIJSeJUyST84jkRMOM8Y9jgw90,part_330,2026-09-20 20:18:10
Dr. Debdas Mukherjee,Pediatrician and Child Clinic,Pediatrician,Pediatrician,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,,,"8CWX+37W, Khagrabari, Cooch Behar, West Bengal 736179",Khagrabari,26.3452397,89.4482079,ChIJt4E2OgD_4jkRYCZ0M6OGibc,https://www.google.com/maps/place/?q=place_id:ChIJt4E2OgD_4jkRYCZ0M6OGibc,part_330,2026-09-20 20:18:10
Cradle CDC Coochbehar,Pediatrician and Child Clinic,Speech & Hearing Specialist,Speech & Hearing Specialist,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 94743 79109,N/A,4.0,11.0,"2nd floor, Niramoy building, MJM Road, Cooch Behar, West Bengal 736101",736101,26.3200081,89.4424349,ChIJuYnpzIn94jkRrDxRsPh5Vko,https://www.google.com/maps/place/?q=place_id:ChIJuYnpzIn94jkRrDxRsPh5Vko,part_330,2026-09-20 20:18:10
Dr. A. K. SINHA(Sharda Pharmacy),Pediatrician and Child Clinic,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,https://www.facebook.com/profile.php?id=61550752425286&mibextid=ZbWKwL,4.2,25.0,"8CCP+GCW, Bara Debi Bari, Cooch Behar, West Bengal 736101",Bara Debi Bari,26.3213537,89.4360736,ChIJefkEutT94jkRAmpCRG1llvU,https://www.google.com/maps/place/?q=place_id:ChIJefkEutT94jkRAmpCRG1llvU,part_330,2026-09-20 20:18:10
Dr. Ajay Mandal,Pediatrician and Child Clinic,Diabetologist,"Diabetologist, Cardiologist, Emergency care physician",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 74782 00804,N/A,4.9,8.0,"Godhulibazar main road, Dinhata, West Bengal 736135",736101,26.134502299999998,89.4613607,ChIJq6qqqlbh4jkRoLCs6ec1ZB0,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqlbh4jkRoLCs6ec1ZB0,part_330,2026-09-20 20:18:11
