business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Siraj Tyre & Tube,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,733127,West Bengal Circle,North Bengal Region,Dinajpur Division,"Tapan SO, Ajmatpur BO, Balapur BO",+91 97755 15061,N/A,4.4,19.0,"Goagoan Goalpokher Near Chan Chok Sirnia North Dinajpur, Islampur, West Bengal 733210",733127,25.9366384,88.0428531,ChIJyTtw4nwj5TkRxLu9trBDCvo,https://www.google.com/maps/place/?q=place_id:ChIJyTtw4nwj5TkRxLu9trBDCvo,part_327,2026-09-20 20:33:16
Toto stant,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,733127,West Bengal Circle,North Bengal Region,Dinajpur Division,"Tapan SO, Ajmatpur BO, Balapur BO",N/A,N/A,2.0,2.0,"6GH9+3P2, Dubahar, West Bengal 733127",733127,25.2276261,88.5192654,ChIJN9SYq3Vr-zkRWU9lHFc2GuM,https://www.google.com/maps/place/?q=place_id:ChIJN9SYq3Vr-zkRWU9lHFc2GuM,part_327,2026-09-20 20:33:16
Tapan,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,733127,West Bengal Circle,North Bengal Region,Dinajpur Division,"Tapan SO, Ajmatpur BO, Balapur BO",N/A,N/A,,,"8H4C+JC2, Tapan, Salas, West Bengal 733127",733127,25.3065033,88.5710266,ChIJ2QyraABD-zkRqCziQYPnLyk,https://www.google.com/maps/place/?q=place_id:ChIJ2QyraABD-zkRqCziQYPnLyk,part_327,2026-09-20 20:33:16
Krishna Tyre Tube Repairing Centre,Tyre Showroom and Puncture Shop,Auto repair shop,Auto repair shop,733127,West Bengal Circle,North Bengal Region,Dinajpur Division,"Tapan SO, Ajmatpur BO, Balapur BO",+91 98320 64249,N/A,5.0,2.0,"NH 12, near Sarai, Rupahar, Raiganj, West Bengal 733123",733127,25.5646959,88.136113,ChIJO3x6HzPV-jkRVsjVch0X8T0,https://www.google.com/maps/place/?q=place_id:ChIJO3x6HzPV-jkRVsjVch0X8T0,part_327,2026-09-20 20:33:17
DECENT TYRE (1),Tyre Showroom and Puncture Shop,Tire shop,Tire shop,733127,West Bengal Circle,North Bengal Region,Dinajpur Division,"Tapan SO, Ajmatpur BO, Balapur BO",+91 85975 55415,N/A,5.0,1.0,"road, opposite Bharat petroleum, Birpara, Telipara, Sakojhora D, West Bengal 735212","Birpara, Telipara",26.704062699999998,89.0514177,ChIJiwVmVqSV4zkR2nM4uQsmYNU,https://www.google.com/maps/place/?q=place_id:ChIJiwVmVqSV4zkR2nM4uQsmYNU,part_327,2026-09-20 20:33:18
Parvez tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,733127,West Bengal Circle,North Bengal Region,Dinajpur Division,"Tapan SO, Ajmatpur BO, Balapur BO",+91 75014 37013,N/A,5.0,1.0,"Gurudwara Sahib, near Air force gate, Hasimara, West Bengal 735215",733127,26.685589,89.3401111,ChIJHXjF2gC14zkRladiLO1RXzM,https://www.google.com/maps/place/?q=place_id:ChIJHXjF2gC14zkRladiLO1RXzM,part_327,2026-09-20 20:33:18
AKHTAR TYRE SERVICE CENTRE,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,733127,West Bengal Circle,North Bengal Region,Dinajpur Division,"Tapan SO, Ajmatpur BO, Balapur BO",N/A,N/A,4.0,9.0,"beside NH -31, near sangam hotel, Jogijhora Barabak, Birpara, West Bengal 735204",733127,26.7058064,89.0772291,ChIJT6SPLeeV4zkRL2B9lEjxpx8,https://www.google.com/maps/place/?q=place_id:ChIJT6SPLeeV4zkRL2B9lEjxpx8,part_327,2026-09-20 20:33:18
Yashraj Tyre Shop,Tyre Showroom and Puncture Shop,Auto repair shop,"Auto repair shop, Tire shop",733127,West Bengal Circle,North Bengal Region,Dinajpur Division,"Tapan SO, Ajmatpur BO, Balapur BO",+91 98320 76160,N/A,5.0,2.0,"46, Birpara, West Bengal 735204",733127,26.703512999999997,89.1477086,ChIJiZS1jZ6-4zkRZMyQEqJHCBc,https://www.google.com/maps/place/?q=place_id:ChIJiZS1jZ6-4zkRZMyQEqJHCBc,part_327,2026-09-20 20:33:18
Tyre Reparing Shop,Tyre Showroom and Puncture Shop,Auto repair shop,Auto repair shop,733127,West Bengal Circle,North Bengal Region,Dinajpur Division,"Tapan SO, Ajmatpur BO, Balapur BO",N/A,N/A,3.0,1.0,"X78F+6MV, Rd,, Hill Cart Road, West Bengal 734209",733127,26.965612099999998,88.2741874,ChIJQRN0i9ox5DkRhxR4O3VmkpI,https://www.google.com/maps/place/?q=place_id:ChIJQRN0i9ox5DkRhxR4O3VmkpI,part_327,2026-09-20 20:33:18
Das Tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,733127,West Bengal Circle,North Bengal Region,Dinajpur Division,"Tapan SO, Ajmatpur BO, Balapur BO",+91 82507 40625,N/A,4.4,11.0,"Das Tyre, near Nh 31, beside Navjeevan Nursing Home, Matiyari, Kanki, West Bengal 733209",733127,26.011240299999997,87.8601777,ChIJMaH9IQo_5TkR39c4FhqDTkM,https://www.google.com/maps/place/?q=place_id:ChIJMaH9IQo_5TkR39c4FhqDTkM,part_327,2026-09-20 20:33:18
MRF Tyres Exclusive - SG Tyre,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,733127,West Bengal Circle,North Bengal Region,Dinajpur Division,"Tapan SO, Ajmatpur BO, Balapur BO",+91 80016 95075,https://dealers.mrftyres.com/mrf-tyres-exclusive-sg-tyre-tyre-shop-gopalpur-asansol-373126/Home,4.5,238.0,"Gopalpur, Asansol, West Bengal 713304",Gopalpur,23.7011427,86.9295623,ChIJRVS4pbsf9zkRq7tkadPFlas,https://www.google.com/maps/place/?q=place_id:ChIJRVS4pbsf9zkRq7tkadPFlas,part_327,2026-09-20 20:33:18
