business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NE Taxi,Taxi Service and Car Rental,Taxi service,"Taxi service, Car rental agency",723142,West Bengal Circle,South Bengal Region,Purulia Division,"Ramchandrapur Ashram SO, Ramkanali BO",+91 78729 29029,https://www.ne.cab/,4.4,199.0,"Fair Heaven Building, Metro Point, near ITBP Camp, Tadong, Gangtok, Sikkim 737102",Tadong,27.309712599999997,88.5947932,ChIJ_V-YsBOl5jkRfgVgoUlFrVs,https://www.google.com/maps/place/?q=place_id:ChIJ_V-YsBOl5jkRfgVgoUlFrVs,part_325,2026-09-20 20:33:46
Friendly Cab Rentals,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Bus tour agency, Car leasing service, Handicapped transportation service, Minibus taxi service, Sightseeing Tour Operator, Tour operator, Travel agency, Van rental agency",723142,West Bengal Circle,South Bengal Region,Purulia Division,"Ramchandrapur Ashram SO, Ramkanali BO",+91 70216 12167,https://friendlycabrentals.in/,4.8,127.0,"Unit No 08, Gopal House, IB Patel Rd, Jay Prakash Nagar, Goregaon East, Mumbai, Maharashtra 400063","Jay Prakash Nagar, Goregaon East",19.161448999999998,72.854754,ChIJ5fehh9C35zsR2NKTg6jIVFM,https://www.google.com/maps/place/?q=place_id:ChIJ5fehh9C35zsR2NKTg6jIVFM,part_325,2026-09-20 20:33:47
Om Sai Travels,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Taxi service",723142,West Bengal Circle,South Bengal Region,Purulia Division,"Ramchandrapur Ashram SO, Ramkanali BO",+91 80131 20273,https://www.facebook.com/share/1DNmp4rpzw/,4.9,104.0,"116/1, Andul Rd, Shibpur, Howrah, West Bengal 711103",Shibpur,22.562401899999998,88.3053498,ChIJzxfcHtSEOIURemMpGFalk_E,https://www.google.com/maps/place/?q=place_id:ChIJzxfcHtSEOIURemMpGFalk_E,part_325,2026-09-20 20:33:47
Get Cab India self car Rental,Taxi Service and Car Rental,Taxi service,"Taxi service, Bus tour agency, Car leasing service, Car rental agency, Tour agency, Tour operator, Travel agency",723142,West Bengal Circle,South Bengal Region,Purulia Division,"Ramchandrapur Ashram SO, Ramkanali BO",+91 97822 77775,https://www.getcabindia.in/self-drive-car-rental-in-jodhpur/,4.8,160.0,"10, Gopal Pyau, Amrita Devi Park, Basni, Rajasthan 342014",Surya Colony,26.267766899999998,73.0194303,ChIJI8lp5WGLQTkR2b-HjgSnGq8,https://www.google.com/maps/place/?q=place_id:ChIJI8lp5WGLQTkR2b-HjgSnGq8,part_325,2026-09-20 20:33:47
Aayushi cab service,Taxi Service and Car Rental,Car leasing service,"Car leasing service, Bus tour agency, Sightseeing Tour Operator, Tour operator",723142,West Bengal Circle,South Bengal Region,Purulia Division,"Ramchandrapur Ashram SO, Ramkanali BO",+91 99711 36755,N/A,5.0,190.0,"Railway Station, 150, Andul Rd, Shalimar, Howrah, West Bengal 711103",Shalimar,22.556803499999997,88.31351839999999,ChIJ2YFpsex5AjoRlFVMEiFnHb0,https://www.google.com/maps/place/?q=place_id:ChIJ2YFpsex5AjoRlFVMEiFnHb0,part_325,2026-09-20 20:33:47
Uttarakhand Taxi Services,Taxi Service and Car Rental,Travel agency,Travel agency,723142,West Bengal Circle,South Bengal Region,Purulia Division,"Ramchandrapur Ashram SO, Ramkanali BO",+91 96340 00177,https://uttarakhandtaxi.in/,5.0,68.0,"Tea Estate, Badrish Vihar, Banjarawala, Dehradun, Chakbanjarewala, Uttarakhand 248001","Badrish Vihar, Banjarawala",30.2843047,78.0271973,ChIJW_SF1nEPyCgRFG0G4xsrL0A,https://www.google.com/maps/place/?q=place_id:ChIJW_SF1nEPyCgRFG0G4xsrL0A,part_325,2026-09-20 20:33:47
Zeeshan taxi cab service,Taxi Service and Car Rental,Travel agency,"Travel agency, Car leasing service, Car rental agency, Taxi service",723142,West Bengal Circle,South Bengal Region,Purulia Division,"Ramchandrapur Ashram SO, Ramkanali BO",+91 76205 32589,https://g.page/zeeshan-taxi-cab-service?gm,5.0,45.0,"Flat no. 001, A-WING, Crystal Pallazo, Yashwant Gaurav Rd, Nala Sopara, Morya Nagar, Vasai-Virar, Maharashtra 401203","Nala Sopara, Morya Nagar",19.432720099999997,72.81360699999999,ChIJ_4ScBBep5zsRswejgxV4GtQ,https://www.google.com/maps/place/?q=place_id:ChIJ_4ScBBep5zsRswejgxV4GtQ,part_325,2026-09-20 20:33:47
Bharat Taxi,Taxi Service and Car Rental,Taxi service,Taxi service,723142,West Bengal Circle,South Bengal Region,Purulia Division,"Ramchandrapur Ashram SO, Ramkanali BO",+91 76070 03240,N/A,2.8,6.0,"Room-4, Fourth Flore, CNK Tower, 3, Royd St, Taltala, Kolkata, West Bengal 700016",Taltala,22.5532589,88.3540373,ChIJZ8K9QQV3AjoRauu3RWIebM4,https://www.google.com/maps/place/?q=place_id:ChIJZ8K9QQV3AjoRauu3RWIebM4,part_325,2026-09-20 20:33:48
Cab Rental Services,Taxi Service and Car Rental,Taxi service,Taxi service,723142,West Bengal Circle,South Bengal Region,Purulia Division,"Ramchandrapur Ashram SO, Ramkanali BO",N/A,N/A,,,"Kabardanga, Haridevpur, Kolkata, West Bengal 700104","Haridevpur, Chak Ramnagar",22.457504999999998,88.3316806,ChIJO9m8H61xAjoRDLXexadUDHk,https://www.google.com/maps/place/?q=place_id:ChIJO9m8H61xAjoRDLXexadUDHk,part_325,2026-09-20 20:33:48
Clear car rental pvt Ltd,Taxi Service and Car Rental,Car rental agency,Car rental agency,723142,West Bengal Circle,South Bengal Region,Purulia Division,"Ramchandrapur Ashram SO, Ramkanali BO",+91 88888 55220,https://www.clearcarrental.com/,1.0,1.0,"154/158 S.V. Savarkar Marg, Mahim Kapad Bazar, Old Cadel Rd, opp. Pakeeza Bakery, Mahim (W), Mumbai, Maharashtra 400016","Mahim (W), Mahim West, Mahim",19.0370582,72.838929,ChIJMzeIsdzJ5zsRhpGsaggTCvg,https://www.google.com/maps/place/?q=place_id:ChIJMzeIsdzJ5zsRhpGsaggTCvg,part_325,2026-09-20 20:33:48
