business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Growth Digital AI,Growth Marketing,Internet marketing service,"Internet marketing service, E - Commerce Agency, E-commerce service, Market researcher, Marketing agency, Marketing consultant, Research and product development, Web hosting company, Website designer",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 90832 46651,https://growthdigitalai.com/,5.0,,"near Gour Palace and Bhawan, opposite Kali Mandir, Ward 39, Haidar Para, Siliguri, West Bengal 734006","Ward 39, Haidar Para",26.7230064,88.4433057,ChIJN5MOmexB5DkRvy45TosWje4,https://www.google.com/maps/place/?q=place_id:ChIJN5MOmexB5DkRvy45TosWje4,part_329,2026-09-20 20:18:25
Outgrowth,Growth Marketing,Internet marketing service,Internet marketing service,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 88879 95604,https://outgrowth.in/,5.0,,"Phase-2, Hamraz Complex, 80/79, Latouche Rd, Cooperganj, Kanpur, Uttar Pradesh 208001",Cooperganj,26.4613965,80.34180219999999,ChIJ4bLMaDJHnDkRkNjsiC0S2b8,https://www.google.com/maps/place/?q=place_id:ChIJ4bLMaDJHnDkRkNjsiC0S2b8,part_329,2026-09-20 20:18:25
HET MARKETING,Growth Marketing,Tile store,Tile store,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",N/A,N/A,4.5,,"Jila parisad road, Eastern Bypass, Siliguri, West Bengal 734001","Ward 42, Don Bosco Colony",26.7487517,88.4491804,ChIJv3ZBzlJB5DkRTyinCeman94,https://www.google.com/maps/place/?q=place_id:ChIJv3ZBzlJB5DkRTyinCeman94,part_329,2026-09-20 20:18:25
"Edge Grow Digital Marketing (Web Design Company in Durgapur | Digital Marketing Agency in Durgapur, Kolkata, Delhi, New York)",Growth Marketing,Marketing agency,"Marketing agency, Internet marketing service",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 90916 00104,https://www.edgegrowmarketing.com/,5.0,,"Suryasen Pally, B Block, Durgapur, West Bengal 713201","Suryasen Pally, B Block",23.4828209,87.3129719,ChIJ0RF2NDRz9zkRsJ2iGGdKebc,https://www.google.com/maps/place/?q=place_id:ChIJ0RF2NDRz9zkRsJ2iGGdKebc,part_329,2026-09-20 20:18:25
digital grow agency,Growth Marketing,Internet marketing service,Internet marketing service,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 60067 53260,https://www.digitalgrowagency.com/,5.0,,"Shirgaon, Gahunje, near Pratishirdi Sai Temple, Dhwade, Talegaon Dabhade, Maharashtra 412101",Dhwade,18.684690099999997,73.7000278,ChIJodvwt8DLwQMRuPLemtXTULg,https://www.google.com/maps/place/?q=place_id:ChIJodvwt8DLwQMRuPLemtXTULg,part_329,2026-09-20 20:18:26
Hashtago| Digital Marketing & Website company in Durgapur,Growth Marketing,Internet marketing service,"Internet marketing service, Software company, Website designer",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 80018 14915,https://hashtago.in/,4.9,,"Unit No. A-209, Bengal Shristi, Kamdhenu"", City Centre, City Center, Durgapur, West Bengal 713216",City Center,23.537622199999998,87.2977205,ChIJtZRpvIRz9zkRF0M2o7HLb3w,https://www.google.com/maps/place/?q=place_id:ChIJtZRpvIRz9zkRF0M2o7HLb3w,part_329,2026-09-20 20:18:26
"Legacy Research Solutions Website Design, Software, Apps, SEO, Digital Marketing Company Kolkata",Growth Marketing,Marketing agency,"Marketing agency, Internet marketing service, Marketing consultant, Website designer",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 79801 01626,https://www.legacyresearch.in/,4.6,,"52, New Basudebpur Road, Chowdhury Pally, Madhya Pally, Madhyam Pally, Belghoria, Panihati, West Bengal 700056","Chowdhury Pally, Madhya Pally, Madhyam Pally, Belghoria",22.6775593,88.3905832,ChIJ3XD9C-qd-DkRZn27CIFsVEQ,https://www.google.com/maps/place/?q=place_id:ChIJ3XD9C-qd-DkRZn27CIFsVEQ,part_329,2026-09-20 20:18:26
Grow Keys Media,Growth Marketing,Marketing agency,"Marketing agency, Advertising agency, Business development service, Business management consultant, Internet marketing service, Marketing consultant, Website designer",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 70202 36397,https://www.growkeys.com/,4.9,,"Office no 426, Vision One Mall, Office Towers, Bhumkar Chowk Rd, Wakad, Pune, Pimpri-Chinchwad, Maharashtra 411033",Wakad,18.608447599999998,73.75187679999999,ChIJ5QZlBcW_wjsRO68mzDN8gUk,https://www.google.com/maps/place/?q=place_id:ChIJ5QZlBcW_wjsRO68mzDN8gUk,part_329,2026-09-20 20:18:26
S.S. MARKETING,Growth Marketing,Cell phone store,Cell phone store,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 98008 82682,N/A,5.0,,"Sevoke Rd, Ward 42, Salugara, Siliguri, West Bengal 734008","Ward 42, Salugara",26.7673337,88.4457054,ChIJtR0hOp5B5DkR9TxIMnNYtZk,https://www.google.com/maps/place/?q=place_id:ChIJtR0hOp5B5DkR9TxIMnNYtZk,part_329,2026-09-20 20:18:26
Growscape Marketing,Growth Marketing,Internet marketing service,"Internet marketing service, Service establishment",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 96532 67604,https://www.growscapemarketing.com/,4.8,,"Growscape Marketing, 734501, India",734501,40.266869,-179.3878585,ChIJd2BNNXqV5zsRB6BuM5jDXcs,https://www.google.com/maps/place/?q=place_id:ChIJd2BNNXqV5zsRB6BuM5jDXcs,part_329,2026-09-20 20:18:26
GodX Media,Growth Marketing,Marketing agency,"Marketing agency, Service establishment",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 98359 83329,https://godxmedia.com/,4.9,,"GodX Media, 734501, India",734501,9.374110199999999,-74.9524576,ChIJm0tUoykfUCURVchGC82baFI,https://www.google.com/maps/place/?q=place_id:ChIJm0tUoykfUCURVchGC82baFI,part_329,2026-09-20 20:18:26
Growthify Media,Growth Marketing,Marketing agency,"Marketing agency, Advertising agency",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 75037 31806,https://growthifymedia.com/,4.1,15.0,"8th floor, Supermart-1, DLF Phase IV, Gurugram, Haryana 122009","Supermart-1, DLF Phase IV",28.4623392,77.08780159999999,ChIJiU58Y2MZDTkRYNIP9H57-Qo,https://www.google.com/maps/place/?q=place_id:ChIJiU58Y2MZDTkRYNIP9H57-Qo,part_329,2026-09-20 20:18:27
