business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mulaqat Homestay,Hotel,Home Stay,Home Stay,734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,+91 97342 28682,https://linktr.ee/Mulaqat_BnB,4.9,,"St. Joseph's School Road, 273, Amarpally, Jitu, West Bengal 734013",734011,26.7139237,88.3659845,ChIJCwDGMh9H5DkREGBPZQt4Z6c,https://www.google.com/maps/place/?q=place_id:ChIJCwDGMh9H5DkREGBPZQt4Z6c,part_328,2026-09-20 20:22:47
Hotel Arya International,Hotel,Hotel,Hotel,734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,+91 89274 60616,N/A,3.5,,"Near Bus Stand, North Bengal Medical College, Gate No.1, Susrut Nagar, P.O.Matigara, Siligur, West Bengal 734012",734011,26.692226299999998,88.3802608,ChIJxTFUbyBE5DkR_NvpaXj9Huk,https://www.google.com/maps/place/?q=place_id:ChIJxTFUbyBE5DkR_NvpaXj9Huk,part_328,2026-09-20 20:22:47
Mayer Anchal,Hotel,Hotel,Hotel,734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,+91 86373 90286,N/A,3.8,,"MAYER ANCHAL BUILDING, AH3 College More, Bagdogra, Rupsing, West Bengal 734014",734011,26.701970199999998,88.337595,ChIJR4DRneRH5DkRDHragUzYkjo,https://www.google.com/maps/place/?q=place_id:ChIJR4DRneRH5DkRDHragUzYkjo,part_328,2026-09-20 20:22:47
Hotel Monarch Aachal,Hotel,Hotel,Hotel,734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,+91 353 406 3510,http://www.hotelmonarchaachal.com/,3.6,,"Banani Complex, near BDO Office, Shiv Mandir, Matigara, West Bengal 734011",734011,26.7090878,88.3635055,ChIJ_VM2n4lG5DkRKfb6oMhH86I,https://www.google.com/maps/place/?q=place_id:ChIJ_VM2n4lG5DkRKfb6oMhH86I,part_328,2026-09-20 20:22:47
Mahika By The Riverside,Hotel,Hotel,"Hotel, Guest house, Lodge, Motel, Home Stay",734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,+91 82506 37740,N/A,3.4,,"Noukaghat, New kawakhali township, 734012 Kawakhali, opposite to CRPF head quarters, beside indian oil pump, Siliguri, West Bengal 734012",734011,26.687918999999997,88.3918089,ChIJc49wQ4ZF5DkRa6IvmuYRTkM,https://www.google.com/maps/place/?q=place_id:ChIJc49wQ4ZF5DkRa6IvmuYRTkM,part_328,2026-09-20 20:22:47
Terrace by Opal,Hotel,Home Stay,"Home Stay, Bed & breakfast",734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,N/A,https://opalstays.in/,5.0,,"near Aquajar Water Factory, Jote, Rupsing, Bagdogra, West Bengal 734014",Jote,26.7084667,88.3374146,ChIJY7rFcklH5DkRWRq_XHEi-yI,https://www.google.com/maps/place/?q=place_id:ChIJY7rFcklH5DkRWRq_XHEi-yI,part_328,2026-09-20 20:22:47
Relax Hotel,Hotel,Hotel,Hotel,734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,+91 94340 49530,https://relaxhotelbagdogra.com/,4.8,,"Relax Hotel Bagdogra,Bihar More, West Bengal 734014",734011,26.698346299999997,88.31781699999999,ChIJGxPcfa1J5DkRSQVa-SpqXI4,https://www.google.com/maps/place/?q=place_id:ChIJGxPcfa1J5DkRSQVa-SpqXI4,part_328,2026-09-20 20:22:48
Marina's Motel,Hotel,Hotel,Hotel,734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,+91 96097 43399,http://www.marinasmotel.com/,4.0,,"Bihar More, towards Nepal Road, Bagdogra, West Bengal 734014",Uttar Bagdogra,26.6987919,88.3165739,ChIJkbqofq5I5DkRouqIrUIvROQ,https://www.google.com/maps/place/?q=place_id:ChIJkbqofq5I5DkRouqIrUIvROQ,part_328,2026-09-20 20:22:48
Siliguri,Hotel,Hotel,Hotel,734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,N/A,N/A,4.0,,"P9GW+R4J, Block A, Ujanu P, Siliguri, West Bengal 734010","Block A, Ujanu P",26.7270783,88.39527629999999,ChIJZSWdDABH5DkR4SOXMI2pb_A,https://www.google.com/maps/place/?q=place_id:ChIJZSWdDABH5DkR4SOXMI2pb_A,part_328,2026-09-20 20:22:48
Treebo Indrapuri Hotel & Resort Siliguri Junction,Hotel,Hotel,"Hotel, Inn, Lodge, Motel, Home Stay, Villa",734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,+91 93228 00100,https://www.treebo.com/hotels-in-siliguri/treebo-indrapuri-hotel-resort-siliguri-junction-mallaguri-3331/?utm_source=partnerships&utm_medium=gmb&utm_campaign=gmblisting,4.0,,"NH 31, Ward 45, Pradhan Nagar, Mallaguri, Siliguri, West Bengal 734003","Ward 45, Pradhan Nagar",26.7328118,88.4120028,ChIJc3oJnapB5DkRA-0BIABsWOI,https://www.google.com/maps/place/?q=place_id:ChIJc3oJnapB5DkRA-0BIABsWOI,part_328,2026-09-20 20:22:48
The Royal Nest Inn,Hotel,Hotel,Hotel,734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,+91 93326 92037,https://theroyalnestinn.in/,4.5,,"1, Champasari Rd, Ward 46, Champasari, Siliguri, Mallaguri, West Bengal 734003","Ward 46, Champasari",26.7418704,88.4154525,ChIJX_onTQBB5DkR01sWzSvZQlQ,https://www.google.com/maps/place/?q=place_id:ChIJX_onTQBB5DkR01sWzSvZQlQ,part_328,2026-09-20 20:22:48
UTTARA Residency,Hotel,Lodge,Lodge,734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,N/A,https://www.uttarabanquetcumlodge.com/,4.2,,"Naukaghat Road, opposite CRPF Camp, Kawakhari, Siliguri, West Bengal 734012",734011,26.688092899999997,88.3918108,ChIJb80fMwBF5DkRllGPhmqfXWk,https://www.google.com/maps/place/?q=place_id:ChIJb80fMwBF5DkRllGPhmqfXWk,part_328,2026-09-20 20:22:48
Das Hotel,Hotel,Hotel,Hotel,734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling,+91 77972 22841,https://www.dashoteldb.com/,4.5,,"Bihar More, Bagdogra, West Bengal 734014",734011,26.698939199999998,88.3185584,ChIJLXCZrq5I5DkRUaZX8p8K7PY,https://www.google.com/maps/place/?q=place_id:ChIJLXCZrq5I5DkRUaZX8p8K7PY,part_328,2026-09-20 20:22:48
