business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Malati Traders,Building Material Supplier,Building materials store,Building materials store,733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",+91 97330 79411,N/A,4.2,,"97H6+4VX, Harirampur, West Bengal 733125",Harirampur,25.3778574,88.2622495,ChIJnWsrsQ0k-zkRPG9ggZZ1m-M,https://www.google.com/maps/place/?q=place_id:ChIJnWsrsQ0k-zkRPG9ggZZ1m-M,part_327,2026-09-20 20:32:11
F.S TRADING,Building Material Supplier,Building materials store,Building materials store,733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",+91 70636 61366,http://www.shankabari.com/,4.6,,"NH 12, Hatkhola, Koarpur, West Bengal 733128",Hatkhola,25.396615399999998,88.16707989999999,ChIJ7eP8vXHZ-jkRC7_L4hgJvSo,https://www.google.com/maps/place/?q=place_id:ChIJ7eP8vXHZ-jkRC7_L4hgJvSo,part_327,2026-09-20 20:32:11
ROB CONSTRUCTION,Building Material Supplier,Building materials store,Building materials store,733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",+91 97754 34279,N/A,4.5,,"Asal Banagram I, West Bengal 733125",733125,25.4187478,88.2195357,ChIJnUmcOAAn-zkR-ic6Kk7KRhg,https://www.google.com/maps/place/?q=place_id:ChIJnUmcOAAn-zkR-ic6Kk7KRhg,part_327,2026-09-20 20:32:11
MAA ENTERPRISES,Building Material Supplier,Building materials supplier,Building materials supplier,733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",+91 98002 41343,N/A,,,"Bagbari thakurphir, West Bengal 733125",733125,25.3503491,88.2412504,ChIJZ5Y2Jcch-zkRFCOlJm__Ox4,https://www.google.com/maps/place/?q=place_id:ChIJZ5Y2Jcch-zkRFCOlJm__Ox4,part_327,2026-09-20 20:32:11
M.R HOUSE,Building Material Supplier,Building materials supplier,Building materials supplier,733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",+91 95634 22252,N/A,,,"Manchampur, West Bengal 733125",733125,25.3494705,88.26182659999999,ChIJZ9SLyRgj-zkR_LjYcjex7g8,https://www.google.com/maps/place/?q=place_id:ChIJZ9SLyRgj-zkR_LjYcjex7g8,part_327,2026-09-20 20:32:11
Kamala mirdha,Building Material Supplier,Building materials store,Building materials store,733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",N/A,N/A,,,"88HG+JQ4, Daulatpur, West Bengal 733125",733125,25.329009499999998,88.3269552,ChIJ81qEOQA9-zkRDI2e_yK8ZWs,https://www.google.com/maps/place/?q=place_id:ChIJ81qEOQA9-zkRDI2e_yK8ZWs,part_327,2026-09-20 20:32:11
Hembrom Enterprise,Building Material Supplier,Hardware store,Hardware store,733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",+91 89188 22126,N/A,5.0,,"Mahindra, West Bengal 733125",733125,25.416777399999997,88.2650171,ChIJp3s7Gp4l-zkRL1JzE-U6PUM,https://www.google.com/maps/place/?q=place_id:ChIJp3s7Gp4l-zkRL1JzE-U6PUM,part_327,2026-09-20 20:32:11
SHREE MAA ENTERPRISE,Building Material Supplier,Building materials store,Building materials store,733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",N/A,N/A,2.3,,"F7C4+97Q, Patirajpur, West Bengal 733128",733125,25.4704013,88.2556237,ChIJW__ZUTQv-zkR6pV2R98iAA8,https://www.google.com/maps/place/?q=place_id:ChIJW__ZUTQv-zkR6pV2R98iAA8,part_327,2026-09-20 20:32:11
Building material,Building Material Supplier,Building materials supplier,Building materials supplier,733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",N/A,N/A,,,"golaghati, Betor, Itahar, West Bengal 733143",golaghati,25.5127603,88.2047238,ChIJ64n4-0Ep-zkRs7is9Q71wGc,https://www.google.com/maps/place/?q=place_id:ChIJ64n4-0Ep-zkRs7is9Q71wGc,part_327,2026-09-20 20:32:11
REHAN CONSTRUCTION,Building Material Supplier,Construction Material Wholesaler,"Construction Material Wholesaler, Construction equipment supplier",733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",+91 81788 16367,N/A,5.0,9.0,"Rehan Construction, More, Marnai, Itahar, West Bengal 733128",733125,25.348876999999998,88.1612909,ChIJ1dTrnTrf-jkRAXMUM6FQtyg,https://www.google.com/maps/place/?q=place_id:ChIJ1dTrnTrf-jkRAXMUM6FQtyg,part_327,2026-09-20 20:32:11
BROTHERS ENTERPRISE Chandrapara (Cement দোকান),Building Material Supplier,Building materials supplier,"Building materials supplier, Cement Supplier",733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",+91 85093 05203,N/A,5.0,2.0,"Chandrapara, West Bengal 732126",733125,25.333182299999997,88.1061229,ChIJCY-GKWTf-jkRVEZpkqPhdAI,https://www.google.com/maps/place/?q=place_id:ChIJCY-GKWTf-jkRVEZpkqPhdAI,part_327,2026-09-20 20:32:11
Sarowar Enterprise,Building Material Supplier,Building materials store,Building materials store,733125,West Bengal Circle,North Bengal Region,Dinajpur Division,"Harirampur SO, Bagichapur BO, Bairhatta BO",+91 97754 62549,N/A,4.1,,"Harirampur Block, Khirkuri Rd, West Bengal 733125",733125,25.3117269,88.2558645,ChIJkyXGiCcl-zkR8MpXHGQeTU4,https://www.google.com/maps/place/?q=place_id:ChIJkyXGiCcl-zkR8MpXHGQeTU4,part_327,2026-09-20 20:32:13
