business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kusum Motor Training & Engineering School,Driving School,Driving school,Driving school,734005,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Bazar SO, Jyotinagar BO",+91 96792 78050,N/A,3.9,,"Ramkrishna Rd By Ln, Ashram Para, Hakim Para, Siliguri, West Bengal 734001","Ashram Para, Hakim Para",26.719802299999998,88.4294103,ChIJK_HY8hJB5DkRVfyO1P4ZOu0,https://www.google.com/maps/place/?q=place_id:ChIJK_HY8hJB5DkRVfyO1P4ZOu0,part_328,2026-09-20 20:18:46
Sanjay Siliguri Motor Training School,Driving School,Driving school,"Driving school, Drivers license training school",734005,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Bazar SO, Jyotinagar BO",+91 89185 38389,https://siligurimotortrainingschool.in/,,,"Motor training school, SP Mukherjee Rd, opp. cyber cafe, Ward 9, Khalpara, Siliguri, West Bengal 734005","Ward 9, Khalpara",26.7060896,88.4181223,ChIJ1yWt5rpB5DkRCBJ38k9vnI8,https://www.google.com/maps/place/?q=place_id:ChIJ1yWt5rpB5DkRCBJ38k9vnI8,part_328,2026-09-20 20:18:46
SHIVNATH MOTOR TRAINING SCHOOL,Driving School,Driving School,Driving School,734005,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Bazar SO, Jyotinagar BO",+91 94747 62007,N/A,4.0,,"MCR9+694, Bhanumati Rd, Ward 32, Sukantapally, Ward Number 32, Siliguri, West Bengal 734005","Ward 32, Sukantapally, Ward Number 32",26.6905227,88.4184605,ChIJASajAeFD5DkREvjLxcUiK-c,https://www.google.com/maps/place/?q=place_id:ChIJASajAeFD5DkREvjLxcUiK-c,part_328,2026-09-20 20:18:46
✅North Bengal Capital Edge Institute,Driving School,Training center,Training center,734005,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Bazar SO, Jyotinagar BO",+91 91341 61115,https://www.northbengalcapitaledge.com/,4.9,26.0,"1st Floor, Dwarika Rukmini Plaza, Baghajatin Road Oposite Siliguri Municipal Corporation, Siliguri, West Bengal 734001","Ward 18, Subhas Pally",26.708436499999998,88.4298345,ChIJaQug5xZB5DkRMrEQy8pOuNA,https://www.google.com/maps/place/?q=place_id:ChIJaQug5xZB5DkRMrEQy8pOuNA,part_328,2026-09-20 20:18:46
Ajay Motor Training School,Driving School,Driving school,"Driving school, Drivers license training school, Motorcycle driving school",734005,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Bazar SO, Jyotinagar BO",+91 90389 85114,https://www.ajaymotortrainingschool.com/,4.8,820.0,"128, Rainagar, Madhyapara, Bansdroni, Kolkata, West Bengal 700070","Madhyapara, Subodh Garden, Subodh Park, Bansdroni",22.4698822,88.3629373,ChIJk9biHgBxAjoRhjJbNtgn4ms,https://www.google.com/maps/place/?q=place_id:ChIJk9biHgBxAjoRhjJbNtgn4ms,part_328,2026-09-20 20:18:47
BISWAJIT MOTOR TRAINING SCHOOL | Driving school near me | Kolkata,Driving School,Drivers license training school,Drivers license training school,734005,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Bazar SO, Jyotinagar BO",+91 98312 92171,N/A,4.9,345.0,"Sahaganj Main Road, Sakti Samiti Lane, opposite Rashbihari, Sahaganj, Chinsurah, West Bengal 712104","Wazid Nagar, Sahaganj",22.9359893,88.4039193,ChIJwTc_Zm2T-DkRQ_f-nV5pk9k,https://www.google.com/maps/place/?q=place_id:ChIJwTc_Zm2T-DkRQ_f-nV5pk9k,part_328,2026-09-20 20:18:47
Darjeeling Motor Training School,Driving School,Driving school,Driving school,734005,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Bazar SO, Jyotinagar BO",+91 98320 63392,N/A,5.0,20.0,"RN Sinha Rd, Chauk Bazaar, Darjeeling, West Bengal 734101",Chauk Bazaar,27.041565199999997,88.2646377,ChIJb1xffaUv5DkRC0yZv24Zz9o,https://www.google.com/maps/place/?q=place_id:ChIJb1xffaUv5DkRC0yZv24Zz9o,part_328,2026-09-20 20:18:47
Mishra Motor Training School,Driving School,Motorcycle driving school,Motorcycle driving school,734005,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Bazar SO, Jyotinagar BO",+91 82969 90237,N/A,5.0,33.0,"Mankundu Station Rd, near Pirtala, Mahadanga Colony, Mankundu, Chandannagar, West Bengal 712136","Mahadanga Colony, Mankundu",22.8461203,88.3555212,ChIJF9Gr6eyR-DkR3rGJ7kZmj0M,https://www.google.com/maps/place/?q=place_id:ChIJF9Gr6eyR-DkR3rGJ7kZmj0M,part_328,2026-09-20 20:18:47
SUKHOBRISHTI MOTOR TRAINING SCHOOL,Driving School,Driving school,Driving school,734005,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Bazar SO, Jyotinagar BO",+91 90516 58768,https://sukhobristimotortrainingschool.in/,4.8,74.0,"Patharghata, P.O, Newtown, Kolkata, West Bengal 700135","Patharghata, P.O, Newtown",22.5713279,88.5022757,ChIJpXyvZKmf-DkRFyY3SXq1tGA,https://www.google.com/maps/place/?q=place_id:ChIJpXyvZKmf-DkRFyY3SXq1tGA,part_328,2026-09-20 20:18:47
Dum Dum Motor Training School,Driving School,Driving school,Driving school,734005,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Bazar SO, Jyotinagar BO",+91 84204 99447,N/A,4.8,729.0,"62/1, Incinerator Road, Mahendra Colony, Dum Dum Cantonment, Rajbari, Dum Dum, Kolkata, North Dumdum, West Bengal 700028","Mahendra Colony, Dum Dum Cantonment, Rajbari, Dum Dum",22.6337412,88.4133768,ChIJN-MwbF6f-DkRiKkoUfCe64U,https://www.google.com/maps/place/?q=place_id:ChIJN-MwbF6f-DkRiKkoUfCe64U,part_328,2026-09-20 20:18:47
