business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Will power tuition centre,Tuition Center,Education center,Education center,732202,West Bengal Circle,North Bengal Region,Malda Division,"Manikchak SO, Chowki Mirdadpur BO, Dallutola BO",+91 62942 31940,N/A,5.0,12.0,"4V9V+CGR, Kakribandha Rd, Talim Nagar, West Bengal 732203",732202,25.1193706,87.893653,ChIJqx_yOQDt-jkR4m0cY1GboJg,https://www.google.com/maps/place/?q=place_id:ChIJqx_yOQDt-jkR4m0cY1GboJg,part_327,2026-09-20 20:21:40
Mandal Tuition Center,Tuition Center,Education center,Education center,732202,West Bengal Circle,North Bengal Region,Malda Division,"Manikchak SO, Chowki Mirdadpur BO, Dallutola BO",+91 97758 20830,N/A,4.8,6.0,"4XF7+C7J, Unnamed Road, Nazirpur Sahebdi, West Bengal 732204",732202,25.1235984,87.96313049999999,ChIJD6u4W53v-jkRYGqz9B-Ol1w,https://www.google.com/maps/place/?q=place_id:ChIJD6u4W53v-jkRYGqz9B-Ol1w,part_327,2026-09-20 20:21:40
Chhatan sir tuition Center/ Biplab & Chhatan tuition Center,Tuition Center,Education center,Education center,732202,West Bengal Circle,North Bengal Region,Malda Division,"Manikchak SO, Chowki Mirdadpur BO, Dallutola BO",N/A,https://youtube.com/@chhotansirtuitioncentre8561,5.0,3.0,"Dharampur, West Bengal 732202",732202,25.0518805,87.9205819,ChIJH_dudQ3z-jkRwJdR03ledmU,https://www.google.com/maps/place/?q=place_id:ChIJH_dudQ3z-jkRwJdR03ledmU,part_327,2026-09-20 20:21:40
Science Tuition Center by Pulak Mandal {BSc(phys).d el ed.},Tuition Center,Education center,Education center,732202,West Bengal Circle,North Bengal Region,Malda Division,"Manikchak SO, Chowki Mirdadpur BO, Dallutola BO",N/A,N/A,5.0,1.0,"3VVR+X5M, Kamalpur Rd, Kamalpur, West Bengal 732202",732202,25.0938372,87.8903795,ChIJN5yw9aDt-jkR0TdCM-ig09E,https://www.google.com/maps/place/?q=place_id:ChIJN5yw9aDt-jkR0TdCM-ig09E,part_327,2026-09-20 20:21:40
Sujitsarkar tuition center,Tuition Center,Apartment building,Apartment building,732202,West Bengal Circle,North Bengal Region,Malda Division,"Manikchak SO, Chowki Mirdadpur BO, Dallutola BO",N/A,N/A,,,"Bangal Chak, Manikchak, Islampur, West Bengal 732202",732202,25.064881699999997,87.965862,ChIJP-jSdwDx-jkRmnElrz2DcSQ,https://www.google.com/maps/place/?q=place_id:ChIJP-jSdwDx-jkRmnElrz2DcSQ,part_327,2026-09-20 20:21:40
MATHGURU (The Science Tuition),Tuition Center,Education center,Education center,732202,West Bengal Circle,North Bengal Region,Malda Division,"Manikchak SO, Chowki Mirdadpur BO, Dallutola BO",N/A,N/A,3.0,4.0,"3WH2+44C, Manikchak, West Bengal 732202",732202,25.0778164,87.9002667,ChIJY_lprGfz-jkRoufHcbf9QNs,https://www.google.com/maps/place/?q=place_id:ChIJY_lprGfz-jkRoufHcbf9QNs,part_327,2026-09-20 20:21:40
ABU OHAB TUITION CENTER,Tuition Center,Education center,Education center,732202,West Bengal Circle,North Bengal Region,Malda Division,"Manikchak SO, Chowki Mirdadpur BO, Dallutola BO",N/A,N/A,,,"2WRW+6R2, Jot Bhabani, West Bengal 732202",732202,25.0405186,87.9470225,ChIJWcI9BwDx-jkRnWd6MkVvt14,https://www.google.com/maps/place/?q=place_id:ChIJWcI9BwDx-jkRnWd6MkVvt14,part_327,2026-09-20 20:21:40
Aryajan Academy Center,Tuition Center,Education center,Education center,732202,West Bengal Circle,North Bengal Region,Malda Division,"Manikchak SO, Chowki Mirdadpur BO, Dallutola BO",N/A,N/A,5.0,1.0,"SH 10 PS, Mohana Rd, VILL, Manikchak, MALDA, West Bengal 732202",VILL,25.086454,87.921662,ChIJHwQ_h7_t-jkRa2_gTsayUj8,https://www.google.com/maps/place/?q=place_id:ChIJHwQ_h7_t-jkRa2_gTsayUj8,part_327,2026-09-20 20:21:40
TARA COACHING CENTRE,Tuition Center,Education center,Education center,732202,West Bengal Circle,North Bengal Region,Malda Division,"Manikchak SO, Chowki Mirdadpur BO, Dallutola BO",+91 90831 20923,N/A,4.7,3.0,"Enayetpur, Manikchak, West Bengal 732202",732202,25.076784099999998,87.9416176,ChIJ6Y4x4sfx-jkRj4OYK6lWn0A,https://www.google.com/maps/place/?q=place_id:ChIJ6Y4x4sfx-jkRj4OYK6lWn0A,part_327,2026-09-20 20:21:40
SHIRSO EDUCARE,Tuition Center,Coaching Center,Coaching Center,732202,West Bengal Circle,North Bengal Region,Malda Division,"Manikchak SO, Chowki Mirdadpur BO, Dallutola BO",N/A,N/A,5.0,2.0,"Near Trinayani club and library MATHURAPUR Gram Panchayat, mathurapur, MANIKCHAK, West Bengal 732203",732202,25.1109813,87.8976198,ChIJK7zD4Jft-jkRtQhG9GCKAS8,https://www.google.com/maps/place/?q=place_id:ChIJK7zD4Jft-jkRtQhG9GCKAS8,part_327,2026-09-20 20:21:40
