business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
nehanki collection and boutique,Boutiques,Women's clothing store,"Women's clothing store, Boutique, Designer Clothing Store",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 96307 74981,https://www.instagram.com/nehanki.in?igsh=MWcwOTZsaGc5MmsxMA%3D%3D&utm_source=qr,4.9,,"Triangle 128, Ayodhya Bypass Rd, opp Reliance Fresh, Narela, Ahinsa Vihar Colony, Ayodhya Nagar, Bhopal, Madhya Pradesh 462041","Ahinsa Vihar Colony, Ayodhya Nagar",23.2677907,77.470997,ChIJkzt1QZ1rfDkRzMeEU96cAOs,https://www.google.com/maps/place/?q=place_id:ChIJkzt1QZ1rfDkRzMeEU96cAOs,part_328,2026-09-20 20:28:04
Simaaz Boutique - Best Designer Boutique in Bhopal | Customize Lehenga Stiching in Bhopal,Boutiques,Boutique,"Boutique, Designer Clothing Store",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 98930 97176,N/A,4.7,,"Abhinav Arcade, 10, Rohit Nagar Rd, near by Mahindra Petrol Pump, Bawadiya Kalan, Gulmohar Colony, Bhopal, Madhya Pradesh 462039","Bawadiya Kalan, Gulmohar Colony",23.1800082,77.4381787,ChIJoRQ53JFDfDkRICnRPhslAKg,https://www.google.com/maps/place/?q=place_id:ChIJoRQ53JFDfDkRICnRPhslAKg,part_328,2026-09-20 20:28:04
Jaisnavi Boutique & Collection,Boutiques,Boutique,Boutique,734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 74154 62799,N/A,4.9,,"Shop no -GB 14 back side, Sarvodaya Shopping Complex, Katara Hills Rd, Arvind Vihar, Bagmugaliya, Bhopal, Madhya Pradesh 462043","Arvind Vihar, Bagmugaliya",23.1948999,77.46907449999999,ChIJF0gNjBxDfDkRVTnqkoMPico,https://www.google.com/maps/place/?q=place_id:ChIJF0gNjBxDfDkRVTnqkoMPico,part_328,2026-09-20 20:28:04
Eva Boutique,Boutiques,Clothing store,"Clothing store, Women's clothing store",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 98269 60007,http://www.evaboutique.in/,4.8,,"Shop No-1, Kartar Apartment, G-2/214, Gulmohar Colony, Bhopal, Madhya Pradesh 462039",Gulmohar Colony,23.1916135,77.4356992,ChIJ66gy-g5DfDkRFLhD7xP6QKs,https://www.google.com/maps/place/?q=place_id:ChIJ66gy-g5DfDkRFLhD7xP6QKs,part_328,2026-09-20 20:28:04
Looks Fabrics,Boutiques,Boutique,"Boutique, Clothing store",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 77708 71110,https://www.instagram.com/looksfabrics?igsh=OXNlaHBhY2s2MDI1,4.7,,"Janki Nagar, Chuna Bhatti, Bhopal, Madhya Pradesh 462016","Janki Nagar, Chuna Bhatti",23.211329199999998,77.4193516,ChIJCeOqX61DfDkR9BJNMEeGuIA,https://www.google.com/maps/place/?q=place_id:ChIJCeOqX61DfDkR9BJNMEeGuIA,part_328,2026-09-20 20:28:04
R K BOUTIQUE,Boutiques,Boutique,Boutique,734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 99074 73936,N/A,5.0,,"MIG 25, 11 NUMBER MARKET, near KK FURNITURES, E-6, Arera Colony, Bhopal, Madhya Pradesh 462016","E-6, Arera Colony",23.211168,77.43691919999999,ChIJl_ZTJ0pDfDkRCNNwgAvZRY0,https://www.google.com/maps/place/?q=place_id:ChIJl_ZTJ0pDfDkRCNNwgAvZRY0,part_328,2026-09-20 20:28:04
Kala Shree Boutique,Boutiques,Boutique,"Boutique, Designer Clothing Store",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 98262 31364,N/A,4.4,,"17-18 first floor city trade centre Malviya Nagar new market City trade centre, Bhopal, Madhya Pradesh 462003",Malviya Nagar,23.233767999999998,77.40317,ChIJRTQ17F1DfDkRQhA6c2cFPbc,https://www.google.com/maps/place/?q=place_id:ChIJRTQ17F1DfDkRQhA6c2cFPbc,part_328,2026-09-20 20:28:04
Papillon boutique,Boutiques,Clothing store,Clothing store,734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 88396 49513,N/A,4.1,,"Coral Woods, Shop no. 25/B, 1st floor, rishi business Park, Narmadapuram Rd, near bapu ki kutiya, Bhopal, Madhya Pradesh 462047",Misrod,23.1674583,77.46279179999999,ChIJ-zdkwldDfDkRKlpEFQTiAxU,https://www.google.com/maps/place/?q=place_id:ChIJ-zdkwldDfDkRKlpEFQTiAxU,part_328,2026-09-20 20:28:04
Shyama Boutique,Boutiques,Boutique,"Boutique, Clothing store, Designer Clothing Store, Tailor",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 98267 23936,N/A,4.7,,"Shop No. 04, CI Square 1st Floor Above Dominos, Danish Square, Kolar Rd, Bhopal, Madhya Pradesh 462042","Danish Kunj, Kolar Rd",23.1719987,77.4173277,ChIJaW5IjXNDfDkR2M4d0dyavKA,https://www.google.com/maps/place/?q=place_id:ChIJaW5IjXNDfDkR2M4d0dyavKA,part_328,2026-09-20 20:28:04
Pallavi Boutique,Boutiques,Boutique,Boutique,734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",N/A,N/A,4.0,,"Ayodhya Bypass Rd, opposite ondour, Sagar Avenue, ISRO Colony, Ayodhya Bypass, Bhopal, Madhya Pradesh 462041","Sagar Avenue, ISRO Colony, Ayodhya Bypass",23.271428099999998,77.4674091,ChIJq8WkoPdpfDkRBBgfsbFAGEY,https://www.google.com/maps/place/?q=place_id:ChIJq8WkoPdpfDkRBBgfsbFAGEY,part_328,2026-09-20 20:28:04
