business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Health Care Polyclinic,Polyclinic,Medical Center,Medical Center,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",+91 89186 75806,N/A,,,"Saraswati Tala, Kanthi, Contai, West Bengal 721401","Saraswati Tala, Kanthi",21.7801132,87.7486325,ChIJHXAGQXcnAzoRrpBbYHG5hpM,https://www.google.com/maps/place/?q=place_id:ChIJHXAGQXcnAzoRrpBbYHG5hpM,part_322,2026-09-20 20:28:18
Cure-All Polyclinic,Polyclinic,Medical clinic,Medical clinic,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",+91 94343 21210,N/A,4.7,,"&, Anjali Jewelers in-between P.K. Palace, Contai Bypass Rd, near Central Bus Stand, Jalkhabar, Contai, West Bengal 721401",Jalkhabar,21.772595499999998,87.73618069999999,ChIJZWLjxFgmAzoRkLZjanLRtoI,https://www.google.com/maps/place/?q=place_id:ChIJZWLjxFgmAzoRkLZjanLRtoI,part_322,2026-09-20 20:28:18
Adrija Diagnostic & Polyclinic,Polyclinic,Medical clinic,Medical clinic,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",N/A,N/A,,,"QPGM+38G, Majna Rd, Jalkhabar, Banamali Pur, West Bengal 721401",Jalkhabar,21.7751874,87.7333142,ChIJeU0SyF4mAzoR7hd7p5iwxCQ,https://www.google.com/maps/place/?q=place_id:ChIJeU0SyF4mAzoR7hd7p5iwxCQ,part_322,2026-09-20 20:28:18
Long Life Polyclinic,Polyclinic,Diagnostic center,"Diagnostic center, Medical diagnostic imaging center",721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",N/A,N/A,,,"Sree Durga Bhaban, Gandhi Road, School Bazar, Puratan Bari, Baksispur, Contai, West Bengal 721401","School Bazar, Puratan Bari",21.7784738,87.75395639999999,ChIJyaibagAnAzoRI8B10T93CUk,https://www.google.com/maps/place/?q=place_id:ChIJyaibagAnAzoRI8B10T93CUk,part_322,2026-09-20 20:28:18
PRO Diagnostic & Polyclinic(Contai Authorized collection),Polyclinic,Blood testing service,Blood testing service,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",+91 98321 78173,https://prodiagnostic.in/,5.0,,"Mallika Enclave, Monoharchak, Contai, West Bengal 721401",Monoharchak,21.778344099999998,87.7565108,ChIJWf5GbQAnAzoRRhA_r99xRV0,https://www.google.com/maps/place/?q=place_id:ChIJWf5GbQAnAzoRRhA_r99xRV0,part_322,2026-09-20 20:28:18
Sriguru Polyclinic,Polyclinic,Diagnostic center,Diagnostic center,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",N/A,N/A,,,"QQH3+9CP, Puratan Bari, Contai, West Bengal 721401",Puratan Bari,21.778453199999998,87.75357989999999,ChIJWe1OcqwnAzoRiDDQWyGcigE,https://www.google.com/maps/place/?q=place_id:ChIJWe1OcqwnAzoRiDDQWyGcigE,part_322,2026-09-20 20:28:18
"MedSquare Healthcare Pvt. Ltd., Diagnostics & Polyclinic",Polyclinic,Hospital,Hospital,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",+91 95560 55126,N/A,4.2,,"QPJW+F23, Damodar Pur, Kanthi, Contai, West Bengal 721401","Damodar Pur, Kanthi",21.781134299999998,87.7450379,ChIJ39fpb_AmAzoRJKtdQfTFRng,https://www.google.com/maps/place/?q=place_id:ChIJ39fpb_AmAzoRJKtdQfTFRng,part_322,2026-09-20 20:28:18
"Maa polyclinic, School Bazar",Polyclinic,Health consultant,Health consultant,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",N/A,N/A,,,"QQH3+8GH, School Bazar Road, School Bazar, Puratan Bari, Midnapore, Contai, West Bengal 721401","School Bazar, Puratan Bari",21.7783055,87.75385879999999,ChIJWyrGUgAnAzoR7rTFTj2qsOo,https://www.google.com/maps/place/?q=place_id:ChIJWyrGUgAnAzoR7rTFTj2qsOo,part_322,2026-09-20 20:28:18
HEALTH CARE DIAGNOSTIC AND POLYCLINIC,Polyclinic,Medical clinic,Medical clinic,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",+91 99335 54179,N/A,,,"Olma, West Bengal 721449",721401,21.8060789,87.7151896,ChIJnaTd0ccnAzoROz8FtpKJ1ko,https://www.google.com/maps/place/?q=place_id:ChIJnaTd0ccnAzoROz8FtpKJ1ko,part_322,2026-09-20 20:28:18
Loknath Polyclinic,Polyclinic,Blood testing service,Blood testing service,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",N/A,N/A,,,"QQH2+PM3 Complex III, Nivedita Housing, হাতাবাড়ী, Puratan Bari, Contai, West Bengal 721401","হাতাবাড়ী, Puratan Bari",21.779225699999998,87.75164529999999,ChIJeT7dOBQnAzoRLKipEwuPuKc,https://www.google.com/maps/place/?q=place_id:ChIJeT7dOBQnAzoRLKipEwuPuKc,part_322,2026-09-20 20:28:18
কেয়ারঅন মেডিক্যাল ক্লিনিক,Polyclinic,Medical clinic,Medical clinic,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",+91 99333 35131,http://www.careonmedical.in/,,,"Amartya Palli, Kumarpur, Contai, West Bengal 721401","Kumarpur, Jagannathpur",21.770639,87.74424429999999,ChIJTRLYQQAnAzoRDoTLn5epSlw,https://www.google.com/maps/place/?q=place_id:ChIJTRLYQQAnAzoRDoTLn5epSlw,part_322,2026-09-20 20:28:18
MICRO POLYCLINIC,Polyclinic,Medical clinic,Medical clinic,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",+91 96791 79326,https://polyclinic.microclinicallaboratory.com/,5.0,,"HPL Link Rd, Basudevpur, Haldia, West Bengal 721602",Basudevpur,22.0797958,88.1382884,ChIJ6Rp3ycf3AjoRP325kIQWJ2U,https://www.google.com/maps/place/?q=place_id:ChIJ6Rp3ycf3AjoRP325kIQWJ2U,part_322,2026-09-20 20:28:19
Hayat Polyclinic,Polyclinic,Medical Center,Medical Center,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",+91 81006 61092,N/A,5.0,,"9F58+337, Sitakundu - Baruipur Road, Baruipur P, Sitakundu, West Bengal 743387",721401,22.3576639,88.4651712,ChIJJbnBa09tAjoRqLa_iIpTqB4,https://www.google.com/maps/place/?q=place_id:ChIJJbnBa09tAjoRqLa_iIpTqB4,part_322,2026-09-20 20:28:19
Medinova Polyclinic Tamluk,Polyclinic,Doctor,Doctor,721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",+91 97352 27619,https://medinovapolyclinictamluk.com/,4.4,,"Bus Stand, Nimtala More, Tamluk, West Bengal 721636",721401,22.2768764,87.9267089,ChIJLZ-4fQuVAjoRD7VZSxMewjM,https://www.google.com/maps/place/?q=place_id:ChIJLZ-4fQuVAjoRD7VZSxMewjM,part_322,2026-09-20 20:28:19
Akash Medical,Polyclinic,Nursing home,"Nursing home, Pharmacy",721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO",+91 97327 28116,N/A,4.0,105.0,"Math Chandipur, West Bengal 721659",721401,22.090160299999997,87.8600716,ChIJ2WpxK9HpAjoRxaKRYg4XVVI,https://www.google.com/maps/place/?q=place_id:ChIJ2WpxK9HpAjoRxaKRYg4XVVI,part_322,2026-09-20 20:28:20
