business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
FF FRUITS,Fruit and Vegetable Wholesaler,Produce market,Produce market,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 85359 56585,https://freshfleshyfruits.ooulet.com/,5.0,,"Biswaspara Rd, Khadimpur, Balurghat, West Bengal 733101",Khadimpur,25.223479299999997,88.781244,ChIJ1SKwyaRh-zkR7qltWVlLNOo,https://www.google.com/maps/place/?q=place_id:ChIJ1SKwyaRh-zkR7qltWVlLNOo,part_327,2026-09-20 20:28:11
Jogomaya Bazaar,Fruit and Vegetable Wholesaler,Market,Market,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,4.0,,"6QJQ+FWV, Mangalpur, Balurghat, Mangalpur P, West Bengal 733101",Mangalpur,25.2312375,88.7897969,ChIJo0EF0yqe_DkRIfWRBZ67jS8,https://www.google.com/maps/place/?q=place_id:ChIJo0EF0yqe_DkRIfWRBZ67jS8,part_327,2026-09-20 20:28:11
Yubashree Market,Fruit and Vegetable Wholesaler,Market,Market,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,3.9,,"6QGM+RF8, Khadimpur, Balurghat, West Bengal 733101",Khadimpur,25.2270476,88.78370079999999,ChIJpdXBDNRh-zkREUP-DXf0zAk,https://www.google.com/maps/place/?q=place_id:ChIJpdXBDNRh-zkREUP-DXf0zAk,part_327,2026-09-20 20:28:11
SUJIT KUNDU,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 86704 74229,N/A,,,"Taha Bazar, near Sabji Market, Khadimpur, Balurghat, West Bengal 733207",Khadimpur,25.2235147,88.7791596,ChIJ_3RoxNNh-zkRatEFz70e2BA,https://www.google.com/maps/place/?q=place_id:ChIJ_3RoxNNh-zkRatEFz70e2BA,part_327,2026-09-20 20:28:11
Dangarhat Vegetables Market (Sabji Bazar),Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,4.6,,"FQ49+43C, Dangarhat, West Bengal 733141",733101,25.4553026,88.7676455,ChIJ7R4E9R1Z-zkRHgcOoO-YJao,https://www.google.com/maps/place/?q=place_id:ChIJ7R4E9R1Z-zkRHgcOoO-YJao,part_327,2026-09-20 20:28:11
Kind hand export,Fruit and Vegetable Wholesaler,Fruit and vegetable wholesaler,Fruit and vegetable wholesaler,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 70632 98161,https://www.instagram.com/export.withkindhand?igsh=MXkxcWxlZ3kyMmM3aw==,5.0,,"Rangpur road, Dinhata, Bara Atiabari Pratham Khanda P, West Bengal 736135",733101,26.114259699999998,89.4642666,ChIJHQ6VbhPh4jkRPkCf8ilYSfg,https://www.google.com/maps/place/?q=place_id:ChIJHQ6VbhPh4jkRPkCf8ilYSfg,part_327,2026-09-20 20:28:12
Dhulagarh Vegetable Market,Fruit and Vegetable Wholesaler,Vegetable wholesale market,"Vegetable wholesale market, Fruit and vegetable store",733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,4.1,,"EW 20, Dhulagori, Howrah, Jala Dhulagiri, West Bengal 711313",Dhulagori,22.5687856,88.1910661,ChIJMaJZl7Z_AjoRLvCjIc0V2wg,https://www.google.com/maps/place/?q=place_id:ChIJMaJZl7Z_AjoRLvCjIc0V2wg,part_327,2026-09-20 20:28:12
Sabji Market,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,4.0,,"H77H+F8X, Masjit Mahalla, Benachity, Durgapur, West Bengal 713213","Masjit Mahalla, Benachity",23.5637474,87.27836839999999,ChIJt1NrTJJt9zkRQ9JT0ENxMiM,https://www.google.com/maps/place/?q=place_id:ChIJt1NrTJJt9zkRQ9JT0ENxMiM,part_327,2026-09-20 20:28:12
Sardar Fruit Shop,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 74783 83634,N/A,,,"Bus Stand, Bolla, Bolla Road, Kasilabati, West Bengal 733158",733101,25.3396802,88.70815089999999,ChIJ8xnUZDtd-zkRsuz8Qy_91vI,https://www.google.com/maps/place/?q=place_id:ChIJ8xnUZDtd-zkRsuz8Qy_91vI,part_327,2026-09-20 20:28:12
Tapan Vegetable Store,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,,,"7Q3C+H2G, Unnamed Road, Paschim Kalikapur, West Bengal 733102",733101,25.2539426,88.7700727,ChIJZbDMsSZh-zkRs616gxzZaHo,https://www.google.com/maps/place/?q=place_id:ChIJZbDMsSZh-zkRs616gxzZaHo,part_327,2026-09-20 20:28:12
