business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Arkadeep Enterprises,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Restaurant supply store",721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",+91 6295 099 154,https://www.facebook.com/amiarka03/?viewas=100000686899395,5.0,,"Jogardanga Garhbeta 2, West Bengal 721121",721121,22.856775499999998,87.2280964,ChIJxfEoJ1vp9zkRmeOFPi3CKDY,https://www.google.com/maps/place/?q=place_id:ChIJxfEoJ1vp9zkRmeOFPi3CKDY,part_321,2026-09-20 20:22:23
Bandini Tea Stall and Restaurant,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,5.0,,"V85R+29C, Gangani, West Bengal 721127",721121,22.857568699999998,87.3408937,ChIJ3V70IgDv9zkRcBehLAme34o,https://www.google.com/maps/place/?q=place_id:ChIJ3V70IgDv9zkRcBehLAme34o,part_321,2026-09-20 20:22:23
Chandan Fast Food and teffin house,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",+91 6295 748 164,N/A,4.5,,"Gangani, West Bengal 721127",721121,22.857495,87.3409827,ChIJfaWWFwDv9zkRiQSu46VDw5w,https://www.google.com/maps/place/?q=place_id:ChIJfaWWFwDv9zkRiQSu46VDw5w,part_321,2026-09-20 20:22:23
CHANDAN TITHI TEA STALL,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,5.0,,"R9R3+84G, Moyrakata, Panch Moledanga, Patharisol, West Bengal 721127",Moyrakata,22.8408046,87.3528431,ChIJsVgreO7v9zkRmtzeYI5BhwU,https://www.google.com/maps/place/?q=place_id:ChIJsVgreO7v9zkRmtzeYI5BhwU,part_321,2026-09-20 20:22:23
আলোক টি স্টল (Aloke Tea Stall),Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,4.5,,"P67F+GG, Barakadra, West Bengal 721147",721121,22.7141687,87.2242114,ChIJe_nAFADn9zkR8V0O-YYMrUo,https://www.google.com/maps/place/?q=place_id:ChIJe_nAFADn9zkR8V0O-YYMrUo,part_321,2026-09-20 20:22:23
The Tasty Zone Restaurant,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",+91 70631 37543,N/A,4.2,,"HR95+HCJ, Sibora Rd, Gopiganj, Chaipat, West Bengal 721148",Gopiganj,22.5690398,87.8084602,ChIJsxNBGgChAjoR3t17lMgfabU,https://www.google.com/maps/place/?q=place_id:ChIJsxNBGgChAjoR3t17lMgfabU,part_321,2026-09-20 20:22:23
Tea Shop,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,4.8,,"Q5R3+9FM, Adalia, West Bengal 721157",721121,22.7909626,87.15367859999999,ChIJvS6xVwDD9zkRtC0r_RF4NO4,https://www.google.com/maps/place/?q=place_id:ChIJvS6xVwDD9zkRtC0r_RF4NO4,part_321,2026-09-20 20:22:23
Debu Pan Stall,Cafe and Coffee Shop,Cafe,"Cafe, Paan shop",721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",+91 75510 38174,N/A,4.2,,"R8X9+MQ6, Garhbeta - Hoomgarh Rd, Ganakbandi, Roulia, West Bengal 721121",721121,22.8491537,87.31938319999999,ChIJ9-pu58Lu9zkR74KPM8bU7do,https://www.google.com/maps/place/?q=place_id:ChIJ9-pu58Lu9zkR74KPM8bU7do,part_321,2026-09-20 20:22:23
Cha Stall,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,3.5,,"Q4J8+7V3, Patshala, Sundargere, West Bengal 721121",721121,22.7806559,87.1171282,ChIJF_dAxdHb9zkRtwzSmHg-v_M,https://www.google.com/maps/place/?q=place_id:ChIJF_dAxdHb9zkRtwzSmHg-v_M,part_321,2026-09-20 20:22:23
Time pass tee stall,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,5.0,,"R8XF+GF6, Garhbeta - Hoomgarh Rd, Radhanagar, West Bengal 721121",721121,22.8487995,87.32362909999999,ChIJe9SVHgDv9zkRVn7UK3ztQpg,https://www.google.com/maps/place/?q=place_id:ChIJe9SVHgDv9zkRVn7UK3ztQpg,part_321,2026-09-20 20:22:23
চায়ের দোকান,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,4.5,,"VF52+3X6, Simulia - Jonka - Barmura - Baisnabmore Link Rd, Simulia, West Bengal 721127",721121,22.8576686,87.4523792,ChIJ3RJeYADx9zkRc6dhOGf0bwo,https://www.google.com/maps/place/?q=place_id:ChIJ3RJeYADx9zkRc6dhOGf0bwo,part_321,2026-09-20 20:22:23
দামু চা ও পান স্টল,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,5.0,,"P89Q+XHR, Sat Bankura, West Bengal 721253",721121,22.719994999999997,87.3388767,ChIJQ3ZLegDl9zkRFJ8xzWhwQRk,https://www.google.com/maps/place/?q=place_id:ChIJQ3ZLegDl9zkRFJ8xzWhwQRk,part_321,2026-09-20 20:22:23
হাড়ুর দোকান,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,3.7,,"V8XR+PH6, Dhabani, West Bengal 721127",721121,22.8995969,87.3414296,ChIJAx2j_A_t9zkRKRGWmhNdRHM,https://www.google.com/maps/place/?q=place_id:ChIJAx2j_A_t9zkRKRGWmhNdRHM,part_321,2026-09-20 20:22:23
Das Cabin,Cafe and Coffee Shop,Tea house,Tea house,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",+91 80010 08262,N/A,4.6,,"V942+554, Garhbeta, West Bengal 721127",721121,22.8553963,87.3504462,ChIJq6qqqmnu9zkRRarMFQeMIIM,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqmnu9zkRRarMFQeMIIM,part_321,2026-09-20 20:22:23
Rantu da. Tea shop,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,4.6,,"6QWQ+9CV, Moyna, Garsafat, West Bengal 721629",721121,22.2459955,87.78846899999999,ChIJS5vsZQC_AjoRLg6yCWesBrw,https://www.google.com/maps/place/?q=place_id:ChIJS5vsZQC_AjoRLg6yCWesBrw,part_321,2026-09-20 20:22:23
Tahir Variety Store,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,4.8,,"J5XP+3G6, Sijoa, Rasunpur, West Bengal 721147",721121,22.6476632,87.18626499999999,ChIJoyQeCwDf9zkRVPGRClYXfoM,https://www.google.com/maps/place/?q=place_id:ChIJoyQeCwDf9zkRVPGRClYXfoM,part_321,2026-09-20 20:22:23
Omilipi Cafe,Cafe and Coffee Shop,Cafe,"Cafe, Chinese restaurant",721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",+91 99337 99499,https://www.omilipi.com/,4.5,,"2nd Floor, Bus Stop, Contai Central Bus Stand, opposite to Bus Waiting Room, Contai, West Bengal 721404",Dhandighi,21.7769785,87.7342796,ChIJKZHB7G4nAzoRpFunBnF6yHg,https://www.google.com/maps/place/?q=place_id:ChIJKZHB7G4nAzoRpFunBnF6yHg,part_321,2026-09-20 20:22:23
"CSC e-Governance Services, Digital India ,Common Services Center",Cafe and Coffee Shop,Cafe,Cafe,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,5.0,,"Makli,Paschim Medinipur,Makli 6 no g.p,Garhbeta ll,Pin -721121, Makli, West Bengal 721157",721121,22.823703,87.1145073,ChIJ1wgruNLF9zkR0XyMvqlxHtA,https://www.google.com/maps/place/?q=place_id:ChIJ1wgruNLF9zkR0XyMvqlxHtA,part_321,2026-09-20 20:22:24
Sankar Da TEA Stall,Cafe and Coffee Shop,Cafe,Cafe,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",+91 94340 10724,N/A,4.5,,"V965+QW2, Garhbeta - Kamarpukur Rd, Moyrakata, Garhbeta, West Bengal 721127",Moyrakata,22.861876199999998,87.3597511,ChIJ7fdW62ru9zkRkKjJQpHw1fg,https://www.google.com/maps/place/?q=place_id:ChIJ7fdW62ru9zkRkKjJQpHw1fg,part_321,2026-09-20 20:22:24
Mukhorochok,Cafe and Coffee Shop,Breakfast restaurant,Breakfast restaurant,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,3.7,,"Garhbeta, Gangani, West Bengal 721127",721121,22.855525,87.35033469999999,ChIJ_YI2v1zu9zkRlrU-Y_CEcgI,https://www.google.com/maps/place/?q=place_id:ChIJ_YI2v1zu9zkRlrU-Y_CEcgI,part_321,2026-09-20 20:22:24
ADHIKARY TEA SHOP,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,,,"R8WP+V23, Amlagora, West Bengal 721121",721121,22.8471279,87.33503619999999,ChIJw02exMDv9zkRLJEZyTsJoEk,https://www.google.com/maps/place/?q=place_id:ChIJw02exMDv9zkRLJEZyTsJoEk,part_321,2026-09-20 20:22:24
Pankaj Tea Stall,Cafe and Coffee Shop,Coffee shop,Coffee shop,721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO",N/A,N/A,4.7,,"R8V9+34R, Taldangra- Barobigha Rd, Bandhgora, Taldangra, West Bengal 721121",721121,22.8427303,87.3177702,ChIJD-Mwggfv9zkR4YTguFNv6dU,https://www.google.com/maps/place/?q=place_id:ChIJD-Mwggfv9zkR4YTguFNv6dU,part_321,2026-09-20 20:22:24
