business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Bonolata Baganbari, Sonajhuri",Resort,Resort hotel,Resort hotel,731121,West bengal circle,Kolkata Region,Birbhum Division,"Bansanka BO, Batikar BO, Gargaria BO",+91 89004 14161,https://bonolata.in/,3.9,51,"Sonajhuri Rd, Hat, Santiniketan, Kabi Mohanpur, West Bengal 731235",Hat,23.692876,87.6680949,ChIJlbPfuuTc-TkRqk2L_bis94s,https://www.google.com/maps/place/?q=place_id:ChIJlbPfuuTc-TkRqk2L_bis94s,part_325,2026-09-20 20:50:19
Panchobon Resort Santiniketan,Resort,Resort hotel,"Resort hotel, Bengali restaurant, Cafe, Chinese restaurant, Park, Restaurant",731121,West bengal circle,Kolkata Region,Birbhum Division,"Bansanka BO, Batikar BO, Gargaria BO",+91 95930 00123,https://panchobon.com/,4.3,1471,"opp. Sayarbithi Park Taltore, Santiniketan, Prantik, West Bengal 731235",731121,23.7003249,87.6876388,ChIJU24sgMg_9zkRuPJCnFo39ns,https://www.google.com/maps/place/?q=place_id:ChIJU24sgMg_9zkRuPJCnFo39ns,part_325,2026-09-20 20:50:19
Gram Bangla Resort - Shantiniketan,Resort,Resort hotel,Resort hotel,731121,West bengal circle,Kolkata Region,Birbhum Division,"Bansanka BO, Batikar BO, Gargaria BO",+91 98301 56503,N/A,3.8,41,"Prantik, Santiniketan, Bolpur, West Bengal 731235",731121,23.695731499999997,87.6896467,ChIJJ7Lh7AHd-TkRUVexO-7lSXs,https://www.google.com/maps/place/?q=place_id:ChIJJ7Lh7AHd-TkRUVexO-7lSXs,part_325,2026-09-20 20:50:19
Baul Monn Santiniketan,Resort,Resort hotel,Resort hotel,731121,West bengal circle,Kolkata Region,Birbhum Division,"Bansanka BO, Batikar BO, Gargaria BO",+91 94343 07150,https://baulmonnsantiniketan.in/,3.9,565,"PM2Q+V55, Santiniketan, Taltore Village Near Prantik Station, Bolpur, West Bengal 731235",731121,23.702130399999998,87.6879828,ChIJERWfhCjd-TkRNr0RuBpN6uU,https://www.google.com/maps/place/?q=place_id:ChIJERWfhCjd-TkRNr0RuBpN6uU,part_325,2026-09-20 20:50:19
The Garden Bungalow,Resort,Home Stay,"Home Stay, Garden",731121,West bengal circle,Kolkata Region,Birbhum Division,"Bansanka BO, Batikar BO, Gargaria BO",+91 99105 39454,N/A,4.3,685,"MMWF+XPH, Uttarpally Rd, Prantik, West Bengal 731235",731121,23.6974457,87.67435379999999,ChIJNUNlw-Hc-TkR8hFc1vFErLg,https://www.google.com/maps/place/?q=place_id:ChIJNUNlw-Hc-TkR8hFc1vFErLg,part_325,2026-09-20 20:50:19
Hotel Aayes & Resort,Resort,Resort hotel,Resort hotel,731121,West bengal circle,Kolkata Region,Birbhum Division,"Bansanka BO, Batikar BO, Gargaria BO",+91 97342 13912,http://www.hotelaayes.org/,4.7,2987,"Bolpur,Santiniketan,Near Sayor Bithi Park, Prantik, Bolpur, West Bengal 731235",731121,23.6949345,87.6866501,ChIJM_-8gbzd-TkR07UIQPwW1gk,https://www.google.com/maps/place/?q=place_id:ChIJM_-8gbzd-TkR07UIQPwW1gk,part_325,2026-09-20 20:50:19
Udichi Regency | Best Hotel in Shantiniketan,Resort,Resort hotel,"Resort hotel, Bed & breakfast, Guest house, Hotel, Lodge, Restaurant, Swimming pool, Villa, Wedding venue",731121,West bengal circle,Kolkata Region,Birbhum Division,"Bansanka BO, Batikar BO, Gargaria BO",+91 86170 68599,https://udichiregency.com/,4.7,866,"Uttarpally Rd, Goal Para, Santiniketan, Prantik, West Bengal 731235",Goal Para,23.694575099999998,87.67997419999999,ChIJg87a1__d-TkRNmgOo-tNnI4,https://www.google.com/maps/place/?q=place_id:ChIJg87a1__d-TkRNmgOo-tNnI4,part_325,2026-09-20 20:50:19
Chhuti Holiday Resort,Resort,Hotel,Hotel,731121,West bengal circle,Kolkata Region,Birbhum Division,"Bansanka BO, Batikar BO, Gargaria BO",+91 94340 12872,https://www.chhutiresort.com/,4.3,488,"MM9F+9X4, charu pally road, Bolpur, West Bengal 731204",731121,23.6683175,87.674728,ChIJwWL7gpbc-TkRNqw5nivJrvQ,https://www.google.com/maps/place/?q=place_id:ChIJwWL7gpbc-TkRNqw5nivJrvQ,part_325,2026-09-20 20:50:19
Resort Rater Tara Diner Rabi,Resort,Resort hotel,Resort hotel,731121,West bengal circle,Kolkata Region,Birbhum Division,"Bansanka BO, Batikar BO, Gargaria BO",+91 98300 82248,N/A,4.7,29,"behind Khoai Inspection Bunglow, Fuldanga, Santiniketan, Syambati, West Bengal 731235",Fuldanga,23.691715799999997,87.68497669999999,ChIJGWfgoxHd-TkRoSBouRtqmlQ,https://www.google.com/maps/place/?q=place_id:ChIJGWfgoxHd-TkRoSBouRtqmlQ,part_325,2026-09-20 20:50:19
Hotel Royal Bengal,Resort,Hotel,"Hotel, Bed & breakfast, Extended stay hotel, Guest house, Resort hotel, Restaurant",731121,West bengal circle,Kolkata Region,Birbhum Division,"Bansanka BO, Batikar BO, Gargaria BO",+91 90073 82002,https://www.hotelroyalbengal.com/,4.0,2182,"Dak Bunglow (west, Bhubandanga, Bolpur, West Bengal 731204",Bhubandanga,23.668597899999998,87.68957259999999,ChIJF7ON0rDc-TkRKC3_UjQmM5Y,https://www.google.com/maps/place/?q=place_id:ChIJF7ON0rDc-TkRKC3_UjQmM5Y,part_325,2026-09-20 20:50:19
