business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Soreng Health and Wellness Centre,Wellness Center,Hospital,Hospital,734008,West Bengal Circle,North Bengal Region,Darjeeling Division,"Salugarah SO, Baikunthapur BO, Latpanchar BO",N/A,N/A,5.0,1.0,"2CM4+RV8, Soriang Khasmahal, West Bengal 734312",734008,27.034539499999998,88.40720739999999,ChIJW_U7YQAj5DkR7NQ5fapCEss,https://www.google.com/maps/place/?q=place_id:ChIJW_U7YQAj5DkR7NQ5fapCEss,part_328,2026-09-20 20:20:48
Kalijhora paribhartan sudar kendra,Wellness Center,Rehabilitation center,Rehabilitation center,734008,West Bengal Circle,North Bengal Region,Darjeeling Division,"Salugarah SO, Baikunthapur BO, Latpanchar BO",N/A,N/A,5.0,1.0,"bazar NH 10, Kalijhora, Siliguri, West Bengal 734008",734008,26.9311525,88.4505133,ChIJMxyL17g95DkRpFMEa17R0Nw,https://www.google.com/maps/place/?q=place_id:ChIJMxyL17g95DkRpFMEa17R0Nw,part_328,2026-09-20 20:20:48
NRHM Health Camp Bikashnagar,Wellness Center,Community health center,Community health center,734008,West Bengal Circle,North Bengal Region,Darjeeling Division,"Salugarah SO, Baikunthapur BO, Latpanchar BO",N/A,N/A,5.0,1.0,"QF93+JGV, Salugara, Siliguri, West Bengal 734008",Salugara,26.7691104,88.45381239999999,ChIJrR6in8ZB5DkRrHv9vH5BWxg,https://www.google.com/maps/place/?q=place_id:ChIJrR6in8ZB5DkRrHv9vH5BWxg,part_328,2026-09-20 20:20:48
Family Health Centre,Wellness Center,Medical Center,Medical Center,734008,West Bengal Circle,North Bengal Region,Darjeeling Division,"Salugarah SO, Baikunthapur BO, Latpanchar BO",N/A,N/A,5.0,1.0,"QFM8+4RP, GE Sevoke Rd, Chakur, Siliguri, Junglee Mohal, West Bengal 734008",Chakur,26.7828305,88.46708079999999,ChIJ0wmd5oJB5DkRG2kdjAX3Q4A,https://www.google.com/maps/place/?q=place_id:ChIJ0wmd5oJB5DkRG2kdjAX3Q4A,part_328,2026-09-20 20:20:48
lanku health center,Wellness Center,Hospital,Hospital,734008,West Bengal Circle,North Bengal Region,Darjeeling Division,"Salugarah SO, Baikunthapur BO, Latpanchar BO",N/A,N/A,4.0,2.0,"WCX8+7G6, Lonku Khasmahal, West Bengal 734008",734008,26.9481534,88.4162504,ChIJD-xpHpQ85DkRuVCPl6Xr77I,https://www.google.com/maps/place/?q=place_id:ChIJD-xpHpQ85DkRuVCPl6Xr77I,part_328,2026-09-20 20:20:48
Health Center,Wellness Center,Public health department,Public health department,734008,West Bengal Circle,North Bengal Region,Darjeeling Division,"Salugarah SO, Baikunthapur BO, Latpanchar BO",N/A,N/A,2.0,1.0,"X9F7+JFF, Mangpoo, West Bengal 734313",734008,26.9740567,88.3636696,ChIJwb8ClCo75DkRfAoAYWjHps8,https://www.google.com/maps/place/?q=place_id:ChIJwb8ClCo75DkRfAoAYWjHps8,part_328,2026-09-20 20:20:48
"Siliguri UPHC 2 Ward No. 42 Vevekandanagar Salugara,Others",Wellness Center,Community health center,Community health center,734008,West Bengal Circle,North Bengal Region,Darjeeling Division,"Salugarah SO, Baikunthapur BO, Latpanchar BO",N/A,http://jalpaiguri.gov.in/,4.0,5.0,"QC5Q+Q52, Ward 42, Prakash Nagar, Siliguri, West Bengal 734008","Ward 42, Prakash Nagar",26.7593852,88.4378947,ChIJVW_cb0VB5DkRx1wbP0-RnK8,https://www.google.com/maps/place/?q=place_id:ChIJVW_cb0VB5DkRx1wbP0-RnK8,part_328,2026-09-20 20:20:48
"GOWPS Spa, smart bazar",Wellness Center,Spa,Spa,734008,West Bengal Circle,North Bengal Region,Darjeeling Division,"Salugarah SO, Baikunthapur BO, Latpanchar BO",+91 83838 98559,https://www.gowpswellness.in/,4.8,6.0,"2nd Floor, The Rink Mall, summit montana, opp. Head Post Office, Limbugaon, Darjeeling, West Bengal 734101",Limbugaon,27.0396611,88.26489149999999,ChIJyyK4SRAv5DkR4-bmyMFUK1A,https://www.google.com/maps/place/?q=place_id:ChIJyyK4SRAv5DkR4-bmyMFUK1A,part_328,2026-09-20 20:20:49
The Studio Square,Wellness Center,Wellness center,Wellness center,734008,West Bengal Circle,North Bengal Region,Darjeeling Division,"Salugarah SO, Baikunthapur BO, Latpanchar BO",N/A,https://chat.whatsapp.com/FnxKQaFIj01DMLXiMSSYrg,5.0,2.0,"QC2Q+64W, Nimbu Basti, Siliguri, West Bengal 734008",Nimbu Basti,26.7506123,88.43784099999999,ChIJ0RBJQcdB5DkR8W2D1S6RMZU,https://www.google.com/maps/place/?q=place_id:ChIJ0RBJQcdB5DkR8W2D1S6RMZU,part_328,2026-09-20 20:20:50
Sanjiwani ayurveda and naturopathy centre ( Dr. Prasenjit Das),Wellness Center,Naturopathic practitioner,"Naturopathic practitioner, Ayurvedic clinic, Doctor",734008,West Bengal Circle,North Bengal Region,Darjeeling Division,"Salugarah SO, Baikunthapur BO, Latpanchar BO",+91 74783 05881,N/A,5.0,14.0,"ward no -18, J.M, G road, Naya bazaar, Kurseong, West Bengal 734203",Naya bazaar,26.876824799999998,88.27667129999999,ChIJwSp2EGwx5DkRdNaUX_Ikqio,https://www.google.com/maps/place/?q=place_id:ChIJwSp2EGwx5DkRdNaUX_Ikqio,part_328,2026-09-20 20:20:50
