business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
St. Paul's School,School,Educational institution,"Educational institution, Boarding school, High school, ICSE School, Primary school, Secondary school",734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",+91 354 225 2334,https://stpaulsdarjeeling.edu.in/,4.5,512.0,"Dr Zakir Hussain Rd, Jalapahar, Darjeeling, West Bengal 734103",Jalapahar,27.0325186,88.2644388,ChIJLbQFQ40u5DkRx4lxuLvni3E,https://www.google.com/maps/place/?q=place_id:ChIJLbQFQ40u5DkRx4lxuLvni3E,part_328,2026-09-20 20:25:57
Turnbull High School,School,High school,High school,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",N/A,N/A,,,"Dr. SM Das Rd, Limbugaon, Darjeeling, West Bengal 734101",Limbugaon,27.0383358,88.26418559999999,ChIJc4wVaZMu5DkRlLFZ6zuOCe4,https://www.google.com/maps/place/?q=place_id:ChIJc4wVaZMu5DkRlLFZ6zuOCe4,part_328,2026-09-20 20:25:57
Primary School Pragati Gram,School,School center,School center,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",N/A,N/A,4.0,3.0,"27R6+HP8, Belamber Rd, Chauk Bazaar, Darjeeling, West Bengal 734101",Chauk Bazaar,27.041422599999997,88.2618244,ChIJNV6WNLgv5DkRrbsn14nMsEQ,https://www.google.com/maps/place/?q=place_id:ChIJNV6WNLgv5DkRrbsn14nMsEQ,part_328,2026-09-20 20:25:57
Vidya Vikash Academy,School,K-12 school,K-12 school,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",+91 354 225 3198,N/A,,,"3728+V39, Lebong Cart Rd, Naya Basti, Darjeeling, Rungneet Tea Garden, West Bengal 734101",Naya Basti,27.0521674,88.2652306,ChIJX2IMpLgu5DkRGK5YJw1EQJI,https://www.google.com/maps/place/?q=place_id:ChIJX2IMpLgu5DkRGK5YJw1EQJI,part_328,2026-09-20 20:25:57
West Point School,School,General education school,General education school,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",+91 354 227 2004,http://www.westpointschool.com/,,,"West Point, Darjeeling, West Bengal 734101",West Point,27.0258289,88.25625459999999,ChIJ9aSooogu5DkRJHu4dS0UDjc,https://www.google.com/maps/place/?q=place_id:ChIJ9aSooogu5DkRJHu4dS0UDjc,part_328,2026-09-20 20:25:57
Mount Hermon School Darjeeling,School,Boarding school,Boarding school,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",+91 79807 90883,http://mhsdarj1895.org/,,,"Darjeeling - Jorethang Rd, Chauk Bazaar, Darjeeling, Pattabong Tea Garden, West Bengal 734104",Chauk Bazaar,27.0657991,88.2518015,ChIJDXZwYqwu5DkRFXySmqYNBOQ,https://www.google.com/maps/place/?q=place_id:ChIJDXZwYqwu5DkRFXySmqYNBOQ,part_328,2026-09-20 20:25:57
Notre Dame Academy,School,General education school,General education school,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",+91 73842 45547,https://ndadarjeeling.in/,,,"Gandhi Rd, West Point, Darjeeling, West Bengal 734101",West Point,27.023922,88.2561367,ChIJwzjz0ocu5DkRWvduR8nPaAw,https://www.google.com/maps/place/?q=place_id:ChIJwzjz0ocu5DkRWvduR8nPaAw,part_328,2026-09-20 20:25:57
Camellia School,School,General education school,General education school,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",+91 98327 21317,http://camelliaschool.org/,,,"83, Dr Zakir Hussain Rd, Jalapahar, Darjeeling, West Bengal 734101",Jalapahar,27.038977,88.26661469999999,ChIJ6Q4louwu5DkRwnIwOGZTOso,https://www.google.com/maps/place/?q=place_id:ChIJ6Q4louwu5DkRwnIwOGZTOso,part_328,2026-09-20 20:25:57
St. Robert's School,School,Secondary school,Secondary school,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",+91 354 225 4065,http://www.srsdarjeeling.com/,,,"13, Doctor Yen Singh Road, Chauk Bazaar, Darjeeling, West Bengal 734101",Chauk Bazaar,27.046285599999997,88.2663141,ChIJ____P74u5DkRRU_TKeF_qZE,https://www.google.com/maps/place/?q=place_id:ChIJ____P74u5DkRRU_TKeF_qZE,part_328,2026-09-20 20:25:57
Gyanoday Niketan,School,General education school,General education school,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",+91 354 225 6240,http://www.gyanodayniketan.org/,,,"27J3+MVX, Hill Cart Rd, Limbugaon, Darjeeling, West Bengal 734101",Limbugaon,27.031732599999998,88.2547408,ChIJMQf9aoUu5DkRjVBe_rvbeaI,https://www.google.com/maps/place/?q=place_id:ChIJMQf9aoUu5DkRjVBe_rvbeaI,part_328,2026-09-20 20:25:57
