business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri Mitra Cold store,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,721404,West Bengal Circle,South Bengal Region,Contai Division,Karkuli SO,+91 99593 22442,https://srimitracoldstore.wordpress.com/,4.6,,"Sontyam, Andhra Pradesh 530059",721404,17.8727075,83.2909746,ChIJBXol_xdfOToRG3JuSoHdPDU,https://www.google.com/maps/place/?q=place_id:ChIJBXol_xdfOToRG3JuSoHdPDU,part_322,2026-09-20 20:31:19
KK Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,721404,West Bengal Circle,South Bengal Region,Contai Division,Karkuli SO,+91 94418 86242,N/A,4.2,,"307/2&3,Mindivanipalem, Sontyam, Andhra Pradesh 530059",721404,17.8798446,83.31218679999999,ChIJbx_uOuFeOToRFojysvgmTO4,https://www.google.com/maps/place/?q=place_id:ChIJbx_uOuFeOToRFojysvgmTO4,part_322,2026-09-20 20:31:19
Coldman Logistics,Warehouse and Cold Storage,Warehouse,Warehouse,721404,West Bengal Circle,South Bengal Region,Contai Division,Karkuli SO,+91 22 2264 1355,http://www.coldman.in/,4.2,,"Uparhalli Village, Rampur- Mouza, Guwahati, Assam 781122",721404,26.106987999999998,91.51689619999999,ChIJ27eag_w_WjcRHEEpBupnILk,https://www.google.com/maps/place/?q=place_id:ChIJ27eag_w_WjcRHEEpBupnILk,part_322,2026-09-20 20:31:19
Anjani Cold Storage,Warehouse and Cold Storage,Cold storage facility,"Cold storage facility, Storage facility, Warehouse",721404,West Bengal Circle,South Bengal Region,Contai Division,Karkuli SO,+91 94293 70415,N/A,4.2,,"Pravin Nivas, 7/106-110, opp. Central Bus Station, next to Alankar Restaurant, Sufi Baug, Railway Station Area, Varachha, Surat, Gujarat 395003","Sufi Baug, Railway Station Area, Varachha",21.2043772,72.83972829999999,ChIJUXGcErFP4DsRsBzm4GEwvvk,https://www.google.com/maps/place/?q=place_id:ChIJUXGcErFP4DsRsBzm4GEwvvk,part_322,2026-09-20 20:31:19
Snowman Logistics Ltd,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,721404,West Bengal Circle,South Bengal Region,Contai Division,Karkuli SO,+91 80676 93700,https://snowman.in/,4.4,,"PLOT NO. A/33, Icchhapore GIDC Opp. H.P.C.L. Gas Bottling Plant Near O N G C Taluk Choriyasi, Surat, Hazira Rd, Surat, Gujarat 394510",Bhatpore,21.188246799999998,72.7314792,ChIJB9YLaSBN4DsRxox0LvbCp5Y,https://www.google.com/maps/place/?q=place_id:ChIJB9YLaSBN4DsRxox0LvbCp5Y,part_322,2026-09-20 20:31:19
Arihant Industries,Warehouse and Cold Storage,Cold storage facility,"Cold storage facility, Frozen food store, Warehouse",721404,West Bengal Circle,South Bengal Region,Contai Division,Karkuli SO,+91 98101 18950,http://www.arihantcoldstorage.com/,4.5,,"C-53, Pocket C, Okhla Phase I, Okhla Industrial Estate, New Delhi, Delhi 110020","Pocket C, Okhla Phase I, Okhla Industrial Estate",28.5273525,77.2819384,ChIJOR5nAFvhDDkRwVaHI1plQFA,https://www.google.com/maps/place/?q=place_id:ChIJOR5nAFvhDDkRwVaHI1plQFA,part_322,2026-09-20 20:31:19
Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,721404,West Bengal Circle,South Bengal Region,Contai Division,Karkuli SO,N/A,N/A,3.0,,"XPR4+698, Chennaram, Telangana 509339",721404,16.990527099999998,77.7059538,ChIJI-wowdR3yTsRV3Jg0WzzrYM,https://www.google.com/maps/place/?q=place_id:ChIJI-wowdR3yTsRV3Jg0WzzrYM,part_322,2026-09-20 20:31:20
Refrigeration cold storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,721404,West Bengal Circle,South Bengal Region,Contai Division,Karkuli SO,N/A,N/A,5.0,,"Naryan nagar nss road hil no 2 maharatwada chwl ghatkopar mest, Ghatkopar, Maharashtra 400086","Ghatkopar, Chirag Nagar, Ghatkopar West",19.0881635,72.8949533,ChIJL7EDg97J5zsRM0HmhwtHA4Q,https://www.google.com/maps/place/?q=place_id:ChIJL7EDg97J5zsRM0HmhwtHA4Q,part_322,2026-09-20 20:31:20
Bhavani Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,721404,West Bengal Circle,South Bengal Region,Contai Division,Karkuli SO,N/A,https://instagram.com/shreebhavanicoldstoragepvtltd?igshid=MGNiNDI5ZTU=,3.9,,"Ranpur Athamno Vas, Gujarat 385535",721404,24.2754489,72.20595519999999,ChIJ7-2K-de9XDkRDjh6SuPsOjc,https://www.google.com/maps/place/?q=place_id:ChIJ7-2K-de9XDkRDjh6SuPsOjc,part_322,2026-09-20 20:31:20
V S Cold storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,721404,West Bengal Circle,South Bengal Region,Contai Division,Karkuli SO,N/A,N/A,5.0,,"Sr.No 96/11, Gaikwad wasti, V.S warehousing and distribution, near Malwadi, Jambhe, Maharashtra 411033",Jambhe,18.622711,73.7232731,ChIJS93SokC7wjsR2b12RIWFk_M,https://www.google.com/maps/place/?q=place_id:ChIJS93SokC7wjsR2b12RIWFk_M,part_322,2026-09-20 20:31:20
