business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shristi Event Planner,Corporate Event Planner,Event management company,Event management company,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.8,,"Mahananda Bridge, colony, Mangalbari, Malda, West Bengal 732142",colony,25.0126538,88.1495896,ChIJaRWYGWL9-jkRFiAQrTqQCqA,https://www.google.com/maps/place/?q=place_id:ChIJaRWYGWL9-jkRFiAQrTqQCqA,part_327,2026-09-20 20:17:36
B.A.B-কোকলামারী ফুল ডেকোরেশন,Corporate Event Planner,Event planner,Event planner,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.3,,"32MM+JH3, Chouduar, Koklamari, West Bengal 732208",Chouduar,25.084012299999998,88.0339225,ChIJ5aP4OQDl-jkRCiUn8P-69Xs,https://www.google.com/maps/place/?q=place_id:ChIJ5aP4OQDl-jkRCiUn8P-69Xs,part_327,2026-09-20 20:17:36
Geeen view events planner,Corporate Event Planner,Event planner,Event planner,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,,,"72F3+8JX, Samsi, West Bengal 732139",732139,25.2733691,88.0041048,ChIJF9R6eh3D-jkRCvDaw16rynY,https://www.google.com/maps/place/?q=place_id:ChIJF9R6eh3D-jkRCvDaw16rynY,part_327,2026-09-20 20:17:36
Rubric Events-Best event planner in Siliguri||Wedding planner in Siliguri||Corporate planner||,Corporate Event Planner,Event management company,"Event management company, Service establishment",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 90640 47640,https://www.facebook.com/profile.php?id=61560879936963&mibextid=ZbWKwL,5.0,5.0,"Rubric Events-Best event planner in Siliguri||Wedding planner in Siliguri||Corporate planner||, 732139, India",732139,25.2845859,92.01513419999999,ChIJ6eGNDPnXdIkR33Q3Ra0Byks,https://www.google.com/maps/place/?q=place_id:ChIJ6eGNDPnXdIkR33Q3Ra0Byks,part_327,2026-09-20 20:17:37
Synergy Enter10ment,Corporate Event Planner,Event planner,"Event planner, Event management company, Wedding planner",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 90513 71555,https://www.synergyenter10ment.com/,4.9,57.0,"3RD FLOOR, LUCKY VILLA APPARTMENT, 108, Debendra Chandra Dey Rd, near STUDIO VIBRATION, Seal Lane, Tangra, Kolkata, West Bengal 700015","Seal Lane, Tangra",22.562347,88.3785272,ChIJ_-Y_BY53AjoRklBW5RBWLns,https://www.google.com/maps/place/?q=place_id:ChIJ_-Y_BY53AjoRklBW5RBWLns,part_327,2026-09-20 20:17:37
Deadline Event Management House,Corporate Event Planner,Event management company,Event management company,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 97331 01100,https://deadlineeventmanagement.in/,4.9,34.0,"Shopping plaza, kadai , kolponamore, Khagra, Berhampore, West Bengal 742101",Khagra,24.1031718,88.25169489999999,ChIJCT9bS3h9-TkRUCl4Lv9JQXU,https://www.google.com/maps/place/?q=place_id:ChIJCT9bS3h9-TkRUCl4Lv9JQXU,part_327,2026-09-20 20:17:37
Eventzgraph,Corporate Event Planner,Event planner,"Event planner, Balloon artist, Caterer, DJ service, Event management company, Flower designer, Magician, Wedding planner",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 97737 95904,https://eventzgraph.com/,4.7,395.0,"thanaji, Shatrunjay Giriraj Apartments, c/704, New Mill Rd, Ambedkar Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070","Ambedkar Nagar, Kurla West, Kurla",19.072864,72.87827899999999,ChIJwRrbYpLI5zsRlEc5_fDkCU0,https://www.google.com/maps/place/?q=place_id:ChIJwRrbYpLI5zsRlEc5_fDkCU0,part_327,2026-09-20 20:17:37
Our Vision Events - Event Management Company in Pune | Corporate Event Planner,Corporate Event Planner,Event planner,"Event planner, Event management company, Exhibition planner, Music management and promotion, Party planner, Wedding planner, Wedding service",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 95031 87188,https://www.ourvision.org.in/,4.9,120.0,"401, Abhipreet Residency, Pancard Club Rd, Baner, Pune, Maharashtra 411069",Baner,18.5586201,73.77518839999999,ChIJyY4DgrO_wjsRchkFKbAHF8c,https://www.google.com/maps/place/?q=place_id:ChIJyY4DgrO_wjsRchkFKbAHF8c,part_327,2026-09-20 20:17:37
ADDY Events,Corporate Event Planner,Event planner,"Event planner, Event management company, Wedding planner",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 91400 58489,https://addyevents.in/,4.9,934.0,"Second Floor, GNS Plaza, Office No S, 21/1, opposite Radisson Blu, Industrial Area, Surajpur Site 4, Greater Noida, Uttar Pradesh 201315","Block C, Industrial Area, Surajpur Site 4",28.449612499999997,77.52812469999999,ChIJ69n8rW-9DDkRpe7tlHwnrAc,https://www.google.com/maps/place/?q=place_id:ChIJ69n8rW-9DDkRpe7tlHwnrAc,part_327,2026-09-20 20:17:37
DAZZLE Events,Corporate Event Planner,Wedding planner,"Wedding planner, Catering equipment rental service, Caterer, Party planner",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 80175 29878,https://dazzleevent.in/,4.9,68.0,"Ground Floor, Sritama Apartment, 40, James Long Sarani, Diamond Park, Thakurpukur, Kolkata, Purba Barisha, West Bengal 700104","Diamond Park, Thakurpukur",22.455328599999998,88.30609319999999,ChIJ2bzRl5J6AjoRxUNZQX59dHw,https://www.google.com/maps/place/?q=place_id:ChIJ2bzRl5J6AjoRxUNZQX59dHw,part_327,2026-09-20 20:17:37
