business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Expert Relocation Packers And Movers,Packers and Movers,Packaging company,"Packaging company, Moving service, Transportation service",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 90442 34234,https://www.expertrelocating.com/,4.9,255.0,"13, Sec 23 Rd, Shree Vihar, Transport Nagar, Pimpri-Chinchwad, Maharashtra 411044","Shree Vihar, Transport Nagar, Nigdi",18.663486499999998,73.7679133,ChIJK4QEQ-G3wjsRvgToLS77egk,https://www.google.com/maps/place/?q=place_id:ChIJK4QEQ-G3wjsRvgToLS77egk,part_322,2026-09-20 20:33:26
ASHA PACKERS AND MOVERS,Packers and Movers,Moving service,Moving service,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 98302 50052,N/A,4.4,31.0,"236 G.T ROAD SHIBPUR, GT Rd, near SHIBIPUR BAZAR, SIDE, Howrah, West Bengal 711102",SIDE,22.565624399999997,88.32274609999999,ChIJD6cXgYR3AjoRLfLQK32rrJo,https://www.google.com/maps/place/?q=place_id:ChIJD6cXgYR3AjoRLfLQK32rrJo,part_322,2026-09-20 20:33:26
Radhika Thakre Packers and Movers Indore,Packers and Movers,Packaging company,"Packaging company, Moving service, Moving supply store, Transportation service",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 98261 25421,https://radhikathakrepackersmovers.com/,4.9,78.0,"Shop No. 100, Katariya Complex, near Audi, Dewas Naka, Lasudia Mori, Indore, Madhya Pradesh 452010","Dewas Naka, Lasudia Mori",22.772123999999998,75.9062774,ChIJc4KpZ0kdYzkRhCTaGnAT0hU,https://www.google.com/maps/place/?q=place_id:ChIJc4KpZ0kdYzkRhCTaGnAT0hU,part_322,2026-09-20 20:33:26
Disha Drishti Packers and Movers,Packers and Movers,Transportation service,Transportation service,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 98736 24968,https://www.dishadrishtipackersmovers.com/,5.0,2.0,"Nischinda, Bhangormath, Ghosh Para, Brahmandanga, Howrah, West Bengal 711227","Nischinda, Bhangormath, Ghosh Para",22.640852799999998,88.3191097,ChIJ5TPdefCD-DkR_v6FR8z0jds,https://www.google.com/maps/place/?q=place_id:ChIJ5TPdefCD-DkR_v6FR8z0jds,part_322,2026-09-20 20:33:26
G K Cargo Packers and Movers,Packers and Movers,Moving service,"Moving service, Packaging company",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 90730 30333,https://www.gkcargopackers.in/,4.9,58.0,"Karunamoyee Ghat Rd, Sarat Pally, Paschim Putiary, Kolkata, West Bengal 700082","Sarat Pally, Paschim Putiary",22.485814299999998,88.3322141,ChIJxxhLKJpwAjoRpRARLxt3NB4,https://www.google.com/maps/place/?q=place_id:ChIJxxhLKJpwAjoRpRARLxt3NB4,part_322,2026-09-20 20:33:26
Maa Sherawali Packers and Movers Pvt Ltd.,Packers and Movers,Moving service,"Moving service, Packaging company, Transportation service",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 94318 13618,https://www.maasherawalipackersmovers.com/patna-packers-movers-bihar,4.9,135.0,"106, Bhootnath Rd, near Sriniwas Tower, Income Tax Colony, Kankarbagh, Vijay Nagar, Patna, Bihar 800026","Income Tax Colony, Kankarbagh, Vijay Nagar",25.5864576,85.1723111,ChIJx3K9QSJZ7TkR8sZA8EKVfLw,https://www.google.com/maps/place/?q=place_id:ChIJx3K9QSJZ7TkR8sZA8EKVfLw,part_322,2026-09-20 20:33:26
Paras India Packers and Movers,Packers and Movers,Packaging company,Packaging company,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 77889 95058,http://paraspackersandmovers.com/,4.9,101.0,"Millittery Station, JN, near TCP 2 Gate, Brichgunj, Sri Vijaya Puram, Andaman and Nicobar Islands 744105",Brichgunj,11.614523199999999,92.737905,ChIJmWbog5WViDAR1o4IULqQP_8,https://www.google.com/maps/place/?q=place_id:ChIJmWbog5WViDAR1o4IULqQP_8,part_322,2026-09-20 20:33:26
VRL Packers and Logistics,Packers and Movers,Packaging company,"Packaging company, Container service, Moving service, Transportation service, Warehouse",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 98319 49668,https://www.vrlpackersindia.com/,4.4,320.0,"Ward, Street, 95, 14, Rabindra Nagar Rd, Bonhooghly, Baranagar, West Bengal 700108","Dunlop, Saket Nagar, Bonhooghly, Baranagar",22.650838,88.3815695,ChIJV5K_o1Cd-DkRrgmvEdP5giw,https://www.google.com/maps/place/?q=place_id:ChIJV5K_o1Cd-DkRrgmvEdP5giw,part_322,2026-09-20 20:33:26
om packers and movers,Packers and Movers,Transportation service,Transportation service,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 96062 80135,https://ompackersindia.com/bangalore-packers-movers-karnataka,5.0,,"om packers and movers building 966 opposite relax adda cafe singsandra 560068, Bengaluru, Karnataka 560114","Wellington Paradise, Singasandra",12.881841699999999,77.6423033,ChIJrVVHcKYVrjsRXT-xYb9FFHU,https://www.google.com/maps/place/?q=place_id:ChIJrVVHcKYVrjsRXT-xYb9FFHU,part_322,2026-09-20 20:33:27
OM Packers And Movers,Packers and Movers,Transportation service,Transportation service,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 95602 24641,N/A,,,"S 3, Sakthi garden, Plot no.33, phase 1, Poonamallee, Senneerkuppam, Chennai, Tamil Nadu 600077","phase 1, Poonamallee",13.0635145,80.11294769999999,ChIJ293_bbRhUjoRbTa0ugBOSAQ,https://www.google.com/maps/place/?q=place_id:ChIJ293_bbRhUjoRbTa0ugBOSAQ,part_322,2026-09-20 20:33:27
