business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SAI Education Consultancy,Educational Consultant,Consultant,"Consultant, Educational institution",721403,West Bengal Circle,South Bengal Region,Contai Division,Contai Bazar SO,+91 93306 58413,http://saieducationalconsultancy.com/,4.9,,"Room No, 90/6A, 220, YMCA Building, 2nd Floor, Mahatma Gandhi Rd, opp. Grace Cinema, College Street, Kolkata, West Bengal 700073","Calcutta University, College Street",22.5772838,88.3634223,ChIJ0YdfRk12AjoRFJJjBL-2GDc,https://www.google.com/maps/place/?q=place_id:ChIJ0YdfRk12AjoRFJJjBL-2GDc,part_322,2026-09-20 20:30:19
Nigam Siksha Parishad,Educational Consultant,Educational consultant,Educational consultant,721403,West Bengal Circle,South Bengal Region,Contai Division,Contai Bazar SO,N/A,N/A,,,"BL Memorial, Jalalkhanbar, Contai, West Bengal 721401",Dhandighi,21.7757003,87.73561409999999,ChIJ4TpHXN4nAzoRBe1NkjfMbTg,https://www.google.com/maps/place/?q=place_id:ChIJ4TpHXN4nAzoRBe1NkjfMbTg,part_322,2026-09-20 20:30:19
Azent,Educational Consultant,Educational consultant,Educational consultant,721403,West Bengal Circle,South Bengal Region,Contai Division,Contai Bazar SO,+91 44 6132 0200,https://www.azent.com/?utm_source=google&utm_medium=GMB,4.8,736.0,"4th floor, Kakani Tower, South Wing, 34, Khader Nawaz Khan Rd, Nungambakkam, Chennai, Tamil Nadu 600034","Thousand Lights West, Nungambakkam",13.060077099999999,80.2478914,ChIJY97s5StnUjoRkByducY76FU,https://www.google.com/maps/place/?q=place_id:ChIJY97s5StnUjoRkByducY76FU,part_322,2026-09-20 20:30:20
Study Abroad Educational Consultants,Educational Consultant,Educational consultant,Educational consultant,721403,West Bengal Circle,South Bengal Region,Contai Division,Contai Bazar SO,+91 92822 21221,http://www.studyabroadedu.com/,4.7,165.0,"#74, Kasturi Rangan Rd, Parthasarathypuram, Alwarpet, Chennai, Tamil Nadu 600018","Parthasarathypuram, Alwarpet",13.045161499999999,80.2566021,ChIJO8diei9nUjoRNlqoloUbEj4,https://www.google.com/maps/place/?q=place_id:ChIJO8diei9nUjoRNlqoloUbEj4,part_322,2026-09-20 20:30:20
Leap Scholar - Study Abroad Consultancy in Kolkata (Park Street area),Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, Education center, Educational testing service, English language school, Student career counseling office, Student housing center, Test preparation center, Visa Agent",721403,West Bengal Circle,South Bengal Region,Contai Division,Contai Bazar SO,+91 77951 21387,https://leapscholar.com/study-abroad-consultant/kolkata?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=kolkata,4.8,319.0,"Nest, Leap 3rd Flr., BFL Bangur Estate , 1A, Russel St, to, Park St, Social, Park Street area, Kolkata, West Bengal 700016","Social, Park Street area",22.5539244,88.3510455,ChIJQYZdTc13AjoR-KYTkuxkrNc,https://www.google.com/maps/place/?q=place_id:ChIJQYZdTc13AjoR-KYTkuxkrNc,part_322,2026-09-20 20:30:20
Limra Edu,Educational Consultant,Educational consultant,"Educational consultant, Consultant",721403,West Bengal Circle,South Bengal Region,Contai Division,Contai Bazar SO,+91 94457 83333,http://www.limraedu.com/,4.8,1471.0,"1st Floor, SMS Centre, 177, Royapettah High Rd, Luz, Mylapore, Chennai, Tamil Nadu 600004","Luz, Mylapore",13.039119999999999,80.26773299999999,ChIJB1TomDxmUjoRSc9JnC9g208,https://www.google.com/maps/place/?q=place_id:ChIJB1TomDxmUjoRSc9JnC9g208,part_322,2026-09-20 20:30:20
Global Reach,Educational Consultant,Educational consultant,"Educational consultant, Consultant",721403,West Bengal Circle,South Bengal Region,Contai Division,Contai Bazar SO,+91 98364 83131,http://www.globalreach.in/,4.6,226.0,"The Millennium, 235/2A, AJC Bose Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.541294699999998,88.3499059,ChIJz4AvF2h3AjoRQvBbcz0tsT0,https://www.google.com/maps/place/?q=place_id:ChIJz4AvF2h3AjoRQvBbcz0tsT0,part_322,2026-09-20 20:30:20
Beyon Education,Educational Consultant,Educational consultant,"Educational consultant, Educational institution",721403,West Bengal Circle,South Bengal Region,Contai Division,Contai Bazar SO,+91 44 2498 3891,https://beyoneducation.com/,4.9,243.0,"59, Sterling Rd, Nungambakkam, Chennai, Tamil Nadu 600034",Nungambakkam,13.064549,80.2370476,ChIJi1Fd6slnUjoRBalB8mY1eHA,https://www.google.com/maps/place/?q=place_id:ChIJi1Fd6slnUjoRBalB8mY1eHA,part_322,2026-09-20 20:30:20
Education Matters,Educational Consultant,Educational consultant,Educational consultant,721403,West Bengal Circle,South Bengal Region,Contai Division,Contai Bazar SO,+91 91210 18429,https://www.edmat.org/,4.6,169.0,"5th Floor, LT Tower, Moosarambagh, East Prasanth Nagar, Dilsukhnagar, Hyderabad, Telangana 500036","Moosarambagh, East Prasanth Nagar, Dilsukhnagar",17.371965499999998,78.5150918,ChIJac_WUueZyzsRL264FtyyiF8,https://www.google.com/maps/place/?q=place_id:ChIJac_WUueZyzsRL264FtyyiF8,part_322,2026-09-20 20:30:20
A.R Educational Consultants,Educational Consultant,Educational consultant,"Educational consultant, Consultant",721403,West Bengal Circle,South Bengal Region,Contai Division,Contai Bazar SO,+91 99620 02595,http://www.areduconsultants.org/,4.9,44.0,"2, 17, Ormes Rd, Kilpauk, Chennai, Tamil Nadu 600010",Kilpauk,13.0822735,80.2426789,ChIJ9Vllk9hlUjoR6unAg9zYUrE,https://www.google.com/maps/place/?q=place_id:ChIJ9Vllk9hlUjoR6unAg9zYUrE,part_322,2026-09-20 20:30:20
