business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Indian Silk House Agencies Jhargram,Saree Showroom,Saree Shop,Saree Shop,721504,West Bengal Circle,South Bengal Region,Midnapore Division,"Dahijuri SO, Akanischintapur BO, Andharia BO",+91 93320 38371,https://indiansilkhouseagencies.com/,4.8,437,"Jhargram Main Rd, opposite to R.B.M SCHOOL, Raghunathpur, Jhargram, West Bengal 721507",Raghunathpur,22.445919099999998,86.9961809,ChIJodHM5Wt7HToRjZrxpFsZ1SQ,https://www.google.com/maps/place/?q=place_id:ChIJodHM5Wt7HToRjZrxpFsZ1SQ,part_323,2026-09-20 20:27:47
Priyadarshini Boutiques,Saree Showroom,Clothing store,"Clothing store, Boutique, Dress store, Saree Shop, Women's clothing store",721504,West Bengal Circle,South Bengal Region,Midnapore Division,"Dahijuri SO, Akanischintapur BO, Andharia BO",+91 80008 10180,https://mypriyadarshini.com/,4.3,126,"Raghunathpur, Jhargram, West Bengal 721507",Raghunathpur,22.4488007,86.99403029999999,ChIJY6eo9ll7HToRmWUpMctWNa8,https://www.google.com/maps/place/?q=place_id:ChIJY6eo9ll7HToRmWUpMctWNa8,part_323,2026-09-20 20:27:47
Tuli O Suto,Saree Showroom,Clothing store,"Clothing store, Bag shop, Saree Shop",721504,West Bengal Circle,South Bengal Region,Midnapore Division,"Dahijuri SO, Akanischintapur BO, Andharia BO",+91 96792 39410,N/A,5.0,18,"near Rupchaya Cinema Hall, Raghunathpur, Jhargram, West Bengal 721507",Raghunathpur,22.450149099999997,86.99575519999999,ChIJScVw5M17HToRv1YFk2a4nb4,https://www.google.com/maps/place/?q=place_id:ChIJScVw5M17HToRv1YFk2a4nb4,part_323,2026-09-20 20:27:47
M/S APSARA,Saree Showroom,Clothing store,"Clothing store, Wholesaler",721504,West Bengal Circle,South Bengal Region,Midnapore Division,"Dahijuri SO, Akanischintapur BO, Andharia BO",+91 79086 08020,N/A,4.6,16,"near Old L.I.C. Building, Raghunathpur, Jhargram, West Bengal 721507",Raghunathpur,22.448984199999998,86.9941061,ChIJJ2v9CmZ7HToRobw19XsEXWk,https://www.google.com/maps/place/?q=place_id:ChIJJ2v9CmZ7HToRobw19XsEXWk,part_323,2026-09-20 20:27:47
Ramjiwan Ramchandra,Saree Showroom,Clothing store,Clothing store,721504,West Bengal Circle,South Bengal Region,Midnapore Division,"Dahijuri SO, Akanischintapur BO, Andharia BO",+91 70032 69805,https://wa.me/message/D2EDXFMMDUCCI1,4.4,14,"Jubilee Market, Jhargram, West Bengal 721507",721504,22.4542218,86.9954269,ChIJm-q1Mcx7HToR0whSP0rilLc,https://www.google.com/maps/place/?q=place_id:ChIJm-q1Mcx7HToR0whSP0rilLc,part_323,2026-09-20 20:27:47
New Radha Gobinda Bastralaya,Saree Showroom,Women's clothing store,"Women's clothing store, Saree Shop",721504,West Bengal Circle,South Bengal Region,Midnapore Division,"Dahijuri SO, Akanischintapur BO, Andharia BO",+91 99327 87130,https://www.instagram.com/nrgb.dresses/,4.6,16,"ward no - 10, Jubilee Market, 159/156, near Shiv Mandir, Jhargram, West Bengal 721507",721504,22.454598,86.995222,ChIJJzXoZwh7HToRrjfffzjCxyk,https://www.google.com/maps/place/?q=place_id:ChIJJzXoZwh7HToRrjfffzjCxyk,part_323,2026-09-20 20:27:47
SNEHA SAREE,Saree Showroom,Clothing store,Clothing store,721504,West Bengal Circle,South Bengal Region,Midnapore Division,"Dahijuri SO, Akanischintapur BO, Andharia BO",+91 62962 56938,N/A,5.0,2,"Basic college road, Jhargram, West Bengal 721507",721504,22.437555099999997,86.989125,ChIJYy3K0o57HToR4mG6IXTvg-4,https://www.google.com/maps/place/?q=place_id:ChIJYy3K0o57HToR4mG6IXTvg-4,part_323,2026-09-20 20:27:47
Maa Tara Saree Mohol,Saree Showroom,Saree Shop,"Saree Shop, Garment Exporter, Women's clothing store",721504,West Bengal Circle,South Bengal Region,Midnapore Division,"Dahijuri SO, Akanischintapur BO, Andharia BO",+91 74780 65630,N/A,3.0,8,"main road, Jamda, Jhargram, West Bengal 721507",Jamda,22.4709926,86.993408,ChIJR-owF4h7HToRX6hHLtuk-F4,https://www.google.com/maps/place/?q=place_id:ChIJR-owF4h7HToRX6hHLtuk-F4,part_323,2026-09-20 20:27:47
Shrutarshie,Saree Showroom,Clothing store,"Clothing store, Boutique, Clothing wholesaler, Fashion designer, Saree Shop",721504,West Bengal Circle,South Bengal Region,Midnapore Division,"Dahijuri SO, Akanischintapur BO, Andharia BO",+91 96358 15766,N/A,5.0,1,"E-1/12, Raghunathpur, Jhargram, West Bengal 721507",Raghunathpur,22.444134599999998,86.9979043,ChIJY5ybQj97HToRVOlS2NJl9Kc,https://www.google.com/maps/place/?q=place_id:ChIJY5ybQj97HToRVOlS2NJl9Kc,part_323,2026-09-20 20:27:47
Maa tara agency 2nd shop,Saree Showroom,Saree Shop,Saree Shop,721504,West Bengal Circle,South Bengal Region,Midnapore Division,"Dahijuri SO, Akanischintapur BO, Andharia BO",N/A,N/A,5.0,1,"Pouro moidan er samne, Bachurdoba, Jhargram, West Bengal 721507",Bachurdoba,22.4614153,86.99328,ChIJi5Y2nEB7HToRoll2qSRWyiY,https://www.google.com/maps/place/?q=place_id:ChIJi5Y2nEB7HToRoll2qSRWyiY,part_323,2026-09-20 20:27:47
