business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BENGAL OPTICAL,Optical Store and Eyewear,Optician,"Optician, Eye care center",733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 86498 63826,N/A,5.0,,"TOWN CLUB, Chakbhabani, Balurghat, West Bengal 733101",Chakbhabani,25.2282363,88.78100069999999,ChIJD46svklh-zkRdk1o5QtG2iM,https://www.google.com/maps/place/?q=place_id:ChIJD46svklh-zkRdk1o5QtG2iM,part_327,2026-09-20 20:28:18
OPTICALSPECX BALURGHAT,Optical Store and Eyewear,Optician,Optician,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,5.0,,"petrol pump, Lenin Sarani Road, near Biswaspara Road, Khadimpur, Balurghat, West Bengal 733101",Khadimpur,25.2227273,88.7808143,ChIJXxVuCMVh-zkR34Om5PwUkd8,https://www.google.com/maps/place/?q=place_id:ChIJXxVuCMVh-zkR34Om5PwUkd8,part_327,2026-09-20 20:28:18
Mahashakti Optical,Optical Store and Eyewear,Optical Products Manufacturer,Optical Products Manufacturer,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 91267 43426,N/A,4.8,,"Public Busstand, Narayanpur, Balurghat, West Bengal 733101",Khadimpur,25.226508799999998,88.7826797,ChIJY1Dz8dNh-zkRUqcmfmqItEI,https://www.google.com/maps/place/?q=place_id:ChIJY1Dz8dNh-zkRUqcmfmqItEI,part_327,2026-09-20 20:28:18
I+ Optical,Optical Store and Eyewear,Optician,"Optician, Doctor, Optometrist",733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 94755 93987,https://m.facebook.com/Opticalinbalurghat,4.9,,"Chakbhabani, Balurghat, West Bengal 733101",Chakbhabani,25.2272306,88.7767748,ChIJidd0u81h-zkRvL4BD6l1v-U,https://www.google.com/maps/place/?q=place_id:ChIJidd0u81h-zkRvL4BD6l1v-U,part_327,2026-09-20 20:28:18
MANZOOR ALAM OPTICIAN,Optical Store and Eyewear,Optician,Optician,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 96358 71191,http://manzooralamoptician.com/balurghat,4.3,,"Sare Tin Number More, opposite Balurghat Library, Khadimpur, Balurghat, West Bengal 733101",Khadimpur,25.222740299999998,88.77997719999999,ChIJyQnnW65h-zkR6Bxde0ufTBI,https://www.google.com/maps/place/?q=place_id:ChIJyQnnW65h-zkR6Bxde0ufTBI,part_327,2026-09-20 20:28:18
Maa Optical,Optical Store and Eyewear,Store,Store,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,3.5,,"6QHJ+FHX, Shuvam Rd, Chakbhabani, Balurghat, West Bengal 733101",Chakbhabani,25.2287467,88.78148929999999,ChIJ7ea32I5h-zkR_YzFBzUtAc4,https://www.google.com/maps/place/?q=place_id:ChIJ7ea32I5h-zkR_YzFBzUtAc4,part_327,2026-09-20 20:28:18
optical palace,Optical Store and Eyewear,Optician,Optician,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 90511 22222,N/A,5.0,,"Hilli Balurghat Highway, West Dinajpur, Balurghat, West Bengal 733103",West Dinajpur,25.2414547,88.7831096,ChIJV5VKyyhg-zkRxlGO4K_WBeA,https://www.google.com/maps/place/?q=place_id:ChIJV5VKyyhg-zkRxlGO4K_WBeA,part_327,2026-09-20 20:28:18
Mahajan Optical,Optical Store and Eyewear,Sunglasses store,Sunglasses store,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 98000 84242,N/A,5.0,,"DB Rd, Rood Para, Para, Gangarampur, West Bengal 733124","Rood Para, Para",25.403692099999997,88.517022,ChIJ_ysLUPBH-zkRU1Jy1O1D_38,https://www.google.com/maps/place/?q=place_id:ChIJ_ysLUPBH-zkRU1Jy1O1D_38,part_327,2026-09-20 20:28:18
Chandan Optical,Optical Store and Eyewear,Optician,Optician,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 98007 11992,N/A,5.0,,"Jora Brize, New Market Rd, Khadimpur, Balurghat, West Bengal 733101",Khadimpur,25.2258562,88.7765625,ChIJjzXxkh5h-zkRMM9bDJMOlpM,https://www.google.com/maps/place/?q=place_id:ChIJjzXxkh5h-zkRMM9bDJMOlpM,part_327,2026-09-20 20:28:18
Mahamaya Optical,Optical Store and Eyewear,Optician,Optician,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,4.5,,"6QWJ+J7V, Balurghat Hospital Rd, West Dinajpur, Balurghat, West Bengal 733103",West Dinajpur,25.2466144,88.78066079999999,ChIJr_EfViRg-zkRBSdnSvhZsqY,https://www.google.com/maps/place/?q=place_id:ChIJr_EfViRg-zkRBSdnSvhZsqY,part_327,2026-09-20 20:28:18
