business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Teesta Spur,Malls,Tourist attraction,Tourist attraction,735101,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jalpaiguri HO, Adarpara SO, Bowbazar SO Jalpaiguri",N/A,N/A,4.4,,"GP9P+8QR, Kharia, West Bengal 735101",735101,26.5183625,88.7368906,ChIJ-2K44Cx55DkROuhC0cXZAg0,https://www.google.com/maps/place/?q=place_id:ChIJ-2K44Cx55DkROuhC0cXZAg0,part_329,2026-09-20 20:19:43
DORKAR,Malls,Corporate office,Corporate office,735101,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jalpaiguri HO, Adarpara SO, Bowbazar SO Jalpaiguri",N/A,N/A,5.0,,"GPJ6+9RQ, W Kerani Para Rd, Deshbandhu Para, Silpasamiti Para, Jalpaiguri, West Bengal 735101","Deshbandhu Para, Silpasamiti Para",26.5310107,88.7121004,ChIJg7bPRQB55DkRKAfUM437Ga8,https://www.google.com/maps/place/?q=place_id:ChIJg7bPRQB55DkRKAfUM437Ga8,part_329,2026-09-20 20:19:43
Subsidiary Police Canteen,Malls,Shopping mall,Shopping mall,735101,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jalpaiguri HO, Adarpara SO, Bowbazar SO Jalpaiguri",N/A,N/A,3.2,,"GP7M+343, Police Line Rd, Jalpaiguri, West Bengal 735101",735101,26.5126332,88.7327954,ChIJkY5oS5155DkRy_rb1YaDGvE,https://www.google.com/maps/place/?q=place_id:ChIJkY5oS5155DkRy_rb1YaDGvE,part_329,2026-09-20 20:19:43
Golden Plaza,Malls,Shopping mall,Shopping mall,735101,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jalpaiguri HO, Adarpara SO, Bowbazar SO Jalpaiguri",N/A,N/A,4.2,64.0,"GPJF+H6P, Netaji Subhash Chandra Bose Rd, Raikatpara, Jalpaiguri, West Bengal 735101",Raikatpara,26.5315248,88.7231146,ChIJ32-O5ZR55DkRj1TNY0x1a7k,https://www.google.com/maps/place/?q=place_id:ChIJ32-O5ZR55DkRj1TNY0x1a7k,part_329,2026-09-20 20:19:45
R B Dey Complex,Malls,Outlet mall,Outlet mall,735101,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jalpaiguri HO, Adarpara SO, Bowbazar SO Jalpaiguri",N/A,N/A,3.5,192.0,"GPHF+2J7, Merchant Rd, Jalpaiguri, West Bengal 735101",735101,26.5275404,88.72406079999999,ChIJd0mC7kN55DkR4e2U8GdzA3k,https://www.google.com/maps/place/?q=place_id:ChIJd0mC7kN55DkR4e2U8GdzA3k,part_329,2026-09-20 20:19:45
Palm Plaza,Malls,Outlet mall,Outlet mall,735101,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jalpaiguri HO, Adarpara SO, Bowbazar SO Jalpaiguri",N/A,N/A,4.0,133.0,"Palm Plaza, Ukilpara, Silpasamiti Para, Jalpaiguri, West Bengal 735101","Ukilpara, Silpasamiti Para",26.528387199999997,88.7193384,ChIJxREY3lx55DkRiqPTG5e_JRw,https://www.google.com/maps/place/?q=place_id:ChIJxREY3lx55DkRiqPTG5e_JRw,part_329,2026-09-20 20:19:45
Parda House,Malls,Shopping mall,Shopping mall,735101,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jalpaiguri HO, Adarpara SO, Bowbazar SO Jalpaiguri",+91 98324 43015,N/A,4.3,32.0,"GPHF+GHX, Dinbazar Rd, near Jalpaiguri Glass House, Jalpaiguri, West Bengal 735101",735101,26.5288149,88.7239859,ChIJj43YSkJ55DkRs6lyrGehB90,https://www.google.com/maps/place/?q=place_id:ChIJj43YSkJ55DkRs6lyrGehB90,part_329,2026-09-20 20:19:45
SVF Cinemas,Malls,Movie theater,Movie theater,735101,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jalpaiguri HO, Adarpara SO, Bowbazar SO Jalpaiguri",+91 99072 28549,https://in.bookmyshow.com/cinemas/jalpaiguri/svf-cinemas-prm-market-city-jalpaiguri/SCJI,4.3,1961.0,"PRM Mall, Bhanumati Rd, Jalpaiguri, West Bengal 735101",735101,26.525265299999997,88.71953789999999,ChIJO9hcXFt55DkRP-0-eKfZpEo,https://www.google.com/maps/place/?q=place_id:ChIJO9hcXFt55DkRP-0-eKfZpEo,part_329,2026-09-20 20:19:45
South Plaza,Malls,Condominium complex,Condominium complex,735101,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jalpaiguri HO, Adarpara SO, Bowbazar SO Jalpaiguri",N/A,N/A,2.9,9.0,"GP7J+3CH, Jalpaiguri, West Bengal 735101",735101,26.5126876,88.7310943,ChIJJxlO6zV55DkRGUBYmYnIbto,https://www.google.com/maps/place/?q=place_id:ChIJJxlO6zV55DkRGUBYmYnIbto,part_329,2026-09-20 20:19:45
"Purplle - Town Square Mall, Jalpaiguri",Malls,Cosmetics store,Cosmetics store,735101,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jalpaiguri HO, Adarpara SO, Bowbazar SO Jalpaiguri",N/A,https://www.purplle.com/,5.0,2.0,"GPFC+R2X, Jalpaiguri, West Bengal 735101",735101,26.524634199999998,88.7200905,ChIJnw5JYQB55DkRWhCa2RjTi74,https://www.google.com/maps/place/?q=place_id:ChIJnw5JYQB55DkRWhCa2RjTi74,part_329,2026-09-20 20:19:45
